date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,122.7,39.64,162.35,83.06,15.31,CPF,Food,83.06
2020-01-03,225.76,155.04,380.8,70.72,23.5,CPF,Food,153.78
2020-01-06,166.38,137.66,304.04,28.73,22.14,CPF,Food,182.51
2020-01-07,116.48,95.25,211.74,21.23,12.8,CPF,Food,203.73999999999998
2020-01-08,252.81,119.55,372.36,133.26,19.26,CPF,Food,337.0
2020-01-09,485.08,210.05,695.13,275.04,14.65,CPF,Food,612.04
2020-01-10,257.48,164.95,422.43,92.52,19.36,CPF,Food,704.56
2020-01-13,367.02,133.57,500.59,233.45,18.87,CPF,Food,938.01
2020-01-14,237.76,305.14,542.9,-67.39,25.65,CPF,Food,870.62
2020-01-15,277.7,347.19,624.89,-69.49,30.68,CPF,Food,801.13
2020-01-16,226.63,598.11,824.74,-371.48,19.35,CPF,Food,429.65
2020-01-17,155.03,342.08,497.11,-187.05,22.76,CPF,Food,242.59999999999997
2020-01-20,231.74,318.52,550.26,-86.77,30.04,CPF,Food,155.82999999999998
2020-01-21,739.5,465.34,1204.85,274.16,30.93,CPF,Food,429.99
2020-01-22,780.1,142.62,922.72,637.48,29.72,CPF,Food,1067.47
2020-01-23,340.25,362.72,702.96,-22.47,30.95,CPF,Food,1045.0
2020-01-24,134.39,50.2,184.6,84.19,41.22,CPF,Food,1129.19
2020-01-27,310.19,181.64,491.83,128.54,26.79,CPF,Food,1257.73
2020-01-28,552.48,271.81,824.29,280.66,23.34,CPF,Food,1538.39
2020-01-29,310.73,414.71,725.44,-103.99,27.27,CPF,Food,1434.4
2020-01-30,712.58,549.44,1262.01,163.14,38.53,CPF,Food,1597.54
2020-01-31,361.8,307.89,669.69,53.9,33.57,CPF,Food,1651.44
2020-02-03,666.54,588.38,1254.91,78.16,29.48,CPF,Food,1729.6000000000001
2020-02-04,621.56,370.83,992.39,250.73,32.62,CPF,Food,1980.3300000000002
2020-02-05,346.54,185.33,531.87,161.2,24.2,CPF,Food,2141.53
2020-02-06,351.4,234.65,586.05,116.76,22.6,CPF,Food,2258.2900000000004
2020-02-07,287.78,290.67,578.45,-2.89,28.95,CPF,Food,2255.4000000000005
2020-02-11,263.85,143.26,407.11,120.58,18.45,CPF,Food,2375.9800000000005
2020-02-12,227.51,258.72,486.22,-31.21,21.98,CPF,Food,2344.7700000000004
2020-02-13,147.43,224.69,372.12,-77.26,31.74,CPF,Food,2267.51
2020-02-14,286.89,303.81,590.7,-16.92,22.98,CPF,Food,2250.59
2020-02-17,131.32,141.4,272.73,-10.08,30.79,CPF,Food,2240.51
2020-02-18,177.61,71.86,249.46,105.75,34.4,CPF,Food,2346.26
2020-02-19,115.47,186.79,302.26,-71.32,26.22,CPF,Food,2274.94
