date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2025-04-03,611.62,485.36,1096.97,126.26,12.37,GULF,Energy,126.26
2025-04-04,275.36,1089.57,1364.94,-814.21,16.31,GULF,Energy,-687.95
2025-04-08,740.88,1494.09,2234.97,-753.21,24.81,GULF,Energy,-1441.16
2025-04-09,861.17,899.78,1760.95,-38.61,23.17,GULF,Energy,-1479.77
2025-04-10,507.15,688.65,1195.8,-181.49,20.03,GULF,Energy,-1661.26
2025-04-11,345.25,567.13,912.38,-221.88,24.41,GULF,Energy,-1883.1399999999999
2025-04-16,784.95,557.43,1342.39,227.52,35.88,GULF,Energy,-1655.62
2025-04-17,185.53,552.78,738.31,-367.25,31.36,GULF,Energy,-2022.87
2025-04-18,107.33,188.99,296.31,-81.66,18.34,GULF,Energy,-2104.5299999999997
2025-04-21,146.55,320.15,466.7,-173.6,21.62,GULF,Energy,-2278.1299999999997
2025-04-22,446.43,278.82,725.25,167.62,23.9,GULF,Energy,-2110.5099999999998
2025-04-23,263.16,390.65,653.81,-127.49,26.16,GULF,Energy,-2237.9999999999995
2025-04-24,284.51,328.8,613.32,-44.29,30.35,GULF,Energy,-2282.2899999999995
2025-04-25,254.31,191.1,445.41,63.21,26.58,GULF,Energy,-2219.0799999999995
2025-04-28,148.12,92.62,240.75,55.5,25.55,GULF,Energy,-2163.5799999999995
2025-04-29,552.46,152.77,705.23,399.69,28.9,GULF,Energy,-1763.8899999999994
2025-04-30,234.66,344.53,579.19,-109.88,16.74,GULF,Energy,-1873.7699999999995
2025-05-02,364.91,530.83,895.74,-165.93,26.29,GULF,Energy,-2039.6999999999996
2025-05-06,224.44,434.68,659.11,-210.24,25.25,GULF,Energy,-2249.9399999999996
2025-05-07,626.69,286.19,912.88,340.51,25.03,GULF,Energy,-1909.4299999999996
2025-05-08,305.29,527.44,832.73,-222.15,28.23,GULF,Energy,-2131.5799999999995
2025-05-09,406.52,462.4,868.92,-55.87,23.54,GULF,Energy,-2187.4499999999994
2025-05-13,229.49,399.02,628.51,-169.52,24.35,GULF,Energy,-2356.9699999999993
2025-05-14,226.98,184.14,411.12,42.84,22.08,GULF,Energy,-2314.129999999999
2025-05-15,280.88,283.79,564.68,-2.91,23.63,GULF,Energy,-2317.039999999999
2025-05-16,419.57,295.8,715.37,123.76,35.8,GULF,Energy,-2193.279999999999
2025-05-19,304.31,248.01,552.31,56.3,32.02,GULF,Energy,-2136.9799999999987
2025-05-20,337.38,566.08,903.45,-228.7,34.54,GULF,Energy,-2365.6799999999985
2025-05-21,274.18,334.71,608.9,-60.53,23.39,GULF,Energy,-2426.2099999999987
2025-05-22,181.07,268.14,449.22,-87.07,27.58,GULF,Energy,-2513.279999999999
2025-05-23,351.71,428.41,780.12,-76.69,33.87,GULF,Energy,-2589.969999999999
2025-05-26,78.31,301.46,379.77,-223.14,32.13,GULF,Energy,-2813.1099999999988
2025-05-27,150.72,359.81,510.52,-209.09,31.49,GULF,Energy,-3022.199999999999
2025-05-28,129.75,392.82,522.57,-263.06,29.5,GULF,Energy,-3285.259999999999
2025-05-29,126.27,339.54,465.82,-213.27,33.71,GULF,Energy,-3498.529999999999
2025-05-30,1995.22,1689.19,3684.41,306.03,61.1,GULF,Energy,-3192.499999999999
2025-06-04,482.36,423.03,905.39,59.33,32.72,GULF,Energy,-3133.169999999999
2025-06-05,359.06,239.02,598.08,120.04,27.66,GULF,Energy,-3013.129999999999
2025-06-06,183.56,330.51,514.07,-146.94,23.07,GULF,Energy,-3160.0699999999993
2025-06-09,413.92,271.52,685.44,142.4,37.37,GULF,Energy,-3017.669999999999
2025-06-10,232.21,216.96,449.17,15.25,36.1,GULF,Energy,-3002.419999999999
2025-06-11,154.98,215.34,370.32,-60.36,20.6,GULF,Energy,-3062.7799999999993
2025-06-12,153.93,202.85,356.78,-48.92,12.59,GULF,Energy,-3111.6999999999994
2025-06-13,112.7,313.03,425.73,-200.33,27.6,GULF,Energy,-3312.0299999999993
2025-06-16,493.8,398.02,891.81,95.78,11.01,GULF,Energy,-3216.249999999999
2025-06-17,125.96,216.08,342.04,-90.12,27.84,GULF,Energy,-3306.369999999999
2025-06-18,388.79,307.33,696.11,81.46,25.12,GULF,Energy,-3224.909999999999
2025-06-19,1000.86,672.99,1673.85,327.87,24.76,GULF,Energy,-2897.039999999999
2025-06-20,599.27,529.16,1128.43,70.11,34.95,GULF,Energy,-2826.929999999999
2025-06-23,426.82,197.72,624.53,229.1,31.86,GULF,Energy,-2597.829999999999
2025-06-24,576.99,890.6,1467.59,-313.61,32.08,GULF,Energy,-2911.439999999999
2025-06-25,382.56,519.39,901.95,-136.83,34.82,GULF,Energy,-3048.269999999999
2025-06-26,240.71,308.53,549.24,-67.82,31.24,GULF,Energy,-3116.0899999999992
2025-06-27,193.06,509.46,702.52,-316.41,28.77,GULF,Energy,-3432.499999999999
