date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,411.17,288.78,699.95,122.39,18.82,IRPC,Energy,122.39
2020-01-03,127.99,171.64,299.63,-43.65,25.4,IRPC,Energy,78.74000000000001
2020-01-06,437.02,559.55,996.56,-122.53,25.05,IRPC,Energy,-43.78999999999999
2020-01-07,177.65,237.61,415.27,-59.96,22.7,IRPC,Energy,-103.75
2020-01-08,131.77,184.92,316.69,-53.15,17.64,IRPC,Energy,-156.9
2020-01-09,129.45,167.02,296.47,-37.58,25.1,IRPC,Energy,-194.48000000000002
2020-01-10,48.47,60.77,109.23,-12.3,25.63,IRPC,Energy,-206.78000000000003
2020-01-13,58.0,165.8,223.79,-107.8,23.98,IRPC,Energy,-314.58000000000004
2020-01-14,108.93,210.39,319.33,-101.46,28.36,IRPC,Energy,-416.04
2020-01-15,87.25,156.79,244.05,-69.54,34.74,IRPC,Energy,-485.58000000000004
2020-01-16,77.44,203.58,281.01,-126.14,28.21,IRPC,Energy,-611.72
2020-01-17,67.73,172.82,240.55,-105.08,23.72,IRPC,Energy,-716.8000000000001
2020-01-20,76.64,108.29,184.93,-31.64,28.54,IRPC,Energy,-748.44
2020-01-21,145.36,188.4,333.76,-43.04,33.12,IRPC,Energy,-791.48
2020-01-22,130.3,149.95,280.25,-19.65,18.11,IRPC,Energy,-811.13
2020-01-23,60.22,56.71,116.94,3.51,15.8,IRPC,Energy,-807.62
2020-01-24,34.46,86.99,121.45,-52.53,19.73,IRPC,Energy,-860.15
2020-01-27,66.65,113.0,179.65,-46.35,17.28,IRPC,Energy,-906.5
2020-01-28,106.48,105.22,211.7,1.26,19.77,IRPC,Energy,-905.24
2020-01-29,50.07,53.74,103.81,-3.67,20.5,IRPC,Energy,-908.91
2020-01-30,91.85,53.95,145.8,37.9,38.09,IRPC,Energy,-871.01
2020-01-31,76.24,78.43,154.67,-2.19,38.23,IRPC,Energy,-873.2
2020-02-03,27.3,45.4,72.7,-18.1,23.26,IRPC,Energy,-891.3000000000001
2020-02-04,109.78,111.13,220.91,-1.35,19.59,IRPC,Energy,-892.6500000000001
2020-02-05,64.65,119.97,184.63,-55.32,20.28,IRPC,Energy,-947.9700000000001
2020-02-06,279.55,260.31,539.86,19.23,32.49,IRPC,Energy,-928.7400000000001
2020-02-07,93.33,123.13,216.46,-29.8,31.19,IRPC,Energy,-958.5400000000001
2020-02-11,96.86,72.15,169.01,24.71,24.46,IRPC,Energy,-933.83
2020-02-12,91.98,36.68,128.66,55.3,25.99,IRPC,Energy,-878.5300000000001
2020-02-13,63.19,56.86,120.05,6.34,24.17,IRPC,Energy,-872.19
2020-02-14,121.24,96.49,217.73,24.75,25.47,IRPC,Energy,-847.44
2020-02-17,68.96,81.9,150.85,-12.94,22.27,IRPC,Energy,-860.3800000000001
2020-02-18,44.27,34.53,78.79,9.74,17.57,IRPC,Energy,-850.6400000000001
2020-02-19,57.53,49.73,107.26,7.79,22.69,IRPC,Energy,-842.8500000000001
2020-02-20,82.51,95.66,178.17,-13.14,20.76,IRPC,Energy,-855.9900000000001
2020-02-21,138.19,235.85,374.04,-97.67,23.32,IRPC,Energy,-953.6600000000001
2020-02-24,87.93,84.05,171.98,3.88,24.22,IRPC,Energy,-949.7800000000001
2020-02-25,133.77,76.33,210.1,57.45,26.69,IRPC,Energy,-892.33
2020-02-26,81.38,96.64,178.01,-15.26,25.47,IRPC,Energy,-907.59
2020-02-27,118.78,54.52,173.31,64.26,28.75,IRPC,Energy,-843.33
2020-02-28,172.05,109.62,281.67,62.43,38.91,IRPC,Energy,-780.9000000000001
2020-03-02,71.04,87.54,158.58,-16.5,27.68,IRPC,Energy,-797.4000000000001
2020-03-03,97.6,47.2,144.79,50.4,27.68,IRPC,Energy,-747.0000000000001
2020-03-04,68.85,60.92,129.77,7.93,30.11,IRPC,Energy,-739.0700000000002
2020-03-05,65.01,90.82,155.83,-25.8,25.4,IRPC,Energy,-764.8700000000001
2020-03-06,37.14,70.15,107.29,-33.01,22.54,IRPC,Energy,-797.8800000000001
2020-03-09,77.52,166.58,244.09,-89.06,26.86,IRPC,Energy,-886.94
2020-03-10,106.19,91.04,197.23,15.15,25.11,IRPC,Energy,-871.7900000000001
2020-03-11,62.77,45.5,108.26,17.27,17.24,IRPC,Energy,-854.5200000000001
2020-03-12,52.94,117.07,170.01,-64.13,22.82,IRPC,Energy,-918.6500000000001
2020-03-13,128.54,156.16,284.7,-27.61,28.08,IRPC,Energy,-946.2600000000001
2020-03-16,113.88,123.15,237.03,-9.28,38.94,IRPC,Energy,-955.5400000000001
2020-03-17,157.63,117.46,275.09,40.17,42.94,IRPC,Energy,-915.3700000000001
2020-03-18,77.66,64.97,142.64,12.69,29.7,IRPC,Energy,-902.6800000000001
2020-03-19,118.87,63.05,181.92,55.83,26.5,IRPC,Energy,-846.85
2020-03-20,137.67,132.45,270.12,5.22,24.82,IRPC,Energy,-841.63
2020-03-23,31.19,88.39,119.59,-57.2,23.24,IRPC,Energy,-898.83
2020-03-24,39.27,43.27,82.54,-4.01,24.83,IRPC,Energy,-902.84
2020-03-25,76.74,44.19,120.93,32.55,22.48,IRPC,Energy,-870.2900000000001
2020-03-26,41.39,47.89,89.28,-6.5,19.71,IRPC,Energy,-876.7900000000001
2020-03-27,18.25,33.96,52.21,-15.72,20.98,IRPC,Energy,-892.5100000000001
2020-03-30,30.92,23.79,54.7,7.13,28.31,IRPC,Energy,-885.3800000000001
2020-03-31,54.18,34.85,89.03,19.33,14.78,IRPC,Energy,-866.0500000000001
2020-04-01,55.38,39.4,94.78,15.98,15.08,IRPC,Energy,-850.07
2020-04-02,222.56,103.3,325.86,119.26,15.63,IRPC,Energy,-730.8100000000001
2020-04-03,88.4,111.61,200.01,-23.2,11.75,IRPC,Energy,-754.0100000000001
2020-04-07,162.29,121.82,284.1,40.47,23.47,IRPC,Energy,-713.5400000000001
2020-04-08,31.11,129.92,161.04,-98.81,22.57,IRPC,Energy,-812.3500000000001
2020-04-09,64.56,70.2,134.76,-5.64,13.79,IRPC,Energy,-817.9900000000001
2020-04-10,39.34,31.75,71.09,7.59,19.58,IRPC,Energy,-810.4000000000001
2020-04-13,10.79,32.65,43.44,-21.86,20.97,IRPC,Energy,-832.2600000000001
2020-04-14,201.58,104.19,305.77,97.39,18.41,IRPC,Energy,-734.8700000000001
2020-04-15,107.27,90.93,198.2,16.34,19.42,IRPC,Energy,-718.5300000000001
2020-04-16,44.2,48.64,92.84,-4.44,16.99,IRPC,Energy,-722.9700000000001
2020-04-17,35.02,61.1,96.12,-26.08,24.28,IRPC,Energy,-749.0500000000002
2020-04-20,40.51,32.82,73.33,7.69,22.22,IRPC,Energy,-741.3600000000001
2020-04-21,28.67,56.98,85.64,-28.31,13.85,IRPC,Energy,-769.6700000000001
2020-04-22,37.82,37.84,75.66,-0.02,22.51,IRPC,Energy,-769.69
2020-04-23,96.55,89.35,185.9,7.2,18.39,IRPC,Energy,-762.49
2020-04-24,64.74,58.25,122.99,6.49,17.65,IRPC,Energy,-756.0
2020-04-27,30.65,40.33,70.98,-9.69,25.34,IRPC,Energy,-765.69
2020-04-28,49.36,36.21,85.57,13.15,19.9,IRPC,Energy,-752.5400000000001
2020-04-29,46.75,34.02,80.77,12.73,16.84,IRPC,Energy,-739.8100000000001
2020-04-30,158.0,101.66,259.66,56.33,25.56,IRPC,Energy,-683.48
2020-05-05,39.42,52.29,91.7,-12.87,22.28,IRPC,Energy,-696.35
2020-05-07,43.2,64.43,107.63,-21.24,25.99,IRPC,Energy,-717.59
2020-05-08,21.21,32.34,53.56,-11.13,21.08,IRPC,Energy,-728.72
2020-05-11,232.52,142.39,374.91,90.12,23.71,IRPC,Energy,-638.6
2020-05-12,61.9,84.8,146.7,-22.89,17.73,IRPC,Energy,-661.49
2020-05-13,320.53,338.07,658.61,-17.54,34.57,IRPC,Energy,-679.03
2020-05-14,42.55,49.81,92.36,-7.26,20.29,IRPC,Energy,-686.29
2020-05-15,63.97,43.62,107.59,20.35,15.5,IRPC,Energy,-665.9399999999999
2020-05-18,52.68,37.45,90.13,15.23,15.22,IRPC,Energy,-650.7099999999999
