date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,437.53,442.16,879.69,-4.64,21.32,IVL,Petro,-4.64
2020-01-03,240.15,566.82,806.96,-326.67,23.74,IVL,Petro,-331.31
2020-01-06,253.37,511.95,765.31,-258.58,17.82,IVL,Petro,-589.89
2020-01-07,197.05,180.98,378.04,16.07,15.95,IVL,Petro,-573.8199999999999
2020-01-08,325.75,159.46,485.21,166.29,13.43,IVL,Petro,-407.53
2020-01-09,234.58,210.25,444.83,24.34,14.42,IVL,Petro,-383.19
2020-01-10,163.67,127.99,291.66,35.68,21.84,IVL,Petro,-347.51
2020-01-13,135.19,130.53,265.72,4.67,18.49,IVL,Petro,-342.84
2020-01-14,74.04,103.58,177.62,-29.53,26.5,IVL,Petro,-372.37
2020-01-15,95.65,61.25,156.9,34.4,24.58,IVL,Petro,-337.97
2020-01-16,140.43,118.15,258.59,22.28,19.84,IVL,Petro,-315.69000000000005
2020-01-17,202.13,211.25,413.37,-9.12,26.36,IVL,Petro,-324.81000000000006
2020-01-20,174.16,159.24,333.39,14.92,13.33,IVL,Petro,-309.89000000000004
2020-01-21,414.49,123.47,537.96,291.02,20.01,IVL,Petro,-18.87000000000006
2020-01-22,271.11,135.84,406.94,135.27,18.61,IVL,Petro,116.39999999999995
2020-01-23,86.51,70.6,157.1,15.91,25.04,IVL,Petro,132.30999999999995
2020-01-24,143.19,58.92,202.1,84.27,17.16,IVL,Petro,216.57999999999993
2020-01-27,261.7,157.14,418.84,104.56,18.36,IVL,Petro,321.13999999999993
2020-01-28,106.6,174.99,281.59,-68.38,16.25,IVL,Petro,252.75999999999993
2020-01-29,166.63,187.74,354.37,-21.11,26.22,IVL,Petro,231.64999999999992
2020-01-30,90.53,109.3,199.83,-18.77,25.64,IVL,Petro,212.8799999999999
2020-01-31,79.58,94.45,174.02,-14.87,25.53,IVL,Petro,198.0099999999999
2020-02-03,106.85,114.83,221.68,-7.98,25.84,IVL,Petro,190.02999999999992
2020-02-04,287.35,313.46,600.81,-26.11,21.08,IVL,Petro,163.9199999999999
2020-02-05,401.78,394.88,796.66,6.91,31.11,IVL,Petro,170.8299999999999
2020-02-06,188.13,191.83,379.95,-3.7,22.44,IVL,Petro,167.1299999999999
2020-02-07,125.56,207.43,332.99,-81.87,29.08,IVL,Petro,85.2599999999999
2020-02-11,191.48,181.44,372.92,10.05,23.04,IVL,Petro,95.3099999999999
2020-02-12,215.34,228.25,443.6,-12.91,32.71,IVL,Petro,82.3999999999999
2020-02-13,77.08,104.95,182.02,-27.87,22.41,IVL,Petro,54.5299999999999
2020-02-14,313.15,132.91,446.06,180.24,12.05,IVL,Petro,234.76999999999992
2020-02-17,82.9,105.44,188.34,-22.54,34.23,IVL,Petro,212.22999999999993
2020-02-18,93.19,162.07,255.26,-68.89,33.47,IVL,Petro,143.33999999999992
2020-02-19,125.45,126.16,251.61,-0.71,23.06,IVL,Petro,142.6299999999999
2020-02-20,106.78,106.22,213.0,0.56,17.06,IVL,Petro,143.1899999999999
2020-02-21,70.01,141.07,211.08,-71.07,27.2,IVL,Petro,72.11999999999992
2020-02-24,197.03,281.76,478.79,-84.73,25.16,IVL,Petro,-12.610000000000085
2020-02-25,150.98,161.14,312.12,-10.16,27.6,IVL,Petro,-22.770000000000085
2020-02-26,181.79,221.3,403.09,-39.51,21.51,IVL,Petro,-62.280000000000086
2020-02-27,207.76,284.59,492.35,-76.83,26.71,IVL,Petro,-139.11000000000007
2020-02-28,158.71,242.18,400.88,-83.47,22.75,IVL,Petro,-222.58000000000007
2020-03-02,183.32,223.88,407.2,-40.56,37.43,IVL,Petro,-263.1400000000001
2020-03-03,180.78,152.48,333.26,28.3,20.31,IVL,Petro,-234.8400000000001
2020-03-04,160.24,143.34,303.58,16.9,33.27,IVL,Petro,-217.94000000000008
2020-03-05,189.72,130.28,320.0,59.44,23.82,IVL,Petro,-158.50000000000009
2020-03-06,262.6,190.58,453.18,72.02,46.52,IVL,Petro,-86.48000000000009
2020-03-09,568.42,465.42,1033.84,103.0,37.02,IVL,Petro,16.51999999999991
2020-03-10,455.28,526.06,981.34,-70.77,36.02,IVL,Petro,-54.250000000000085
2020-03-11,203.02,280.09,483.11,-77.07,32.51,IVL,Petro,-131.32000000000008
2020-03-12,224.51,347.97,572.48,-123.45,30.53,IVL,Petro,-254.7700000000001
2020-03-13,320.9,472.43,793.33,-151.53,33.52,IVL,Petro,-406.30000000000007
2020-03-16,358.16,400.45,758.61,-42.3,45.49,IVL,Petro,-448.6000000000001
2020-03-17,151.66,263.05,414.71,-111.39,34.28,IVL,Petro,-559.9900000000001
2020-03-18,185.34,178.66,364.0,6.68,26.32,IVL,Petro,-553.3100000000002
2020-03-19,151.06,120.01,271.08,31.05,25.33,IVL,Petro,-522.2600000000002
2020-03-20,225.63,194.93,420.56,30.69,28.7,IVL,Petro,-491.5700000000002
2020-03-23,230.15,202.41,432.55,27.74,34.94,IVL,Petro,-463.8300000000002
2020-03-24,252.57,189.31,441.87,63.26,30.66,IVL,Petro,-400.5700000000002
2020-03-25,186.31,213.91,400.22,-27.6,15.72,IVL,Petro,-428.17000000000024
2020-03-26,154.2,150.73,304.92,3.47,16.57,IVL,Petro,-424.7000000000002
2020-03-27,161.18,175.48,336.65,-14.3,19.38,IVL,Petro,-439.0000000000002
2020-03-30,110.78,107.77,218.55,3.02,26.37,IVL,Petro,-435.98000000000025
2020-03-31,320.39,217.73,538.12,102.65,21.21,IVL,Petro,-333.33000000000027
2020-04-01,157.93,267.27,425.2,-109.34,25.6,IVL,Petro,-442.6700000000003
2020-04-02,306.51,320.87,627.37,-14.36,16.37,IVL,Petro,-457.0300000000003
2020-04-03,172.78,328.87,501.65,-156.09,15.49,IVL,Petro,-613.1200000000003
2020-04-07,256.98,281.4,538.38,-24.42,21.05,IVL,Petro,-637.5400000000003
2020-04-08,111.07,176.69,287.76,-65.63,19.42,IVL,Petro,-703.1700000000003
2020-04-09,260.2,197.36,457.56,62.84,19.41,IVL,Petro,-640.3300000000003
2020-04-10,108.92,168.73,277.65,-59.81,27.83,IVL,Petro,-700.1400000000003
2020-04-13,125.4,96.87,222.28,28.53,15.0,IVL,Petro,-671.6100000000004
2020-04-14,221.1,143.01,364.11,78.09,16.54,IVL,Petro,-593.5200000000003
2020-04-15,365.4,339.99,705.39,25.41,17.44,IVL,Petro,-568.1100000000004
2020-04-16,93.73,146.45,240.18,-52.72,12.59,IVL,Petro,-620.8300000000004
2020-04-17,136.4,162.88,299.28,-26.47,14.85,IVL,Petro,-647.3000000000004
2020-04-20,256.16,225.99,482.15,30.17,30.68,IVL,Petro,-617.1300000000005
2020-04-21,126.39,196.47,322.86,-70.07,21.87,IVL,Petro,-687.2000000000005
2020-04-22,86.2,223.29,309.49,-137.08,18.6,IVL,Petro,-824.2800000000005
2020-04-23,132.24,169.93,302.17,-37.68,23.48,IVL,Petro,-861.9600000000005
2020-04-24,172.48,134.54,307.02,37.94,16.34,IVL,Petro,-824.0200000000004
2020-04-27,108.08,74.36,182.45,33.72,17.65,IVL,Petro,-790.3000000000004
2020-04-28,202.33,143.14,345.47,59.19,19.01,IVL,Petro,-731.1100000000004
2020-04-29,250.59,95.78,346.38,154.81,21.68,IVL,Petro,-576.3000000000004
2020-04-30,429.83,146.23,576.05,283.6,19.97,IVL,Petro,-292.7000000000004
2020-05-05,275.15,246.22,521.37,28.93,24.53,IVL,Petro,-263.7700000000004
2020-05-07,176.61,62.78,239.39,113.84,31.51,IVL,Petro,-149.93000000000038
2020-05-08,189.09,92.54,281.63,96.56,35.44,IVL,Petro,-53.370000000000374
2020-05-11,282.82,237.92,520.74,44.9,24.07,IVL,Petro,-8.470000000000375
2020-05-12,511.81,530.21,1042.02,-18.39,25.55,IVL,Petro,-26.860000000000376
2020-05-13,92.85,363.87,456.71,-271.02,26.88,IVL,Petro,-297.88000000000034
2020-05-14,178.64,138.72,317.37,39.92,42.29,IVL,Petro,-257.9600000000003
2020-05-15,32.65,95.94,128.58,-63.29,19.07,IVL,Petro,-321.25000000000034
2020-05-18,350.36,300.04,650.4,50.32,29.31,IVL,Petro,-270.93000000000035
2020-05-19,161.11,216.44,377.55,-55.34,17.64,IVL,Petro,-326.2700000000003
2020-05-20,124.64,103.39,228.03,21.24,15.31,IVL,Petro,-305.0300000000003
2020-05-21,201.82,155.86,357.68,45.96,28.94,IVL,Petro,-259.07000000000033
2020-05-22,223.63,183.17,406.8,40.46,13.15,IVL,Petro,-218.61000000000033
2020-05-25,141.73,124.62,266.34,17.11,26.1,IVL,Petro,-201.50000000000034
2020-05-26,241.98,167.08,409.07,74.9,27.66,IVL,Petro,-126.60000000000034
2020-05-27,194.58,134.33,328.92,60.25,26.32,IVL,Petro,-66.35000000000034
2020-05-28,210.73,80.14,290.87,130.6,24.47,IVL,Petro,64.24999999999966
2020-05-29,172.22,139.52,311.74,32.7,39.8,IVL,Petro,96.94999999999966
