date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,118.06,76.73,194.8,41.33,17.31,OSP,Food,41.33
2020-01-03,172.15,38.41,210.56,133.73,10.07,OSP,Food,175.06
2020-01-06,86.83,136.97,223.8,-50.14,20.69,OSP,Food,124.92
2020-01-07,214.02,77.53,291.55,136.49,16.66,OSP,Food,261.41
2020-01-08,91.91,171.38,263.3,-79.47,15.83,OSP,Food,181.94000000000003
2020-01-09,124.65,128.13,252.78,-3.49,13.29,OSP,Food,178.45000000000002
2020-01-10,71.87,76.32,148.2,-4.45,11.21,OSP,Food,174.00000000000003
2020-01-13,150.99,60.98,211.97,90.01,24.77,OSP,Food,264.01000000000005
2020-01-14,205.83,158.25,364.08,47.58,21.9,OSP,Food,311.59000000000003
2020-01-15,75.36,77.79,153.15,-2.43,21.5,OSP,Food,309.16
2020-01-16,77.54,32.32,109.86,45.21,17.07,OSP,Food,354.37
2020-01-17,110.81,59.87,170.68,50.94,13.71,OSP,Food,405.31
2020-01-20,213.54,112.45,325.99,101.1,21.2,OSP,Food,506.40999999999997
2020-01-21,163.83,93.77,257.59,70.06,29.01,OSP,Food,576.47
2020-01-22,144.0,90.31,234.31,53.68,22.33,OSP,Food,630.15
2020-01-23,124.04,103.04,227.08,21.0,26.38,OSP,Food,651.15
2020-01-24,221.22,70.56,291.78,150.67,27.77,OSP,Food,801.8199999999999
2020-01-27,186.17,145.49,331.66,40.68,32.71,OSP,Food,842.4999999999999
2020-01-28,216.25,70.98,287.23,145.27,25.0,OSP,Food,987.7699999999999
2020-01-29,92.25,59.14,151.39,33.12,29.58,OSP,Food,1020.8899999999999
2020-01-30,41.5,58.87,100.38,-17.37,27.06,OSP,Food,1003.5199999999999
2020-01-31,26.83,55.53,82.36,-28.7,18.55,OSP,Food,974.8199999999998
2020-02-03,45.04,40.62,85.66,4.42,13.77,OSP,Food,979.2399999999998
2020-02-04,96.21,77.62,173.83,18.59,22.7,OSP,Food,997.8299999999998
2020-02-05,68.35,94.97,163.32,-26.62,27.0,OSP,Food,971.2099999999998
2020-02-06,77.98,75.66,153.65,2.32,33.13,OSP,Food,973.5299999999999
2020-02-07,49.13,65.92,115.05,-16.79,25.62,OSP,Food,956.7399999999999
2020-02-11,49.96,48.04,98.0,1.93,26.72,OSP,Food,958.6699999999998
2020-02-12,81.16,38.37,119.53,42.79,30.68,OSP,Food,1001.4599999999998
2020-02-13,163.28,82.74,246.02,80.54,13.07,OSP,Food,1081.9999999999998
2020-02-14,90.45,204.58,295.02,-114.13,12.96,OSP,Food,967.8699999999998
2020-02-17,71.45,112.87,184.31,-41.42,13.86,OSP,Food,926.4499999999998
2020-02-18,42.91,89.67,132.59,-46.76,15.26,OSP,Food,879.6899999999998
2020-02-19,50.2,57.98,108.18,-7.79,22.22,OSP,Food,871.8999999999999
2020-02-20,128.39,80.51,208.9,47.88,23.11,OSP,Food,919.7799999999999
2020-02-21,130.03,86.41,216.44,43.62,23.27,OSP,Food,963.3999999999999
2020-02-24,55.41,87.43,142.84,-32.01,28.06,OSP,Food,931.3899999999999
2020-02-25,254.19,136.71,390.89,117.48,19.08,OSP,Food,1048.87
2020-02-26,95.81,67.24,163.05,28.57,20.72,OSP,Food,1077.4399999999998
2020-02-27,143.65,275.77,419.42,-132.12,25.47,OSP,Food,945.3199999999998
2020-02-28,232.48,222.9,455.38,9.58,31.21,OSP,Food,954.8999999999999
2020-03-02,79.15,133.14,212.29,-53.98,26.59,OSP,Food,900.9199999999998
2020-03-03,197.23,122.95,320.19,74.28,27.12,OSP,Food,975.1999999999998
2020-03-04,215.58,65.82,281.4,149.75,26.84,OSP,Food,1124.9499999999998
2020-03-05,111.29,87.65,198.94,23.64,24.84,OSP,Food,1148.59
2020-03-06,136.23,96.08,232.31,40.15,26.0,OSP,Food,1188.74
2020-03-09,144.33,190.04,334.37,-45.71,39.37,OSP,Food,1143.03
2020-03-10,105.44,117.77,223.21,-12.33,39.81,OSP,Food,1130.7
2020-03-11,194.75,193.76,388.51,0.99,39.34,OSP,Food,1131.69
2020-03-12,180.95,243.85,424.8,-62.91,21.02,OSP,Food,1068.78
2020-03-13,280.04,208.73,488.78,71.31,22.88,OSP,Food,1140.09
2020-03-16,296.16,176.67,472.83,119.49,19.26,OSP,Food,1259.58
2020-03-17,135.24,135.77,271.01,-0.53,22.89,OSP,Food,1259.05
2020-03-18,106.31,156.23,262.54,-49.91,27.0,OSP,Food,1209.1399999999999
2020-03-19,167.66,130.07,297.73,37.58,30.16,OSP,Food,1246.7199999999998
2020-03-20,85.91,80.09,166.0,5.83,20.05,OSP,Food,1252.5499999999997
2020-03-23,87.38,96.87,184.25,-9.49,17.94,OSP,Food,1243.0599999999997
2020-03-24,94.13,90.45,184.58,3.68,25.58,OSP,Food,1246.7399999999998
2020-03-25,54.41,61.55,115.97,-7.14,13.61,OSP,Food,1239.5999999999997
2020-03-26,47.62,36.91,84.53,10.72,19.98,OSP,Food,1250.3199999999997
2020-03-27,66.71,32.6,99.3,34.11,19.32,OSP,Food,1284.4299999999996
2020-03-30,98.79,42.05,140.85,56.74,28.28,OSP,Food,1341.1699999999996
2020-03-31,69.74,77.98,147.72,-8.24,21.35,OSP,Food,1332.9299999999996
2020-04-01,33.38,45.32,78.7,-11.95,20.05,OSP,Food,1320.9799999999996
2020-04-02,54.34,28.25,82.59,26.09,19.59,OSP,Food,1347.0699999999995
2020-04-03,20.74,25.84,46.58,-5.11,16.76,OSP,Food,1341.9599999999996
2020-04-07,88.5,74.49,162.99,14.01,18.56,OSP,Food,1355.9699999999996
2020-04-08,61.92,54.37,116.29,7.54,22.88,OSP,Food,1363.5099999999995
2020-04-09,107.12,78.36,185.48,28.76,23.53,OSP,Food,1392.2699999999995
2020-04-10,35.99,96.07,132.07,-60.08,21.44,OSP,Food,1332.1899999999996
2020-04-13,12.04,60.5,72.54,-48.46,18.7,OSP,Food,1283.7299999999996
2020-04-14,24.12,53.01,77.14,-28.89,12.07,OSP,Food,1254.8399999999995
2020-04-15,63.98,59.65,123.64,4.33,14.85,OSP,Food,1259.1699999999994
