date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,36.44,71.32,107.76,-34.88,22.27,TCAP,Banking,-34.88
2020-01-03,110.43,46.18,156.61,64.26,15.46,TCAP,Banking,29.380000000000003
2020-01-06,74.88,55.75,130.63,19.14,31.64,TCAP,Banking,48.52
2020-01-07,46.69,54.92,101.6,-8.23,30.85,TCAP,Banking,40.290000000000006
2020-01-08,74.68,101.62,176.31,-26.94,29.94,TCAP,Banking,13.350000000000005
2020-01-09,69.81,56.92,126.73,12.9,27.55,TCAP,Banking,26.250000000000007
2020-01-10,60.46,36.68,97.13,23.78,23.11,TCAP,Banking,50.03000000000001
2020-01-13,60.1,43.57,103.67,16.53,29.68,TCAP,Banking,66.56
2020-01-14,65.14,59.04,124.19,6.1,31.41,TCAP,Banking,72.66
2020-01-15,46.75,34.51,81.27,12.24,23.66,TCAP,Banking,84.89999999999999
2020-01-16,21.59,14.73,36.31,6.86,10.83,TCAP,Banking,91.75999999999999
2020-01-17,113.97,122.68,236.66,-8.71,27.4,TCAP,Banking,83.04999999999998
2020-01-20,46.26,36.06,82.32,10.2,30.3,TCAP,Banking,93.24999999999999
2020-01-21,36.12,43.64,79.77,-7.52,22.51,TCAP,Banking,85.72999999999999
2020-01-22,107.55,117.29,224.84,-9.73,27.58,TCAP,Banking,75.99999999999999
2020-01-23,27.85,90.69,118.54,-62.84,21.6,TCAP,Banking,13.159999999999982
2020-01-24,30.62,22.5,53.12,8.11,24.29,TCAP,Banking,21.269999999999982
2020-01-27,111.26,50.15,161.42,61.11,32.7,TCAP,Banking,82.37999999999998
2020-01-28,45.18,41.29,86.48,3.89,30.33,TCAP,Banking,86.26999999999998
2020-01-29,69.29,44.48,113.78,24.81,36.78,TCAP,Banking,111.07999999999998
2020-01-30,83.8,82.35,166.16,1.45,30.32,TCAP,Banking,112.52999999999999
2020-01-31,345.67,300.16,645.83,45.51,57.84,TCAP,Banking,158.04
2020-02-03,114.33,92.62,206.95,21.71,44.86,TCAP,Banking,179.75
2020-02-04,53.49,66.6,120.08,-13.11,38.2,TCAP,Banking,166.64
2020-02-05,107.17,124.43,231.6,-17.26,20.0,TCAP,Banking,149.38
2020-02-06,147.55,149.85,297.4,-2.29,25.02,TCAP,Banking,147.09
2020-02-07,535.31,389.76,925.07,145.54,36.39,TCAP,Banking,292.63
2020-02-11,125.01,85.88,210.89,39.13,18.0,TCAP,Banking,331.76
2020-02-12,107.53,53.91,161.44,53.62,25.42,TCAP,Banking,385.38
2020-02-13,100.07,64.69,164.76,35.39,26.67,TCAP,Banking,420.77
2020-02-14,186.66,105.92,292.58,80.73,29.62,TCAP,Banking,501.5
2020-02-17,39.17,62.72,101.89,-23.54,21.07,TCAP,Banking,477.96
2020-02-18,50.72,45.85,96.56,4.87,28.13,TCAP,Banking,482.83
2020-02-19,124.19,52.48,176.67,71.71,39.92,TCAP,Banking,554.54
2020-02-20,28.35,29.6,57.96,-1.25,12.47,TCAP,Banking,553.29
2020-02-21,122.82,52.85,175.67,69.98,32.46,TCAP,Banking,623.27
2020-02-24,97.11,103.27,200.38,-6.16,16.61,TCAP,Banking,617.11
2020-02-25,45.78,94.55,140.32,-48.77,16.87,TCAP,Banking,568.34
2020-02-26,110.42,282.2,392.62,-171.78,25.35,TCAP,Banking,396.56000000000006
2020-02-27,101.77,115.77,217.54,-14.0,29.21,TCAP,Banking,382.56000000000006
2020-02-28,112.73,100.77,213.5,11.96,19.33,TCAP,Banking,394.52000000000004
2020-03-02,133.55,307.02,440.57,-173.47,31.78,TCAP,Banking,221.05000000000004
2020-03-03,60.51,170.35,230.85,-109.84,23.99,TCAP,Banking,111.21000000000004
2020-03-04,95.74,245.08,340.82,-149.34,25.31,TCAP,Banking,-38.12999999999997
2020-03-05,29.23,96.77,126.0,-67.55,18.42,TCAP,Banking,-105.67999999999996
2020-03-06,72.28,195.49,267.77,-123.21,24.27,TCAP,Banking,-228.88999999999996
2020-03-09,96.78,444.76,541.54,-347.98,33.01,TCAP,Banking,-576.87
2020-03-10,95.23,253.87,349.09,-158.64,28.53,TCAP,Banking,-735.51
2020-03-11,106.34,268.89,375.23,-162.56,29.46,TCAP,Banking,-898.0699999999999
2020-03-12,248.69,273.03,521.72,-24.33,34.1,TCAP,Banking,-922.4
2020-03-13,150.29,233.59,383.88,-83.29,34.14,TCAP,Banking,-1005.6899999999999
2020-03-16,98.97,87.9,186.87,11.08,30.82,TCAP,Banking,-994.6099999999999
2020-03-17,177.14,201.45,378.59,-24.3,29.15,TCAP,Banking,-1018.9099999999999
2020-03-18,114.02,95.41,209.43,18.61,25.29,TCAP,Banking,-1000.2999999999998
2020-03-19,32.92,37.21,70.13,-4.29,24.0,TCAP,Banking,-1004.5899999999998
2020-03-20,57.31,188.56,245.87,-131.25,28.92,TCAP,Banking,-1135.8399999999997
2020-03-23,46.21,54.61,100.81,-8.4,30.37,TCAP,Banking,-1144.2399999999998
2020-03-24,26.06,53.54,79.61,-27.48,28.0,TCAP,Banking,-1171.7199999999998
2020-03-25,58.19,55.3,113.49,2.89,19.14,TCAP,Banking,-1168.8299999999997
2020-03-26,110.43,97.32,207.75,13.11,35.12,TCAP,Banking,-1155.7199999999998
2020-03-27,114.37,123.08,237.45,-8.7,24.56,TCAP,Banking,-1164.4199999999998
2020-03-30,31.55,69.78,101.33,-38.23,25.31,TCAP,Banking,-1202.6499999999999
2020-03-31,87.35,138.57,225.91,-51.22,40.88,TCAP,Banking,-1253.87
2020-04-01,17.79,46.03,63.82,-28.24,16.73,TCAP,Banking,-1282.11
2020-04-02,51.25,24.24,75.49,27.01,18.84,TCAP,Banking,-1255.1
2020-04-03,23.79,66.47,90.26,-42.68,24.57,TCAP,Banking,-1297.78
2020-04-07,210.97,78.03,289.01,132.94,22.51,TCAP,Banking,-1164.84
2020-04-08,223.77,164.49,388.26,59.29,32.42,TCAP,Banking,-1105.55
2020-04-09,95.8,150.11,245.91,-54.32,15.55,TCAP,Banking,-1159.87
2020-04-10,37.73,78.32,116.04,-40.59,17.76,TCAP,Banking,-1200.4599999999998
2020-04-13,34.23,41.86,76.09,-7.63,11.57,TCAP,Banking,-1208.09
2020-04-14,67.12,64.65,131.77,2.47,21.4,TCAP,Banking,-1205.62
2020-04-15,90.69,82.44,173.14,8.25,32.36,TCAP,Banking,-1197.37
2020-04-16,29.24,74.61,103.85,-45.37,33.3,TCAP,Banking,-1242.7399999999998
2020-04-17,42.01,68.79,110.81,-26.78,39.42,TCAP,Banking,-1269.5199999999998
2020-04-20,50.9,75.29,126.19,-24.4,26.27,TCAP,Banking,-1293.9199999999998
2020-04-21,20.76,57.31,78.08,-36.55,23.81,TCAP,Banking,-1330.4699999999998
2020-04-22,63.45,40.76,104.2,22.69,23.75,TCAP,Banking,-1307.7799999999997
2020-04-23,75.32,37.25,112.57,38.07,38.11,TCAP,Banking,-1269.7099999999998
2020-04-24,38.76,59.71,98.47,-20.95,28.15,TCAP,Banking,-1290.6599999999999
2020-04-27,30.05,27.14,57.19,2.91,27.92,TCAP,Banking,-1287.7499999999998
2020-04-28,68.12,36.21,104.33,31.9,31.93,TCAP,Banking,-1255.8499999999997
2020-04-29,73.14,17.52,90.67,55.62,31.72,TCAP,Banking,-1200.2299999999998
2020-04-30,132.97,78.26,211.23,54.72,32.36,TCAP,Banking,-1145.5099999999998
2020-05-05,8.93,47.27,56.2,-38.34,23.12,TCAP,Banking,-1183.8499999999997
2020-05-07,15.28,53.66,68.93,-38.38,16.96,TCAP,Banking,-1222.2299999999998
2020-05-08,44.76,21.84,66.61,22.92,20.18,TCAP,Banking,-1199.3099999999997
2020-05-11,40.4,26.63,67.03,13.77,18.94,TCAP,Banking,-1185.5399999999997
2020-05-12,74.9,31.17,106.07,43.73,19.98,TCAP,Banking,-1141.8099999999997
2020-05-13,138.13,58.89,197.02,79.24,31.41,TCAP,Banking,-1062.5699999999997
2020-05-14,35.96,33.53,69.49,2.43,15.42,TCAP,Banking,-1060.1399999999996
2020-05-15,56.29,24.14,80.44,32.15,12.99,TCAP,Banking,-1027.9899999999996
2020-05-18,50.58,96.72,147.3,-46.14,22.89,TCAP,Banking,-1074.1299999999997
2020-05-19,65.87,25.63,91.49,40.24,19.14,TCAP,Banking,-1033.8899999999996
2020-05-20,93.03,92.07,185.1,0.96,22.37,TCAP,Banking,-1032.9299999999996
2020-05-21,78.0,130.0,208.01,-52.0,26.47,TCAP,Banking,-1084.9299999999996
2020-05-22,87.2,69.3,156.49,17.9,28.94,TCAP,Banking,-1067.0299999999995
2020-05-25,7.97,10.52,18.49,-2.55,8.56,TCAP,Banking,-1069.5799999999995
2020-05-26,52.7,61.3,114.0,-8.6,14.06,TCAP,Banking,-1078.1799999999994
2020-05-27,186.3,64.0,250.3,122.3,23.44,TCAP,Banking,-955.8799999999994
2020-05-28,113.02,51.76,164.78,61.26,20.53,TCAP,Banking,-894.6199999999994
2020-05-29,120.79,169.04,289.83,-48.25,32.9,TCAP,Banking,-942.8699999999994
2020-06-01,169.71,97.87,267.58,71.83,22.07,TCAP,Banking,-871.0399999999994
2020-06-02,66.54,60.66,127.2,5.88,14.3,TCAP,Banking,-865.1599999999994
2020-06-04,195.46,230.01,425.47,-34.55,19.13,TCAP,Banking,-899.7099999999994
2020-06-05,137.7,167.37,305.07,-29.67,19.71,TCAP,Banking,-929.3799999999993
2020-06-08,68.7,131.05,199.74,-62.35,19.14,TCAP,Banking,-991.7299999999993
2020-06-09,70.55,74.7,145.26,-4.15,16.22,TCAP,Banking,-995.8799999999993
2020-06-10,80.79,33.93,114.73,46.86,25.32,TCAP,Banking,-949.0199999999993
2020-06-11,97.13,77.17,174.31,19.96,25.91,TCAP,Banking,-929.0599999999993
2020-06-12,81.15,27.48,108.62,53.67,20.25,TCAP,Banking,-875.3899999999993
2020-06-15,100.33,128.39,228.72,-28.05,32.13,TCAP,Banking,-903.4399999999993
2020-06-16,65.4,35.32,100.72,30.09,24.94,TCAP,Banking,-873.3499999999992
2020-06-17,98.02,204.96,302.98,-106.95,42.15,TCAP,Banking,-980.2999999999993
2020-06-18,103.04,121.33,224.37,-18.3,28.16,TCAP,Banking,-998.5999999999992
2020-06-19,68.45,54.91,123.36,13.54,22.88,TCAP,Banking,-985.0599999999993
2020-06-22,109.04,33.46,142.5,75.58,19.48,TCAP,Banking,-909.4799999999992
2020-06-23,111.92,44.23,156.15,67.69,29.75,TCAP,Banking,-841.7899999999993
2020-06-24,78.97,89.79,168.76,-10.83,36.04,TCAP,Banking,-852.6199999999993
2020-06-25,30.34,45.34,75.69,-15.0,24.76,TCAP,Banking,-867.6199999999993
2020-06-26,15.09,43.16,58.25,-28.07,19.79,TCAP,Banking,-895.6899999999994
2020-06-29,57.53,74.21,131.74,-16.69,32.38,TCAP,Banking,-912.3799999999994
2020-06-30,92.76,105.6,198.35,-12.84,32.15,TCAP,Banking,-925.2199999999995
2020-07-01,36.0,34.76,70.76,1.24,36.16,TCAP,Banking,-923.9799999999994
2020-07-02,56.63,57.65,114.28,-1.02,32.19,TCAP,Banking,-924.9999999999994
2020-07-03,9.74,14.08,23.82,-4.34,15.64,TCAP,Banking,-929.3399999999995
2020-07-07,115.27,98.63,213.89,16.64,34.02,TCAP,Banking,-912.6999999999995
2020-07-08,68.81,37.59,106.4,31.22,25.41,TCAP,Banking,-881.4799999999994
2020-07-09,292.13,259.2,551.33,32.92,80.29,TCAP,Banking,-848.5599999999995
2020-07-10,57.59,55.68,113.27,1.91,16.48,TCAP,Banking,-846.6499999999995
2020-07-13,85.24,67.61,152.85,17.64,29.85,TCAP,Banking,-829.0099999999995
2020-07-14,137.42,80.27,217.68,57.15,25.28,TCAP,Banking,-771.8599999999996
2020-07-15,95.5,34.88,130.38,60.62,30.15,TCAP,Banking,-711.2399999999996
2020-07-16,101.86,78.93,180.79,22.93,37.67,TCAP,Banking,-688.3099999999996
2020-07-17,11.14,25.89,37.03,-14.75,25.19,TCAP,Banking,-703.0599999999996
