symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb
KBANK,Banking,1546,990972.97,941605.3799999999,1932578.2700000003,49367.52999999999
PTTEP,Energy,1546,791125.95,742242.93,1533369.18,48882.81
CPALL,Commerce,1546,798182.72,759938.65,1558121.51,38244.0
DELTA,Etron,1546,823289.0,792482.28,1615771.29,30807.020000000004
PTT,Energy,1546,961635.72,934519.76,1896155.3099999998,27115.749999999996
BDMS,Helth,1546,535609.32,509031.94999999995,1044641.0,26577.14
ADVANC,ICT,1546,724651.9099999999,701072.4,1425724.36,23579.65
KTB,Banking,1546,405031.13,381966.85,786998.41,23064.300000000003
EA,Energy,1545,359435.97,342565.87,702001.72,16870.14
TRUE,ICT,778,343981.4,327340.83,671322.23,16640.41
TOP,Energy,1546,301507.29,286364.38,587871.82,15143.109999999999
BBL,Banking,1546,526018.67,511496.36,1037514.73,14522.45
BH,Helth,1546,288738.70999999996,277145.47,565884.05,11593.09
SCGP,Packaging,1349,177396.84,165945.36,343341.98,11451.86
CRC,Commerce,1512,215206.09,204046.03999999998,419252.35,11160.09
CPN,Property,1546,264184.64,253710.72000000003,517895.60000000003,10473.78
OR,Energy,1275,171336.12999999998,161009.84,332345.99000000005,10326.21
PTTGC,Petro,1546,376822.95999999996,366630.18,743453.01,10192.74
BANPU,Energy,1546,285551.25,275672.35,561224.0,9878.66
AOT,Trans,1546,741427.74,731700.72,1473128.46,9726.86
SCC,Conmat,1546,418049.4,408656.05,826705.49,9393.360000000002
IVL,Petro,1546,317340.77999999997,307994.19,625334.8400000001,9346.990000000002
TISCO,Banking,1546,186282.43,177346.71000000002,363629.27,8935.78
TTB,Banking,1546,192364.26,183577.66,375941.66,8786.83
SCB,Banking,986,344668.38999999996,336225.32999999996,680893.71,8443.23
KCE,Etron,1546,239580.26,231426.51,471006.67000000004,8153.859999999999
OSP,Food,1546,142501.8,134685.03,277186.99,7816.89
CPF,Food,1546,322462.5,314871.41,637334.1499999999,7591.039999999998
STGT,Person,1422,90625.39,83112.4,173737.84,7512.820000000001
BCP,Energy,1546,92338.1,85806.85,178144.82,6531.23
KKP,Banking,1546,101642.43,96159.01,197801.41000000003,5483.39
AWC,Property,1546,112725.04999999999,107492.17,220217.27000000002,5232.889999999999
AMATA,Property,1546,69264.66,64393.14,133657.87,4871.54
CBG,Food,1546,200971.30000000002,196144.86,397116.23,4826.18
WHA,Property,1546,119020.24999999999,114258.15,233278.15000000002,4762.040000000001
HANA,Etron,1546,199174.08000000002,194934.66,394108.72,4239.68
BGRIM,Energy,1546,166901.34999999998,162704.33000000002,329605.67000000004,4197.0599999999995
TFG,Food,1546,22657.809999999998,18862.600000000002,41520.35,3795.43
VGI,Media,1546,54778.68,51277.96,106056.51999999999,3500.5
