sector,total_net_mb,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,symbol_count
Energy,139046.33,1546,4034174.35,3895127.01,7929300.11,17
Banking,117050.66,1546,2812618.03,2695567.94,5508185.69,8
Commerce,56524.86,1546,1578438.23,1521913.64,3100352.38,9
Etron,44305.090000000004,1546,1302359.59,1258055.31,2560414.94,4
Helth,43355.97,1546,984583.56,941227.72,1925811.03,5
ICT,39701.9,1546,1239049.64,1199347.42,2438396.47,5
Food,28663.04,1546,909611.89,880949.48,1790561.45,8
Property,23094.219999999998,1546,886518.33,863424.11,1749942.92,9
Petro,19539.73,1546,694163.74,674624.37,1368787.85,2
Trans,13451.269999999999,1546,1194767.16,1181315.03,2376081.33,8
Packaging,11451.86,1349,177396.84,165945.36,343341.98,1
Conmat,11306.25,1546,481885.85,470579.87,952465.54,3
Finance,7987.280000000001,1546,914045.17,906057.82,1820103.06,7
Person,7512.82,1422,90625.39,83112.4,173737.84,1
Media,4745.63,1546,91456.27,86710.4,178166.52,2
Insurance,3341.46,1546,74823.35,71482.03,146305.05,2
Agri,1970.84,1546,138195.14,136224.37,274419.42,2
Cons,1467.01,1546,43927.04,42459.64,86386.26,2
Tourism,831.1599999999994,1546,357178.31,356346.75,713525.06,3
Professional,531.85,1519,13924.12,13392.76,27316.88,1
Fashion,180.10000000000002,843,3988.18,3808.07,7796.43,1
