date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,5.15,1.47,6.63,3.68,11.52,AAV,Trans,3.68
2020-01-03,1.0,0.98,1.98,0.02,5.1,AAV,Trans,3.7
2020-01-06,5.14,13.93,19.07,-8.78,15.61,AAV,Trans,-5.079999999999999
2020-01-07,2.09,2.34,4.43,-0.25,8.65,AAV,Trans,-5.329999999999999
2020-01-08,2.79,8.19,10.98,-5.4,10.6,AAV,Trans,-10.73
2020-01-09,4.59,1.9,6.49,2.68,10.57,AAV,Trans,-8.05
2020-01-10,1.47,0.71,2.18,0.76,6.41,AAV,Trans,-7.290000000000001
2020-01-13,10.78,5.44,16.22,5.33,19.1,AAV,Trans,-1.9600000000000009
2020-01-14,4.03,4.36,8.39,-0.33,10.65,AAV,Trans,-2.290000000000001
2020-01-15,1.87,0.64,2.51,1.23,10.47,AAV,Trans,-1.060000000000001
2020-01-16,1.14,0.55,1.7,0.59,7.31,AAV,Trans,-0.470000000000001
2020-01-17,2.26,0.51,2.78,1.75,13.79,AAV,Trans,1.279999999999999
2020-01-20,1.31,3.72,5.03,-2.41,8.83,AAV,Trans,-1.1300000000000012
2020-01-21,3.58,8.2,11.78,-4.62,11.18,AAV,Trans,-5.750000000000002
2020-01-22,3.0,12.83,15.83,-9.83,13.78,AAV,Trans,-15.580000000000002
2020-01-23,3.23,1.96,5.19,1.27,14.17,AAV,Trans,-14.310000000000002
2020-01-24,1.62,0.78,2.4,0.83,18.09,AAV,Trans,-13.480000000000002
2020-01-27,4.74,2.33,7.07,2.41,7.14,AAV,Trans,-11.070000000000002
2020-01-28,4.78,11.85,16.64,-7.07,16.99,AAV,Trans,-18.14
2020-01-29,3.93,9.16,13.1,-5.23,11.9,AAV,Trans,-23.37
2020-01-30,3.94,6.0,9.94,-2.06,11.8,AAV,Trans,-25.43
2020-01-31,3.49,7.61,11.1,-4.12,14.41,AAV,Trans,-29.55
2020-02-03,22.28,48.43,70.71,-26.15,18.27,AAV,Trans,-55.7
2020-02-04,43.98,39.18,83.16,4.79,15.54,AAV,Trans,-50.910000000000004
2020-02-05,6.38,22.21,28.59,-15.83,10.33,AAV,Trans,-66.74000000000001
2020-02-06,12.62,8.39,21.01,4.23,7.33,AAV,Trans,-62.510000000000005
2020-02-07,3.08,4.16,7.23,-1.08,6.48,AAV,Trans,-63.59
2020-02-11,7.38,14.17,21.55,-6.79,10.25,AAV,Trans,-70.38000000000001
2020-02-12,11.05,11.79,22.84,-0.74,15.3,AAV,Trans,-71.12
2020-02-13,3.18,1.9,5.08,1.28,10.3,AAV,Trans,-69.84
2020-02-14,1.38,3.15,4.54,-1.77,8.5,AAV,Trans,-71.61
2020-02-17,3.01,4.75,7.76,-1.75,7.46,AAV,Trans,-73.36
2020-02-18,3.1,3.78,6.88,-0.68,7.65,AAV,Trans,-74.04
2020-02-19,6.46,23.58,30.04,-17.12,13.65,AAV,Trans,-91.16000000000001
2020-02-20,7.2,4.36,11.56,2.84,11.94,AAV,Trans,-88.32000000000001
2020-02-21,3.12,9.25,12.38,-6.13,11.17,AAV,Trans,-94.45
2020-02-24,4.85,3.79,8.64,1.06,6.54,AAV,Trans,-93.39
2020-02-25,10.71,6.28,16.99,4.43,14.1,AAV,Trans,-88.96000000000001
2020-02-26,13.39,1.86,15.25,11.53,8.78,AAV,Trans,-77.43
2020-02-27,10.99,2.94,13.93,8.06,13.53,AAV,Trans,-69.37
2020-02-28,7.72,1.46,9.18,6.26,15.66,AAV,Trans,-63.11000000000001
2020-03-02,3.31,5.31,8.62,-2.01,19.36,AAV,Trans,-65.12
2020-03-03,6.37,9.97,16.34,-3.6,10.85,AAV,Trans,-68.72
2020-03-04,3.3,10.07,13.37,-6.77,11.04,AAV,Trans,-75.49
