date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,416.62,386.76,803.39,29.86,31.33,ADVANC,ICT,29.86
2020-01-03,399.53,337.78,737.31,61.75,38.56,ADVANC,ICT,91.61
2020-01-06,323.86,148.33,472.2,175.53,21.04,ADVANC,ICT,267.14
2020-01-07,566.06,284.81,850.87,281.25,26.51,ADVANC,ICT,548.39
2020-01-08,551.62,400.93,952.55,150.69,31.88,ADVANC,ICT,699.0799999999999
2020-01-09,450.96,480.05,931.01,-29.08,23.66,ADVANC,ICT,669.9999999999999
2020-01-10,681.82,513.08,1194.9,168.74,27.38,ADVANC,ICT,838.7399999999999
2020-01-13,774.31,262.59,1036.9,511.73,27.49,ADVANC,ICT,1350.4699999999998
2020-01-14,473.17,285.44,758.61,187.73,30.25,ADVANC,ICT,1538.1999999999998
2020-01-15,396.7,312.9,709.6,83.81,31.63,ADVANC,ICT,1622.0099999999998
2020-01-16,290.81,395.06,685.87,-104.25,39.76,ADVANC,ICT,1517.7599999999998
2020-01-17,467.45,358.92,826.37,108.52,20.73,ADVANC,ICT,1626.2799999999997
2020-01-20,400.84,152.67,553.5,248.17,34.47,ADVANC,ICT,1874.4499999999998
2020-01-21,300.78,290.88,591.66,9.91,32.65,ADVANC,ICT,1884.36
2020-01-22,458.71,478.27,936.99,-19.56,34.07,ADVANC,ICT,1864.8
2020-01-23,241.2,243.5,484.69,-2.3,26.91,ADVANC,ICT,1862.5
2020-01-24,265.7,174.11,439.81,91.59,20.72,ADVANC,ICT,1954.09
2020-01-27,272.79,497.87,770.66,-225.08,27.93,ADVANC,ICT,1729.01
2020-01-28,185.57,519.04,704.61,-333.46,33.14,ADVANC,ICT,1395.55
2020-01-29,559.0,485.83,1044.83,73.18,30.21,ADVANC,ICT,1468.73
2020-01-30,880.78,1565.41,2446.2,-684.63,28.5,ADVANC,ICT,784.1
2020-01-31,538.78,466.34,1005.13,72.44,27.8,ADVANC,ICT,856.54
2020-02-03,442.12,330.98,773.1,111.14,38.26,ADVANC,ICT,967.68
2020-02-04,536.86,373.38,910.24,163.48,33.68,ADVANC,ICT,1131.1599999999999
