date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,8.36,5.07,13.43,3.29,17.46,AEONTS,Finance,3.29
2020-01-03,6.18,4.95,11.14,1.23,16.5,AEONTS,Finance,4.52
2020-01-06,4.51,6.58,11.09,-2.07,16.85,AEONTS,Finance,2.4499999999999997
2020-01-07,3.49,3.7,7.19,-0.21,14.92,AEONTS,Finance,2.2399999999999998
2020-01-08,22.29,12.94,35.23,9.35,18.9,AEONTS,Finance,11.59
2020-01-09,23.22,29.03,52.26,-5.81,8.18,AEONTS,Finance,5.78
2020-01-10,47.58,17.96,65.54,29.62,17.07,AEONTS,Finance,35.4
2020-01-13,94.15,6.96,101.11,87.19,33.94,AEONTS,Finance,122.59
2020-01-14,128.02,12.57,140.59,115.44,31.58,AEONTS,Finance,238.03
2020-01-15,89.53,16.18,105.72,73.35,34.08,AEONTS,Finance,311.38
2020-01-16,26.7,9.05,35.75,17.66,30.38,AEONTS,Finance,329.04
2020-01-17,52.19,2.74,54.93,49.45,22.14,AEONTS,Finance,378.49
2020-01-20,19.46,11.77,31.24,7.69,36.09,AEONTS,Finance,386.18
2020-01-21,41.87,9.9,51.77,31.96,38.14,AEONTS,Finance,418.14
2020-01-22,24.07,8.67,32.74,15.4,21.43,AEONTS,Finance,433.53999999999996
2020-01-23,14.32,3.85,18.17,10.47,44.78,AEONTS,Finance,444.01
2020-01-24,22.17,7.36,29.53,14.81,27.97,AEONTS,Finance,458.82
2020-01-27,4.4,10.97,15.36,-6.57,12.04,AEONTS,Finance,452.25
2020-01-28,10.74,13.88,24.62,-3.15,14.39,AEONTS,Finance,449.1
2020-01-29,7.87,6.71,14.58,1.16,27.73,AEONTS,Finance,450.26000000000005
2020-01-30,4.79,2.21,7.0,2.58,25.39,AEONTS,Finance,452.84000000000003
2020-01-31,3.97,4.41,8.39,-0.44,31.22,AEONTS,Finance,452.40000000000003
2020-02-03,2.31,9.34,11.65,-7.03,20.58,AEONTS,Finance,445.37000000000006
2020-02-04,23.76,18.86,42.62,4.9,14.79,AEONTS,Finance,450.27000000000004
2020-02-05,33.54,57.06,90.6,-23.52,23.64,AEONTS,Finance,426.75000000000006
2020-02-06,29.28,9.99,39.28,19.29,21.1,AEONTS,Finance,446.0400000000001
2020-02-07,4.22,8.64,12.86,-4.42,15.02,AEONTS,Finance,441.62000000000006
2020-02-11,4.9,9.77,14.66,-4.87,19.68,AEONTS,Finance,436.75000000000006
2020-02-12,30.67,29.27,59.94,1.4,29.38,AEONTS,Finance,438.15000000000003
2020-02-13,10.2,8.78,18.98,1.42,15.84,AEONTS,Finance,439.57000000000005
2020-02-14,55.92,15.49,71.41,40.43,17.71,AEONTS,Finance,480.00000000000006
2020-02-17,45.71,19.1,64.81,26.61,22.92,AEONTS,Finance,506.61000000000007
2020-02-18,6.15,20.22,26.37,-14.07,14.3,AEONTS,Finance,492.5400000000001
2020-02-19,9.25,26.13,35.38,-16.88,16.24,AEONTS,Finance,475.6600000000001
2020-02-20,0.94,9.9,10.83,-8.96,14.92,AEONTS,Finance,466.7000000000001
2020-02-21,5.32,8.41,13.73,-3.09,19.69,AEONTS,Finance,463.6100000000001
2020-02-24,3.05,12.98,16.03,-9.93,25.73,AEONTS,Finance,453.6800000000001
2020-02-25,7.32,15.64,22.97,-8.32,20.5,AEONTS,Finance,445.3600000000001
2020-02-26,9.37,9.48,18.85,-0.11,13.77,AEONTS,Finance,445.2500000000001
2020-02-27,18.85,5.38,24.23,13.47,14.37,AEONTS,Finance,458.72000000000014
2020-02-28,10.12,8.7,18.82,1.41,24.76,AEONTS,Finance,460.13000000000017
2020-03-02,12.27,23.28,35.54,-11.01,32.16,AEONTS,Finance,449.1200000000002
2020-03-03,13.57,8.86,22.43,4.71,20.08,AEONTS,Finance,453.83000000000015
2020-03-04,6.41,5.31,11.72,1.11,30.85,AEONTS,Finance,454.94000000000017
2020-03-05,6.22,7.42,13.64,-1.2,12.98,AEONTS,Finance,453.7400000000002
2020-03-06,1.53,5.89,7.42,-4.37,25.03,AEONTS,Finance,449.3700000000002
2020-03-09,8.54,11.75,20.29,-3.2,18.34,AEONTS,Finance,446.1700000000002
2020-03-10,10.41,11.73,22.14,-1.32,22.06,AEONTS,Finance,444.8500000000002
2020-03-11,30.77,10.09,40.86,20.68,39.04,AEONTS,Finance,465.5300000000002
2020-03-12,14.64,14.74,29.37,-0.1,19.4,AEONTS,Finance,465.4300000000002
2020-03-13,20.98,17.57,38.55,3.4,18.82,AEONTS,Finance,468.83000000000015
2020-03-16,13.06,9.83,22.89,3.22,43.44,AEONTS,Finance,472.0500000000002
2020-03-17,13.83,10.82,24.65,3.01,62.48,AEONTS,Finance,475.0600000000002
2020-03-18,21.01,25.33,46.34,-4.32,49.29,AEONTS,Finance,470.7400000000002
2020-03-19,16.85,7.68,24.53,9.18,39.89,AEONTS,Finance,479.9200000000002
2020-03-20,26.51,6.62,33.13,19.88,36.31,AEONTS,Finance,499.8000000000002
2020-03-23,12.02,3.11,15.12,8.91,25.8,AEONTS,Finance,508.7100000000002
