date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,20.2,30.94,51.13,-10.74,12.64,AMATA,Property,-10.74
2020-01-03,28.7,19.54,48.24,9.15,14.34,AMATA,Property,-1.5899999999999999
2020-01-06,51.38,26.37,77.75,25.01,12.6,AMATA,Property,23.42
2020-01-07,33.62,17.18,50.8,16.44,16.36,AMATA,Property,39.86
2020-01-08,48.7,25.45,74.15,23.25,16.13,AMATA,Property,63.11
2020-01-09,59.9,18.0,77.9,41.9,16.92,AMATA,Property,105.00999999999999
2020-01-10,42.6,35.75,78.34,6.85,13.5,AMATA,Property,111.85999999999999
2020-01-13,37.14,19.25,56.39,17.89,13.23,AMATA,Property,129.75
2020-01-14,27.09,6.53,33.61,20.56,14.66,AMATA,Property,150.31
2020-01-15,33.78,16.89,50.67,16.89,19.43,AMATA,Property,167.2
2020-01-16,29.83,14.97,44.8,14.85,11.81,AMATA,Property,182.04999999999998
2020-01-17,26.15,13.49,39.64,12.66,18.64,AMATA,Property,194.70999999999998
2020-01-20,11.66,32.18,43.83,-20.52,12.35,AMATA,Property,174.18999999999997
2020-01-21,31.36,6.42,37.78,24.94,13.17,AMATA,Property,199.12999999999997
2020-01-22,54.13,55.75,109.88,-1.63,11.64,AMATA,Property,197.49999999999997
2020-01-23,92.76,11.3,104.06,81.46,13.87,AMATA,Property,278.96
2020-01-24,60.09,15.84,75.92,44.25,14.59,AMATA,Property,323.21
2020-01-27,28.2,21.7,49.89,6.5,8.88,AMATA,Property,329.71
2020-01-28,43.05,31.83,74.88,11.23,15.07,AMATA,Property,340.94
2020-01-29,35.26,46.04,81.3,-10.77,21.86,AMATA,Property,330.17
2020-01-30,14.92,3.4,18.31,11.52,11.78,AMATA,Property,341.69
2020-01-31,14.53,20.65,35.18,-6.12,16.8,AMATA,Property,335.57
2020-02-03,24.05,17.25,41.3,6.81,14.59,AMATA,Property,342.38
2020-02-04,37.76,10.12,47.88,27.63,19.03,AMATA,Property,370.01
2020-02-05,19.8,38.39,58.19,-18.6,12.01,AMATA,Property,351.40999999999997
2020-02-06,47.77,62.82,110.59,-15.05,24.76,AMATA,Property,336.35999999999996
2020-02-07,38.56,64.51,103.08,-25.95,19.29,AMATA,Property,310.40999999999997
2020-02-11,17.26,35.58,52.84,-18.31,25.03,AMATA,Property,292.09999999999997
2020-02-12,65.68,40.2,105.89,25.48,20.6,AMATA,Property,317.58
2020-02-13,20.58,21.99,42.57,-1.42,17.67,AMATA,Property,316.15999999999997
2020-02-14,42.22,31.31,73.53,10.91,9.53,AMATA,Property,327.07
2020-02-17,13.25,32.58,45.83,-19.34,14.97,AMATA,Property,307.73
2020-02-18,11.32,29.2,40.53,-17.88,9.42,AMATA,Property,289.85
2020-02-19,41.37,17.13,58.5,24.24,12.77,AMATA,Property,314.09000000000003
2020-02-20,57.29,12.67,69.96,44.61,20.33,AMATA,Property,358.70000000000005
2020-02-21,35.6,14.81,50.42,20.79,23.89,AMATA,Property,379.49000000000007
2020-02-24,9.66,64.36,74.03,-54.7,17.7,AMATA,Property,324.7900000000001
2020-02-25,29.1,39.12,68.22,-10.02,25.09,AMATA,Property,314.7700000000001
2020-02-26,38.3,36.15,74.45,2.14,20.41,AMATA,Property,316.9100000000001
2020-02-27,45.29,29.67,74.97,15.62,28.51,AMATA,Property,332.5300000000001
2020-02-28,24.05,28.55,52.6,-4.49,22.1,AMATA,Property,328.0400000000001
2020-03-02,15.52,56.93,72.45,-41.41,27.29,AMATA,Property,286.6300000000001
2020-03-03,43.75,25.36,69.11,18.39,23.31,AMATA,Property,305.0200000000001
2020-03-04,72.86,66.73,139.59,6.14,23.88,AMATA,Property,311.1600000000001
2020-03-05,38.55,75.89,114.44,-37.35,21.49,AMATA,Property,273.81000000000006
2020-03-06,35.48,29.31,64.79,6.17,21.09,AMATA,Property,279.9800000000001
2020-03-09,27.68,48.68,76.36,-20.99,30.73,AMATA,Property,258.99000000000007
2020-03-10,43.29,46.69,89.98,-3.4,23.4,AMATA,Property,255.59000000000006
2020-03-11,17.15,17.55,34.7,-0.4,23.07,AMATA,Property,255.19000000000005
2020-03-12,31.25,25.36,56.61,5.89,18.04,AMATA,Property,261.08000000000004
2020-03-13,54.65,48.0,102.65,6.65,21.82,AMATA,Property,267.73
2020-03-16,25.8,35.07,60.87,-9.26,3.94,AMATA,Property,258.47
2020-03-17,12.99,22.72,35.71,-9.73,23.7,AMATA,Property,248.74000000000004
2020-03-18,24.54,42.24,66.78,-17.69,34.3,AMATA,Property,231.05000000000004
2020-03-19,19.76,24.93,44.7,-5.17,22.31,AMATA,Property,225.88000000000005
