date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,191.89,223.94,415.84,-32.05,24.11,AOT,Trans,-32.05
2020-01-03,367.71,210.44,578.15,157.28,17.18,AOT,Trans,125.23
2020-01-06,898.61,404.15,1302.76,494.45,21.77,AOT,Trans,619.68
2020-01-07,288.83,180.54,469.37,108.29,21.67,AOT,Trans,727.9699999999999
2020-01-08,580.73,211.46,792.19,369.27,24.83,AOT,Trans,1097.2399999999998
2020-01-09,404.2,339.74,743.95,64.46,27.79,AOT,Trans,1161.6999999999998
2020-01-10,210.71,105.51,316.22,105.2,29.46,AOT,Trans,1266.8999999999999
2020-01-13,459.63,134.71,594.35,324.92,26.78,AOT,Trans,1591.82
2020-01-14,516.74,537.42,1054.16,-20.69,21.86,AOT,Trans,1571.1299999999999
2020-01-15,318.99,261.31,580.29,57.68,30.97,AOT,Trans,1628.81
2020-01-16,212.9,123.14,336.04,89.76,36.06,AOT,Trans,1718.57
2020-01-17,171.83,170.57,342.4,1.26,26.76,AOT,Trans,1719.83
2020-01-20,573.16,305.54,878.69,267.62,39.43,AOT,Trans,1987.4499999999998
2020-01-21,557.2,1088.93,1646.13,-531.72,19.14,AOT,Trans,1455.7299999999998
2020-01-22,828.65,670.62,1499.27,158.03,20.04,AOT,Trans,1613.7599999999998
2020-01-23,408.8,453.75,862.54,-44.95,23.42,AOT,Trans,1568.8099999999997
2020-01-24,421.84,606.44,1028.27,-184.6,35.6,AOT,Trans,1384.2099999999998
2020-01-27,1159.78,1248.76,2408.54,-88.98,17.95,AOT,Trans,1295.2299999999998
2020-01-28,634.28,1021.99,1656.27,-387.72,13.78,AOT,Trans,907.5099999999998
2020-01-29,1135.45,1315.81,2451.26,-180.36,26.55,AOT,Trans,727.1499999999997
2020-01-30,977.98,564.85,1542.83,413.14,34.15,AOT,Trans,1140.2899999999997
2020-01-31,567.37,1023.78,1591.15,-456.41,26.35,AOT,Trans,683.8799999999997
2020-02-03,961.44,623.36,1584.8,338.08,30.41,AOT,Trans,1021.9599999999996
2020-02-04,514.37,880.75,1395.12,-366.38,22.47,AOT,Trans,655.5799999999996
2020-02-05,676.95,907.8,1584.75,-230.86,23.86,AOT,Trans,424.7199999999996
2020-02-06,472.32,555.47,1027.79,-83.15,25.14,AOT,Trans,341.5699999999996
2020-02-07,688.22,418.06,1106.28,270.16,21.99,AOT,Trans,611.7299999999996
2020-02-11,725.91,381.09,1107.0,344.82,26.69,AOT,Trans,956.5499999999995
2020-02-12,472.88,412.0,884.88,60.88,29.88,AOT,Trans,1017.4299999999995
2020-02-13,426.11,281.51,707.62,144.6,27.64,AOT,Trans,1162.0299999999995
2020-02-14,282.3,256.66,538.96,25.64,22.5,AOT,Trans,1187.6699999999996
2020-02-17,228.74,277.87,506.6,-49.13,14.56,AOT,Trans,1138.5399999999995
2020-02-18,1064.0,317.85,1381.85,746.16,25.69,AOT,Trans,1884.6999999999994
2020-02-19,927.21,498.43,1425.64,428.78,16.12,AOT,Trans,2313.4799999999996
2020-02-20,2675.56,2800.77,5476.33,-125.21,22.97,AOT,Trans,2188.2699999999995
2020-02-21,545.05,1239.34,1784.38,-694.29,24.89,AOT,Trans,1493.9799999999996
2020-02-24,675.45,861.85,1537.31,-186.4,20.88,AOT,Trans,1307.5799999999995
2020-02-25,1972.25,1574.04,3546.3,398.21,39.69,AOT,Trans,1705.7899999999995
2020-02-26,1221.61,1282.39,2503.99,-60.78,23.57,AOT,Trans,1645.0099999999995
2020-02-27,1346.83,953.0,2299.83,393.83,29.32,AOT,Trans,2038.8399999999995
2020-02-28,927.96,966.96,1894.91,-39.0,33.91,AOT,Trans,1999.8399999999995
2020-03-02,891.01,982.75,1873.76,-91.75,31.89,AOT,Trans,1908.0899999999995
2020-03-03,780.33,970.66,1750.99,-190.34,34.97,AOT,Trans,1717.7499999999995
2020-03-04,868.97,631.05,1500.01,237.92,34.09,AOT,Trans,1955.6699999999996
2020-03-05,779.76,790.41,1570.16,-10.65,25.33,AOT,Trans,1945.0199999999995
2020-03-06,552.42,529.9,1082.33,22.52,35.14,AOT,Trans,1967.5399999999995
2020-03-09,695.31,884.12,1579.43,-188.82,32.55,AOT,Trans,1778.7199999999996
2020-03-10,693.0,947.75,1640.75,-254.75,36.82,AOT,Trans,1523.9699999999996
2020-03-11,691.85,903.7,1595.55,-211.86,35.55,AOT,Trans,1312.1099999999997
2020-03-12,2176.5,2105.49,4281.99,71.0,30.28,AOT,Trans,1383.1099999999997
2020-03-13,2271.2,3031.46,5302.66,-760.27,36.72,AOT,Trans,622.8399999999997
2020-03-16,1083.74,1507.11,2590.86,-423.37,37.17,AOT,Trans,199.4699999999997
2020-03-17,784.98,928.96,1713.94,-143.98,33.55,AOT,Trans,55.4899999999997
2020-03-18,854.71,840.95,1695.66,13.75,32.95,AOT,Trans,69.2399999999997
2020-03-19,716.89,664.31,1381.2,52.58,27.35,AOT,Trans,121.8199999999997
2020-03-20,1086.3,837.01,1923.31,249.28,26.89,AOT,Trans,371.0999999999997
2020-03-23,790.03,1195.24,1985.27,-405.2,36.98,AOT,Trans,-34.10000000000031
2020-03-24,1008.5,908.85,1917.35,99.64,29.78,AOT,Trans,65.5399999999997
2020-03-25,986.54,846.07,1832.61,140.48,35.35,AOT,Trans,206.0199999999997
2020-03-26,883.45,646.75,1530.21,236.7,42.51,AOT,Trans,442.7199999999997
2020-03-27,575.24,502.88,1078.11,72.36,28.4,AOT,Trans,515.0799999999997
2020-03-30,506.91,516.67,1023.58,-9.76,31.89,AOT,Trans,505.3199999999997
2020-03-31,433.18,621.21,1054.38,-188.03,28.14,AOT,Trans,317.28999999999974
2020-04-01,463.62,515.24,978.87,-51.62,23.07,AOT,Trans,265.66999999999973
2020-04-02,539.18,533.95,1073.13,5.22,29.68,AOT,Trans,270.88999999999976
2020-04-03,241.08,278.42,519.5,-37.35,35.22,AOT,Trans,233.53999999999976
2020-04-07,1269.86,957.74,2227.6,312.12,26.53,AOT,Trans,545.6599999999997
2020-04-08,657.56,1079.79,1737.36,-422.23,30.12,AOT,Trans,123.42999999999972
2020-04-09,1042.5,896.49,1938.99,146.01,29.18,AOT,Trans,269.4399999999997
2020-04-10,333.5,533.6,867.1,-200.1,31.85,AOT,Trans,69.33999999999972
2020-04-13,618.78,1129.37,1748.16,-510.59,28.04,AOT,Trans,-441.2500000000002
2020-04-14,672.83,565.97,1238.8,106.85,26.52,AOT,Trans,-334.4000000000002
2020-04-15,489.33,604.84,1094.17,-115.52,31.83,AOT,Trans,-449.9200000000002
2020-04-16,515.25,585.29,1100.54,-70.04,37.85,AOT,Trans,-519.9600000000002
2020-04-17,611.22,627.54,1238.76,-16.32,20.89,AOT,Trans,-536.2800000000002
2020-04-20,823.33,1121.93,1945.26,-298.61,21.84,AOT,Trans,-834.8900000000002
2020-04-21,557.25,1039.91,1597.16,-482.66,30.34,AOT,Trans,-1317.5500000000002
2020-04-22,759.93,910.38,1670.31,-150.44,29.85,AOT,Trans,-1467.9900000000002
2020-04-23,646.48,698.29,1344.77,-51.82,31.26,AOT,Trans,-1519.8100000000002
2020-04-24,598.31,778.22,1376.53,-179.91,33.32,AOT,Trans,-1699.7200000000003
2020-04-27,242.28,271.07,513.35,-28.8,31.0,AOT,Trans,-1728.5200000000002
2020-04-28,628.38,439.05,1067.43,189.33,28.2,AOT,Trans,-1539.1900000000003
2020-04-29,199.97,174.35,374.32,25.62,25.2,AOT,Trans,-1513.5700000000004
2020-04-30,644.84,1108.24,1753.08,-463.4,26.71,AOT,Trans,-1976.9700000000003
2020-05-05,531.2,729.21,1260.41,-198.01,38.05,AOT,Trans,-2174.9800000000005
2020-05-07,298.4,484.74,783.14,-186.34,29.18,AOT,Trans,-2361.3200000000006
2020-05-08,455.07,618.18,1073.25,-163.11,37.75,AOT,Trans,-2524.4300000000007
2020-05-11,256.88,372.37,629.24,-115.49,24.65,AOT,Trans,-2639.9200000000005
2020-05-12,634.49,549.98,1184.47,84.52,37.21,AOT,Trans,-2555.4000000000005
2020-05-13,216.68,211.1,427.77,5.58,27.91,AOT,Trans,-2549.8200000000006
2020-05-14,190.66,379.41,570.07,-188.75,23.36,AOT,Trans,-2738.5700000000006
2020-05-15,317.77,325.68,643.45,-7.91,28.43,AOT,Trans,-2746.4800000000005
2020-05-18,266.82,344.53,611.35,-77.72,28.39,AOT,Trans,-2824.2000000000003
2020-05-19,753.14,422.27,1175.41,330.86,32.7,AOT,Trans,-2493.34
2020-05-20,223.44,220.13,443.57,3.31,21.67,AOT,Trans,-2490.03
