date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,10.75,16.99,27.74,-6.24,9.04,AP,Property,-6.24
2020-01-03,18.34,12.46,30.8,5.87,11.53,AP,Property,-0.3700000000000001
2020-01-06,12.34,22.35,34.69,-10.01,25.67,AP,Property,-10.379999999999999
2020-01-07,24.8,20.8,45.6,4.0,9.03,AP,Property,-6.379999999999999
2020-01-08,8.56,21.14,29.69,-12.58,9.59,AP,Property,-18.96
2020-01-09,21.08,20.76,41.83,0.32,10.08,AP,Property,-18.64
2020-01-10,19.51,12.81,32.31,6.7,8.37,AP,Property,-11.940000000000001
2020-01-13,10.57,10.68,21.25,-0.11,8.81,AP,Property,-12.05
2020-01-14,25.08,10.43,35.51,14.65,20.34,AP,Property,2.5999999999999996
2020-01-15,26.95,59.91,86.86,-32.95,34.44,AP,Property,-30.35
2020-01-16,16.97,21.03,37.99,-4.06,27.86,AP,Property,-34.410000000000004
2020-01-17,31.7,8.28,39.98,23.42,15.14,AP,Property,-10.990000000000002
2020-01-20,15.64,17.18,32.83,-1.54,13.61,AP,Property,-12.530000000000001
2020-01-21,19.2,30.51,49.72,-11.31,22.0,AP,Property,-23.840000000000003
2020-01-22,11.67,27.94,39.61,-16.27,18.59,AP,Property,-40.11
2020-01-23,4.65,13.24,17.89,-8.58,25.17,AP,Property,-48.69
2020-01-24,2.69,5.79,8.48,-3.11,17.28,AP,Property,-51.8
2020-01-27,15.72,6.34,22.06,9.38,13.04,AP,Property,-42.419999999999995
2020-01-28,1.27,6.93,8.2,-5.65,18.31,AP,Property,-48.06999999999999
2020-01-29,6.28,14.4,20.68,-8.11,27.62,AP,Property,-56.17999999999999
2020-01-30,5.4,6.37,11.77,-0.97,11.61,AP,Property,-57.14999999999999
2020-01-31,12.32,13.08,25.4,-0.76,20.82,AP,Property,-57.90999999999999
2020-02-03,5.95,11.15,17.11,-5.2,13.62,AP,Property,-63.10999999999999
2020-02-04,7.0,10.94,17.94,-3.93,15.18,AP,Property,-67.03999999999999
2020-02-05,11.27,7.84,19.11,3.43,14.78,AP,Property,-63.60999999999999
2020-02-06,6.98,4.94,11.92,2.03,13.67,AP,Property,-61.57999999999999
2020-02-07,4.31,5.71,10.02,-1.4,10.29,AP,Property,-62.97999999999999
2020-02-11,9.59,10.13,19.72,-0.54,21.06,AP,Property,-63.51999999999999
2020-02-12,7.88,6.04,13.93,1.84,19.05,AP,Property,-61.679999999999986
2020-02-13,6.27,2.95,9.22,3.32,25.09,AP,Property,-58.359999999999985
2020-02-14,6.38,5.5,11.88,0.87,17.66,AP,Property,-57.48999999999999
2020-02-17,8.81,2.48,11.29,6.33,14.74,AP,Property,-51.15999999999999
2020-02-18,2.47,6.4,8.87,-3.93,20.35,AP,Property,-55.08999999999999
2020-02-19,10.28,6.36,16.64,3.92,13.96,AP,Property,-51.16999999999999
2020-02-20,2.32,4.57,6.88,-2.25,14.99,AP,Property,-53.41999999999999
2020-02-21,2.48,5.82,8.3,-3.34,11.99,AP,Property,-56.75999999999999
2020-02-24,0.94,12.62,13.57,-11.68,14.6,AP,Property,-68.44
2020-02-25,6.61,24.14,30.75,-17.53,15.24,AP,Property,-85.97
2020-02-26,7.03,22.88,29.91,-15.85,11.08,AP,Property,-101.82
2020-02-27,25.47,35.94,61.42,-10.47,16.69,AP,Property,-112.28999999999999
2020-02-28,11.59,7.47,19.06,4.11,8.89,AP,Property,-108.17999999999999
2020-03-02,6.62,14.02,20.64,-7.4,20.61,AP,Property,-115.58
2020-03-03,4.25,2.03,6.27,2.22,15.05,AP,Property,-113.36
2020-03-04,8.26,8.26,16.52,-0.0,16.4,AP,Property,-113.36
2020-03-05,17.84,27.72,45.57,-9.88,23.65,AP,Property,-123.24
2020-03-06,5.98,13.09,19.07,-7.11,25.79,AP,Property,-130.35
2020-03-09,2.66,14.26,16.92,-11.6,14.59,AP,Property,-141.95
2020-03-10,6.26,30.38,36.64,-24.13,27.05,AP,Property,-166.07999999999998
2020-03-11,8.46,17.39,25.85,-8.93,24.99,AP,Property,-175.01
2020-03-12,27.06,14.53,41.6,12.53,16.32,AP,Property,-162.48
2020-03-13,25.56,19.03,44.59,6.53,21.81,AP,Property,-155.95
2020-03-16,21.51,13.82,35.33,7.69,30.08,AP,Property,-148.26
2020-03-17,15.93,25.38,41.31,-9.45,23.42,AP,Property,-157.70999999999998
