date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,30.62,29.92,60.54,0.69,19.69,AWC,Property,0.69
2020-01-03,42.54,36.95,79.48,5.59,12.72,AWC,Property,6.279999999999999
2020-01-06,51.16,25.1,76.26,26.06,14.96,AWC,Property,32.339999999999996
2020-01-07,16.02,25.76,41.78,-9.74,23.58,AWC,Property,22.599999999999994
2020-01-08,76.08,23.39,99.47,52.7,34.07,AWC,Property,75.3
2020-01-09,70.43,22.12,92.55,48.31,22.22,AWC,Property,123.61
2020-01-10,29.41,24.38,53.79,5.03,29.35,AWC,Property,128.64
2020-01-13,49.6,7.74,57.33,41.86,29.92,AWC,Property,170.5
2020-01-14,15.98,14.35,30.33,1.63,16.52,AWC,Property,172.13
2020-01-15,181.8,43.72,225.52,138.08,11.7,AWC,Property,310.21000000000004
2020-01-16,58.05,94.48,152.53,-36.43,7.05,AWC,Property,273.78000000000003
2020-01-17,48.29,42.75,91.04,5.54,11.65,AWC,Property,279.32000000000005
2020-01-20,48.89,51.5,100.39,-2.61,12.94,AWC,Property,276.71000000000004
2020-01-21,80.55,73.06,153.61,7.5,21.49,AWC,Property,284.21000000000004
2020-01-22,70.03,15.57,85.6,54.46,14.66,AWC,Property,338.67
2020-01-23,59.13,51.86,111.0,7.27,23.88,AWC,Property,345.94
2020-01-24,34.38,12.57,46.95,21.81,9.33,AWC,Property,367.75
2020-01-27,94.19,131.11,225.3,-36.92,16.26,AWC,Property,330.83
2020-01-28,61.68,17.69,79.37,43.99,14.73,AWC,Property,374.82
2020-01-29,98.41,22.66,121.07,75.75,17.3,AWC,Property,450.57
2020-01-30,51.52,45.18,96.7,6.34,19.75,AWC,Property,456.90999999999997
2020-01-31,24.85,17.85,42.71,7.0,17.96,AWC,Property,463.90999999999997
2020-02-03,62.18,15.53,77.71,46.65,24.81,AWC,Property,510.55999999999995
2020-02-04,112.96,81.27,194.23,31.69,25.83,AWC,Property,542.25
2020-02-05,87.94,45.43,133.37,42.5,34.08,AWC,Property,584.75
2020-02-06,112.01,69.52,181.53,42.48,25.06,AWC,Property,627.23
2020-02-07,46.67,18.18,64.85,28.49,26.32,AWC,Property,655.72
2020-02-11,108.86,47.51,156.37,61.34,47.44,AWC,Property,717.0600000000001
2020-02-12,159.47,92.37,251.84,67.09,41.13,AWC,Property,784.1500000000001
2020-02-13,36.5,56.69,93.19,-20.18,22.09,AWC,Property,763.9700000000001
2020-02-14,27.7,23.51,51.2,4.19,19.83,AWC,Property,768.1600000000002
2020-02-17,31.89,9.78,41.66,22.11,21.43,AWC,Property,790.2700000000002
2020-02-18,24.09,20.05,44.14,4.04,16.99,AWC,Property,794.3100000000002
2020-02-19,46.23,44.93,91.16,1.3,39.19,AWC,Property,795.6100000000001
2020-02-20,41.78,7.74,49.52,34.03,28.63,AWC,Property,829.6400000000001
2020-02-21,52.72,30.61,83.33,22.11,41.57,AWC,Property,851.7500000000001
2020-02-24,75.67,37.31,112.98,38.36,18.86,AWC,Property,890.1100000000001
2020-02-25,124.8,37.79,162.6,87.01,25.75,AWC,Property,977.1200000000001
2020-02-26,155.82,67.95,223.78,87.87,28.83,AWC,Property,1064.9900000000002
2020-02-27,114.49,30.48,144.96,84.01,34.31,AWC,Property,1149.0000000000002
2020-02-28,108.15,56.2,164.35,51.95,40.51,AWC,Property,1200.9500000000003
2020-03-02,100.63,29.8,130.44,70.83,28.72,AWC,Property,1271.7800000000002
2020-03-03,105.31,78.65,183.96,26.65,40.04,AWC,Property,1298.4300000000003
2020-03-04,128.95,39.93,168.88,89.02,33.44,AWC,Property,1387.4500000000003
2020-03-05,168.73,73.84,242.57,94.89,42.93,AWC,Property,1482.3400000000004
2020-03-06,52.41,46.34,98.76,6.07,41.12,AWC,Property,1488.4100000000003
2020-03-09,57.3,53.48,110.79,3.82,27.2,AWC,Property,1492.2300000000002
2020-03-10,74.56,76.17,150.73,-1.61,39.29,AWC,Property,1490.6200000000003
2020-03-11,55.58,35.75,91.33,19.83,35.82,AWC,Property,1510.4500000000003
2020-03-12,86.24,151.02,237.26,-64.78,28.63,AWC,Property,1445.6700000000003
2020-03-13,85.55,117.1,202.65,-31.56,24.33,AWC,Property,1414.1100000000004
2020-03-16,110.94,113.55,224.48,-2.61,39.42,AWC,Property,1411.5000000000005
2020-03-17,131.62,104.45,236.07,27.18,35.23,AWC,Property,1438.6800000000005
2020-03-18,128.76,63.67,192.42,65.09,37.04,AWC,Property,1503.7700000000004
2020-03-19,41.08,76.49,117.57,-35.4,22.05,AWC,Property,1468.3700000000003
2020-03-20,66.16,71.43,137.59,-5.27,20.57,AWC,Property,1463.1000000000004
2020-03-23,18.32,33.95,52.27,-15.63,25.9,AWC,Property,1447.4700000000003
2020-03-24,39.13,23.38,62.51,15.75,27.08,AWC,Property,1463.2200000000003
2020-03-25,63.64,23.93,87.58,39.71,29.71,AWC,Property,1502.9300000000003
2020-03-26,81.61,42.29,123.89,39.32,31.16,AWC,Property,1542.2500000000002
2020-03-27,33.3,31.79,65.1,1.51,20.69,AWC,Property,1543.7600000000002
