date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,45.22,41.64,86.86,3.58,1.41,BAM,Finance,3.58
2020-01-03,83.57,60.09,143.66,23.49,2.61,BAM,Finance,27.07
2020-01-06,26.35,4.19,30.55,22.16,0.75,BAM,Finance,49.230000000000004
2020-01-07,190.72,196.99,387.71,-6.28,5.26,BAM,Finance,42.95
2020-01-08,46.22,76.73,122.95,-30.51,1.48,BAM,Finance,12.440000000000001
2020-01-09,15.8,41.02,56.82,-25.22,1.0,BAM,Finance,-12.779999999999998
2020-01-10,72.48,41.97,114.45,30.51,2.05,BAM,Finance,17.730000000000004
2020-01-13,268.81,232.74,501.55,36.07,7.21,BAM,Finance,53.800000000000004
2020-01-14,41.67,5.57,47.24,36.1,1.02,BAM,Finance,89.9
2020-01-15,732.94,309.48,1042.42,423.45,8.7,BAM,Finance,513.35
2020-01-16,47.11,2.0,49.11,45.12,0.73,BAM,Finance,558.47
2020-01-17,36.15,22.71,58.86,13.44,0.96,BAM,Finance,571.9100000000001
2020-01-20,124.64,106.06,230.7,18.58,4.87,BAM,Finance,590.4900000000001
2020-01-21,341.07,244.5,585.56,96.57,4.17,BAM,Finance,687.0600000000002
2020-01-22,66.12,103.36,169.48,-37.24,1.12,BAM,Finance,649.8200000000002
2020-01-23,40.53,45.35,85.88,-4.83,1.22,BAM,Finance,644.9900000000001
2020-01-24,50.43,26.6,77.03,23.82,1.55,BAM,Finance,668.8100000000002
2020-01-27,99.38,116.27,215.65,-16.9,3.21,BAM,Finance,651.9100000000002
2020-01-28,38.71,53.32,92.03,-14.61,1.2,BAM,Finance,637.3000000000002
2020-01-29,35.39,67.19,102.58,-31.8,1.26,BAM,Finance,605.5000000000002
2020-01-30,8.06,6.56,14.62,1.51,0.4,BAM,Finance,607.0100000000002
2020-01-31,37.76,43.33,81.09,-5.57,1.51,BAM,Finance,601.4400000000002
2020-02-03,43.51,15.66,59.16,27.85,1.42,BAM,Finance,629.2900000000002
2020-02-04,29.15,55.59,84.74,-26.44,1.43,BAM,Finance,602.8500000000001
2020-02-05,66.54,55.17,121.71,11.37,1.77,BAM,Finance,614.2200000000001
2020-02-06,73.37,9.35,82.72,64.02,1.86,BAM,Finance,678.2400000000001
2020-02-07,36.99,38.2,75.19,-1.22,1.18,BAM,Finance,677.0200000000001
2020-02-11,302.04,12.09,314.13,289.95,4.92,BAM,Finance,966.97
2020-02-12,90.74,28.51,119.25,62.23,2.4,BAM,Finance,1029.2
2020-02-13,34.39,9.73,44.12,24.66,0.83,BAM,Finance,1053.8600000000001
2020-02-14,125.91,38.19,164.1,87.72,1.0,BAM,Finance,1141.5800000000002
2020-02-17,217.09,283.63,500.72,-66.54,2.54,BAM,Finance,1075.0400000000002
2020-02-18,387.4,351.37,738.78,36.03,7.45,BAM,Finance,1111.0700000000002
2020-02-19,189.88,162.66,352.54,27.21,3.52,BAM,Finance,1138.2800000000002
2020-02-20,192.36,134.73,327.09,57.64,4.72,BAM,Finance,1195.9200000000003
2020-02-21,141.3,45.04,186.35,96.26,2.79,BAM,Finance,1292.1800000000003
2020-02-24,61.57,49.19,110.76,12.38,2.12,BAM,Finance,1304.5600000000004
2020-02-25,211.77,455.27,667.05,-243.5,7.59,BAM,Finance,1061.0600000000004
2020-02-26,80.1,30.51,110.61,49.58,1.48,BAM,Finance,1110.6400000000003
2020-02-27,592.85,270.3,863.15,322.56,12.32,BAM,Finance,1433.2000000000003
2020-02-28,975.03,832.57,1807.6,142.47,9.97,BAM,Finance,1575.6700000000003
2020-03-02,225.36,169.1,394.45,56.26,3.37,BAM,Finance,1631.9300000000003
2020-03-03,114.15,73.86,188.01,40.29,1.73,BAM,Finance,1672.2200000000003
2020-03-04,151.98,68.07,220.05,83.91,2.43,BAM,Finance,1756.1300000000003
2020-03-05,125.1,90.86,215.96,34.25,3.04,BAM,Finance,1790.3800000000003
2020-03-06,140.33,113.54,253.87,26.79,6.23,BAM,Finance,1817.1700000000003
2020-03-09,63.69,52.68,116.37,11.01,1.73,BAM,Finance,1828.1800000000003
2020-03-10,368.02,263.64,631.66,104.37,6.32,BAM,Finance,1932.5500000000002
2020-03-11,132.01,80.6,212.61,51.41,2.66,BAM,Finance,1983.9600000000003
2020-03-12,213.72,232.31,446.03,-18.58,3.51,BAM,Finance,1965.3800000000003
2020-03-13,521.49,478.81,1000.3,42.68,3.32,BAM,Finance,2008.0600000000004
2020-03-16,106.81,175.01,281.82,-68.19,2.97,BAM,Finance,1939.8700000000003
2020-03-17,130.96,172.82,303.78,-41.86,2.53,BAM,Finance,1898.0100000000004
2020-03-18,163.92,165.56,329.47,-1.64,4.5,BAM,Finance,1896.3700000000003
2020-03-19,136.21,257.83,394.04,-121.62,3.83,BAM,Finance,1774.7500000000005
2020-03-20,265.14,205.8,470.94,59.35,4.06,BAM,Finance,1834.1000000000004
2020-03-23,183.25,254.28,437.53,-71.03,4.29,BAM,Finance,1763.0700000000004
2020-03-24,504.42,532.21,1036.64,-27.79,8.4,BAM,Finance,1735.2800000000004
2020-03-25,675.21,679.76,1354.97,-4.54,8.62,BAM,Finance,1730.7400000000005
2020-03-26,236.61,236.69,473.3,-0.09,4.54,BAM,Finance,1730.6500000000005
2020-03-27,148.05,259.98,408.03,-111.93,5.41,BAM,Finance,1618.7200000000005
2020-03-30,264.73,50.41,315.14,214.31,5.99,BAM,Finance,1833.0300000000004
2020-03-31,246.05,233.36,479.41,12.68,5.28,BAM,Finance,1845.7100000000005
2020-04-01,634.03,607.53,1241.55,26.5,8.84,BAM,Finance,1872.2100000000005
2020-04-02,464.99,490.87,955.87,-25.88,9.56,BAM,Finance,1846.3300000000004
2020-04-03,250.54,223.76,474.29,26.78,7.2,BAM,Finance,1873.1100000000004
2020-04-07,864.72,768.62,1633.33,96.1,8.71,BAM,Finance,1969.2100000000003
2020-04-08,305.57,247.68,553.25,57.89,3.65,BAM,Finance,2027.1000000000004
2020-04-09,412.58,412.07,824.65,0.51,6.5,BAM,Finance,2027.6100000000004
2020-04-10,98.25,75.33,173.58,22.92,2.04,BAM,Finance,2050.53
2020-04-13,73.48,107.57,181.05,-34.09,4.11,BAM,Finance,2016.4400000000003
2020-04-14,325.6,127.91,453.51,197.69,5.24,BAM,Finance,2214.13
2020-04-15,97.38,96.8,194.18,0.58,1.7,BAM,Finance,2214.71
2020-04-16,341.77,309.53,651.3,32.24,9.0,BAM,Finance,2246.95
2020-04-17,72.09,78.92,151.01,-6.83,2.41,BAM,Finance,2240.12
2020-04-20,398.96,379.72,778.68,19.23,14.71,BAM,Finance,2259.35
2020-04-21,139.86,98.21,238.07,41.65,9.22,BAM,Finance,2301.0
2020-04-22,275.9,302.68,578.58,-26.79,5.7,BAM,Finance,2274.21
2020-04-23,212.52,236.98,449.5,-24.47,2.98,BAM,Finance,2249.7400000000002
2020-04-24,709.96,703.9,1413.86,6.06,7.73,BAM,Finance,2255.8
2020-04-27,143.97,118.57,262.53,25.4,3.02,BAM,Finance,2281.2000000000003
2020-04-28,135.58,138.2,273.78,-2.62,4.08,BAM,Finance,2278.5800000000004
2020-04-29,236.94,216.51,453.46,20.43,5.41,BAM,Finance,2299.01
2020-04-30,255.79,278.05,533.85,-22.26,3.83,BAM,Finance,2276.75
2020-05-05,139.94,158.28,298.23,-18.34,4.85,BAM,Finance,2258.41
2020-05-07,173.22,172.84,346.06,0.38,5.1,BAM,Finance,2258.79
2020-05-08,221.5,141.48,362.98,80.02,8.78,BAM,Finance,2338.81
2020-05-11,153.43,84.78,238.21,68.65,5.82,BAM,Finance,2407.46
2020-05-12,66.94,61.94,128.88,4.99,2.6,BAM,Finance,2412.45
2020-05-13,345.72,402.41,748.13,-56.69,7.41,BAM,Finance,2355.7599999999998
2020-05-14,99.87,88.6,188.47,11.27,4.11,BAM,Finance,2367.0299999999997
2020-05-15,166.47,72.02,238.49,94.45,8.01,BAM,Finance,2461.4799999999996
2020-05-18,181.47,147.02,328.48,34.45,8.37,BAM,Finance,2495.9299999999994
2020-05-19,90.01,57.68,147.68,32.33,3.21,BAM,Finance,2528.2599999999993
2020-05-20,387.0,330.35,717.35,56.64,7.55,BAM,Finance,2584.899999999999
2020-05-21,288.76,221.45,510.2,67.31,6.1,BAM,Finance,2652.209999999999
2020-05-22,141.96,78.32,220.28,63.64,3.99,BAM,Finance,2715.849999999999
2020-05-25,166.43,124.7,291.12,41.73,4.75,BAM,Finance,2757.579999999999
2020-05-26,351.06,255.06,606.12,96.0,12.45,BAM,Finance,2853.579999999999
2020-05-27,159.8,142.69,302.49,17.1,6.8,BAM,Finance,2870.679999999999
2020-05-28,304.83,238.36,543.18,66.47,6.5,BAM,Finance,2937.1499999999987
2020-05-29,1565.37,1521.53,3086.9,43.84,26.32,BAM,Finance,2980.989999999999
2020-06-01,103.34,79.05,182.39,24.28,5.85,BAM,Finance,3005.269999999999
2020-06-02,201.58,153.99,355.57,47.59,16.22,BAM,Finance,3052.859999999999
2020-06-04,203.02,140.73,343.75,62.29,6.95,BAM,Finance,3115.149999999999
2020-06-05,863.99,793.42,1657.41,70.57,7.88,BAM,Finance,3185.7199999999993
2020-06-08,378.13,329.67,707.79,48.46,4.61,BAM,Finance,3234.1799999999994
2020-06-09,182.95,153.61,336.55,29.34,2.88,BAM,Finance,3263.5199999999995
2020-06-10,148.43,112.28,260.71,36.15,4.59,BAM,Finance,3299.6699999999996
2020-06-11,161.27,54.87,216.14,106.4,2.67,BAM,Finance,3406.0699999999997
2020-06-12,294.45,286.08,580.53,8.37,7.2,BAM,Finance,3414.4399999999996
