date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,87.74,23.48,111.22,64.27,29.27,BANPU,Energy,64.27
2020-01-03,98.31,65.93,164.24,32.38,31.16,BANPU,Energy,96.65
2020-01-06,41.34,81.1,122.44,-39.76,17.59,BANPU,Energy,56.89000000000001
2020-01-07,55.73,39.37,95.1,16.35,25.68,BANPU,Energy,73.24000000000001
2020-01-08,76.55,84.07,160.63,-7.52,11.89,BANPU,Energy,65.72000000000001
2020-01-09,76.37,72.83,149.21,3.54,20.4,BANPU,Energy,69.26000000000002
2020-01-10,48.73,60.96,109.69,-12.23,32.52,BANPU,Energy,57.030000000000015
2020-01-13,53.59,32.67,86.26,20.92,19.58,BANPU,Energy,77.95000000000002
2020-01-14,192.53,149.74,342.27,42.79,22.35,BANPU,Energy,120.74000000000001
2020-01-15,44.32,90.54,134.86,-46.22,17.36,BANPU,Energy,74.52000000000001
2020-01-16,28.26,43.11,71.37,-14.85,20.37,BANPU,Energy,59.67000000000001
2020-01-17,12.81,51.45,64.27,-38.64,22.64,BANPU,Energy,21.03000000000001
2020-01-20,31.36,54.02,85.39,-22.66,14.97,BANPU,Energy,-1.629999999999992
2020-01-21,82.28,77.52,159.8,4.76,26.58,BANPU,Energy,3.130000000000008
2020-01-22,51.33,60.11,111.43,-8.78,17.69,BANPU,Energy,-5.6499999999999915
2020-01-23,84.58,130.38,214.96,-45.81,22.89,BANPU,Energy,-51.459999999999994
2020-01-24,39.82,67.65,107.47,-27.82,34.17,BANPU,Energy,-79.28
2020-01-27,35.58,154.11,189.69,-118.52,14.26,BANPU,Energy,-197.8
2020-01-28,90.56,109.68,200.24,-19.13,24.1,BANPU,Energy,-216.93
2020-01-29,71.92,58.71,130.63,13.21,26.88,BANPU,Energy,-203.72
2020-01-30,72.16,41.88,114.04,30.27,22.21,BANPU,Energy,-173.45
2020-01-31,108.79,111.35,220.14,-2.56,30.23,BANPU,Energy,-176.01
2020-02-03,54.57,74.97,129.53,-20.4,22.8,BANPU,Energy,-196.41
2020-02-04,54.73,49.94,104.67,4.79,16.99,BANPU,Energy,-191.62
2020-02-05,56.71,44.0,100.71,12.71,34.25,BANPU,Energy,-178.91
2020-02-06,71.23,52.21,123.44,19.02,29.98,BANPU,Energy,-159.89
2020-02-07,39.4,37.63,77.03,1.77,30.11,BANPU,Energy,-158.11999999999998
2020-02-11,58.94,35.03,93.97,23.91,21.04,BANPU,Energy,-134.20999999999998
2020-02-12,111.25,41.83,153.07,69.42,31.31,BANPU,Energy,-64.78999999999998
2020-02-13,47.72,9.48,57.2,38.25,17.91,BANPU,Energy,-26.539999999999978
2020-02-14,37.81,23.14,60.94,14.67,19.55,BANPU,Energy,-11.869999999999978
2020-02-17,37.43,17.83,55.26,19.59,21.77,BANPU,Energy,7.720000000000022
2020-02-18,24.44,13.6,38.04,10.83,23.74,BANPU,Energy,18.550000000000022
2020-02-19,75.92,52.28,128.2,23.64,31.04,BANPU,Energy,42.190000000000026
2020-02-20,30.96,42.24,73.2,-11.28,29.53,BANPU,Energy,30.910000000000025
2020-02-21,181.37,327.34,508.71,-145.97,25.85,BANPU,Energy,-115.05999999999997
2020-02-24,147.93,100.65,248.59,47.28,31.62,BANPU,Energy,-67.77999999999997
2020-02-25,107.82,120.11,227.93,-12.29,32.22,BANPU,Energy,-80.06999999999996
2020-02-26,107.82,179.55,287.37,-71.73,33.25,BANPU,Energy,-151.79999999999995
2020-02-27,100.89,110.8,211.69,-9.91,30.12,BANPU,Energy,-161.70999999999995
2020-02-28,63.22,60.06,123.28,3.16,25.62,BANPU,Energy,-158.54999999999995
2020-03-02,60.58,92.44,153.02,-31.87,37.17,BANPU,Energy,-190.41999999999996
2020-03-03,113.57,98.73,212.3,14.85,38.25,BANPU,Energy,-175.56999999999996
2020-03-04,77.16,57.79,134.95,19.37,43.65,BANPU,Energy,-156.19999999999996
2020-03-05,46.54,60.4,106.94,-13.85,31.46,BANPU,Energy,-170.04999999999995
2020-03-06,35.29,79.2,114.49,-43.91,37.5,BANPU,Energy,-213.95999999999995
2020-03-09,63.02,219.1,282.12,-156.07,31.13,BANPU,Energy,-370.03
2020-03-10,207.47,286.0,493.48,-78.53,50.27,BANPU,Energy,-448.55999999999995
2020-03-11,85.91,105.66,191.57,-19.74,39.5,BANPU,Energy,-468.29999999999995
2020-03-12,67.85,90.73,158.58,-22.87,24.47,BANPU,Energy,-491.16999999999996
2020-03-13,95.23,122.42,217.65,-27.19,32.01,BANPU,Energy,-518.36
2020-03-16,59.82,70.87,130.68,-11.05,38.8,BANPU,Energy,-529.41
2020-03-17,101.68,110.79,212.47,-9.12,41.64,BANPU,Energy,-538.53
2020-03-18,88.41,68.78,157.19,19.64,30.68,BANPU,Energy,-518.89
2020-03-19,60.13,51.77,111.9,8.36,39.22,BANPU,Energy,-510.53
2020-03-20,109.29,79.86,189.14,29.43,38.11,BANPU,Energy,-481.09999999999997
2020-03-23,19.53,78.18,97.71,-58.65,30.92,BANPU,Energy,-539.75
2020-03-24,49.25,60.31,109.56,-11.06,44.23,BANPU,Energy,-550.81
2020-03-25,68.94,47.0,115.94,21.95,30.86,BANPU,Energy,-528.8599999999999
2020-03-26,67.04,47.24,114.29,19.8,38.94,BANPU,Energy,-509.0599999999999
2020-03-27,42.42,41.62,84.04,0.8,41.36,BANPU,Energy,-508.2599999999999
2020-03-30,50.14,47.7,97.84,2.44,27.96,BANPU,Energy,-505.8199999999999
2020-03-31,55.14,63.85,118.99,-8.71,33.73,BANPU,Energy,-514.5299999999999
2020-04-01,63.24,49.19,112.43,14.06,34.45,BANPU,Energy,-500.46999999999986
2020-04-02,72.86,105.25,178.11,-32.38,22.84,BANPU,Energy,-532.8499999999999
2020-04-03,35.24,76.93,112.17,-41.7,25.86,BANPU,Energy,-574.55
2020-04-07,107.96,107.03,214.99,0.93,26.01,BANPU,Energy,-573.62
2020-04-08,24.63,102.95,127.58,-78.33,28.1,BANPU,Energy,-651.95
2020-04-09,53.11,69.76,122.88,-16.65,24.62,BANPU,Energy,-668.6
2020-04-10,23.41,44.55,67.96,-21.14,26.3,BANPU,Energy,-689.74
2020-04-13,68.55,37.7,106.25,30.85,19.26,BANPU,Energy,-658.89
2020-04-14,143.81,76.92,220.74,66.89,24.09,BANPU,Energy,-592.0
2020-04-15,64.62,40.45,105.07,24.17,18.46,BANPU,Energy,-567.83
2020-04-16,45.61,172.44,218.05,-126.83,33.98,BANPU,Energy,-694.6600000000001
2020-04-17,79.64,80.14,159.78,-0.5,33.1,BANPU,Energy,-695.1600000000001
2020-04-20,79.38,55.46,134.84,23.91,40.15,BANPU,Energy,-671.2500000000001
2020-04-21,61.91,81.95,143.85,-20.04,35.7,BANPU,Energy,-691.2900000000001
2020-04-22,45.63,49.32,94.95,-3.69,22.08,BANPU,Energy,-694.9800000000001
2020-04-23,86.91,55.78,142.69,31.13,34.15,BANPU,Energy,-663.8500000000001
2020-04-24,41.73,53.1,94.83,-11.37,36.82,BANPU,Energy,-675.2200000000001
2020-04-27,40.25,77.76,118.01,-37.51,42.49,BANPU,Energy,-712.7300000000001
2020-04-28,45.34,36.17,81.52,9.17,28.37,BANPU,Energy,-703.5600000000002
2020-04-29,48.41,26.69,75.1,21.72,30.42,BANPU,Energy,-681.8400000000001
2020-04-30,118.47,67.39,185.86,51.08,32.07,BANPU,Energy,-630.7600000000001
2020-05-05,37.15,51.78,88.92,-14.63,19.49,BANPU,Energy,-645.3900000000001
2020-05-07,25.51,97.7,123.21,-72.18,31.39,BANPU,Energy,-717.5700000000002
2020-05-08,78.1,109.74,187.84,-31.63,44.68,BANPU,Energy,-749.2000000000002
2020-05-11,57.38,59.36,116.74,-1.98,25.63,BANPU,Energy,-751.1800000000002
2020-05-12,317.52,259.39,576.91,58.14,17.23,BANPU,Energy,-693.0400000000002
2020-05-13,394.78,395.74,790.52,-0.96,21.6,BANPU,Energy,-694.0000000000002
2020-05-14,259.29,175.0,434.29,84.28,27.19,BANPU,Energy,-609.7200000000003
2020-05-15,170.24,126.71,296.95,43.53,28.88,BANPU,Energy,-566.1900000000003
2020-05-18,496.37,314.07,810.44,182.31,17.81,BANPU,Energy,-383.8800000000003
2020-05-19,145.78,239.77,385.55,-93.99,14.74,BANPU,Energy,-477.8700000000003
2020-05-20,199.51,117.77,317.29,81.74,16.47,BANPU,Energy,-396.1300000000003
2020-05-21,92.98,125.79,218.77,-32.81,17.71,BANPU,Energy,-428.9400000000003
2020-05-22,112.09,88.23,200.32,23.85,16.36,BANPU,Energy,-405.09000000000026
2020-05-25,140.06,85.43,225.48,54.63,22.04,BANPU,Energy,-350.46000000000026
2020-05-26,95.27,94.76,190.03,0.51,19.09,BANPU,Energy,-349.9500000000003
2020-05-27,115.15,114.18,229.33,0.96,25.25,BANPU,Energy,-348.9900000000003
2020-05-28,80.03,103.11,183.14,-23.09,20.41,BANPU,Energy,-372.08000000000027
2020-05-29,1185.16,859.54,2044.7,325.63,25.9,BANPU,Energy,-46.45000000000027
2020-06-01,217.09,196.52,413.61,20.57,17.12,BANPU,Energy,-25.880000000000273
2020-06-02,199.23,153.88,353.1,45.35,20.7,BANPU,Energy,19.46999999999973
2020-06-04,258.86,178.06,436.92,80.8,21.58,BANPU,Energy,100.26999999999973
2020-06-05,194.71,188.88,383.58,5.83,23.17,BANPU,Energy,106.09999999999972
2020-06-08,160.95,112.19,273.14,48.76,12.9,BANPU,Energy,154.85999999999973
2020-06-09,69.11,44.18,113.29,24.93,11.88,BANPU,Energy,179.78999999999974
2020-06-10,101.79,60.57,162.36,41.22,24.45,BANPU,Energy,221.00999999999974
2020-06-11,99.02,89.77,188.8,9.25,16.55,BANPU,Energy,230.25999999999974
2020-06-12,79.01,132.56,211.56,-53.55,28.76,BANPU,Energy,176.70999999999975
