date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.78,0.01,0.79,0.77,4.13,BA,Trans,0.77
2020-01-03,0.65,0.2,0.85,0.45,6.75,BA,Trans,1.22
2020-01-06,1.01,0.32,1.34,0.69,13.13,BA,Trans,1.91
2020-01-07,1.01,0.57,1.58,0.44,10.48,BA,Trans,2.35
2020-01-08,0.02,1.04,1.05,-1.02,8.65,BA,Trans,1.33
2020-01-09,0.11,0.53,0.64,-0.42,6.45,BA,Trans,0.9100000000000001
2020-01-10,0.0,0.3,0.3,-0.3,6.84,BA,Trans,0.6100000000000001
2020-01-13,0.47,0.1,0.56,0.37,4.45,BA,Trans,0.9800000000000001
2020-01-14,0.72,0.06,0.79,0.66,11.72,BA,Trans,1.6400000000000001
2020-01-15,0.05,0.2,0.24,-0.15,12.19,BA,Trans,1.4900000000000002
2020-01-16,0.24,0.06,0.3,0.17,2.96,BA,Trans,1.6600000000000001
2020-01-17,1.39,0.31,1.69,1.08,3.67,BA,Trans,2.74
2020-01-20,1.95,0.41,2.37,1.54,6.99,BA,Trans,4.28
2020-01-21,0.04,0.77,0.8,-0.73,7.94,BA,Trans,3.5500000000000003
2020-01-22,0.06,1.63,1.69,-1.57,9.95,BA,Trans,1.9800000000000002
2020-01-23,0.44,0.54,0.99,-0.1,20.26,BA,Trans,1.8800000000000001
2020-01-24,0.0,0.45,0.45,-0.45,5.25,BA,Trans,1.4300000000000002
2020-01-27,0.0,1.74,1.74,-1.74,12.56,BA,Trans,-0.30999999999999983
2020-01-28,0.34,0.3,0.63,0.04,13.28,BA,Trans,-0.26999999999999985
2020-01-29,0.09,0.66,0.75,-0.56,8.33,BA,Trans,-0.8299999999999998
2020-01-30,0.11,0.36,0.48,-0.25,4.56,BA,Trans,-1.0799999999999998
2020-01-31,0.42,0.84,1.26,-0.42,8.17,BA,Trans,-1.4999999999999998
2020-02-03,0.33,2.83,3.16,-2.5,28.31,BA,Trans,-4.0
2020-02-04,1.07,3.61,4.68,-2.53,17.9,BA,Trans,-6.529999999999999
2020-02-05,1.36,2.7,4.06,-1.34,22.1,BA,Trans,-7.869999999999999
2020-02-06,1.78,2.45,4.23,-0.68,23.93,BA,Trans,-8.549999999999999
2020-02-07,0.9,0.01,0.9,0.89,7.1,BA,Trans,-7.659999999999999
2020-02-11,0.88,0.13,1.01,0.74,10.51,BA,Trans,-6.919999999999999
2020-02-12,0.16,0.78,0.94,-0.62,5.88,BA,Trans,-7.539999999999999
2020-02-13,0.16,0.99,1.15,-0.83,19.26,BA,Trans,-8.37
2020-02-14,0.07,0.39,0.45,-0.32,12.54,BA,Trans,-8.69
2020-02-17,0.07,0.42,0.49,-0.35,19.67,BA,Trans,-9.04
2020-02-18,0.07,3.42,3.48,-3.35,15.97,BA,Trans,-12.389999999999999
2020-02-19,0.13,2.96,3.09,-2.84,21.67,BA,Trans,-15.229999999999999
2020-02-20,0.17,1.64,1.81,-1.47,15.72,BA,Trans,-16.7
2020-02-21,0.02,3.88,3.9,-3.87,21.09,BA,Trans,-20.57
2020-02-24,0.3,1.51,1.81,-1.21,6.53,BA,Trans,-21.78
2020-02-25,0.04,2.45,2.49,-2.41,7.06,BA,Trans,-24.19
2020-02-26,0.8,6.37,7.18,-5.57,17.82,BA,Trans,-29.76
2020-02-27,3.94,1.3,5.24,2.64,37.7,BA,Trans,-27.12
2020-02-28,0.94,1.53,2.46,-0.59,20.24,BA,Trans,-27.71
2020-03-02,1.09,1.03,2.11,0.06,16.35,BA,Trans,-27.650000000000002
2020-03-03,1.61,1.01,2.62,0.6,18.74,BA,Trans,-27.05
2020-03-04,0.74,0.05,0.79,0.69,9.51,BA,Trans,-26.36
2020-03-05,1.29,0.09,1.39,1.2,5.01,BA,Trans,-25.16
2020-03-06,0.29,0.04,0.33,0.26,4.16,BA,Trans,-24.9
2020-03-09,0.2,0.72,0.92,-0.52,4.72,BA,Trans,-25.419999999999998
2020-03-10,0.32,1.48,1.8,-1.15,10.06,BA,Trans,-26.569999999999997
2020-03-11,0.64,0.22,0.86,0.41,8.09,BA,Trans,-26.159999999999997
2020-03-12,0.84,2.64,3.48,-1.81,14.45,BA,Trans,-27.969999999999995
2020-03-13,1.67,1.86,3.52,-0.19,12.72,BA,Trans,-28.159999999999997
2020-03-16,0.49,1.4,1.89,-0.91,14.06,BA,Trans,-29.069999999999997
2020-03-17,0.55,1.38,1.93,-0.82,13.36,BA,Trans,-29.889999999999997
