date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,275.51,332.31,607.82,-56.81,16.72,BBL,Banking,-56.81
2020-01-03,462.47,694.84,1157.31,-232.36,33.1,BBL,Banking,-289.17
2020-01-06,607.63,710.65,1318.28,-103.02,32.75,BBL,Banking,-392.19
2020-01-07,676.11,854.51,1530.63,-178.4,28.82,BBL,Banking,-570.59
2020-01-08,515.13,423.75,938.88,91.39,32.7,BBL,Banking,-479.20000000000005
2020-01-09,484.62,695.7,1180.32,-211.07,49.81,BBL,Banking,-690.27
2020-01-10,513.8,496.91,1010.71,16.89,51.72,BBL,Banking,-673.38
2020-01-13,414.71,614.77,1029.48,-200.07,42.69,BBL,Banking,-873.45
2020-01-14,326.49,445.66,772.15,-119.17,34.6,BBL,Banking,-992.62
2020-01-15,567.44,732.8,1300.25,-165.36,34.35,BBL,Banking,-1157.98
2020-01-16,341.37,532.76,874.12,-191.39,23.87,BBL,Banking,-1349.37
2020-01-17,224.02,522.24,746.26,-298.23,22.57,BBL,Banking,-1647.6
2020-01-20,476.57,550.65,1027.22,-74.07,19.99,BBL,Banking,-1721.6699999999998
2020-01-21,1023.43,1251.52,2274.95,-228.08,34.28,BBL,Banking,-1949.7499999999998
2020-01-22,827.44,463.36,1290.79,364.08,25.34,BBL,Banking,-1585.6699999999998
2020-01-23,516.58,945.65,1462.23,-429.06,40.08,BBL,Banking,-2014.7299999999998
2020-01-24,149.57,530.3,679.87,-380.73,38.1,BBL,Banking,-2395.46
2020-01-27,366.53,615.0,981.53,-248.46,31.27,BBL,Banking,-2643.92
2020-01-28,388.52,427.04,815.55,-38.52,31.86,BBL,Banking,-2682.44
2020-01-29,681.8,725.83,1407.63,-44.03,45.36,BBL,Banking,-2726.4700000000003
2020-01-30,702.44,704.08,1406.51,-1.64,39.43,BBL,Banking,-2728.11
2020-01-31,452.36,515.68,968.03,-63.32,41.3,BBL,Banking,-2791.4300000000003
2020-02-03,472.18,264.24,736.42,207.94,44.92,BBL,Banking,-2583.4900000000002
