date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,19.28,20.79,40.08,-1.51,20.37,BCH,Helth,-1.51
2020-01-03,41.06,27.18,68.24,13.88,8.58,BCH,Helth,12.370000000000001
2020-01-06,115.49,330.84,446.33,-215.35,21.71,BCH,Helth,-202.98
2020-01-07,197.13,155.25,352.38,41.87,25.03,BCH,Helth,-161.10999999999999
2020-01-08,42.74,40.38,83.12,2.36,14.63,BCH,Helth,-158.74999999999997
2020-01-09,18.91,48.62,67.53,-29.71,19.25,BCH,Helth,-188.45999999999998
2020-01-10,3.31,28.21,31.53,-24.9,17.86,BCH,Helth,-213.35999999999999
2020-01-13,11.05,33.87,44.92,-22.82,14.56,BCH,Helth,-236.17999999999998
2020-01-14,26.77,48.28,75.05,-21.51,12.82,BCH,Helth,-257.69
2020-01-15,47.19,57.51,104.7,-10.33,10.61,BCH,Helth,-268.02
2020-01-16,92.68,31.63,124.31,61.05,12.52,BCH,Helth,-206.96999999999997
2020-01-17,30.16,8.58,38.73,21.58,15.58,BCH,Helth,-185.39
2020-01-20,60.3,19.89,80.2,40.41,38.66,BCH,Helth,-144.98
2020-01-21,82.17,12.79,94.96,69.38,30.66,BCH,Helth,-75.6
2020-01-22,20.19,17.64,37.82,2.55,14.85,BCH,Helth,-73.05
2020-01-23,40.02,26.64,66.66,13.38,14.28,BCH,Helth,-59.669999999999995
2020-01-24,6.56,23.32,29.88,-16.76,20.19,BCH,Helth,-76.42999999999999
2020-01-27,16.39,28.82,45.21,-12.43,11.74,BCH,Helth,-88.85999999999999
2020-01-28,8.4,25.88,34.29,-17.48,18.41,BCH,Helth,-106.33999999999999
2020-01-29,20.01,19.23,39.23,0.78,22.15,BCH,Helth,-105.55999999999999
2020-01-30,25.25,17.92,43.17,7.34,26.65,BCH,Helth,-98.21999999999998
2020-01-31,4.31,28.22,32.53,-23.91,22.33,BCH,Helth,-122.12999999999998
2020-02-03,11.81,36.47,48.28,-24.67,19.31,BCH,Helth,-146.79999999999998
2020-02-04,21.73,16.53,38.26,5.2,16.43,BCH,Helth,-141.6
2020-02-05,28.06,24.04,52.1,4.02,21.39,BCH,Helth,-137.57999999999998
2020-02-06,5.56,21.3,26.87,-15.74,18.4,BCH,Helth,-153.32
2020-02-07,12.91,19.68,32.59,-6.77,20.01,BCH,Helth,-160.09
2020-02-11,14.88,24.72,39.6,-9.84,28.69,BCH,Helth,-169.93
2020-02-12,18.17,21.54,39.72,-3.37,22.76,BCH,Helth,-173.3
2020-02-13,3.46,21.97,25.43,-18.51,34.63,BCH,Helth,-191.81
2020-02-14,4.39,18.3,22.68,-13.91,22.66,BCH,Helth,-205.72
2020-02-17,25.72,19.99,45.71,5.73,35.3,BCH,Helth,-199.99
2020-02-18,20.29,22.71,43.0,-2.42,18.65,BCH,Helth,-202.41
2020-02-19,10.64,14.11,24.75,-3.48,11.26,BCH,Helth,-205.89
2020-02-20,5.75,16.77,22.52,-11.01,16.32,BCH,Helth,-216.89999999999998
2020-02-21,12.9,33.12,46.02,-20.22,25.76,BCH,Helth,-237.11999999999998
2020-02-24,9.13,32.34,41.47,-23.21,20.33,BCH,Helth,-260.33
2020-02-25,24.19,59.31,83.5,-35.12,18.49,BCH,Helth,-295.45
2020-02-26,26.38,58.96,85.34,-32.58,19.68,BCH,Helth,-328.03
2020-02-27,65.46,48.65,114.11,16.81,22.53,BCH,Helth,-311.21999999999997
2020-02-28,9.12,46.05,55.17,-36.93,26.92,BCH,Helth,-348.15
2020-03-02,19.04,37.92,56.96,-18.88,29.77,BCH,Helth,-367.03
2020-03-03,25.12,28.88,54.0,-3.75,17.2,BCH,Helth,-370.78
2020-03-04,33.56,17.66,51.22,15.89,28.23,BCH,Helth,-354.89
2020-03-05,35.14,41.15,76.3,-6.01,16.86,BCH,Helth,-360.9
2020-03-06,52.49,15.64,68.13,36.85,25.05,BCH,Helth,-324.04999999999995
2020-03-09,193.64,56.01,249.65,137.63,47.13,BCH,Helth,-186.41999999999996
2020-03-10,23.33,55.8,79.14,-32.47,36.56,BCH,Helth,-218.88999999999996
2020-03-11,59.83,53.32,113.15,6.51,40.77,BCH,Helth,-212.37999999999997
2020-03-12,40.78,55.37,96.16,-14.59,20.48,BCH,Helth,-226.96999999999997
2020-03-13,23.67,27.98,51.65,-4.31,21.49,BCH,Helth,-231.27999999999997
2020-03-16,12.16,25.69,37.85,-13.52,19.3,BCH,Helth,-244.79999999999998
2020-03-17,11.37,7.55,18.92,3.82,19.82,BCH,Helth,-240.98
2020-03-18,16.51,13.45,29.97,3.06,23.12,BCH,Helth,-237.92
2020-03-19,16.79,20.72,37.52,-3.93,23.16,BCH,Helth,-241.85
2020-03-20,44.07,56.24,100.31,-12.18,22.3,BCH,Helth,-254.03
2020-03-23,24.83,38.83,63.66,-14.0,27.81,BCH,Helth,-268.03
2020-03-24,7.07,36.7,43.77,-29.63,28.96,BCH,Helth,-297.65999999999997
2020-03-25,39.49,46.18,85.67,-6.69,21.94,BCH,Helth,-304.34999999999997
2020-03-26,10.02,24.58,34.61,-14.56,17.91,BCH,Helth,-318.90999999999997
2020-03-27,20.59,26.05,46.64,-5.46,18.65,BCH,Helth,-324.36999999999995
