date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,5.52,9.41,14.93,-3.9,10.87,BCPG,Energy,-3.9
2020-01-03,7.8,7.25,15.04,0.55,5.69,BCPG,Energy,-3.3499999999999996
2020-01-06,6.13,8.74,14.87,-2.6,8.16,BCPG,Energy,-5.949999999999999
2020-01-07,4.91,3.67,8.58,1.24,13.1,BCPG,Energy,-4.709999999999999
2020-01-08,1.6,10.6,12.2,-9.0,14.85,BCPG,Energy,-13.709999999999999
2020-01-09,8.39,4.54,12.93,3.85,7.33,BCPG,Energy,-9.86
2020-01-10,5.21,14.53,19.74,-9.32,12.29,BCPG,Energy,-19.18
2020-01-13,12.8,6.25,19.05,6.55,17.35,BCPG,Energy,-12.629999999999999
2020-01-14,3.35,0.93,4.28,2.42,4.88,BCPG,Energy,-10.209999999999999
2020-01-15,23.81,7.17,30.99,16.64,23.14,BCPG,Energy,6.4300000000000015
2020-01-16,0.42,4.28,4.7,-3.86,7.25,BCPG,Energy,2.5700000000000016
2020-01-17,7.62,4.53,12.15,3.08,6.47,BCPG,Energy,5.650000000000002
2020-01-20,2.76,3.18,5.95,-0.42,4.44,BCPG,Energy,5.230000000000002
2020-01-21,1.25,18.23,19.47,-16.98,22.38,BCPG,Energy,-11.749999999999998
2020-01-22,0.77,3.61,4.38,-2.84,8.06,BCPG,Energy,-14.589999999999998
2020-01-23,2.86,2.42,5.28,0.43,11.74,BCPG,Energy,-14.159999999999998
2020-01-24,1.82,0.82,2.64,1.01,6.4,BCPG,Energy,-13.149999999999999
2020-01-27,1.59,5.22,6.81,-3.64,6.01,BCPG,Energy,-16.79
2020-01-28,3.27,6.09,9.36,-2.81,9.31,BCPG,Energy,-19.599999999999998
2020-01-29,4.0,5.99,9.98,-1.99,8.54,BCPG,Energy,-21.589999999999996
2020-01-30,5.56,2.69,8.25,2.87,8.01,BCPG,Energy,-18.719999999999995
2020-01-31,1.36,12.8,14.16,-11.44,16.48,BCPG,Energy,-30.159999999999997
2020-02-03,9.63,12.3,21.93,-2.68,6.92,BCPG,Energy,-32.839999999999996
2020-02-04,13.84,3.91,17.75,9.93,9.32,BCPG,Energy,-22.909999999999997
2020-02-05,16.59,2.56,19.15,14.03,16.1,BCPG,Energy,-8.879999999999997
2020-02-06,4.68,6.37,11.05,-1.7,9.26,BCPG,Energy,-10.579999999999997
2020-02-07,6.68,1.56,8.24,5.12,9.77,BCPG,Energy,-5.459999999999996
2020-02-11,4.88,10.72,15.6,-5.83,8.64,BCPG,Energy,-11.289999999999996
2020-02-12,23.03,10.2,33.23,12.82,7.4,BCPG,Energy,1.5300000000000047
2020-02-13,5.28,5.7,10.97,-0.42,9.37,BCPG,Energy,1.1100000000000048
2020-02-14,1.45,18.43,19.87,-16.98,7.84,BCPG,Energy,-15.869999999999996
2020-02-17,11.9,18.5,30.4,-6.61,10.73,BCPG,Energy,-22.479999999999997
2020-02-18,13.28,20.03,33.31,-6.75,10.9,BCPG,Energy,-29.229999999999997
2020-02-19,8.63,4.78,13.41,3.85,8.14,BCPG,Energy,-25.379999999999995
2020-02-20,11.88,3.25,15.13,8.63,17.54,BCPG,Energy,-16.749999999999993
2020-02-21,17.27,4.14,21.41,13.13,16.15,BCPG,Energy,-3.619999999999992
2020-02-24,11.66,8.35,20.01,3.31,15.37,BCPG,Energy,-0.30999999999999206
2020-02-25,21.76,12.33,34.08,9.43,10.65,BCPG,Energy,9.120000000000008
2020-02-26,22.08,15.56,37.63,6.52,12.76,BCPG,Energy,15.640000000000008
2020-02-27,20.22,19.41,39.63,0.81,11.18,BCPG,Energy,16.450000000000006
2020-02-28,2.65,16.26,18.91,-13.6,12.51,BCPG,Energy,2.8500000000000068
2020-03-02,8.75,28.32,37.07,-19.57,17.57,BCPG,Energy,-16.71999999999999
2020-03-03,11.45,6.77,18.23,4.68,15.36,BCPG,Energy,-12.039999999999992
2020-03-04,15.56,2.76,18.32,12.81,31.52,BCPG,Energy,0.7700000000000085
2020-03-05,26.19,14.49,40.69,11.7,11.01,BCPG,Energy,12.470000000000008
2020-03-06,15.96,14.44,30.4,1.52,15.99,BCPG,Energy,13.990000000000007
2020-03-09,7.99,24.78,32.76,-16.79,13.08,BCPG,Energy,-2.799999999999992
2020-03-10,12.13,12.06,24.19,0.08,23.94,BCPG,Energy,-2.7199999999999918
2020-03-11,8.09,23.29,31.38,-15.21,9.85,BCPG,Energy,-17.929999999999993
2020-03-12,31.86,29.0,60.86,2.86,17.16,BCPG,Energy,-15.069999999999993
2020-03-13,25.78,19.69,45.48,6.09,14.98,BCPG,Energy,-8.979999999999993
2020-03-16,15.32,8.6,23.91,6.72,19.59,BCPG,Energy,-2.2599999999999936
2020-03-17,22.47,13.2,35.67,9.26,15.15,BCPG,Energy,7.000000000000006
2020-03-18,15.66,13.24,28.9,2.42,19.32,BCPG,Energy,9.420000000000005
2020-03-19,4.85,13.06,17.91,-8.22,12.95,BCPG,Energy,1.2000000000000046
2020-03-20,28.76,14.32,43.08,14.44,14.15,BCPG,Energy,15.640000000000004
2020-03-23,15.14,5.07,20.21,10.07,15.84,BCPG,Energy,25.710000000000004
2020-03-24,6.71,16.02,22.73,-9.31,17.77,BCPG,Energy,16.400000000000006
2020-03-25,20.34,12.52,32.86,7.82,13.68,BCPG,Energy,24.220000000000006
2020-03-26,11.9,10.46,22.36,1.44,17.9,BCPG,Energy,25.660000000000007
2020-03-27,28.88,14.53,43.41,14.36,26.72,BCPG,Energy,40.02000000000001
2020-03-30,8.54,3.78,12.32,4.77,18.71,BCPG,Energy,44.790000000000006
2020-03-31,13.72,4.1,17.82,9.61,14.55,BCPG,Energy,54.400000000000006
2020-04-01,6.64,2.43,9.07,4.21,11.47,BCPG,Energy,58.61000000000001
2020-04-02,12.08,10.61,22.69,1.47,14.88,BCPG,Energy,60.080000000000005
2020-04-03,10.9,19.95,30.85,-9.05,22.71,BCPG,Energy,51.03
2020-04-07,30.89,20.13,51.02,10.76,21.91,BCPG,Energy,61.79
2020-04-08,32.42,6.92,39.34,25.5,20.74,BCPG,Energy,87.28999999999999
2020-04-09,21.17,15.27,36.44,5.9,18.67,BCPG,Energy,93.19
2020-04-10,14.49,6.73,21.22,7.77,22.15,BCPG,Energy,100.96
2020-04-13,19.92,5.13,25.05,14.79,23.0,BCPG,Energy,115.75
2020-04-14,5.92,9.21,15.13,-3.28,9.7,BCPG,Energy,112.47
2020-04-15,33.65,12.47,46.13,21.18,37.1,BCPG,Energy,133.65
2020-04-16,46.84,7.68,54.52,39.16,38.19,BCPG,Energy,172.81
2020-04-17,4.57,10.63,15.2,-6.06,17.4,BCPG,Energy,166.75
2020-04-20,21.94,3.5,25.44,18.43,29.24,BCPG,Energy,185.18
2020-04-21,16.95,2.2,19.15,14.76,23.96,BCPG,Energy,199.94
2020-04-22,47.25,21.13,68.38,26.12,28.25,BCPG,Energy,226.06
2020-04-23,23.53,16.75,40.27,6.78,33.23,BCPG,Energy,232.84
2020-04-24,7.07,7.62,14.68,-0.55,18.06,BCPG,Energy,232.29
2020-04-27,1.99,5.87,7.87,-3.88,15.27,BCPG,Energy,228.41
2020-04-28,13.02,8.39,21.41,4.62,28.11,BCPG,Energy,233.03
2020-04-29,7.42,6.96,14.38,0.46,25.85,BCPG,Energy,233.49
2020-04-30,4.93,3.63,8.56,1.3,14.11,BCPG,Energy,234.79000000000002
2020-05-05,23.88,6.0,29.88,17.88,17.36,BCPG,Energy,252.67000000000002
2020-05-07,15.68,4.77,20.44,10.91,23.58,BCPG,Energy,263.58000000000004
2020-05-08,2.05,2.72,4.77,-0.67,11.9,BCPG,Energy,262.91
2020-05-11,22.15,5.29,27.44,16.86,25.15,BCPG,Energy,279.77000000000004
