date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,25.17,72.39,97.55,-47.22,20.88,BCP,Energy,-47.22
2020-01-03,14.51,27.36,41.87,-12.85,15.41,BCP,Energy,-60.07
2020-01-06,38.46,37.85,76.31,0.61,14.87,BCP,Energy,-59.46
2020-01-07,14.27,109.92,124.19,-95.65,28.99,BCP,Energy,-155.11
2020-01-08,29.38,13.21,42.58,16.17,9.41,BCP,Energy,-138.94
2020-01-09,2.37,17.05,19.42,-14.68,7.73,BCP,Energy,-153.62
2020-01-10,2.09,4.42,6.51,-2.32,4.36,BCP,Energy,-155.94
2020-01-13,8.86,45.58,54.44,-36.72,16.31,BCP,Energy,-192.66
2020-01-14,14.09,29.57,43.66,-15.48,13.08,BCP,Energy,-208.14
2020-01-15,15.98,26.34,42.32,-10.36,17.11,BCP,Energy,-218.5
2020-01-16,4.45,25.09,29.54,-20.64,16.38,BCP,Energy,-239.14
2020-01-17,9.34,12.99,22.32,-3.65,13.11,BCP,Energy,-242.79
2020-01-20,9.68,9.33,19.0,0.35,16.76,BCP,Energy,-242.44
2020-01-21,11.48,9.47,20.95,2.0,12.76,BCP,Energy,-240.44
2020-01-22,14.5,28.12,42.62,-13.62,10.65,BCP,Energy,-254.06
2020-01-23,24.55,22.67,47.22,1.88,17.28,BCP,Energy,-252.18
2020-01-24,3.79,2.81,6.6,0.98,6.37,BCP,Energy,-251.20000000000002
2020-01-27,17.51,25.43,42.94,-7.92,16.36,BCP,Energy,-259.12
2020-01-28,37.36,20.71,58.08,16.65,24.49,BCP,Energy,-242.47
2020-01-29,13.17,27.72,40.89,-14.54,17.28,BCP,Energy,-257.01
2020-01-30,32.47,9.5,41.97,22.98,16.22,BCP,Energy,-234.03
2020-01-31,18.66,14.9,33.56,3.76,24.93,BCP,Energy,-230.27
2020-02-03,6.85,31.25,38.1,-24.41,16.85,BCP,Energy,-254.68
2020-02-04,14.49,19.12,33.61,-4.63,17.52,BCP,Energy,-259.31
2020-02-05,8.53,13.92,22.45,-5.39,22.31,BCP,Energy,-264.7
2020-02-06,22.17,19.64,41.82,2.53,13.03,BCP,Energy,-262.17
2020-02-07,10.0,9.64,19.64,0.36,12.37,BCP,Energy,-261.81
2020-02-11,4.91,12.41,17.32,-7.5,8.31,BCP,Energy,-269.31
2020-02-12,7.8,5.91,13.7,1.89,12.13,BCP,Energy,-267.42
2020-02-13,6.39,13.92,20.31,-7.53,22.52,BCP,Energy,-274.95
2020-02-14,7.69,11.69,19.38,-4.0,20.0,BCP,Energy,-278.95
2020-02-17,10.18,5.98,16.16,4.19,18.17,BCP,Energy,-274.76
2020-02-18,5.79,10.17,15.95,-4.38,14.18,BCP,Energy,-279.14
2020-02-19,20.68,16.23,36.91,4.45,20.28,BCP,Energy,-274.69
2020-02-20,8.89,7.7,16.58,1.19,10.42,BCP,Energy,-273.5
2020-02-21,55.94,11.88,67.81,44.06,32.4,BCP,Energy,-229.44
2020-02-24,14.89,51.01,65.9,-36.11,11.74,BCP,Energy,-265.55
2020-02-25,36.09,27.52,63.61,8.57,16.33,BCP,Energy,-256.98
2020-02-26,21.27,19.2,40.47,2.07,17.48,BCP,Energy,-254.91000000000003
2020-02-27,20.06,24.99,45.05,-4.92,17.25,BCP,Energy,-259.83000000000004
2020-02-28,26.15,29.99,56.14,-3.84,15.43,BCP,Energy,-263.67
2020-03-02,28.81,39.01,67.82,-10.21,23.64,BCP,Energy,-273.88
2020-03-03,17.86,11.28,29.13,6.58,11.89,BCP,Energy,-267.3
2020-03-04,19.84,19.29,39.13,0.55,25.59,BCP,Energy,-266.75
2020-03-05,22.56,17.11,39.66,5.45,18.93,BCP,Energy,-261.3
2020-03-06,18.32,13.8,32.12,4.52,22.6,BCP,Energy,-256.78000000000003
2020-03-09,22.45,59.9,82.35,-37.46,9.16,BCP,Energy,-294.24
2020-03-10,17.06,73.55,90.6,-56.49,29.73,BCP,Energy,-350.73
2020-03-11,28.29,18.16,46.44,10.13,34.79,BCP,Energy,-340.6
2020-03-12,16.17,16.75,32.91,-0.58,26.79,BCP,Energy,-341.18
2020-03-13,13.23,26.99,40.22,-13.76,28.51,BCP,Energy,-354.94
2020-03-16,24.03,14.86,38.89,9.18,31.39,BCP,Energy,-345.76
2020-03-17,12.17,10.85,23.03,1.32,23.18,BCP,Energy,-344.44
