date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,151.8,97.24,249.04,54.56,27.12,BDMS,Helth,54.56
2020-01-03,450.99,272.21,723.2,178.78,29.13,BDMS,Helth,233.34
2020-01-06,443.83,238.09,681.91,205.74,28.68,BDMS,Helth,439.08000000000004
2020-01-07,126.83,42.8,169.63,84.04,20.98,BDMS,Helth,523.12
2020-01-08,261.92,230.16,492.08,31.76,40.76,BDMS,Helth,554.88
2020-01-09,319.58,169.31,488.89,150.27,38.66,BDMS,Helth,705.15
2020-01-10,312.83,348.56,661.39,-35.72,39.72,BDMS,Helth,669.43
2020-01-13,232.87,261.94,494.8,-29.07,40.99,BDMS,Helth,640.3599999999999
2020-01-14,147.19,107.8,254.99,39.39,26.27,BDMS,Helth,679.7499999999999
2020-01-15,257.75,145.54,403.29,112.21,32.73,BDMS,Helth,791.9599999999999
2020-01-16,112.19,115.48,227.67,-3.3,23.04,BDMS,Helth,788.66
2020-01-17,118.89,100.34,219.23,18.55,32.58,BDMS,Helth,807.2099999999999
2020-01-20,388.12,138.44,526.56,249.68,27.24,BDMS,Helth,1056.8899999999999
2020-01-21,600.29,254.66,854.94,345.63,21.66,BDMS,Helth,1402.52
2020-01-22,486.63,194.28,680.91,292.34,15.39,BDMS,Helth,1694.86
2020-01-23,487.94,242.51,730.45,245.43,14.35,BDMS,Helth,1940.29
2020-01-24,117.3,238.44,355.74,-121.15,18.34,BDMS,Helth,1819.1399999999999
2020-01-27,320.02,277.68,597.7,42.34,27.27,BDMS,Helth,1861.4799999999998
2020-01-28,278.49,478.0,756.5,-199.51,29.14,BDMS,Helth,1661.9699999999998
2020-01-29,209.7,266.91,476.62,-57.21,35.4,BDMS,Helth,1604.7599999999998
2020-01-30,140.48,69.33,209.81,71.15,29.25,BDMS,Helth,1675.9099999999999
2020-01-31,182.03,312.18,494.21,-130.15,17.33,BDMS,Helth,1545.7599999999998
2020-02-03,199.85,365.97,565.82,-166.13,29.74,BDMS,Helth,1379.6299999999997
2020-02-04,347.45,279.01,626.45,68.44,35.85,BDMS,Helth,1448.0699999999997
2020-02-05,106.15,204.53,310.68,-98.38,21.73,BDMS,Helth,1349.6899999999996
2020-02-06,149.96,198.75,348.71,-48.78,37.23,BDMS,Helth,1300.9099999999996
2020-02-07,218.23,247.61,465.84,-29.38,43.23,BDMS,Helth,1271.5299999999995
2020-02-11,209.05,155.15,364.21,53.9,30.72,BDMS,Helth,1325.4299999999996
2020-02-12,339.96,178.87,518.84,161.09,35.84,BDMS,Helth,1486.5199999999995
2020-02-13,66.01,134.32,200.32,-68.31,18.52,BDMS,Helth,1418.2099999999996
2020-02-14,119.51,79.63,199.14,39.87,27.95,BDMS,Helth,1458.0799999999995
2020-02-17,142.17,145.88,288.05,-3.71,22.18,BDMS,Helth,1454.3699999999994
2020-02-18,186.21,102.31,288.51,83.9,18.7,BDMS,Helth,1538.2699999999995
2020-02-19,196.75,197.92,394.67,-1.18,33.94,BDMS,Helth,1537.0899999999995
2020-02-20,168.57,286.97,455.54,-118.4,35.01,BDMS,Helth,1418.6899999999994
2020-02-21,148.97,175.22,324.2,-26.25,35.96,BDMS,Helth,1392.4399999999994
2020-02-24,236.29,259.43,495.71,-23.14,31.76,BDMS,Helth,1369.2999999999993
2020-02-25,336.92,405.98,742.9,-69.06,39.01,BDMS,Helth,1300.2399999999993
2020-02-26,693.18,435.33,1128.51,257.85,31.23,BDMS,Helth,1558.0899999999992
2020-02-27,689.99,506.07,1196.07,183.92,37.07,BDMS,Helth,1742.0099999999993
2020-02-28,390.69,506.32,897.01,-115.62,33.66,BDMS,Helth,1626.3899999999994
2020-03-02,207.49,475.0,682.5,-267.51,42.17,BDMS,Helth,1358.8799999999994
2020-03-03,200.04,400.13,600.17,-200.09,32.84,BDMS,Helth,1158.7899999999995
2020-03-04,458.25,545.89,1004.13,-87.64,55.59,BDMS,Helth,1071.1499999999994
2020-03-05,124.32,221.02,345.34,-96.7,30.54,BDMS,Helth,974.4499999999994
2020-03-06,104.81,181.53,286.33,-76.72,45.22,BDMS,Helth,897.7299999999993
2020-03-09,268.95,408.69,677.64,-139.74,36.41,BDMS,Helth,757.9899999999993
2020-03-10,228.29,464.04,692.33,-235.75,42.18,BDMS,Helth,522.2399999999993
2020-03-11,261.77,347.96,609.73,-86.19,32.38,BDMS,Helth,436.04999999999933
2020-03-12,401.23,577.29,978.52,-176.06,36.94,BDMS,Helth,259.9899999999993
2020-03-13,400.58,765.28,1165.86,-364.7,32.44,BDMS,Helth,-104.71000000000066
2020-03-16,461.05,752.26,1213.3,-291.21,39.77,BDMS,Helth,-395.92000000000064
2020-03-17,527.37,499.69,1027.06,27.68,42.43,BDMS,Helth,-368.24000000000063
2020-03-18,487.16,436.39,923.55,50.76,36.33,BDMS,Helth,-317.48000000000064
2020-03-19,400.63,622.89,1023.53,-222.26,34.37,BDMS,Helth,-539.7400000000007
2020-03-20,452.86,511.92,964.78,-59.06,29.51,BDMS,Helth,-598.8000000000006
2020-03-23,208.47,412.39,620.86,-203.93,29.02,BDMS,Helth,-802.7300000000007
2020-03-24,261.08,321.56,582.65,-60.48,29.77,BDMS,Helth,-863.2100000000007
2020-03-25,380.26,194.68,574.94,185.58,34.07,BDMS,Helth,-677.6300000000007
2020-03-26,118.6,152.88,271.48,-34.28,27.23,BDMS,Helth,-711.9100000000007
2020-03-27,353.64,172.58,526.22,181.06,33.74,BDMS,Helth,-530.8500000000006
2020-03-30,179.73,260.09,439.82,-80.36,40.2,BDMS,Helth,-611.2100000000006
2020-03-31,242.31,371.08,613.39,-128.77,42.32,BDMS,Helth,-739.9800000000006
2020-04-01,107.26,307.25,414.51,-199.98,36.82,BDMS,Helth,-939.9600000000006
2020-04-02,171.92,322.01,493.93,-150.09,33.51,BDMS,Helth,-1090.0500000000006
2020-04-03,166.87,169.02,335.89,-2.14,31.52,BDMS,Helth,-1092.1900000000007
2020-04-07,381.76,244.27,626.03,137.49,27.46,BDMS,Helth,-954.7000000000007
2020-04-08,247.3,312.92,560.22,-65.63,36.45,BDMS,Helth,-1020.3300000000007
2020-04-09,184.45,209.94,394.39,-25.49,30.52,BDMS,Helth,-1045.8200000000006
2020-04-10,122.94,171.33,294.27,-48.39,35.57,BDMS,Helth,-1094.2100000000007
2020-04-13,59.6,129.33,188.93,-69.74,27.78,BDMS,Helth,-1163.9500000000007
2020-04-14,373.67,349.08,722.75,24.58,30.74,BDMS,Helth,-1139.3700000000008
2020-04-15,96.39,315.36,411.75,-218.98,19.92,BDMS,Helth,-1358.3500000000008
2020-04-16,156.1,219.96,376.05,-63.86,25.58,BDMS,Helth,-1422.2100000000007
2020-04-17,118.08,225.17,343.24,-107.09,30.31,BDMS,Helth,-1529.3000000000006
2020-04-20,110.51,145.5,256.01,-34.99,28.28,BDMS,Helth,-1564.2900000000006
2020-04-21,103.45,260.94,364.39,-157.49,30.32,BDMS,Helth,-1721.7800000000007
2020-04-22,118.59,201.01,319.61,-82.42,33.07,BDMS,Helth,-1804.2000000000007
2020-04-23,161.25,204.72,365.98,-43.47,23.43,BDMS,Helth,-1847.6700000000008
2020-04-24,186.59,173.89,360.48,12.71,36.29,BDMS,Helth,-1834.9600000000007
2020-04-27,119.3,111.75,231.05,7.56,28.66,BDMS,Helth,-1827.4000000000008
2020-04-28,278.2,123.06,401.26,155.14,33.86,BDMS,Helth,-1672.2600000000007
2020-04-29,108.11,50.79,158.9,57.32,21.14,BDMS,Helth,-1614.9400000000007
2020-04-30,138.49,128.9,267.39,9.59,21.26,BDMS,Helth,-1605.3500000000008
2020-05-05,116.66,169.75,286.42,-53.09,28.93,BDMS,Helth,-1658.4400000000007
2020-05-07,162.93,212.92,375.85,-49.99,18.01,BDMS,Helth,-1708.4300000000007
