date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,79.15,153.15,232.3,-74.0,31.32,BEM,Trans,-74.0
2020-01-03,54.16,38.5,92.66,15.67,21.07,BEM,Trans,-58.33
2020-01-06,205.93,125.41,331.34,80.52,41.02,BEM,Trans,22.189999999999998
2020-01-07,38.02,142.11,180.14,-104.09,13.67,BEM,Trans,-81.9
2020-01-08,175.69,172.41,348.1,3.29,25.27,BEM,Trans,-78.61
2020-01-09,119.31,170.84,290.14,-51.53,30.34,BEM,Trans,-130.14
2020-01-10,30.58,62.7,93.28,-32.13,29.02,BEM,Trans,-162.26999999999998
2020-01-13,281.48,306.62,588.1,-25.15,41.34,BEM,Trans,-187.42
2020-01-14,98.29,146.98,245.27,-48.69,32.73,BEM,Trans,-236.10999999999999
2020-01-15,123.57,98.85,222.43,24.72,35.51,BEM,Trans,-211.39
2020-01-16,61.07,133.33,194.4,-72.26,35.7,BEM,Trans,-283.65
2020-01-17,80.95,98.54,179.49,-17.59,29.57,BEM,Trans,-301.23999999999995
2020-01-20,198.44,81.93,280.37,116.52,34.47,BEM,Trans,-184.71999999999997
2020-01-21,94.92,31.66,126.58,63.26,22.78,BEM,Trans,-121.45999999999998
2020-01-22,122.8,113.84,236.64,8.95,20.11,BEM,Trans,-112.50999999999998
2020-01-23,248.27,273.51,521.77,-25.24,49.92,BEM,Trans,-137.74999999999997
2020-01-24,56.93,44.12,101.05,12.81,22.97,BEM,Trans,-124.93999999999997
2020-01-27,126.49,132.77,259.26,-6.28,24.12,BEM,Trans,-131.21999999999997
2020-01-28,12.86,58.67,71.53,-45.81,8.68,BEM,Trans,-177.02999999999997
2020-01-29,206.81,157.74,364.54,49.07,28.16,BEM,Trans,-127.95999999999998
2020-01-30,162.27,73.64,235.91,88.62,23.82,BEM,Trans,-39.339999999999975
2020-01-31,28.42,61.92,90.34,-33.5,27.92,BEM,Trans,-72.83999999999997
2020-02-03,57.79,82.05,139.84,-24.26,23.65,BEM,Trans,-97.09999999999998
2020-02-04,291.3,248.3,539.61,43.0,30.66,BEM,Trans,-54.09999999999998
