date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,52.75,67.26,120.01,-14.5,18.6,BGRIM,Energy,-14.5
2020-01-03,107.11,62.83,169.94,44.28,26.42,BGRIM,Energy,29.78
2020-01-06,192.64,116.63,309.27,76.01,24.66,BGRIM,Energy,105.79
2020-01-07,211.06,132.64,343.7,78.42,25.32,BGRIM,Energy,184.21
2020-01-08,200.52,230.05,430.57,-29.53,25.6,BGRIM,Energy,154.68
2020-01-09,472.07,290.19,762.27,181.88,24.78,BGRIM,Energy,336.56
2020-01-10,222.19,161.98,384.17,60.21,19.83,BGRIM,Energy,396.77
2020-01-13,360.93,379.61,740.53,-18.68,25.66,BGRIM,Energy,378.09
2020-01-14,206.39,250.19,456.57,-43.8,21.32,BGRIM,Energy,334.28999999999996
2020-01-15,792.17,465.09,1257.25,327.08,34.46,BGRIM,Energy,661.3699999999999
2020-01-16,246.33,177.99,424.32,68.34,21.01,BGRIM,Energy,729.7099999999999
2020-01-17,209.99,251.7,461.69,-41.71,24.86,BGRIM,Energy,687.9999999999999
2020-01-20,220.32,117.79,338.11,102.54,29.5,BGRIM,Energy,790.5399999999998
2020-01-21,891.0,530.34,1421.33,360.66,26.98,BGRIM,Energy,1151.1999999999998
2020-01-22,377.0,173.29,550.29,203.71,16.01,BGRIM,Energy,1354.9099999999999
2020-01-23,372.58,199.37,571.94,173.21,23.06,BGRIM,Energy,1528.12
2020-01-24,302.85,113.44,416.29,189.4,25.79,BGRIM,Energy,1717.52
2020-01-27,227.59,141.53,369.12,86.06,23.23,BGRIM,Energy,1803.58
2020-01-28,444.42,322.13,766.55,122.29,24.76,BGRIM,Energy,1925.87
2020-01-29,385.62,199.58,585.21,186.04,22.09,BGRIM,Energy,2111.91
2020-01-30,235.35,184.95,420.29,50.4,23.0,BGRIM,Energy,2162.31
2020-01-31,185.09,250.69,435.79,-65.6,18.87,BGRIM,Energy,2096.71
2020-02-03,277.25,131.2,408.45,146.05,23.23,BGRIM,Energy,2242.76
2020-02-04,270.9,129.48,400.38,141.43,21.92,BGRIM,Energy,2384.19
2020-02-05,218.84,223.28,442.12,-4.43,20.2,BGRIM,Energy,2379.76
2020-02-06,597.2,366.06,963.26,231.14,18.28,BGRIM,Energy,2610.9
2020-02-07,414.22,423.72,837.95,-9.5,21.68,BGRIM,Energy,2601.4
2020-02-11,221.11,291.75,512.85,-70.64,23.22,BGRIM,Energy,2530.76
2020-02-12,179.62,274.23,453.85,-94.61,25.35,BGRIM,Energy,2436.15
2020-02-13,142.57,131.13,273.7,11.45,18.72,BGRIM,Energy,2447.6
2020-02-14,563.85,258.39,822.25,305.46,22.84,BGRIM,Energy,2753.06
