date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,58.08,47.05,105.13,11.02,43.21,BH,Helth,11.02
2020-01-03,91.02,78.39,169.41,12.64,30.67,BH,Helth,23.66
2020-01-06,125.79,27.27,153.05,98.52,29.14,BH,Helth,122.17999999999999
2020-01-07,118.95,77.23,196.18,41.73,40.6,BH,Helth,163.91
2020-01-08,79.52,33.98,113.5,45.54,29.09,BH,Helth,209.45
2020-01-09,79.94,66.52,146.46,13.42,42.93,BH,Helth,222.86999999999998
2020-01-10,52.79,43.78,96.56,9.01,39.27,BH,Helth,231.87999999999997
2020-01-13,90.53,48.39,138.92,42.14,50.1,BH,Helth,274.02
2020-01-14,92.96,81.38,174.34,11.58,46.7,BH,Helth,285.59999999999997
2020-01-15,91.76,54.0,145.76,37.76,35.11,BH,Helth,323.35999999999996
2020-01-16,38.07,88.65,126.72,-50.57,38.72,BH,Helth,272.78999999999996
2020-01-17,48.17,35.74,83.91,12.43,23.99,BH,Helth,285.21999999999997
2020-01-20,86.99,20.63,107.61,66.36,36.53,BH,Helth,351.58
2020-01-21,92.47,45.92,138.4,46.55,32.98,BH,Helth,398.13
2020-01-22,126.57,50.91,177.49,75.66,49.57,BH,Helth,473.78999999999996
2020-01-23,88.71,42.49,131.2,46.21,23.74,BH,Helth,520.0
2020-01-24,18.29,11.28,29.57,7.01,31.77,BH,Helth,527.01
2020-01-27,65.89,81.4,147.28,-15.51,38.4,BH,Helth,511.5
2020-01-28,43.28,102.95,146.23,-59.67,26.55,BH,Helth,451.83
2020-01-29,72.42,47.38,119.81,25.04,27.64,BH,Helth,476.87
2020-01-30,76.71,26.19,102.9,50.51,30.52,BH,Helth,527.38
2020-01-31,102.61,111.66,214.27,-9.05,29.07,BH,Helth,518.33
2020-02-03,81.19,54.41,135.6,26.78,32.84,BH,Helth,545.11
2020-02-04,99.01,98.21,197.22,0.8,30.73,BH,Helth,545.91
2020-02-05,67.5,48.45,115.95,19.05,39.32,BH,Helth,564.9599999999999
2020-02-06,98.21,100.21,198.43,-2.0,45.24,BH,Helth,562.9599999999999
2020-02-07,137.81,120.13,257.94,17.67,48.31,BH,Helth,580.6299999999999
2020-02-11,66.19,64.98,131.17,1.21,47.05,BH,Helth,581.8399999999999
2020-02-12,65.79,66.37,132.16,-0.58,40.61,BH,Helth,581.2599999999999
2020-02-13,89.89,98.89,188.78,-9.0,31.86,BH,Helth,572.2599999999999
2020-02-14,57.05,25.56,82.6,31.49,53.24,BH,Helth,603.7499999999999
2020-02-17,20.13,21.61,41.74,-1.48,41.6,BH,Helth,602.2699999999999
2020-02-18,16.79,53.54,70.33,-36.74,18.46,BH,Helth,565.5299999999999
2020-02-19,58.88,34.94,93.82,23.94,31.13,BH,Helth,589.4699999999999
2020-02-20,49.74,67.6,117.34,-17.85,29.39,BH,Helth,571.6199999999999
2020-02-21,75.83,146.1,221.93,-70.27,50.19,BH,Helth,501.3499999999999
2020-02-24,92.83,109.24,202.07,-16.42,38.03,BH,Helth,484.9299999999999
2020-02-25,145.57,126.93,272.5,18.63,32.48,BH,Helth,503.5599999999999
2020-02-26,345.44,168.12,513.57,177.32,40.31,BH,Helth,680.8799999999999
2020-02-27,644.19,320.02,964.21,324.18,35.34,BH,Helth,1005.06
2020-02-28,197.34,168.37,365.71,28.97,27.68,BH,Helth,1034.03
2020-03-02,124.17,223.94,348.11,-99.77,26.82,BH,Helth,934.26
2020-03-03,48.86,104.57,153.42,-55.71,25.94,BH,Helth,878.55
2020-03-04,97.87,63.46,161.33,34.42,34.36,BH,Helth,912.9699999999999
2020-03-05,75.83,157.88,233.7,-82.05,29.89,BH,Helth,830.92
2020-03-06,94.2,92.18,186.38,2.02,23.94,BH,Helth,832.9399999999999
2020-03-09,117.41,174.84,292.25,-57.42,29.35,BH,Helth,775.52
2020-03-10,68.6,137.52,206.13,-68.92,35.01,BH,Helth,706.6
2020-03-11,124.98,131.79,256.77,-6.81,25.19,BH,Helth,699.7900000000001
2020-03-12,161.55,252.64,414.19,-91.08,26.48,BH,Helth,608.71
2020-03-13,173.42,259.53,432.95,-86.12,30.05,BH,Helth,522.59
2020-03-16,90.28,253.34,343.63,-163.06,42.82,BH,Helth,359.53000000000003
2020-03-17,121.13,112.29,233.42,8.83,50.15,BH,Helth,368.36
2020-03-18,113.69,134.54,248.22,-20.85,40.19,BH,Helth,347.51
2020-03-19,106.66,162.77,269.43,-56.11,33.52,BH,Helth,291.4
2020-03-20,119.73,140.58,260.31,-20.85,41.72,BH,Helth,270.54999999999995
2020-03-23,65.76,173.94,239.7,-108.18,38.07,BH,Helth,162.36999999999995
2020-03-24,100.35,142.39,242.74,-42.05,32.21,BH,Helth,120.31999999999995
2020-03-25,66.82,69.58,136.4,-2.76,22.74,BH,Helth,117.55999999999995
2020-03-26,206.33,346.81,553.15,-140.48,16.41,BH,Helth,-22.920000000000044
2020-03-27,81.23,138.0,219.23,-56.77,33.38,BH,Helth,-79.69000000000005
