date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,110.47,57.53,168.0,52.94,21.79,BJC,Commerce,52.94
2020-01-03,76.76,122.58,199.34,-45.82,24.78,BJC,Commerce,7.119999999999997
2020-01-06,61.53,86.84,148.37,-25.31,18.98,BJC,Commerce,-18.19
2020-01-07,49.86,60.49,110.35,-10.63,21.06,BJC,Commerce,-28.82
2020-01-08,83.49,69.6,153.09,13.9,24.43,BJC,Commerce,-14.92
2020-01-09,79.32,144.56,223.89,-65.24,20.33,BJC,Commerce,-80.16
2020-01-10,42.2,74.08,116.28,-31.87,14.57,BJC,Commerce,-112.03
2020-01-13,61.75,27.34,89.09,34.42,17.83,BJC,Commerce,-77.61
2020-01-14,87.48,32.03,119.51,55.44,16.13,BJC,Commerce,-22.17
2020-01-15,79.24,80.85,160.09,-1.61,36.66,BJC,Commerce,-23.78
2020-01-16,111.82,66.68,178.5,45.14,24.64,BJC,Commerce,21.36
2020-01-17,83.68,48.94,132.61,34.74,19.89,BJC,Commerce,56.1
2020-01-20,45.38,19.02,64.4,26.37,26.54,BJC,Commerce,82.47
2020-01-21,114.34,70.1,184.43,44.24,32.53,BJC,Commerce,126.71000000000001
2020-01-22,43.68,45.13,88.81,-1.46,46.67,BJC,Commerce,125.25000000000001
2020-01-23,97.42,37.06,134.48,60.36,22.54,BJC,Commerce,185.61
2020-01-24,35.14,40.66,75.8,-5.52,25.74,BJC,Commerce,180.09
2020-01-27,56.83,127.46,184.29,-70.63,27.39,BJC,Commerce,109.46000000000001
2020-01-28,34.71,85.52,120.23,-50.81,25.01,BJC,Commerce,58.650000000000006
2020-01-29,38.6,103.6,142.21,-65.0,22.84,BJC,Commerce,-6.349999999999994
2020-01-30,17.15,50.18,67.32,-33.03,2.44,BJC,Commerce,-39.379999999999995
2020-01-31,21.92,101.6,123.52,-79.68,6.21,BJC,Commerce,-119.06
2020-02-03,26.55,69.63,96.18,-43.08,10.89,BJC,Commerce,-162.14
2020-02-04,31.49,25.95,57.45,5.54,25.23,BJC,Commerce,-156.6
2020-02-05,32.95,47.04,79.99,-14.09,23.88,BJC,Commerce,-170.69
2020-02-06,74.12,45.88,120.0,28.23,20.08,BJC,Commerce,-142.46
2020-02-07,87.73,42.11,129.84,45.62,9.88,BJC,Commerce,-96.84
2020-02-11,40.64,21.79,62.43,18.86,29.7,BJC,Commerce,-77.98
2020-02-12,58.78,25.49,84.27,33.28,22.12,BJC,Commerce,-44.7
2020-02-13,15.18,20.4,35.58,-5.22,35.6,BJC,Commerce,-49.92
2020-02-14,28.01,27.4,55.41,0.61,25.89,BJC,Commerce,-49.31
2020-02-17,17.28,43.25,60.53,-25.97,24.86,BJC,Commerce,-75.28
2020-02-18,31.88,48.01,79.89,-16.13,2.84,BJC,Commerce,-91.41
2020-02-19,84.08,73.27,157.35,10.81,15.25,BJC,Commerce,-80.6
2020-02-20,32.75,63.39,96.14,-30.64,27.62,BJC,Commerce,-111.24
2020-02-21,50.76,81.12,131.88,-30.35,35.99,BJC,Commerce,-141.59
2020-02-24,46.17,73.37,119.54,-27.19,21.95,BJC,Commerce,-168.78
2020-02-25,63.09,96.12,159.21,-33.02,28.35,BJC,Commerce,-201.8
2020-02-26,70.72,69.74,140.46,0.98,3.63,BJC,Commerce,-200.82000000000002
2020-02-27,108.0,100.07,208.07,7.93,32.26,BJC,Commerce,-192.89000000000001
2020-02-28,89.29,98.62,187.91,-9.32,21.45,BJC,Commerce,-202.21
2020-03-02,61.69,52.73,114.41,8.96,36.9,BJC,Commerce,-193.25
2020-03-03,119.37,72.73,192.09,46.64,35.13,BJC,Commerce,-146.61
