date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,1.33,0.95,2.28,0.38,14.47,BLA,Insurance,0.38
2020-01-03,1.72,1.56,3.28,0.16,8.89,BLA,Insurance,0.54
2020-01-06,4.57,6.26,10.83,-1.69,13.1,BLA,Insurance,-1.15
2020-01-07,2.47,1.06,3.53,1.4,6.05,BLA,Insurance,0.25
2020-01-08,3.55,2.7,6.25,0.85,9.88,BLA,Insurance,1.1
2020-01-09,2.27,2.79,5.06,-0.52,16.19,BLA,Insurance,0.5800000000000001
2020-01-10,4.87,1.58,6.46,3.29,24.91,BLA,Insurance,3.87
2020-01-13,3.51,1.43,4.94,2.09,8.6,BLA,Insurance,5.96
2020-01-14,6.99,1.88,8.86,5.11,24.75,BLA,Insurance,11.07
2020-01-15,2.31,2.01,4.32,0.29,26.79,BLA,Insurance,11.36
2020-01-16,1.72,0.6,2.31,1.12,10.46,BLA,Insurance,12.48
2020-01-17,9.37,1.57,10.93,7.8,10.82,BLA,Insurance,20.28
2020-01-20,2.08,5.0,7.08,-2.92,7.85,BLA,Insurance,17.36
2020-01-21,3.45,0.58,4.03,2.87,14.12,BLA,Insurance,20.23
2020-01-22,2.64,2.86,5.49,-0.22,20.31,BLA,Insurance,20.01
2020-01-23,0.63,2.85,3.48,-2.22,17.8,BLA,Insurance,17.790000000000003
2020-01-24,4.25,2.02,6.27,2.24,23.49,BLA,Insurance,20.03
2020-01-27,5.25,3.7,8.95,1.55,21.6,BLA,Insurance,21.580000000000002
2020-01-28,2.7,2.88,5.58,-0.18,23.64,BLA,Insurance,21.400000000000002
2020-01-29,2.21,5.25,7.46,-3.04,33.96,BLA,Insurance,18.360000000000003
2020-01-30,0.29,1.94,2.23,-1.65,10.97,BLA,Insurance,16.710000000000004
2020-01-31,11.06,4.75,15.82,6.31,49.04,BLA,Insurance,23.020000000000003
2020-02-03,0.76,2.86,3.62,-2.09,22.33,BLA,Insurance,20.930000000000003
2020-02-04,2.24,0.91,3.15,1.34,17.11,BLA,Insurance,22.270000000000003
2020-02-05,2.31,0.36,2.66,1.95,18.7,BLA,Insurance,24.220000000000002
2020-02-06,2.95,0.44,3.39,2.52,21.46,BLA,Insurance,26.740000000000002
2020-02-07,1.28,0.41,1.7,0.87,8.72,BLA,Insurance,27.610000000000003
2020-02-11,1.67,1.0,2.66,0.67,13.96,BLA,Insurance,28.280000000000005
2020-02-12,1.21,0.09,1.3,1.11,4.04,BLA,Insurance,29.390000000000004
2020-02-13,0.66,2.08,2.74,-1.42,19.07,BLA,Insurance,27.970000000000006
2020-02-14,1.52,2.35,3.87,-0.83,8.8,BLA,Insurance,27.140000000000008
2020-02-17,0.62,1.71,2.33,-1.08,9.53,BLA,Insurance,26.06000000000001
2020-02-18,15.05,2.94,17.99,12.12,45.74,BLA,Insurance,38.18000000000001
2020-02-19,1.0,4.66,5.66,-3.66,17.65,BLA,Insurance,34.52000000000001
2020-02-20,1.62,4.44,6.06,-2.82,25.19,BLA,Insurance,31.70000000000001
2020-02-21,5.58,4.21,9.79,1.38,37.34,BLA,Insurance,33.08000000000001
2020-02-24,0.0,4.76,4.76,-4.76,12.73,BLA,Insurance,28.320000000000014
2020-02-25,1.24,3.06,4.3,-1.82,13.47,BLA,Insurance,26.500000000000014
2020-02-26,0.94,2.66,3.6,-1.72,6.86,BLA,Insurance,24.780000000000015
2020-02-27,4.62,2.95,7.57,1.67,16.79,BLA,Insurance,26.450000000000017
2020-02-28,0.65,2.11,2.76,-1.47,8.79,BLA,Insurance,24.980000000000018
2020-03-02,1.1,3.38,4.47,-2.28,21.93,BLA,Insurance,22.700000000000017
2020-03-03,0.76,0.55,1.31,0.21,7.9,BLA,Insurance,22.910000000000018
2020-03-04,6.98,1.19,8.17,5.8,27.62,BLA,Insurance,28.71000000000002
2020-03-05,1.89,2.2,4.09,-0.31,16.13,BLA,Insurance,28.40000000000002
2020-03-06,0.17,3.95,4.11,-3.78,21.98,BLA,Insurance,24.62000000000002
2020-03-09,9.78,12.75,22.53,-2.97,41.66,BLA,Insurance,21.65000000000002
2020-03-10,0.85,2.14,2.99,-1.29,12.54,BLA,Insurance,20.36000000000002
2020-03-11,0.93,2.14,3.07,-1.21,9.35,BLA,Insurance,19.15000000000002
2020-03-12,1.66,3.29,4.95,-1.63,14.84,BLA,Insurance,17.52000000000002
2020-03-13,2.73,4.96,7.69,-2.23,22.76,BLA,Insurance,15.29000000000002
2020-03-16,1.15,2.45,3.6,-1.3,2.5,BLA,Insurance,13.99000000000002
2020-03-17,1.97,1.4,3.37,0.57,2.82,BLA,Insurance,14.56000000000002
2020-03-18,1.14,2.87,4.01,-1.73,1.06,BLA,Insurance,12.83000000000002
2020-03-19,1.71,3.03,4.73,-1.32,19.46,BLA,Insurance,11.51000000000002
2020-03-20,7.89,2.76,10.66,5.13,11.43,BLA,Insurance,16.64000000000002
2020-03-23,10.22,8.07,18.29,2.16,30.62,BLA,Insurance,18.80000000000002
2020-03-24,1.31,2.99,4.3,-1.67,14.52,BLA,Insurance,17.130000000000017
2020-03-25,3.58,2.8,6.38,0.78,31.85,BLA,Insurance,17.910000000000018
