date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2022-11-02,65.18,405.59,470.77,-340.41,2.7,BTG,Food,-340.41
2022-11-03,51.24,43.85,95.08,7.39,2.36,BTG,Food,-333.02000000000004
2022-11-04,19.34,24.01,43.36,-4.67,1.85,BTG,Food,-337.69000000000005
2022-11-07,13.27,3.74,17.01,9.53,0.67,BTG,Food,-328.1600000000001
2022-11-08,10.8,9.52,20.32,1.28,2.42,BTG,Food,-326.8800000000001
2022-11-09,27.14,32.13,59.27,-5.0,3.9,BTG,Food,-331.8800000000001
2022-11-10,4.95,3.54,8.5,1.41,0.91,BTG,Food,-330.4700000000001
2022-11-11,3.73,7.26,10.99,-3.53,3.14,BTG,Food,-334.00000000000006
2022-11-14,17.39,5.04,22.43,12.36,2.37,BTG,Food,-321.64000000000004
2022-11-15,1.0,7.08,8.08,-6.07,2.03,BTG,Food,-327.71000000000004
2022-11-16,4.26,0.22,4.48,4.04,1.98,BTG,Food,-323.67
2022-11-17,6.86,3.68,10.55,3.18,5.67,BTG,Food,-320.49
2022-11-18,7.27,7.3,14.57,-0.03,3.05,BTG,Food,-320.52
2022-11-21,1.18,2.25,3.43,-1.08,0.91,BTG,Food,-321.59999999999997
2022-11-22,8.97,3.25,12.22,5.72,1.88,BTG,Food,-315.87999999999994
2022-11-23,7.21,7.66,14.87,-0.44,2.08,BTG,Food,-316.31999999999994
2022-11-24,3.09,5.87,8.96,-2.77,0.84,BTG,Food,-319.0899999999999
2022-11-25,1.13,4.38,5.5,-3.25,0.81,BTG,Food,-322.3399999999999
2022-11-28,3.03,1.21,4.24,1.82,1.86,BTG,Food,-320.5199999999999
2022-11-29,1.08,7.24,8.32,-6.15,2.25,BTG,Food,-326.6699999999999
2022-11-30,0.82,0.67,1.5,0.15,0.43,BTG,Food,-326.5199999999999
2022-12-01,2.21,4.07,6.28,-1.85,2.25,BTG,Food,-328.36999999999995
2022-12-02,5.82,6.95,12.77,-1.13,4.99,BTG,Food,-329.49999999999994
2022-12-06,6.66,1.9,8.55,4.76,6.47,BTG,Food,-324.73999999999995
2022-12-07,9.63,2.98,12.61,6.65,7.8,BTG,Food,-318.09
2022-12-08,1.53,8.36,9.89,-6.84,4.02,BTG,Food,-324.92999999999995
2022-12-09,2.66,1.08,3.75,1.58,2.43,BTG,Food,-323.34999999999997
2022-12-13,10.62,2.84,13.46,7.78,5.89,BTG,Food,-315.57
2022-12-14,26.58,0.53,27.11,26.04,5.49,BTG,Food,-289.53
2022-12-15,2.92,12.2,15.12,-9.28,8.17,BTG,Food,-298.80999999999995
2022-12-16,5.22,16.0,21.22,-10.78,22.46,BTG,Food,-309.5899999999999
2022-12-19,3.81,9.84,13.65,-6.03,9.43,BTG,Food,-315.6199999999999
2022-12-20,21.94,3.72,25.65,18.22,17.36,BTG,Food,-297.39999999999986
2022-12-21,11.36,16.78,28.14,-5.42,7.31,BTG,Food,-302.8199999999999
2022-12-22,4.6,11.73,16.33,-7.13,10.36,BTG,Food,-309.9499999999999
2022-12-23,0.97,2.06,3.03,-1.1,3.81,BTG,Food,-311.0499999999999
2022-12-26,1.09,0.62,1.71,0.47,1.57,BTG,Food,-310.57999999999987
2022-12-27,13.58,4.59,18.17,8.99,6.17,BTG,Food,-301.58999999999986
2022-12-28,4.98,2.75,7.74,2.23,4.77,BTG,Food,-299.35999999999984
2022-12-29,1.0,3.23,4.23,-2.23,4.45,BTG,Food,-301.58999999999986
2022-12-30,6.38,0.34,6.72,6.04,5.31,BTG,Food,-295.54999999999984
2023-01-03,2.99,3.64,6.64,-0.65,12.32,BTG,Food,-296.1999999999998
2023-01-04,1.79,1.07,2.86,0.71,2.28,BTG,Food,-295.48999999999984
2023-01-05,5.8,4.84,10.64,0.96,3.17,BTG,Food,-294.52999999999986
2023-01-06,16.29,2.35,18.64,13.94,5.01,BTG,Food,-280.58999999999986
2023-01-09,14.89,11.68,26.56,3.21,5.98,BTG,Food,-277.3799999999999
2023-01-10,19.89,3.15,23.04,16.75,8.48,BTG,Food,-260.6299999999999
2023-01-11,6.4,9.85,16.25,-3.45,3.98,BTG,Food,-264.07999999999987
2023-01-12,5.11,5.6,10.71,-0.49,8.12,BTG,Food,-264.5699999999999
2023-01-13,8.19,6.86,15.05,1.33,6.38,BTG,Food,-263.2399999999999
2023-01-16,8.14,3.52,11.66,4.63,10.13,BTG,Food,-258.6099999999999
2023-01-17,50.83,13.74,64.58,37.09,6.68,BTG,Food,-221.5199999999999
2023-01-18,2.76,19.82,22.57,-17.06,10.65,BTG,Food,-238.5799999999999
2023-01-19,3.89,6.87,10.76,-2.98,7.21,BTG,Food,-241.5599999999999
2023-01-20,13.64,8.9,22.54,4.73,13.53,BTG,Food,-236.8299999999999
2023-01-23,9.29,6.57,15.86,2.72,9.71,BTG,Food,-234.1099999999999
2023-01-24,15.02,19.21,34.23,-4.18,12.48,BTG,Food,-238.2899999999999
2023-01-25,13.48,3.34,16.82,10.14,10.84,BTG,Food,-228.14999999999992
2023-01-26,25.71,3.91,29.62,21.8,16.63,BTG,Food,-206.3499999999999
2023-01-27,28.74,3.51,32.25,25.22,19.99,BTG,Food,-181.1299999999999
2023-01-30,29.51,9.73,39.24,19.79,13.7,BTG,Food,-161.33999999999992
2023-01-31,24.09,1.73,25.82,22.35,9.83,BTG,Food,-138.98999999999992
2023-02-01,31.43,1.88,33.31,29.55,8.85,BTG,Food,-109.43999999999993
2023-02-02,19.77,7.31,27.07,12.46,9.77,BTG,Food,-96.97999999999993
2023-02-03,4.96,8.34,13.3,-3.38,7.91,BTG,Food,-100.35999999999993
2023-02-06,2.57,9.73,12.3,-7.16,25.77,BTG,Food,-107.51999999999992
2023-02-07,8.04,13.23,21.27,-5.19,16.13,BTG,Food,-112.70999999999992
2023-02-08,5.48,14.51,19.99,-9.03,15.29,BTG,Food,-121.73999999999992
2023-02-09,13.39,14.1,27.49,-0.71,15.06,BTG,Food,-122.44999999999992
2023-02-10,57.67,31.35,89.02,26.32,31.5,BTG,Food,-96.12999999999991
2023-02-13,21.96,10.07,32.03,11.89,32.46,BTG,Food,-84.23999999999991
