date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,78.06,140.44,218.5,-62.38,17.3,BTS,Trans,-62.38
2020-01-03,118.08,113.05,231.14,5.03,28.56,BTS,Trans,-57.35
2020-01-06,176.04,102.54,278.58,73.49,23.2,BTS,Trans,16.139999999999993
2020-01-07,143.65,154.62,298.28,-10.97,26.61,BTS,Trans,5.169999999999993
2020-01-08,140.74,174.79,315.53,-34.06,30.63,BTS,Trans,-28.890000000000008
2020-01-09,113.68,138.36,252.04,-24.69,18.18,BTS,Trans,-53.58000000000001
2020-01-10,99.58,58.45,158.03,41.13,17.28,BTS,Trans,-12.45000000000001
2020-01-13,129.63,26.82,156.46,102.81,24.23,BTS,Trans,90.35999999999999
2020-01-14,86.26,30.37,116.63,55.9,27.94,BTS,Trans,146.26
2020-01-15,96.39,161.1,257.49,-64.71,45.88,BTS,Trans,81.55
2020-01-16,162.62,161.66,324.28,0.96,29.18,BTS,Trans,82.50999999999999
2020-01-17,155.38,221.86,377.24,-66.49,23.4,BTS,Trans,16.019999999999996
2020-01-20,50.1,57.76,107.86,-7.66,25.1,BTS,Trans,8.359999999999996
2020-01-21,75.39,99.97,175.36,-24.58,22.99,BTS,Trans,-16.220000000000002
2020-01-22,98.35,144.34,242.69,-45.98,32.39,BTS,Trans,-62.2
2020-01-23,71.14,214.12,285.26,-142.99,40.03,BTS,Trans,-205.19
2020-01-24,38.2,111.96,150.17,-73.76,37.73,BTS,Trans,-278.95
2020-01-27,52.61,213.03,265.63,-160.42,26.75,BTS,Trans,-439.37
2020-01-28,37.15,108.89,146.04,-71.74,18.74,BTS,Trans,-511.11
2020-01-29,323.0,741.82,1064.81,-418.82,25.09,BTS,Trans,-929.9300000000001
2020-01-30,190.42,207.55,397.97,-17.13,18.38,BTS,Trans,-947.0600000000001
2020-01-31,148.17,131.89,280.06,16.27,24.09,BTS,Trans,-930.7900000000001
2020-02-03,84.94,64.05,148.99,20.89,24.23,BTS,Trans,-909.9000000000001
2020-02-04,100.91,187.8,288.71,-86.9,22.25,BTS,Trans,-996.8000000000001
2020-02-05,72.83,92.47,165.3,-19.64,30.39,BTS,Trans,-1016.44
2020-02-06,68.92,101.65,170.57,-32.73,29.91,BTS,Trans,-1049.17
2020-02-07,103.05,169.92,272.97,-66.87,37.29,BTS,Trans,-1116.04
2020-02-11,40.0,79.16,119.17,-39.16,18.61,BTS,Trans,-1155.2
2020-02-12,85.5,67.36,152.87,18.14,26.55,BTS,Trans,-1137.06
2020-02-13,59.68,49.27,108.95,10.42,14.61,BTS,Trans,-1126.6399999999999
2020-02-14,35.01,41.4,76.41,-6.39,16.77,BTS,Trans,-1133.03
2020-02-17,105.44,66.9,172.34,38.54,13.84,BTS,Trans,-1094.49
2020-02-18,73.89,82.97,156.85,-9.08,30.88,BTS,Trans,-1103.57
2020-02-19,86.92,107.89,194.81,-20.97,30.93,BTS,Trans,-1124.54
2020-02-20,127.18,116.47,243.65,10.72,23.19,BTS,Trans,-1113.82
2020-02-21,101.07,167.16,268.24,-66.09,32.21,BTS,Trans,-1179.9099999999999
2020-02-24,133.42,207.52,340.94,-74.1,26.37,BTS,Trans,-1254.0099999999998
