date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,26.15,48.55,74.7,-22.4,16.2,CBG,Food,-22.4
2020-01-03,39.33,69.93,109.26,-30.6,18.99,CBG,Food,-53.0
2020-01-06,86.66,40.67,127.34,45.99,30.23,CBG,Food,-7.009999999999998
2020-01-07,53.1,95.34,148.45,-42.24,27.03,CBG,Food,-49.25
2020-01-08,97.96,101.56,199.52,-3.61,23.65,CBG,Food,-52.86
2020-01-09,98.05,49.93,147.99,48.12,21.59,CBG,Food,-4.740000000000002
2020-01-10,89.35,32.41,121.76,56.94,20.92,CBG,Food,52.199999999999996
2020-01-13,72.6,43.16,115.77,29.44,25.79,CBG,Food,81.64
2020-01-14,246.15,72.93,319.08,173.22,19.9,CBG,Food,254.86
2020-01-15,145.85,73.99,219.84,71.86,23.43,CBG,Food,326.72
2020-01-16,51.85,71.91,123.76,-20.07,20.77,CBG,Food,306.65000000000003
2020-01-17,101.09,40.4,141.5,60.69,16.94,CBG,Food,367.34000000000003
2020-01-20,222.57,67.22,289.79,155.35,21.51,CBG,Food,522.69
2020-01-21,300.5,166.37,466.88,134.13,41.48,CBG,Food,656.82
2020-01-22,138.26,59.61,197.87,78.66,27.18,CBG,Food,735.48
2020-01-23,223.86,155.26,379.12,68.6,23.56,CBG,Food,804.08
2020-01-24,143.69,117.03,260.72,26.66,28.54,CBG,Food,830.74
2020-01-27,207.87,85.91,293.78,121.97,26.8,CBG,Food,952.71
2020-01-28,220.37,76.2,296.57,144.17,28.49,CBG,Food,1096.88
2020-01-29,139.14,107.52,246.66,31.62,34.02,CBG,Food,1128.5
2020-01-30,32.7,39.18,71.88,-6.49,16.07,CBG,Food,1122.01
2020-01-31,46.31,62.46,108.77,-16.15,18.9,CBG,Food,1105.86
2020-02-03,28.0,58.8,86.8,-30.8,21.52,CBG,Food,1075.06
2020-02-04,28.29,44.27,72.55,-15.98,28.61,CBG,Food,1059.08
2020-02-05,80.65,47.93,128.58,32.72,26.85,CBG,Food,1091.8
2020-02-06,29.38,63.26,92.64,-33.88,26.67,CBG,Food,1057.9199999999998
2020-02-07,33.6,86.83,120.43,-53.23,32.86,CBG,Food,1004.6899999999998
2020-02-11,36.7,34.46,71.16,2.23,26.0,CBG,Food,1006.9199999999998
2020-02-12,130.55,99.32,229.87,31.23,33.28,CBG,Food,1038.1499999999999
2020-02-13,46.2,52.45,98.65,-6.24,19.83,CBG,Food,1031.9099999999999
2020-02-14,144.9,81.52,226.43,63.38,20.74,CBG,Food,1095.29
2020-02-17,36.95,78.78,115.73,-41.83,19.5,CBG,Food,1053.46
2020-02-18,28.77,28.83,57.6,-0.06,15.97,CBG,Food,1053.4
2020-02-19,41.21,98.95,140.16,-57.74,30.3,CBG,Food,995.6600000000001
2020-02-20,61.92,85.86,147.78,-23.95,23.1,CBG,Food,971.71
2020-02-21,162.89,267.75,430.63,-104.86,20.47,CBG,Food,866.85
2020-02-24,194.79,205.65,400.44,-10.86,26.38,CBG,Food,855.99
2020-02-25,277.13,272.35,549.48,4.78,20.74,CBG,Food,860.77
2020-02-26,103.39,198.57,301.97,-95.18,22.36,CBG,Food,765.5899999999999
2020-02-27,78.65,162.29,240.94,-83.63,23.22,CBG,Food,681.9599999999999
2020-02-28,75.64,177.17,252.81,-101.53,25.62,CBG,Food,580.43
