date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,6.59,9.34,15.93,-2.75,8.13,CENTEL,Tourism,-2.75
2020-01-03,26.75,14.46,41.21,12.3,17.94,CENTEL,Tourism,9.55
2020-01-06,11.26,62.21,73.47,-50.94,10.88,CENTEL,Tourism,-41.39
2020-01-07,50.17,12.8,62.97,37.37,27.43,CENTEL,Tourism,-4.020000000000003
2020-01-08,6.16,19.38,25.54,-13.23,11.77,CENTEL,Tourism,-17.250000000000004
2020-01-09,31.7,8.48,40.18,23.22,11.21,CENTEL,Tourism,5.969999999999995
2020-01-10,11.28,5.49,16.77,5.79,13.95,CENTEL,Tourism,11.759999999999994
2020-01-13,12.98,5.01,17.99,7.97,14.04,CENTEL,Tourism,19.729999999999993
2020-01-14,41.39,8.87,50.25,32.52,11.71,CENTEL,Tourism,52.25
2020-01-15,5.37,9.32,14.68,-3.95,10.64,CENTEL,Tourism,48.3
2020-01-16,11.14,7.58,18.72,3.56,11.29,CENTEL,Tourism,51.86
2020-01-17,3.3,9.66,12.96,-6.37,11.58,CENTEL,Tourism,45.49
2020-01-20,3.18,13.71,16.89,-10.52,11.36,CENTEL,Tourism,34.97
2020-01-21,10.06,47.15,57.21,-37.09,14.15,CENTEL,Tourism,-2.1200000000000045
2020-01-22,20.04,38.44,58.48,-18.4,13.64,CENTEL,Tourism,-20.520000000000003
2020-01-23,33.82,14.91,48.73,18.9,21.4,CENTEL,Tourism,-1.6200000000000045
2020-01-24,26.58,6.5,33.08,20.08,21.51,CENTEL,Tourism,18.459999999999994
2020-01-27,46.18,15.89,62.07,30.3,17.82,CENTEL,Tourism,48.75999999999999
2020-01-28,25.39,17.54,42.94,7.85,14.81,CENTEL,Tourism,56.60999999999999
2020-01-29,7.06,16.46,23.51,-9.4,15.61,CENTEL,Tourism,47.209999999999994
2020-01-30,14.72,3.03,17.75,11.69,12.65,CENTEL,Tourism,58.89999999999999
2020-01-31,11.58,13.44,25.03,-1.86,15.57,CENTEL,Tourism,57.03999999999999
2020-02-03,6.48,18.84,25.32,-12.36,11.74,CENTEL,Tourism,44.67999999999999
2020-02-04,28.9,11.36,40.26,17.54,13.31,CENTEL,Tourism,62.21999999999999
2020-02-05,29.82,11.74,41.56,18.08,10.17,CENTEL,Tourism,80.29999999999998
2020-02-06,44.98,14.09,59.07,30.89,21.15,CENTEL,Tourism,111.18999999999998
