date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,3.83,19.29,23.11,-15.46,16.07,CHG,Helth,-15.46
2020-01-03,8.7,25.59,34.29,-16.88,8.11,CHG,Helth,-32.34
2020-01-06,26.32,19.96,46.28,6.35,8.37,CHG,Helth,-25.990000000000002
2020-01-07,65.08,27.68,92.76,37.4,16.33,CHG,Helth,11.409999999999997
2020-01-08,18.92,17.18,36.11,1.74,11.53,CHG,Helth,13.149999999999997
2020-01-09,3.74,10.62,14.36,-6.88,18.04,CHG,Helth,6.269999999999997
2020-01-10,9.18,5.93,15.12,3.25,16.52,CHG,Helth,9.519999999999996
2020-01-13,3.87,10.37,14.24,-6.5,20.3,CHG,Helth,3.019999999999996
2020-01-14,9.32,14.4,23.73,-5.08,8.65,CHG,Helth,-2.060000000000004
2020-01-15,59.28,25.47,84.75,33.81,26.09,CHG,Helth,31.75
2020-01-16,14.93,12.38,27.32,2.55,11.33,CHG,Helth,34.3
2020-01-17,12.98,11.82,24.81,1.16,14.15,CHG,Helth,35.459999999999994
2020-01-20,20.6,18.39,38.99,2.2,17.58,CHG,Helth,37.66
2020-01-21,12.42,9.48,21.89,2.94,11.76,CHG,Helth,40.599999999999994
2020-01-22,21.26,5.0,26.26,16.25,21.6,CHG,Helth,56.849999999999994
2020-01-23,26.69,12.55,39.24,14.14,7.95,CHG,Helth,70.99
2020-01-24,11.79,3.68,15.48,8.11,11.23,CHG,Helth,79.1
2020-01-27,19.59,28.41,48.0,-8.81,8.14,CHG,Helth,70.28999999999999
2020-01-28,4.61,11.92,16.53,-7.31,7.4,CHG,Helth,62.97999999999999
2020-01-29,30.66,2.4,33.06,28.26,25.18,CHG,Helth,91.24
2020-01-30,11.83,7.89,19.72,3.94,6.76,CHG,Helth,95.17999999999999
2020-01-31,20.64,17.88,38.52,2.75,11.08,CHG,Helth,97.92999999999999
2020-02-03,10.03,16.01,26.04,-5.98,10.11,CHG,Helth,91.94999999999999
2020-02-04,18.58,4.99,23.57,13.6,12.43,CHG,Helth,105.54999999999998
2020-02-05,21.45,11.51,32.96,9.94,19.77,CHG,Helth,115.48999999999998
