date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,42.3,89.57,131.87,-47.26,26.69,CK,Cons,-47.26
2020-01-03,23.7,89.14,112.83,-65.44,17.16,CK,Cons,-112.69999999999999
2020-01-06,34.05,41.92,75.98,-7.87,20.6,CK,Cons,-120.57
2020-01-07,14.71,27.89,42.6,-13.18,15.61,CK,Cons,-133.75
2020-01-08,24.89,29.04,53.92,-4.15,17.32,CK,Cons,-137.9
2020-01-09,29.9,12.25,42.15,17.65,13.35,CK,Cons,-120.25
2020-01-10,26.05,33.02,59.07,-6.97,15.1,CK,Cons,-127.22
2020-01-13,159.4,132.01,291.41,27.38,13.47,CK,Cons,-99.84
2020-01-14,51.2,63.99,115.19,-12.79,13.33,CK,Cons,-112.63
2020-01-15,80.07,121.78,201.86,-41.71,16.96,CK,Cons,-154.34
2020-01-16,135.23,156.98,292.21,-21.75,14.24,CK,Cons,-176.09
2020-01-17,118.76,43.93,162.69,74.84,12.27,CK,Cons,-101.25
2020-01-20,24.34,22.75,47.1,1.59,10.17,CK,Cons,-99.66
2020-01-21,62.46,34.35,96.81,28.12,14.76,CK,Cons,-71.53999999999999
2020-01-22,108.34,131.61,239.95,-23.27,16.07,CK,Cons,-94.80999999999999
2020-01-23,61.34,55.78,117.12,5.56,15.07,CK,Cons,-89.24999999999999
2020-01-24,15.42,27.53,42.95,-12.11,18.51,CK,Cons,-101.35999999999999
2020-01-27,13.13,42.72,55.85,-29.59,14.35,CK,Cons,-130.95
2020-01-28,43.06,75.14,118.19,-32.08,21.57,CK,Cons,-163.02999999999997
2020-01-29,70.39,57.53,127.92,12.86,12.57,CK,Cons,-150.16999999999996
2020-01-30,56.52,66.64,123.15,-10.12,11.74,CK,Cons,-160.28999999999996
2020-01-31,37.62,49.79,87.41,-12.17,9.67,CK,Cons,-172.45999999999995
2020-02-03,20.86,48.27,69.14,-27.41,15.05,CK,Cons,-199.86999999999995
2020-02-04,26.22,79.64,105.86,-53.42,22.64,CK,Cons,-253.28999999999996
2020-02-05,18.42,28.44,46.86,-10.02,11.88,CK,Cons,-263.30999999999995
2020-02-06,93.66,71.4,165.06,22.26,16.4,CK,Cons,-241.04999999999995
2020-02-07,130.84,120.03,250.87,10.81,12.49,CK,Cons,-230.23999999999995
2020-02-11,59.27,68.93,128.2,-9.66,18.59,CK,Cons,-239.89999999999995
2020-02-12,41.79,39.33,81.12,2.45,16.81,CK,Cons,-237.44999999999996
2020-02-13,34.83,23.68,58.51,11.15,10.29,CK,Cons,-226.29999999999995
2020-02-14,25.24,43.11,68.35,-17.87,11.19,CK,Cons,-244.16999999999996
2020-02-17,31.48,5.72,37.21,25.76,13.71,CK,Cons,-218.40999999999997
2020-02-18,89.38,18.8,108.18,70.58,20.55,CK,Cons,-147.82999999999998
2020-02-19,45.79,16.14,61.93,29.65,16.64,CK,Cons,-118.17999999999998
2020-02-20,59.27,48.54,107.81,10.73,19.27,CK,Cons,-107.44999999999997
2020-02-21,36.17,41.4,77.58,-5.23,18.31,CK,Cons,-112.67999999999998
2020-02-24,20.68,41.36,62.03,-20.68,17.31,CK,Cons,-133.35999999999999
2020-02-25,57.41,43.73,101.14,13.69,13.54,CK,Cons,-119.66999999999999
2020-02-26,60.21,71.76,131.97,-11.55,16.28,CK,Cons,-131.22
2020-02-27,31.55,47.09,78.64,-15.55,11.55,CK,Cons,-146.77
2020-02-28,40.29,67.44,107.72,-27.15,18.32,CK,Cons,-173.92000000000002
2020-03-02,57.28,49.38,106.67,7.9,16.42,CK,Cons,-166.02
2020-03-03,62.77,47.81,110.59,14.96,16.45,CK,Cons,-151.06
2020-03-04,71.09,45.67,116.76,25.42,23.09,CK,Cons,-125.64
2020-03-05,41.12,36.16,77.28,4.95,16.25,CK,Cons,-120.69
2020-03-06,27.24,30.22,57.46,-2.98,18.79,CK,Cons,-123.67
2020-03-09,36.39,90.67,127.06,-54.27,28.16,CK,Cons,-177.94
2020-03-10,34.61,25.75,60.35,8.86,24.17,CK,Cons,-169.07999999999998
2020-03-11,21.01,51.86,72.87,-30.85,16.63,CK,Cons,-199.92999999999998
2020-03-12,74.48,46.91,121.39,27.57,17.46,CK,Cons,-172.35999999999999
2020-03-13,41.98,60.83,102.81,-18.85,21.22,CK,Cons,-191.20999999999998
2020-03-16,13.71,21.32,35.03,-7.6,22.06,CK,Cons,-198.80999999999997
2020-03-17,12.96,27.62,40.58,-14.66,14.84,CK,Cons,-213.46999999999997
2020-03-18,23.92,19.33,43.25,4.59,26.43,CK,Cons,-208.87999999999997
2020-03-19,18.84,14.3,33.14,4.54,16.86,CK,Cons,-204.33999999999997
2020-03-20,42.22,25.76,67.98,16.46,14.62,CK,Cons,-187.87999999999997
2020-03-23,13.18,21.35,34.52,-8.17,13.47,CK,Cons,-196.04999999999995
2020-03-24,14.87,18.06,32.93,-3.2,14.86,CK,Cons,-199.24999999999994
2020-03-25,16.63,16.05,32.68,0.57,10.88,CK,Cons,-198.67999999999995
2020-03-26,14.32,16.35,30.67,-2.04,16.78,CK,Cons,-200.71999999999994
2020-03-27,8.27,18.25,26.52,-9.99,11.04,CK,Cons,-210.70999999999995
2020-03-30,14.25,8.97,23.22,5.28,17.62,CK,Cons,-205.42999999999995
2020-03-31,13.05,7.29,20.34,5.77,18.16,CK,Cons,-199.65999999999994
2020-04-01,3.38,6.78,10.16,-3.4,8.54,CK,Cons,-203.05999999999995
2020-04-02,25.63,11.79,37.42,13.84,18.48,CK,Cons,-189.21999999999994
