date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,1717.64,813.99,2531.63,903.65,29.32,CPALL,Commerce,903.65
2020-01-03,681.56,230.3,911.85,451.26,22.21,CPALL,Commerce,1354.9099999999999
2020-01-06,278.23,275.41,553.64,2.82,19.56,CPALL,Commerce,1357.7299999999998
2020-01-07,737.49,333.03,1070.52,404.47,34.08,CPALL,Commerce,1762.1999999999998
2020-01-08,418.17,492.56,910.73,-74.39,25.13,CPALL,Commerce,1687.8099999999997
2020-01-09,691.0,1128.91,1819.91,-437.92,31.1,CPALL,Commerce,1249.8899999999996
2020-01-10,229.86,522.11,751.97,-292.26,21.42,CPALL,Commerce,957.6299999999997
2020-01-13,1136.57,592.99,1729.57,543.58,24.69,CPALL,Commerce,1501.2099999999996
2020-01-14,556.25,560.06,1116.31,-3.81,32.37,CPALL,Commerce,1497.3999999999996
2020-01-15,466.84,801.81,1268.65,-334.97,34.4,CPALL,Commerce,1162.4299999999996
2020-01-16,930.18,694.81,1624.99,235.37,26.65,CPALL,Commerce,1397.7999999999997
2020-01-17,189.37,311.1,500.47,-121.73,17.55,CPALL,Commerce,1276.0699999999997
2020-01-20,271.07,297.44,568.51,-26.36,20.69,CPALL,Commerce,1249.7099999999998
2020-01-21,596.54,370.85,967.39,225.69,28.37,CPALL,Commerce,1475.3999999999999
2020-01-22,527.12,382.68,909.8,144.44,31.35,CPALL,Commerce,1619.84
2020-01-23,221.33,327.9,549.23,-106.57,25.54,CPALL,Commerce,1513.27
2020-01-24,643.63,135.87,779.49,507.76,26.29,CPALL,Commerce,2021.03
2020-01-27,540.08,687.65,1227.73,-147.57,25.83,CPALL,Commerce,1873.46
2020-01-28,621.84,670.62,1292.46,-48.78,31.58,CPALL,Commerce,1824.68
2020-01-29,363.75,464.86,828.61,-101.1,29.45,CPALL,Commerce,1723.5800000000002
2020-01-30,429.78,269.68,699.46,160.1,31.72,CPALL,Commerce,1883.68
2020-01-31,1024.78,775.52,1800.31,249.26,29.83,CPALL,Commerce,2132.94
2020-02-03,1228.68,464.86,1693.54,763.81,20.51,CPALL,Commerce,2896.75
2020-02-04,1039.35,481.64,1520.99,557.71,29.39,CPALL,Commerce,3454.46
2020-02-05,328.7,714.57,1043.27,-385.87,26.79,CPALL,Commerce,3068.59
2020-02-06,750.44,761.06,1511.5,-10.61,37.55,CPALL,Commerce,3057.98
2020-02-07,408.54,633.59,1042.13,-225.05,30.02,CPALL,Commerce,2832.93
2020-02-11,632.28,417.07,1049.35,215.21,31.86,CPALL,Commerce,3048.14
2020-02-12,202.46,309.23,511.68,-106.77,25.93,CPALL,Commerce,2941.37
2020-02-13,218.35,310.79,529.13,-92.44,35.58,CPALL,Commerce,2848.93
2020-02-14,528.3,354.83,883.13,173.47,22.87,CPALL,Commerce,3022.3999999999996
2020-02-17,208.99,205.24,414.23,3.76,16.0,CPALL,Commerce,3026.16
2020-02-18,158.53,350.91,509.44,-192.38,27.2,CPALL,Commerce,2833.7799999999997
2020-02-19,356.25,591.19,947.44,-234.95,22.63,CPALL,Commerce,2598.83
2020-02-20,486.97,547.01,1033.99,-60.04,18.01,CPALL,Commerce,2538.79
