date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-02-20,588.5,57.39,645.89,531.11,4.23,CRC,Commerce,531.11
2020-02-21,331.19,257.38,588.58,73.81,17.87,CRC,Commerce,604.9200000000001
2020-02-24,601.28,544.83,1146.1,56.45,10.06,CRC,Commerce,661.3700000000001
2020-02-25,1089.55,476.98,1566.53,612.58,17.06,CRC,Commerce,1273.9500000000003
2020-02-26,826.02,412.69,1238.71,413.33,13.25,CRC,Commerce,1687.2800000000002
2020-02-27,432.46,533.84,966.3,-101.38,14.78,CRC,Commerce,1585.9
2020-02-28,2041.7,2401.33,4443.03,-359.62,34.8,CRC,Commerce,1226.2800000000002
2020-03-02,359.7,236.82,596.52,122.89,14.98,CRC,Commerce,1349.1700000000003
2020-03-03,227.75,238.23,465.99,-10.48,13.35,CRC,Commerce,1338.6900000000003
2020-03-04,289.89,147.64,437.53,142.25,13.35,CRC,Commerce,1480.9400000000003
2020-03-05,72.84,120.62,193.46,-47.78,7.15,CRC,Commerce,1433.1600000000003
2020-03-06,161.81,225.58,387.38,-63.77,18.19,CRC,Commerce,1369.3900000000003
2020-03-09,177.7,236.06,413.76,-58.36,15.93,CRC,Commerce,1311.0300000000004
2020-03-10,119.18,92.36,211.54,26.83,10.96,CRC,Commerce,1337.8600000000004
2020-03-11,120.14,122.01,242.15,-1.87,13.12,CRC,Commerce,1335.9900000000005
2020-03-12,89.15,312.42,401.57,-223.27,13.23,CRC,Commerce,1112.7200000000005
2020-03-13,201.14,225.19,426.34,-24.05,16.18,CRC,Commerce,1088.6700000000005
2020-03-16,160.5,172.69,333.18,-12.19,16.11,CRC,Commerce,1076.4800000000005
2020-03-17,134.49,210.96,345.45,-76.47,19.98,CRC,Commerce,1000.0100000000004
2020-03-18,160.97,294.75,455.72,-133.79,22.37,CRC,Commerce,866.2200000000005
2020-03-19,135.71,241.15,376.86,-105.44,16.61,CRC,Commerce,760.7800000000004
2020-03-20,218.16,286.28,504.44,-68.12,18.12,CRC,Commerce,692.6600000000004
2020-03-23,290.63,108.56,399.2,182.07,21.01,CRC,Commerce,874.7300000000005
2020-03-24,111.34,146.2,257.54,-34.86,16.03,CRC,Commerce,839.8700000000005
2020-03-25,181.71,142.38,324.09,39.33,14.77,CRC,Commerce,879.2000000000005
2020-03-26,250.42,238.16,488.58,12.26,15.15,CRC,Commerce,891.4600000000005
2020-03-27,187.72,194.08,381.8,-6.36,15.76,CRC,Commerce,885.1000000000005
2020-03-30,227.32,48.96,276.28,178.36,17.35,CRC,Commerce,1063.4600000000005
2020-03-31,147.55,64.06,211.61,83.5,12.45,CRC,Commerce,1146.9600000000005
2020-04-01,26.96,122.27,149.23,-95.31,13.28,CRC,Commerce,1051.6500000000005
2020-04-02,95.34,131.72,227.06,-36.38,16.56,CRC,Commerce,1015.2700000000006
2020-04-03,16.81,24.83,41.64,-8.01,7.09,CRC,Commerce,1007.2600000000006
2020-04-07,161.66,71.64,233.3,90.01,12.0,CRC,Commerce,1097.2700000000007
2020-04-08,129.69,143.61,273.3,-13.92,12.84,CRC,Commerce,1083.3500000000006
2020-04-09,132.33,191.46,323.79,-59.12,12.69,CRC,Commerce,1024.2300000000007
2020-04-10,125.65,93.84,219.49,31.81,6.89,CRC,Commerce,1056.0400000000006
2020-04-13,63.51,71.31,134.82,-7.8,9.26,CRC,Commerce,1048.2400000000007
2020-04-14,215.84,115.05,330.89,100.79,10.79,CRC,Commerce,1149.0300000000007
2020-04-15,195.05,114.23,309.28,80.82,16.11,CRC,Commerce,1229.8500000000006
2020-04-16,100.35,189.56,289.92,-89.21,18.02,CRC,Commerce,1140.6400000000006
2020-04-17,110.84,108.55,219.38,2.29,12.91,CRC,Commerce,1142.9300000000005
2020-04-20,202.55,144.54,347.09,58.0,12.74,CRC,Commerce,1200.9300000000005
2020-04-21,125.19,297.06,422.26,-171.87,26.31,CRC,Commerce,1029.0600000000004
2020-04-22,207.47,164.07,371.54,43.4,20.6,CRC,Commerce,1072.4600000000005
2020-04-23,173.52,117.33,290.85,56.18,23.56,CRC,Commerce,1128.6400000000006
2020-04-24,82.27,128.3,210.57,-46.02,16.54,CRC,Commerce,1082.6200000000006
2020-04-27,68.48,18.36,86.84,50.12,11.69,CRC,Commerce,1132.7400000000005
2020-04-28,101.84,62.96,164.79,38.88,16.78,CRC,Commerce,1171.6200000000006
2020-04-29,82.97,270.73,353.7,-187.77,30.89,CRC,Commerce,983.8500000000006
2020-04-30,199.13,59.81,258.94,139.32,29.53,CRC,Commerce,1123.1700000000005
2020-05-05,68.82,119.24,188.07,-50.42,19.67,CRC,Commerce,1072.7500000000005
2020-05-07,45.75,141.79,187.54,-96.04,17.61,CRC,Commerce,976.7100000000005
2020-05-08,55.53,112.65,168.19,-57.12,26.83,CRC,Commerce,919.5900000000005
2020-05-11,115.67,69.56,185.22,46.11,21.12,CRC,Commerce,965.7000000000005
2020-05-12,59.42,67.87,127.3,-8.45,16.78,CRC,Commerce,957.2500000000005
2020-05-13,41.12,47.97,89.09,-6.86,14.63,CRC,Commerce,950.3900000000004
2020-05-14,52.09,63.33,115.41,-11.24,15.08,CRC,Commerce,939.1500000000004
2020-05-15,139.3,164.57,303.87,-25.27,16.42,CRC,Commerce,913.8800000000005
2020-05-18,35.59,33.47,69.06,2.12,13.22,CRC,Commerce,916.0000000000005
2020-05-19,294.65,161.71,456.37,132.94,30.32,CRC,Commerce,1048.9400000000005
2020-05-20,82.3,70.76,153.06,11.53,12.5,CRC,Commerce,1060.4700000000005
2020-05-21,217.26,60.39,277.65,156.87,41.09,CRC,Commerce,1217.3400000000006
2020-05-22,65.31,120.97,186.28,-55.67,19.9,CRC,Commerce,1161.6700000000005
2020-05-25,58.67,52.93,111.6,5.74,20.33,CRC,Commerce,1167.4100000000005
2020-05-26,156.76,118.01,274.78,38.75,18.1,CRC,Commerce,1206.1600000000005
2020-05-27,80.45,66.45,146.9,14.0,16.27,CRC,Commerce,1220.1600000000005
2020-05-28,172.98,257.25,430.22,-84.27,22.01,CRC,Commerce,1135.8900000000006
2020-05-29,601.18,400.81,1001.99,200.36,25.89,CRC,Commerce,1336.2500000000005
2020-06-01,114.0,96.15,210.15,17.86,18.32,CRC,Commerce,1354.1100000000004
2020-06-02,83.66,35.76,119.42,47.9,18.0,CRC,Commerce,1402.0100000000004
2020-06-04,153.36,56.13,209.49,97.22,19.27,CRC,Commerce,1499.2300000000005
2020-06-05,211.9,256.2,468.1,-44.3,20.65,CRC,Commerce,1454.9300000000005
2020-06-08,207.22,69.49,276.72,137.73,15.05,CRC,Commerce,1592.6600000000005
2020-06-09,67.83,198.03,265.86,-130.2,23.28,CRC,Commerce,1462.4600000000005
2020-06-10,272.38,34.54,306.92,237.84,25.97,CRC,Commerce,1700.3000000000004
2020-06-11,64.33,88.65,152.99,-24.32,13.61,CRC,Commerce,1675.9800000000005
2020-06-12,123.26,91.66,214.93,31.6,13.35,CRC,Commerce,1707.5800000000004
2020-06-15,65.19,74.53,139.73,-9.34,11.18,CRC,Commerce,1698.2400000000005
2020-06-16,109.78,117.45,227.23,-7.67,13.78,CRC,Commerce,1690.5700000000004
2020-06-17,48.08,69.85,117.93,-21.78,12.65,CRC,Commerce,1668.7900000000004
2020-06-18,94.74,63.68,158.41,31.06,10.73,CRC,Commerce,1699.8500000000004
2020-06-19,96.98,53.9,150.89,43.08,17.79,CRC,Commerce,1742.9300000000003
2020-06-22,70.4,52.23,122.63,18.17,22.82,CRC,Commerce,1761.1000000000004
2020-06-23,131.57,29.69,161.26,101.87,26.82,CRC,Commerce,1862.9700000000003
2020-06-24,106.39,143.1,249.49,-36.7,19.42,CRC,Commerce,1826.2700000000002
2020-06-25,64.03,146.69,210.72,-82.66,18.2,CRC,Commerce,1743.6100000000001
2020-06-26,43.68,44.9,88.58,-1.22,12.89,CRC,Commerce,1742.39
2020-06-29,75.3,59.59,134.89,15.72,25.88,CRC,Commerce,1758.1100000000001
2020-06-30,182.48,14.18,196.66,168.29,25.55,CRC,Commerce,1926.4
2020-07-01,99.96,115.09,215.05,-15.13,28.94,CRC,Commerce,1911.27
2020-07-02,132.14,30.06,162.2,102.07,11.57,CRC,Commerce,2013.34
2020-07-03,64.14,26.79,90.93,37.35,14.76,CRC,Commerce,2050.69
2020-07-07,177.22,57.94,235.17,119.28,33.04,CRC,Commerce,2169.9700000000003
2020-07-08,69.79,18.52,88.31,51.27,23.08,CRC,Commerce,2221.2400000000002
2020-07-09,275.96,221.94,497.9,54.02,40.88,CRC,Commerce,2275.26
2020-07-10,112.76,42.56,155.32,70.2,22.68,CRC,Commerce,2345.46
2020-07-13,90.63,83.28,173.91,7.36,23.46,CRC,Commerce,2352.82
2020-07-14,243.54,119.3,362.84,124.24,23.17,CRC,Commerce,2477.06
2020-07-15,107.99,19.89,127.88,88.1,13.71,CRC,Commerce,2565.16
2020-07-16,62.76,32.21,94.97,30.56,12.94,CRC,Commerce,2595.72
2020-07-17,149.28,25.31,174.59,123.97,21.28,CRC,Commerce,2719.6899999999996
2020-07-20,102.58,24.47,127.05,78.11,16.32,CRC,Commerce,2797.7999999999997
2020-07-21,245.07,23.25,268.32,221.82,15.08,CRC,Commerce,3019.62
2020-07-22,94.82,74.07,168.89,20.75,10.48,CRC,Commerce,3040.37
2020-07-23,130.98,81.53,212.51,49.45,31.82,CRC,Commerce,3089.8199999999997
2020-07-24,41.9,43.49,85.4,-1.59,19.42,CRC,Commerce,3088.2299999999996
2020-07-29,220.63,118.91,339.54,101.72,25.64,CRC,Commerce,3189.9499999999994
2020-07-30,92.2,172.75,264.95,-80.54,22.98,CRC,Commerce,3109.4099999999994
2020-07-31,116.09,152.0,268.09,-35.91,32.35,CRC,Commerce,3073.4999999999995
2020-08-03,140.38,91.63,232.01,48.75,26.01,CRC,Commerce,3122.2499999999995
2020-08-04,199.79,29.51,229.3,170.28,21.17,CRC,Commerce,3292.5299999999997
2020-08-05,60.43,16.15,76.58,44.28,16.93,CRC,Commerce,3336.81
2020-08-06,63.29,21.32,84.61,41.96,22.11,CRC,Commerce,3378.77
2020-08-07,68.76,63.85,132.6,4.91,25.57,CRC,Commerce,3383.68
2020-08-10,54.46,40.29,94.75,14.16,37.95,CRC,Commerce,3397.8399999999997
2020-08-11,146.8,96.97,243.77,49.84,15.17,CRC,Commerce,3447.68
2020-08-13,65.82,99.13,164.95,-33.31,8.69,CRC,Commerce,3414.37
2020-08-14,43.23,132.15,175.38,-88.93,25.68,CRC,Commerce,3325.44
2020-08-17,100.26,97.06,197.31,3.2,27.29,CRC,Commerce,3328.64
2020-08-18,405.69,240.08,645.77,165.61,20.66,CRC,Commerce,3494.25
2020-08-19,129.28,219.35,348.64,-90.07,22.74,CRC,Commerce,3404.18
2020-08-20,155.29,168.31,323.6,-13.02,25.71,CRC,Commerce,3391.16
2020-08-21,123.05,143.43,266.48,-20.37,29.21,CRC,Commerce,3370.79
2020-08-24,298.73,226.19,524.91,72.54,26.14,CRC,Commerce,3443.33
2020-08-25,146.6,122.12,268.72,24.48,17.17,CRC,Commerce,3467.81
2020-08-26,89.03,57.34,146.38,31.69,26.35,CRC,Commerce,3499.5
2020-08-27,425.81,178.6,604.41,247.22,17.99,CRC,Commerce,3746.72
2020-08-28,232.28,201.04,433.32,31.24,21.02,CRC,Commerce,3777.9599999999996
2020-08-31,260.95,367.89,628.84,-106.93,28.11,CRC,Commerce,3671.0299999999997
2020-09-01,249.72,197.67,447.39,52.05,28.23,CRC,Commerce,3723.08
2020-09-02,222.42,72.35,294.77,150.06,20.1,CRC,Commerce,3873.14
2020-09-03,171.32,178.83,350.15,-7.51,22.3,CRC,Commerce,3865.6299999999997
2020-09-08,173.72,146.35,320.07,27.38,31.68,CRC,Commerce,3893.0099999999998
2020-09-09,211.93,216.13,428.06,-4.2,50.43,CRC,Commerce,3888.81
2020-09-10,224.44,227.73,452.17,-3.29,29.13,CRC,Commerce,3885.52
2020-09-11,324.78,207.76,532.54,117.02,31.15,CRC,Commerce,4002.54
2020-09-14,252.26,131.97,384.23,120.29,35.94,CRC,Commerce,4122.83
2020-09-15,336.62,239.0,575.62,97.62,37.37,CRC,Commerce,4220.45
2020-09-16,320.1,329.17,649.27,-9.07,38.3,CRC,Commerce,4211.38
2020-09-17,309.04,283.52,592.57,25.52,31.38,CRC,Commerce,4236.900000000001
2020-09-18,543.61,2096.98,2640.59,-1553.38,38.81,CRC,Commerce,2683.5200000000004
2020-09-21,124.05,73.09,197.14,50.95,30.12,CRC,Commerce,2734.4700000000003
2020-09-22,88.58,71.62,160.19,16.96,24.49,CRC,Commerce,2751.4300000000003
2020-09-23,106.81,79.22,186.03,27.59,28.71,CRC,Commerce,2779.0200000000004
2020-09-24,72.96,115.0,187.95,-42.04,27.8,CRC,Commerce,2736.9800000000005
2020-09-25,62.32,74.42,136.74,-12.1,29.85,CRC,Commerce,2724.8800000000006
2020-09-28,43.59,85.09,128.68,-41.51,21.7,CRC,Commerce,2683.3700000000003
2020-09-29,59.34,40.16,99.5,19.18,15.69,CRC,Commerce,2702.55
2020-09-30,45.13,47.92,93.06,-2.79,18.27,CRC,Commerce,2699.76
2020-10-01,57.6,64.93,122.53,-7.34,22.76,CRC,Commerce,2692.42
2020-10-02,30.14,64.43,94.57,-34.29,11.15,CRC,Commerce,2658.13
2020-10-05,34.29,44.34,78.63,-10.05,21.39,CRC,Commerce,2648.08
2020-10-06,69.8,102.14,171.94,-32.33,38.37,CRC,Commerce,2615.75
2020-10-07,71.93,78.61,150.53,-6.68,20.96,CRC,Commerce,2609.07
2020-10-08,227.16,168.26,395.42,58.9,13.12,CRC,Commerce,2667.9700000000003
2020-10-09,63.08,79.01,142.09,-15.93,21.57,CRC,Commerce,2652.0400000000004
2020-10-12,120.45,79.77,200.22,40.68,44.0,CRC,Commerce,2692.7200000000003
2020-10-14,114.35,61.56,175.91,52.79,42.03,CRC,Commerce,2745.51
2020-10-15,99.15,147.66,246.8,-48.51,28.38,CRC,Commerce,2697.0
2020-10-16,115.48,72.82,188.3,42.66,41.11,CRC,Commerce,2739.66
2020-10-19,128.29,190.05,318.34,-61.75,20.94,CRC,Commerce,2677.91
2020-10-20,355.18,129.54,484.72,225.64,36.82,CRC,Commerce,2903.5499999999997
2020-10-21,157.82,107.39,265.21,50.43,39.15,CRC,Commerce,2953.9799999999996
2020-10-22,260.21,167.85,428.06,92.36,42.92,CRC,Commerce,3046.3399999999997
2020-10-26,77.48,29.42,106.9,48.05,39.33,CRC,Commerce,3094.39
2020-10-27,40.7,72.78,113.49,-32.08,25.82,CRC,Commerce,3062.31
2020-10-28,49.48,144.02,193.5,-94.55,28.76,CRC,Commerce,2967.7599999999998
2020-10-29,66.35,62.4,128.75,3.96,26.45,CRC,Commerce,2971.72
2020-10-30,115.78,68.89,184.67,46.9,43.09,CRC,Commerce,3018.62
2020-11-02,50.02,89.65,139.67,-39.63,44.99,CRC,Commerce,2978.99
2020-11-03,84.27,116.96,201.23,-32.7,34.0,CRC,Commerce,2946.29
2020-11-04,103.86,128.6,232.47,-24.74,36.39,CRC,Commerce,2921.55
2020-11-05,229.4,129.68,359.08,99.72,32.72,CRC,Commerce,3021.27
2020-11-06,125.88,95.35,221.22,30.53,28.88,CRC,Commerce,3051.8
2020-11-09,275.54,164.13,439.67,111.41,26.02,CRC,Commerce,3163.21
2020-11-10,649.79,419.53,1069.32,230.26,17.64,CRC,Commerce,3393.4700000000003
2020-11-11,192.99,157.17,350.17,35.82,28.94,CRC,Commerce,3429.2900000000004
2020-11-12,224.2,132.17,356.37,92.03,31.39,CRC,Commerce,3521.3200000000006
2020-11-13,318.38,148.49,466.88,169.89,27.8,CRC,Commerce,3691.2100000000005
2020-11-16,175.09,170.07,345.15,5.02,29.13,CRC,Commerce,3696.2300000000005
2020-11-17,330.42,387.4,717.82,-56.98,27.45,CRC,Commerce,3639.2500000000005
2020-11-18,240.5,127.78,368.28,112.72,32.42,CRC,Commerce,3751.9700000000003
2020-11-19,191.18,137.67,328.85,53.51,38.26,CRC,Commerce,3805.4800000000005
2020-11-20,157.14,107.43,264.57,49.72,39.55,CRC,Commerce,3855.2000000000003
2020-11-23,132.54,86.63,219.17,45.9,31.79,CRC,Commerce,3901.1000000000004
2020-11-24,135.63,106.91,242.54,28.73,27.42,CRC,Commerce,3929.8300000000004
2020-11-25,283.18,307.59,590.78,-24.41,34.99,CRC,Commerce,3905.4200000000005
2020-11-26,176.66,81.34,258.0,95.32,31.76,CRC,Commerce,4000.7400000000007
2020-11-27,287.86,185.54,473.4,102.32,40.52,CRC,Commerce,4103.06
2020-11-30,315.19,460.95,776.14,-145.76,50.17,CRC,Commerce,3957.3
2020-12-01,186.94,192.22,379.16,-5.28,39.4,CRC,Commerce,3952.02
2020-12-02,247.98,207.9,455.88,40.08,26.06,CRC,Commerce,3992.1
2020-12-03,150.4,191.0,341.4,-40.59,27.97,CRC,Commerce,3951.5099999999998
2020-12-04,80.74,126.37,207.11,-45.63,20.98,CRC,Commerce,3905.8799999999997
2020-12-08,214.64,127.82,342.46,86.82,34.33,CRC,Commerce,3992.7
2020-12-09,192.03,124.73,316.76,67.3,35.6,CRC,Commerce,4060.0
2020-12-14,223.76,133.3,357.06,90.46,39.35,CRC,Commerce,4150.46
2020-12-15,218.35,109.18,327.52,109.17,32.79,CRC,Commerce,4259.63
2020-12-16,143.68,132.19,275.87,11.49,34.96,CRC,Commerce,4271.12
2020-12-17,131.88,95.0,226.88,36.89,38.44,CRC,Commerce,4308.01
2020-12-18,360.49,320.53,681.02,39.95,58.78,CRC,Commerce,4347.96
2020-12-21,277.88,254.4,532.28,23.48,21.9,CRC,Commerce,4371.44
2020-12-22,235.87,263.73,499.6,-27.87,46.8,CRC,Commerce,4343.57
2020-12-23,158.04,148.74,306.78,9.3,42.02,CRC,Commerce,4352.87
2020-12-24,89.62,76.13,165.75,13.49,19.64,CRC,Commerce,4366.36
2020-12-25,25.61,25.29,50.9,0.32,20.8,CRC,Commerce,4366.679999999999
2020-12-28,140.22,120.14,260.36,20.07,33.73,CRC,Commerce,4386.749999999999
2020-12-29,151.89,61.96,213.85,89.92,30.8,CRC,Commerce,4476.669999999999
2020-12-30,275.84,161.24,437.09,114.6,35.16,CRC,Commerce,4591.2699999999995
2021-01-04,259.15,193.28,452.42,65.87,41.13,CRC,Commerce,4657.139999999999
2021-01-05,153.37,111.37,264.75,42.0,45.43,CRC,Commerce,4699.139999999999
2021-01-06,105.92,110.08,216.0,-4.16,33.06,CRC,Commerce,4694.98
2021-01-07,249.51,188.1,437.61,61.42,28.66,CRC,Commerce,4756.4
2021-01-08,155.92,122.37,278.3,33.55,50.87,CRC,Commerce,4789.95
2021-01-11,58.6,110.45,169.05,-51.85,44.85,CRC,Commerce,4738.099999999999
2021-01-12,24.65,82.58,107.24,-57.93,32.03,CRC,Commerce,4680.169999999999
2021-01-13,86.19,139.31,225.51,-53.12,38.94,CRC,Commerce,4627.049999999999
2021-01-14,87.59,122.44,210.04,-34.85,31.68,CRC,Commerce,4592.199999999999
2021-01-15,101.4,164.98,266.38,-63.59,40.03,CRC,Commerce,4528.609999999999
2021-01-18,67.57,152.54,220.1,-84.97,41.45,CRC,Commerce,4443.6399999999985
2021-01-19,52.5,77.82,130.32,-25.31,32.0,CRC,Commerce,4418.329999999998
2021-01-20,107.49,104.19,211.68,3.31,30.17,CRC,Commerce,4421.6399999999985
2021-01-21,248.53,250.87,499.39,-2.34,29.02,CRC,Commerce,4419.299999999998
2021-01-22,41.22,171.52,212.75,-130.3,25.51,CRC,Commerce,4288.999999999998
2021-01-25,81.2,88.59,169.79,-7.4,31.45,CRC,Commerce,4281.5999999999985
2021-01-26,23.26,71.19,94.45,-47.93,22.84,CRC,Commerce,4233.669999999998
2021-01-27,63.33,118.77,182.1,-55.44,40.72,CRC,Commerce,4178.229999999999
2021-01-28,92.11,135.17,227.28,-43.06,35.51,CRC,Commerce,4135.169999999998
2021-01-29,186.75,148.04,334.79,38.71,53.46,CRC,Commerce,4173.879999999998
2021-02-01,40.46,67.59,108.06,-27.13,45.2,CRC,Commerce,4146.749999999998
2021-02-02,97.02,102.97,199.99,-5.95,55.99,CRC,Commerce,4140.799999999998
2021-02-03,143.76,138.8,282.56,4.95,36.6,CRC,Commerce,4145.749999999998
2021-02-04,68.6,126.89,195.49,-58.3,31.23,CRC,Commerce,4087.449999999998
2021-02-05,70.5,84.12,154.62,-13.63,30.98,CRC,Commerce,4073.819999999998
2021-02-08,116.78,106.1,222.87,10.68,21.94,CRC,Commerce,4084.4999999999977
2021-02-09,114.97,159.11,274.08,-44.14,14.87,CRC,Commerce,4040.359999999998
2021-02-10,176.09,162.81,338.9,13.28,26.69,CRC,Commerce,4053.639999999998
2021-02-11,36.65,99.13,135.78,-62.47,38.21,CRC,Commerce,3991.1699999999983
2021-02-15,123.1,115.63,238.73,7.47,34.08,CRC,Commerce,3998.639999999998
2021-02-16,50.21,61.31,111.52,-11.1,36.05,CRC,Commerce,3987.539999999998
2021-02-17,114.82,166.96,281.79,-52.14,38.33,CRC,Commerce,3935.3999999999983
2021-02-18,93.66,190.36,284.02,-96.7,50.07,CRC,Commerce,3838.6999999999985
2021-02-19,111.88,179.85,291.73,-67.98,47.29,CRC,Commerce,3770.7199999999984
2021-02-22,125.23,155.04,280.27,-29.81,48.71,CRC,Commerce,3740.9099999999985
2021-02-23,151.32,240.87,392.19,-89.55,30.32,CRC,Commerce,3651.3599999999983
2021-02-24,101.84,176.62,278.46,-74.78,35.54,CRC,Commerce,3576.579999999998
2021-02-25,88.33,137.25,225.58,-48.92,38.3,CRC,Commerce,3527.659999999998
2021-03-01,106.77,65.25,172.02,41.52,24.03,CRC,Commerce,3569.179999999998
2021-03-02,101.19,98.84,200.03,2.35,24.87,CRC,Commerce,3571.529999999998
2021-03-03,259.22,193.77,452.99,65.46,21.71,CRC,Commerce,3636.989999999998
2021-03-04,327.94,282.93,610.87,45.02,27.98,CRC,Commerce,3682.009999999998
2021-03-05,128.54,165.13,293.68,-36.59,39.4,CRC,Commerce,3645.419999999998
2021-03-08,222.02,169.32,391.34,52.7,33.91,CRC,Commerce,3698.1199999999976
2021-03-09,148.15,171.03,319.19,-22.88,50.74,CRC,Commerce,3675.2399999999975
2021-03-10,283.41,181.31,464.71,102.1,33.61,CRC,Commerce,3777.3399999999974
2021-03-11,113.11,87.11,200.22,26.0,26.28,CRC,Commerce,3803.3399999999974
2021-03-12,151.14,100.89,252.03,50.25,43.14,CRC,Commerce,3853.5899999999974
2021-03-15,179.78,158.78,338.56,21.01,37.49,CRC,Commerce,3874.5999999999976
2021-03-16,88.23,89.92,178.15,-1.69,46.41,CRC,Commerce,3872.9099999999976
2021-03-17,97.02,44.97,141.99,52.05,34.2,CRC,Commerce,3924.9599999999978
2021-03-18,53.19,58.25,111.44,-5.06,41.0,CRC,Commerce,3919.899999999998
2021-03-19,113.33,85.5,198.83,27.83,48.76,CRC,Commerce,3947.7299999999977
2021-03-22,65.44,65.91,131.35,-0.47,41.09,CRC,Commerce,3947.259999999998
2021-03-23,84.1,127.16,211.26,-43.06,33.96,CRC,Commerce,3904.199999999998
2021-03-24,84.57,94.02,178.59,-9.45,32.92,CRC,Commerce,3894.749999999998
2021-03-25,56.01,71.36,127.37,-15.35,32.82,CRC,Commerce,3879.3999999999983
2021-03-26,98.57,92.82,191.38,5.75,29.55,CRC,Commerce,3885.1499999999983
2021-03-29,53.92,37.72,91.64,16.2,23.08,CRC,Commerce,3901.349999999998
2021-03-30,156.22,133.1,289.32,23.12,30.23,CRC,Commerce,3924.469999999998
2021-03-31,86.83,109.13,195.96,-22.3,37.82,CRC,Commerce,3902.169999999998
2021-04-01,68.35,74.36,142.71,-6.01,21.0,CRC,Commerce,3896.1599999999976
2021-04-02,10.46,35.11,45.57,-24.65,24.89,CRC,Commerce,3871.5099999999975
2021-04-05,135.01,149.91,284.92,-14.91,36.91,CRC,Commerce,3856.5999999999976
2021-04-07,308.0,103.43,411.43,204.56,29.23,CRC,Commerce,4061.1599999999976
