date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,13.33,4.3,17.63,9.03,15.68,DELTA,Etron,9.03
2020-01-03,15.98,10.75,26.73,5.23,26.58,DELTA,Etron,14.26
2020-01-06,13.47,4.78,18.24,8.69,28.46,DELTA,Etron,22.95
2020-01-07,14.73,12.34,27.07,2.39,42.23,DELTA,Etron,25.34
2020-01-08,13.22,7.86,21.09,5.36,34.29,DELTA,Etron,30.7
2020-01-09,33.04,13.66,46.7,19.37,36.23,DELTA,Etron,50.07
2020-01-10,13.72,9.64,23.36,4.09,36.31,DELTA,Etron,54.16
2020-01-13,24.94,15.29,40.23,9.65,29.91,DELTA,Etron,63.809999999999995
2020-01-14,13.23,18.34,31.57,-5.11,20.09,DELTA,Etron,58.699999999999996
2020-01-15,12.61,5.3,17.91,7.3,31.35,DELTA,Etron,66.0
2020-01-16,6.88,10.15,17.02,-3.27,24.88,DELTA,Etron,62.73
2020-01-17,25.77,16.2,41.97,9.56,20.92,DELTA,Etron,72.28999999999999
2020-01-20,9.73,9.69,19.43,0.04,29.55,DELTA,Etron,72.33
2020-01-21,18.39,10.91,29.31,7.48,38.17,DELTA,Etron,79.81
2020-01-22,27.03,11.34,38.38,15.69,24.97,DELTA,Etron,95.5
2020-01-23,16.74,23.12,39.86,-6.38,26.28,DELTA,Etron,89.12
2020-01-24,9.88,3.2,13.09,6.68,22.72,DELTA,Etron,95.80000000000001
2020-01-27,16.09,28.92,45.01,-12.84,26.76,DELTA,Etron,82.96000000000001
2020-01-28,11.61,28.72,40.33,-17.11,27.36,DELTA,Etron,65.85000000000001
2020-01-29,12.76,18.17,30.92,-5.41,34.8,DELTA,Etron,60.44000000000001
2020-01-30,4.99,29.23,34.22,-24.24,34.69,DELTA,Etron,36.20000000000002
2020-01-31,16.36,26.3,42.66,-9.94,30.06,DELTA,Etron,26.26000000000002
2020-02-03,10.87,14.87,25.75,-4.0,33.98,DELTA,Etron,22.26000000000002
2020-02-04,12.8,19.76,32.56,-6.95,38.12,DELTA,Etron,15.31000000000002
2020-02-05,13.45,21.37,34.83,-7.92,30.6,DELTA,Etron,7.39000000000002
2020-02-06,30.45,32.58,63.02,-2.13,37.24,DELTA,Etron,5.26000000000002
2020-02-07,19.99,22.73,42.72,-2.74,40.63,DELTA,Etron,2.52000000000002
2020-02-11,9.0,8.45,17.46,0.55,41.01,DELTA,Etron,3.07000000000002
