date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.36,0.24,0.6,0.12,0.33,DOHOME,Commerce,0.12
2020-01-03,0.08,0.25,0.34,-0.17,0.2,DOHOME,Commerce,-0.05000000000000002
2020-01-06,0.63,0.86,1.49,-0.23,0.64,DOHOME,Commerce,-0.28
2020-01-07,4.05,0.48,4.53,3.57,2.89,DOHOME,Commerce,3.29
2020-01-08,2.38,0.54,2.92,1.84,1.12,DOHOME,Commerce,5.13
2020-01-09,2.43,0.83,3.26,1.6,1.8,DOHOME,Commerce,6.73
2020-01-10,3.55,3.18,6.74,0.37,2.8,DOHOME,Commerce,7.1000000000000005
2020-01-13,0.84,1.56,2.4,-0.72,1.27,DOHOME,Commerce,6.380000000000001
2020-01-14,1.8,1.37,3.18,0.43,3.02,DOHOME,Commerce,6.8100000000000005
2020-01-15,0.44,3.17,3.62,-2.73,3.32,DOHOME,Commerce,4.08
2020-01-16,29.14,25.68,54.82,3.46,8.76,DOHOME,Commerce,7.54
2020-01-17,1.88,1.63,3.52,0.25,2.57,DOHOME,Commerce,7.79
2020-01-20,2.88,0.9,3.78,1.99,1.56,DOHOME,Commerce,9.78
2020-01-21,0.7,1.49,2.2,-0.79,0.53,DOHOME,Commerce,8.989999999999998
2020-01-22,2.8,2.11,4.91,0.69,4.27,DOHOME,Commerce,9.679999999999998
2020-01-23,0.43,1.47,1.9,-1.04,1.48,DOHOME,Commerce,8.639999999999997
2020-01-24,0.41,0.74,1.15,-0.33,2.18,DOHOME,Commerce,8.309999999999997
2020-01-27,0.61,0.81,1.41,-0.2,0.86,DOHOME,Commerce,8.109999999999998
2020-01-28,0.76,0.68,1.44,0.08,0.9,DOHOME,Commerce,8.189999999999998
2020-01-29,3.89,1.39,5.27,2.5,2.11,DOHOME,Commerce,10.689999999999998
2020-01-30,15.61,3.87,19.48,11.74,11.26,DOHOME,Commerce,22.43
2020-01-31,4.81,2.02,6.83,2.8,7.19,DOHOME,Commerce,25.23
2020-02-03,3.91,0.55,4.46,3.36,8.0,DOHOME,Commerce,28.59
2020-02-04,14.8,1.29,16.09,13.51,13.6,DOHOME,Commerce,42.1
2020-02-05,23.44,5.52,28.96,17.92,10.71,DOHOME,Commerce,60.02
2020-02-06,0.76,1.25,2.01,-0.48,2.73,DOHOME,Commerce,59.540000000000006
2020-02-07,0.56,3.95,4.51,-3.39,5.94,DOHOME,Commerce,56.150000000000006
2020-02-11,1.19,2.95,4.14,-1.77,1.81,DOHOME,Commerce,54.38
2020-02-12,1.03,1.49,2.52,-0.46,1.75,DOHOME,Commerce,53.92
2020-02-13,0.3,0.67,0.98,-0.37,0.88,DOHOME,Commerce,53.550000000000004
2020-02-14,3.17,0.69,3.86,2.49,3.61,DOHOME,Commerce,56.040000000000006
2020-02-17,1.82,0.67,2.49,1.14,2.8,DOHOME,Commerce,57.18000000000001
2020-02-18,1.28,1.25,2.52,0.03,2.77,DOHOME,Commerce,57.21000000000001
2020-02-19,4.36,1.55,5.9,2.81,6.16,DOHOME,Commerce,60.02000000000001
2020-02-20,9.14,4.22,13.36,4.92,9.76,DOHOME,Commerce,64.94000000000001
2020-02-21,3.34,21.16,24.5,-17.82,14.23,DOHOME,Commerce,47.12000000000001
2020-02-24,0.3,4.54,4.84,-4.23,2.47,DOHOME,Commerce,42.890000000000015
2020-02-25,9.99,38.08,48.06,-28.09,9.9,DOHOME,Commerce,14.800000000000015
2020-02-26,3.74,3.48,7.22,0.26,5.76,DOHOME,Commerce,15.060000000000015
2020-02-27,6.58,4.53,11.11,2.05,6.05,DOHOME,Commerce,17.110000000000014
2020-02-28,8.9,5.68,14.58,3.22,11.32,DOHOME,Commerce,20.330000000000013
2020-03-02,4.36,6.43,10.79,-2.08,6.17,DOHOME,Commerce,18.250000000000014
2020-03-03,20.48,10.66,31.14,9.82,11.06,DOHOME,Commerce,28.070000000000014
2020-03-04,3.31,2.91,6.22,0.4,5.26,DOHOME,Commerce,28.470000000000013
2020-03-05,8.47,17.0,25.47,-8.52,9.3,DOHOME,Commerce,19.950000000000014
2020-03-06,15.16,6.24,21.4,8.93,6.76,DOHOME,Commerce,28.880000000000013
2020-03-09,4.58,8.91,13.49,-4.34,6.92,DOHOME,Commerce,24.540000000000013
2020-03-10,13.25,3.05,16.3,10.21,6.1,DOHOME,Commerce,34.750000000000014
2020-03-11,4.73,16.36,21.09,-11.63,6.66,DOHOME,Commerce,23.12000000000001
2020-03-12,4.14,4.6,8.74,-0.46,2.9,DOHOME,Commerce,22.66000000000001
2020-03-13,3.36,1.69,5.05,1.67,2.84,DOHOME,Commerce,24.330000000000013
2020-03-16,1.16,0.63,1.79,0.54,4.47,DOHOME,Commerce,24.87000000000001
2020-03-17,0.19,1.5,1.69,-1.31,1.68,DOHOME,Commerce,23.560000000000013
2020-03-18,1.51,0.85,2.37,0.66,0.9,DOHOME,Commerce,24.220000000000013
2020-03-19,0.71,0.36,1.07,0.35,1.08,DOHOME,Commerce,24.570000000000014
2020-03-20,0.62,1.02,1.64,-0.4,0.84,DOHOME,Commerce,24.170000000000016
2020-03-23,0.76,0.35,1.11,0.4,0.53,DOHOME,Commerce,24.570000000000014
2020-03-24,6.24,0.7,6.94,5.54,2.41,DOHOME,Commerce,30.110000000000014
2020-03-25,17.7,25.2,42.9,-7.49,4.66,DOHOME,Commerce,22.62000000000001
2020-03-26,7.57,4.31,11.88,3.25,3.63,DOHOME,Commerce,25.87000000000001
2020-03-27,8.92,5.35,14.26,3.57,4.88,DOHOME,Commerce,29.440000000000012
2020-03-30,1.33,6.09,7.42,-4.76,8.25,DOHOME,Commerce,24.680000000000014
2020-03-31,3.19,2.59,5.78,0.59,3.28,DOHOME,Commerce,25.270000000000014
2020-04-01,1.35,0.66,2.01,0.69,1.19,DOHOME,Commerce,25.960000000000015
2020-04-02,1.62,1.19,2.81,0.43,2.4,DOHOME,Commerce,26.390000000000015
2020-04-03,1.65,1.38,3.03,0.27,2.55,DOHOME,Commerce,26.660000000000014
2020-04-07,6.4,2.52,8.91,3.88,3.06,DOHOME,Commerce,30.540000000000013
2020-04-08,5.31,5.73,11.04,-0.42,2.53,DOHOME,Commerce,30.12000000000001
2020-04-09,4.32,9.61,13.94,-5.29,4.51,DOHOME,Commerce,24.830000000000013
2020-04-10,3.55,0.87,4.42,2.69,3.72,DOHOME,Commerce,27.520000000000014
2020-04-13,2.16,2.85,5.01,-0.69,1.8,DOHOME,Commerce,26.830000000000013
2020-04-14,0.69,3.69,4.38,-2.99,0.64,DOHOME,Commerce,23.84000000000001
2020-04-15,0.83,0.07,0.89,0.76,0.45,DOHOME,Commerce,24.600000000000012
2020-04-16,2.73,1.15,3.87,1.58,1.84,DOHOME,Commerce,26.180000000000014
2020-04-17,7.67,4.77,12.45,2.9,5.33,DOHOME,Commerce,29.080000000000013
2020-04-20,8.3,13.23,21.53,-4.93,9.61,DOHOME,Commerce,24.150000000000013
2020-04-21,2.96,3.59,6.55,-0.64,2.8,DOHOME,Commerce,23.510000000000012
2020-04-22,1.51,1.96,3.48,-0.45,1.89,DOHOME,Commerce,23.060000000000013
2020-04-23,1.13,1.28,2.42,-0.15,1.46,DOHOME,Commerce,22.910000000000014
2020-04-24,1.31,1.8,3.1,-0.49,2.87,DOHOME,Commerce,22.420000000000016
2020-04-27,3.85,2.66,6.51,1.18,7.72,DOHOME,Commerce,23.600000000000016
2020-04-28,10.81,13.64,24.45,-2.83,4.27,DOHOME,Commerce,20.770000000000017
2020-04-29,1.03,1.33,2.36,-0.3,1.19,DOHOME,Commerce,20.470000000000017
2020-04-30,0.0,2.61,2.61,-2.61,2.22,DOHOME,Commerce,17.860000000000017
2020-05-05,6.89,1.51,8.4,5.38,4.26,DOHOME,Commerce,23.240000000000016
2020-05-07,0.81,2.98,3.8,-2.17,2.35,DOHOME,Commerce,21.070000000000014
2020-05-08,1.11,1.97,3.08,-0.85,2.92,DOHOME,Commerce,20.220000000000013
2020-05-11,31.93,12.12,44.05,19.81,12.6,DOHOME,Commerce,40.030000000000015
2020-05-12,6.52,1.8,8.32,4.72,5.94,DOHOME,Commerce,44.750000000000014
2020-05-13,13.32,18.1,31.42,-4.79,10.45,DOHOME,Commerce,39.960000000000015
2020-05-14,6.93,33.37,40.3,-26.44,16.02,DOHOME,Commerce,13.520000000000014
2020-05-15,18.69,5.51,24.2,13.17,12.68,DOHOME,Commerce,26.690000000000012
2020-05-18,21.98,9.86,31.84,12.12,6.02,DOHOME,Commerce,38.81000000000001
2020-05-19,36.62,18.94,55.56,17.68,15.83,DOHOME,Commerce,56.49000000000001
2020-05-20,9.81,4.19,14.0,5.63,5.11,DOHOME,Commerce,62.12000000000001
2020-05-21,1.98,4.08,6.06,-2.1,3.13,DOHOME,Commerce,60.02000000000001
