date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,90.47,61.77,152.25,28.7,22.73,EA,Energy,28.7
2020-01-03,59.65,75.67,135.32,-16.01,22.0,EA,Energy,12.689999999999998
2020-01-06,217.18,258.71,475.9,-41.53,27.08,EA,Energy,-28.840000000000003
2020-01-07,212.42,243.57,455.99,-31.15,31.1,EA,Energy,-59.99
2020-01-08,405.65,306.36,712.02,99.29,28.71,EA,Energy,39.300000000000004
2020-01-09,378.6,498.2,876.8,-119.6,35.07,EA,Energy,-80.29999999999998
2020-01-10,198.99,318.99,517.98,-120.0,31.76,EA,Energy,-200.29999999999998
2020-01-13,187.92,130.22,318.14,57.7,32.82,EA,Energy,-142.59999999999997
2020-01-14,251.18,322.41,573.59,-71.23,23.81,EA,Energy,-213.82999999999998
2020-01-15,65.28,126.58,191.86,-61.3,25.47,EA,Energy,-275.13
2020-01-16,45.22,92.31,137.53,-47.09,18.24,EA,Energy,-322.22
2020-01-17,36.75,52.08,88.84,-15.33,18.33,EA,Energy,-337.55
2020-01-20,100.6,78.22,178.82,22.38,27.98,EA,Energy,-315.17
2020-01-21,107.32,79.69,187.01,27.62,21.13,EA,Energy,-287.55
2020-01-22,91.98,79.65,171.63,12.33,40.79,EA,Energy,-275.22
2020-01-23,373.25,165.6,538.85,207.65,30.37,EA,Energy,-67.57000000000002
2020-01-24,122.72,221.63,344.34,-98.91,21.14,EA,Energy,-166.48000000000002
2020-01-27,89.19,166.66,255.85,-77.47,18.06,EA,Energy,-243.95000000000002
2020-01-28,50.91,148.07,198.98,-97.15,20.84,EA,Energy,-341.1
2020-01-29,98.12,122.89,221.01,-24.77,26.99,EA,Energy,-365.87
2020-01-30,40.38,81.9,122.28,-41.53,23.17,EA,Energy,-407.4
2020-01-31,30.97,131.25,162.22,-100.27,23.05,EA,Energy,-507.66999999999996
2020-02-03,40.86,105.65,146.5,-64.79,22.27,EA,Energy,-572.4599999999999
2020-02-04,611.68,297.43,909.11,314.25,33.94,EA,Energy,-258.2099999999999
2020-02-05,395.03,268.31,663.34,126.72,31.83,EA,Energy,-131.48999999999992
2020-02-06,233.74,127.25,361.0,106.49,34.1,EA,Energy,-24.99999999999993
2020-02-07,538.42,409.85,948.26,128.57,32.14,EA,Energy,103.57000000000006
2020-02-11,130.97,76.21,207.18,54.76,25.53,EA,Energy,158.33000000000007
2020-02-12,644.24,518.2,1162.43,126.04,26.32,EA,Energy,284.37000000000006
2020-02-13,132.12,95.26,227.38,36.86,20.65,EA,Energy,321.2300000000001
2020-02-14,187.95,104.42,292.37,83.54,14.95,EA,Energy,404.7700000000001
2020-02-17,133.08,62.33,195.41,70.75,18.14,EA,Energy,475.5200000000001
2020-02-18,136.2,46.42,182.62,89.78,24.57,EA,Energy,565.3000000000001
2020-02-19,330.11,246.93,577.04,83.17,29.09,EA,Energy,648.47
2020-02-20,171.98,91.77,263.75,80.21,26.46,EA,Energy,728.6800000000001
2020-02-21,123.79,88.44,212.24,35.35,27.25,EA,Energy,764.0300000000001
2020-02-24,109.76,154.07,263.83,-44.31,28.19,EA,Energy,719.72
2020-02-25,118.6,167.46,286.06,-48.86,21.33,EA,Energy,670.86
2020-02-26,162.2,147.92,310.12,14.29,24.17,EA,Energy,685.15
2020-02-27,372.26,206.82,579.07,165.44,24.41,EA,Energy,850.5899999999999
2020-02-28,627.67,286.75,914.42,340.91,30.47,EA,Energy,1191.5
2020-03-02,166.88,151.56,318.44,15.32,21.96,EA,Energy,1206.82
2020-03-03,133.06,173.64,306.7,-40.57,27.45,EA,Energy,1166.25
2020-03-04,241.23,150.26,391.49,90.98,38.25,EA,Energy,1257.23
2020-03-05,191.62,214.85,406.47,-23.23,28.65,EA,Energy,1234.0
2020-03-06,102.01,127.39,229.39,-25.38,37.19,EA,Energy,1208.62
2020-03-09,143.08,135.85,278.93,7.22,28.8,EA,Energy,1215.84
2020-03-10,88.88,176.33,265.21,-87.46,38.77,EA,Energy,1128.3799999999999
2020-03-11,196.45,255.72,452.17,-59.27,30.13,EA,Energy,1069.11
2020-03-12,184.13,264.47,448.59,-80.34,32.8,EA,Energy,988.7699999999999
2020-03-13,179.65,240.33,419.98,-60.68,30.38,EA,Energy,928.0899999999999
2020-03-16,131.0,151.59,282.59,-20.58,43.03,EA,Energy,907.5099999999999
2020-03-17,90.33,189.9,280.24,-99.57,40.04,EA,Energy,807.9399999999998
2020-03-18,67.84,162.93,230.77,-95.09,36.28,EA,Energy,712.8499999999998
2020-03-19,105.56,97.47,203.03,8.09,29.15,EA,Energy,720.9399999999998
2020-03-20,258.77,202.57,461.34,56.2,41.8,EA,Energy,777.1399999999999
2020-03-23,58.48,103.05,161.53,-44.57,31.73,EA,Energy,732.5699999999998
2020-03-24,76.08,102.44,178.52,-26.36,34.25,EA,Energy,706.2099999999998
2020-03-25,97.66,98.8,196.46,-1.13,36.31,EA,Energy,705.0799999999998
2020-03-26,44.29,43.26,87.54,1.03,26.67,EA,Energy,706.1099999999998
2020-03-27,83.24,41.84,125.08,41.4,21.95,EA,Energy,747.5099999999998
2020-03-30,48.62,48.41,97.03,0.21,29.7,EA,Energy,747.7199999999998
2020-03-31,43.04,58.03,101.07,-14.99,26.4,EA,Energy,732.7299999999998
2020-04-01,35.46,93.34,128.8,-57.88,30.32,EA,Energy,674.8499999999998
2020-04-02,71.05,101.12,172.17,-30.06,33.06,EA,Energy,644.7899999999998
2020-04-03,63.13,87.24,150.37,-24.11,25.17,EA,Energy,620.6799999999998
2020-04-07,209.04,171.73,380.77,37.31,34.16,EA,Energy,657.9899999999998
2020-04-08,60.41,102.73,163.14,-42.31,29.22,EA,Energy,615.6799999999998
2020-04-09,73.16,92.86,166.02,-19.7,23.42,EA,Energy,595.9799999999998
2020-04-10,57.6,85.55,143.16,-27.95,33.76,EA,Energy,568.0299999999997
2020-04-13,29.04,28.87,57.91,0.17,25.32,EA,Energy,568.1999999999997
2020-04-14,72.09,47.38,119.47,24.71,17.24,EA,Energy,592.9099999999997
2020-04-15,160.99,175.59,336.58,-14.6,21.57,EA,Energy,578.3099999999997
2020-04-16,95.67,125.62,221.29,-29.96,17.01,EA,Energy,548.3499999999997
2020-04-17,41.18,41.62,82.81,-0.44,25.41,EA,Energy,547.9099999999996
2020-04-20,56.37,28.42,84.79,27.95,18.64,EA,Energy,575.8599999999997
2020-04-21,49.47,54.47,103.94,-5.0,20.1,EA,Energy,570.8599999999997
2020-04-22,79.86,78.43,158.29,1.43,20.06,EA,Energy,572.2899999999996
2020-04-23,140.16,183.7,323.85,-43.54,23.66,EA,Energy,528.7499999999997
2020-04-24,51.47,139.74,191.22,-88.27,17.14,EA,Energy,440.4799999999997
2020-04-27,55.8,59.16,114.95,-3.36,24.02,EA,Energy,437.11999999999966
2020-04-28,274.96,165.22,440.17,109.74,33.26,EA,Energy,546.8599999999997
2020-04-29,30.93,53.38,84.31,-22.45,28.33,EA,Energy,524.4099999999996
2020-04-30,510.85,56.57,567.43,454.28,41.74,EA,Energy,978.6899999999996
2020-05-05,59.39,60.31,119.7,-0.92,26.86,EA,Energy,977.7699999999996
2020-05-07,106.18,83.9,190.08,22.29,28.05,EA,Energy,1000.0599999999996
2020-05-08,46.29,51.6,97.88,-5.31,24.96,EA,Energy,994.7499999999997
2020-05-11,45.14,28.64,73.78,16.5,14.71,EA,Energy,1011.2499999999997
2020-05-12,98.67,65.33,164.0,33.34,31.76,EA,Energy,1044.5899999999997
2020-05-13,76.31,118.8,195.11,-42.49,31.94,EA,Energy,1002.0999999999997
2020-05-14,62.18,72.62,134.79,-10.44,26.9,EA,Energy,991.6599999999996
2020-05-15,74.76,68.66,143.42,6.1,22.95,EA,Energy,997.7599999999996
2020-05-18,87.71,60.0,147.71,27.7,22.69,EA,Energy,1025.4599999999996
2020-05-19,159.03,67.17,226.2,91.87,22.7,EA,Energy,1117.3299999999995
2020-05-20,116.44,78.92,195.35,37.52,21.62,EA,Energy,1154.8499999999995
2020-05-21,123.1,140.19,263.28,-17.09,25.28,EA,Energy,1137.7599999999995
2020-05-22,78.18,92.08,170.26,-13.91,21.76,EA,Energy,1123.8499999999995
2020-05-25,82.88,47.95,130.83,34.93,22.56,EA,Energy,1158.7799999999995
2020-05-26,89.62,56.94,146.56,32.68,19.76,EA,Energy,1191.4599999999996
2020-05-27,60.72,82.17,142.89,-21.45,26.83,EA,Energy,1170.0099999999995
2020-05-28,71.7,123.48,195.18,-51.78,36.77,EA,Energy,1118.2299999999996
2020-05-29,478.53,280.69,759.22,197.85,41.14,EA,Energy,1316.0799999999995
2020-06-01,66.9,57.48,124.38,9.41,14.72,EA,Energy,1325.4899999999996
2020-06-02,215.46,155.31,370.77,60.14,22.47,EA,Energy,1385.6299999999997
2020-06-04,93.99,192.88,286.88,-98.89,21.55,EA,Energy,1286.7399999999996
2020-06-05,88.59,87.67,176.26,0.92,23.27,EA,Energy,1287.6599999999996
2020-06-08,102.18,85.29,187.46,16.89,19.66,EA,Energy,1304.5499999999997
2020-06-09,49.49,94.79,144.28,-45.3,21.31,EA,Energy,1259.2499999999998
2020-06-10,112.45,115.6,228.05,-3.15,27.6,EA,Energy,1256.0999999999997
2020-06-11,43.42,70.63,114.04,-27.21,25.89,EA,Energy,1228.8899999999996
2020-06-12,67.59,52.66,120.24,14.93,15.23,EA,Energy,1243.8199999999997
2020-06-15,85.19,74.41,159.6,10.77,22.89,EA,Energy,1254.5899999999997
2020-06-16,80.25,46.76,127.01,33.48,29.13,EA,Energy,1288.0699999999997
2020-06-17,55.63,42.93,98.56,12.69,21.65,EA,Energy,1300.7599999999998
2020-06-18,36.32,57.69,94.0,-21.37,33.02,EA,Energy,1279.3899999999999
2020-06-19,85.65,101.44,187.1,-15.79,31.61,EA,Energy,1263.6
2020-06-22,29.87,48.62,78.49,-18.76,26.64,EA,Energy,1244.84
2020-06-23,91.88,37.85,129.73,54.03,45.6,EA,Energy,1298.87
2020-06-24,35.22,57.8,93.02,-22.57,24.32,EA,Energy,1276.3
2020-06-25,46.88,45.04,91.92,1.83,32.46,EA,Energy,1278.1299999999999
2020-06-26,20.0,63.64,83.65,-43.64,27.86,EA,Energy,1234.4899999999998
2020-06-29,34.9,133.32,168.21,-98.42,36.37,EA,Energy,1136.0699999999997
2020-06-30,83.14,87.65,170.79,-4.51,35.18,EA,Energy,1131.5599999999997
2020-07-01,52.14,92.16,144.31,-40.02,43.34,EA,Energy,1091.5399999999997
2020-07-02,135.65,167.19,302.84,-31.53,25.97,EA,Energy,1060.0099999999998
2020-07-03,354.2,183.42,537.62,170.78,19.01,EA,Energy,1230.7899999999997
2020-07-07,550.81,452.32,1003.13,98.5,12.93,EA,Energy,1329.2899999999997
2020-07-08,329.52,392.78,722.3,-63.26,20.69,EA,Energy,1266.0299999999997
2020-07-09,183.26,172.5,355.77,10.76,13.95,EA,Energy,1276.7899999999997
