date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,53.44,176.2,229.64,-122.76,23.97,EGCO,Energy,-122.76
2020-01-03,84.22,117.47,201.69,-33.25,25.23,EGCO,Energy,-156.01
2020-01-06,90.53,93.4,183.93,-2.87,46.81,EGCO,Energy,-158.88
2020-01-07,110.63,67.62,178.25,43.01,37.64,EGCO,Energy,-115.87
2020-01-08,93.39,132.43,225.81,-39.04,29.43,EGCO,Energy,-154.91
2020-01-09,115.06,120.35,235.41,-5.29,41.81,EGCO,Energy,-160.2
2020-01-10,94.21,220.35,314.56,-126.14,37.17,EGCO,Energy,-286.34
2020-01-13,192.81,264.7,457.51,-71.88,23.84,EGCO,Energy,-358.21999999999997
2020-01-14,159.54,326.08,485.62,-166.54,28.4,EGCO,Energy,-524.76
2020-01-15,159.56,273.02,432.58,-113.47,35.37,EGCO,Energy,-638.23
2020-01-16,190.05,209.91,399.96,-19.86,38.14,EGCO,Energy,-658.09
2020-01-17,85.05,106.97,192.03,-21.92,34.93,EGCO,Energy,-680.01
2020-01-20,105.69,214.94,320.62,-109.25,35.56,EGCO,Energy,-789.26
2020-01-21,164.88,195.79,360.67,-30.91,38.37,EGCO,Energy,-820.17
2020-01-22,108.66,180.45,289.11,-71.78,37.92,EGCO,Energy,-891.9499999999999
2020-01-23,183.3,198.36,381.66,-15.05,34.32,EGCO,Energy,-906.9999999999999
2020-01-24,77.93,74.72,152.65,3.2,51.61,EGCO,Energy,-903.7999999999998
2020-01-27,53.69,164.16,217.85,-110.46,36.07,EGCO,Energy,-1014.2599999999999
2020-01-28,90.79,138.71,229.5,-47.92,30.87,EGCO,Energy,-1062.1799999999998
2020-01-29,96.01,91.27,187.28,4.74,30.64,EGCO,Energy,-1057.4399999999998
2020-01-30,58.73,106.0,164.73,-47.27,37.26,EGCO,Energy,-1104.7099999999998
2020-01-31,255.05,207.74,462.79,47.32,22.26,EGCO,Energy,-1057.3899999999999
2020-02-03,133.12,118.89,252.01,14.23,31.07,EGCO,Energy,-1043.1599999999999
2020-02-04,55.88,89.72,145.6,-33.84,28.45,EGCO,Energy,-1076.9999999999998
2020-02-05,62.1,141.37,203.47,-79.27,19.69,EGCO,Energy,-1156.2699999999998
2020-02-06,113.26,201.37,314.63,-88.11,27.35,EGCO,Energy,-1244.3799999999997
2020-02-07,180.97,137.12,318.09,43.85,35.2,EGCO,Energy,-1200.5299999999997
2020-02-11,87.67,169.44,257.11,-81.76,44.92,EGCO,Energy,-1282.2899999999997
2020-02-12,83.21,103.29,186.49,-20.08,36.9,EGCO,Energy,-1302.3699999999997
2020-02-13,38.46,70.93,109.38,-32.47,22.6,EGCO,Energy,-1334.8399999999997
2020-02-14,117.89,100.86,218.75,17.04,15.73,EGCO,Energy,-1317.7999999999997
2020-02-17,104.5,47.69,152.19,56.81,29.12,EGCO,Energy,-1260.9899999999998
2020-02-18,47.96,62.58,110.54,-14.62,29.14,EGCO,Energy,-1275.6099999999997
2020-02-19,62.17,109.76,171.93,-47.59,27.92,EGCO,Energy,-1323.1999999999996
2020-02-20,80.68,121.95,202.63,-41.27,24.44,EGCO,Energy,-1364.4699999999996
2020-02-21,184.56,175.57,360.13,8.98,31.61,EGCO,Energy,-1355.4899999999996
2020-02-24,196.93,135.86,332.8,61.07,31.77,EGCO,Energy,-1294.4199999999996
2020-02-25,253.74,214.05,467.79,39.69,38.39,EGCO,Energy,-1254.7299999999996
2020-02-26,153.45,299.49,452.95,-146.04,49.82,EGCO,Energy,-1400.7699999999995
2020-02-27,84.26,133.37,217.64,-49.11,40.48,EGCO,Energy,-1449.8799999999994
2020-02-28,105.37,217.66,323.03,-112.28,35.55,EGCO,Energy,-1562.1599999999994
2020-03-02,127.66,116.33,243.99,11.33,35.87,EGCO,Energy,-1550.8299999999995
2020-03-03,77.38,104.08,181.45,-26.7,31.43,EGCO,Energy,-1577.5299999999995
2020-03-04,124.94,172.11,297.05,-47.18,33.94,EGCO,Energy,-1624.7099999999996
2020-03-05,121.91,142.07,263.98,-20.15,23.33,EGCO,Energy,-1644.8599999999997
2020-03-06,126.63,103.8,230.43,22.83,24.97,EGCO,Energy,-1622.0299999999997
2020-03-09,340.21,143.59,483.8,196.61,38.18,EGCO,Energy,-1425.4199999999996
2020-03-10,186.0,169.02,355.02,16.98,39.44,EGCO,Energy,-1408.4399999999996
2020-03-11,187.57,157.49,345.06,30.08,28.52,EGCO,Energy,-1378.3599999999997
2020-03-12,168.35,163.5,331.85,4.84,28.84,EGCO,Energy,-1373.5199999999998
2020-03-13,297.31,365.47,662.77,-68.16,40.01,EGCO,Energy,-1441.6799999999998
2020-03-16,158.69,242.99,401.68,-84.31,38.28,EGCO,Energy,-1525.9899999999998
2020-03-17,188.16,252.26,440.42,-64.09,34.27,EGCO,Energy,-1590.0799999999997
2020-03-18,116.93,212.51,329.44,-95.58,34.35,EGCO,Energy,-1685.6599999999996
2020-03-19,163.76,226.62,390.38,-62.86,32.98,EGCO,Energy,-1748.5199999999995
2020-03-20,225.24,327.95,553.18,-102.71,29.16,EGCO,Energy,-1851.2299999999996
2020-03-23,94.79,152.77,247.56,-57.97,25.28,EGCO,Energy,-1909.1999999999996
2020-03-24,332.23,227.79,560.02,104.44,45.2,EGCO,Energy,-1804.7599999999995
2020-03-25,150.76,143.46,294.23,7.3,21.34,EGCO,Energy,-1797.4599999999996
2020-03-26,123.06,105.08,228.14,17.97,24.46,EGCO,Energy,-1779.4899999999996
2020-03-27,135.51,150.25,285.76,-14.74,28.97,EGCO,Energy,-1794.2299999999996
2020-03-30,158.94,136.29,295.24,22.65,42.37,EGCO,Energy,-1771.5799999999995
2020-03-31,47.83,100.77,148.6,-52.93,23.41,EGCO,Energy,-1824.5099999999995
2020-04-01,54.96,106.2,161.16,-51.25,29.28,EGCO,Energy,-1875.7599999999995
2020-04-02,68.72,101.57,170.28,-32.85,23.95,EGCO,Energy,-1908.6099999999994
2020-04-03,50.18,67.15,117.32,-16.97,36.78,EGCO,Energy,-1925.5799999999995
2020-04-07,249.26,194.34,443.6,54.92,34.64,EGCO,Energy,-1870.6599999999994
2020-04-08,87.87,150.41,238.28,-62.54,30.11,EGCO,Energy,-1933.1999999999994
2020-04-09,211.95,131.19,343.14,80.76,39.78,EGCO,Energy,-1852.4399999999994
2020-04-10,53.8,51.9,105.7,1.9,28.86,EGCO,Energy,-1850.5399999999993
2020-04-13,32.96,36.02,68.99,-3.06,14.63,EGCO,Energy,-1853.5999999999992
2020-04-14,68.8,64.24,133.05,4.56,22.8,EGCO,Energy,-1849.0399999999993
2020-04-15,130.07,85.61,215.68,44.45,24.7,EGCO,Energy,-1804.5899999999992
2020-04-16,250.91,207.09,458.0,43.81,37.52,EGCO,Energy,-1760.7799999999993
2020-04-17,203.16,88.13,291.3,115.03,35.45,EGCO,Energy,-1645.7499999999993
2020-04-20,97.18,81.63,178.81,15.55,29.44,EGCO,Energy,-1630.1999999999994
2020-04-21,126.43,157.89,284.31,-31.46,25.0,EGCO,Energy,-1661.6599999999994
2020-04-22,216.75,206.29,423.04,10.45,29.18,EGCO,Energy,-1651.2099999999994
2020-04-23,157.37,178.37,335.73,-21.0,23.6,EGCO,Energy,-1672.2099999999994
2020-04-24,89.69,145.38,235.08,-55.69,31.27,EGCO,Energy,-1727.8999999999994
2020-04-27,64.03,55.64,119.67,8.39,27.1,EGCO,Energy,-1719.5099999999993
2020-04-28,193.5,163.53,357.03,29.98,21.49,EGCO,Energy,-1689.5299999999993
2020-04-29,133.49,292.69,426.18,-159.19,17.66,EGCO,Energy,-1848.7199999999993
2020-04-30,94.58,106.67,201.25,-12.1,17.15,EGCO,Energy,-1860.8199999999993
2020-05-05,143.21,112.36,255.57,30.85,13.95,EGCO,Energy,-1829.9699999999993
2020-05-07,79.86,112.65,192.51,-32.8,17.69,EGCO,Energy,-1862.7699999999993
2020-05-08,62.8,90.72,153.52,-27.92,14.13,EGCO,Energy,-1890.6899999999994
2020-05-11,78.3,99.9,178.2,-21.6,17.65,EGCO,Energy,-1912.2899999999993
2020-05-12,91.08,70.17,161.25,20.92,21.33,EGCO,Energy,-1891.3699999999992
2020-05-13,56.69,72.97,129.67,-16.28,14.78,EGCO,Energy,-1907.6499999999992
2020-05-14,119.58,239.51,359.08,-119.93,28.22,EGCO,Energy,-2027.5799999999992
2020-05-15,137.06,163.14,300.2,-26.08,30.19,EGCO,Energy,-2053.6599999999994
2020-05-18,192.93,265.98,458.91,-73.05,37.56,EGCO,Energy,-2126.7099999999996
2020-05-19,176.88,210.45,387.32,-33.57,35.33,EGCO,Energy,-2160.2799999999997
2020-05-20,164.27,153.1,317.37,11.17,26.18,EGCO,Energy,-2149.1099999999997
2020-05-21,170.45,214.11,384.56,-43.66,28.9,EGCO,Energy,-2192.7699999999995
2020-05-22,66.58,136.72,203.3,-70.14,27.59,EGCO,Energy,-2262.9099999999994
2020-05-25,59.3,109.92,169.23,-50.62,23.56,EGCO,Energy,-2313.5299999999993
2020-05-26,35.81,191.76,227.58,-155.95,24.16,EGCO,Energy,-2469.479999999999
2020-05-27,42.82,158.19,201.01,-115.37,27.49,EGCO,Energy,-2584.849999999999
2020-05-28,136.29,112.48,248.78,23.81,23.15,EGCO,Energy,-2561.039999999999
2020-05-29,482.72,297.65,780.37,185.07,50.49,EGCO,Energy,-2375.969999999999
2020-06-01,92.18,94.1,186.28,-1.92,27.65,EGCO,Energy,-2377.889999999999
2020-06-02,126.96,71.85,198.81,55.1,24.74,EGCO,Energy,-2322.789999999999
2020-06-04,191.06,222.63,413.69,-31.57,29.3,EGCO,Energy,-2354.359999999999
2020-06-05,223.47,85.37,308.85,138.1,25.38,EGCO,Energy,-2216.2599999999993
2020-06-08,145.51,123.66,269.17,21.85,18.03,EGCO,Energy,-2194.4099999999994
2020-06-09,79.31,158.27,237.59,-78.96,24.43,EGCO,Energy,-2273.3699999999994
2020-06-10,86.94,86.67,173.61,0.27,28.97,EGCO,Energy,-2273.0999999999995
2020-06-11,80.68,108.73,189.41,-28.05,20.18,EGCO,Energy,-2301.1499999999996
2020-06-12,54.85,106.75,161.59,-51.9,23.48,EGCO,Energy,-2353.0499999999997
2020-06-15,81.94,169.64,251.57,-87.7,26.53,EGCO,Energy,-2440.7499999999995
2020-06-16,63.52,90.18,153.69,-26.66,33.85,EGCO,Energy,-2467.4099999999994
2020-06-17,50.76,54.04,104.8,-3.28,31.25,EGCO,Energy,-2470.6899999999996
2020-06-18,71.34,107.91,179.24,-36.57,34.16,EGCO,Energy,-2507.2599999999998
2020-06-19,97.64,89.09,186.73,8.55,30.56,EGCO,Energy,-2498.7099999999996
2020-06-22,38.26,81.74,120.01,-43.48,38.67,EGCO,Energy,-2542.1899999999996
2020-06-23,60.43,146.99,207.42,-86.57,33.22,EGCO,Energy,-2628.7599999999998
2020-06-24,33.35,62.72,96.07,-29.37,22.04,EGCO,Energy,-2658.1299999999997
2020-06-25,91.84,116.65,208.49,-24.81,27.5,EGCO,Energy,-2682.9399999999996
2020-06-26,95.55,75.78,171.33,19.77,21.77,EGCO,Energy,-2663.1699999999996
2020-06-29,55.75,107.9,163.65,-52.15,37.94,EGCO,Energy,-2715.3199999999997
2020-06-30,85.63,105.97,191.6,-20.33,27.49,EGCO,Energy,-2735.6499999999996
2020-07-01,59.13,52.89,112.03,6.24,17.66,EGCO,Energy,-2729.41
2020-07-02,131.41,42.03,173.44,89.38,26.2,EGCO,Energy,-2640.0299999999997
