date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,14.71,13.59,28.3,1.12,9.39,ERW,Tourism,1.12
2020-01-03,12.09,9.6,21.69,2.49,10.57,ERW,Tourism,3.6100000000000003
2020-01-06,26.41,7.94,34.35,18.46,16.06,ERW,Tourism,22.07
2020-01-07,13.88,12.85,26.72,1.03,15.26,ERW,Tourism,23.1
2020-01-08,9.58,5.38,14.96,4.2,13.58,ERW,Tourism,27.3
2020-01-09,4.64,20.75,25.39,-16.12,16.3,ERW,Tourism,11.18
2020-01-10,7.05,1.9,8.94,5.15,8.17,ERW,Tourism,16.33
2020-01-13,4.88,3.63,8.51,1.25,8.69,ERW,Tourism,17.58
2020-01-14,25.56,13.4,38.95,12.16,17.72,ERW,Tourism,29.74
2020-01-15,3.85,6.09,9.95,-2.24,20.31,ERW,Tourism,27.5
2020-01-16,6.16,3.81,9.98,2.35,11.17,ERW,Tourism,29.85
2020-01-17,14.76,8.95,23.71,5.81,17.45,ERW,Tourism,35.660000000000004
2020-01-20,9.07,14.61,23.68,-5.54,21.42,ERW,Tourism,30.120000000000005
2020-01-21,39.69,62.69,102.38,-23.0,15.83,ERW,Tourism,7.1200000000000045
2020-01-22,30.4,23.75,54.15,6.65,15.58,ERW,Tourism,13.770000000000005
2020-01-23,7.01,22.86,29.87,-15.84,16.77,ERW,Tourism,-2.069999999999995
2020-01-24,9.26,4.3,13.56,4.95,15.52,ERW,Tourism,2.8800000000000052
2020-01-27,39.63,8.26,47.89,31.37,14.14,ERW,Tourism,34.25000000000001
2020-01-28,14.48,25.93,40.41,-11.45,14.94,ERW,Tourism,22.800000000000008
2020-01-29,17.11,12.27,29.37,4.84,13.02,ERW,Tourism,27.640000000000008
2020-01-30,16.87,11.37,28.24,5.5,15.69,ERW,Tourism,33.14000000000001
2020-01-31,19.08,22.48,41.56,-3.41,13.02,ERW,Tourism,29.730000000000008
2020-02-03,11.17,7.6,18.76,3.57,8.21,ERW,Tourism,33.300000000000004
2020-02-04,24.92,13.38,38.3,11.53,13.79,ERW,Tourism,44.830000000000005
2020-02-05,7.87,30.75,38.62,-22.88,10.31,ERW,Tourism,21.950000000000006
2020-02-06,4.7,24.65,29.34,-19.95,14.49,ERW,Tourism,2.000000000000007
2020-02-07,5.78,9.74,15.52,-3.96,16.7,ERW,Tourism,-1.9599999999999929
2020-02-11,6.77,7.05,13.82,-0.29,15.26,ERW,Tourism,-2.249999999999993
2020-02-12,11.25,8.21,19.46,3.03,16.79,ERW,Tourism,0.7800000000000069
2020-02-13,3.18,5.26,8.44,-2.08,16.07,ERW,Tourism,-1.2999999999999932
2020-02-14,8.37,5.6,13.97,2.77,15.49,ERW,Tourism,1.4700000000000069
2020-02-17,12.6,6.95,19.55,5.64,21.73,ERW,Tourism,7.1100000000000065
2020-02-18,5.56,4.7,10.27,0.86,24.2,ERW,Tourism,7.970000000000007
2020-02-19,3.58,6.59,10.16,-3.01,11.06,ERW,Tourism,4.960000000000007
2020-02-20,4.27,4.16,8.44,0.11,11.22,ERW,Tourism,5.070000000000007
2020-02-21,16.91,4.11,21.02,12.8,18.64,ERW,Tourism,17.870000000000008
2020-02-24,10.62,29.52,40.14,-18.9,12.77,ERW,Tourism,-1.0299999999999905
2020-02-25,14.16,8.57,22.73,5.59,13.11,ERW,Tourism,4.560000000000009
2020-02-26,9.98,13.87,23.85,-3.88,15.13,ERW,Tourism,0.6800000000000095
2020-02-27,8.84,7.36,16.21,1.48,17.85,ERW,Tourism,2.1600000000000095
2020-02-28,9.7,9.74,19.45,-0.04,23.2,ERW,Tourism,2.1200000000000094
2020-03-02,7.19,9.88,17.07,-2.69,21.0,ERW,Tourism,-0.5699999999999905
2020-03-03,30.94,16.72,47.65,14.22,21.58,ERW,Tourism,13.65000000000001
2020-03-04,18.39,8.13,26.52,10.26,28.8,ERW,Tourism,23.91000000000001
2020-03-05,55.66,13.56,69.22,42.1,25.34,ERW,Tourism,66.01000000000002
2020-03-06,9.39,7.35,16.73,2.04,32.06,ERW,Tourism,68.05000000000003
2020-03-09,48.28,12.38,60.66,35.9,36.18,ERW,Tourism,103.95000000000002
2020-03-10,7.35,5.99,13.34,1.36,28.17,ERW,Tourism,105.31000000000002
2020-03-11,6.07,8.73,14.79,-2.66,30.04,ERW,Tourism,102.65000000000002
2020-03-12,6.31,21.79,28.1,-15.48,30.82,ERW,Tourism,87.17000000000002
2020-03-13,20.25,13.07,33.32,7.18,17.56,ERW,Tourism,94.35000000000002
2020-03-16,12.95,15.64,28.59,-2.7,34.62,ERW,Tourism,91.65000000000002
2020-03-17,9.2,12.39,21.59,-3.2,19.59,ERW,Tourism,88.45000000000002
2020-03-18,4.09,15.66,19.75,-11.57,16.86,ERW,Tourism,76.88000000000002
2020-03-19,10.83,4.71,15.54,6.12,15.98,ERW,Tourism,83.00000000000003
2020-03-20,16.93,9.95,26.88,6.98,11.42,ERW,Tourism,89.98000000000003
2020-03-23,5.33,14.32,19.65,-9.0,22.44,ERW,Tourism,80.98000000000003
2020-03-24,11.4,9.54,20.94,1.86,17.36,ERW,Tourism,82.84000000000003
2020-03-25,6.84,3.91,10.76,2.93,16.51,ERW,Tourism,85.77000000000004
2020-03-26,8.95,6.41,15.37,2.54,7.18,ERW,Tourism,88.31000000000004
2020-03-27,8.2,7.06,15.26,1.14,15.01,ERW,Tourism,89.45000000000005
2020-03-30,3.36,5.96,9.31,-2.6,23.23,ERW,Tourism,86.85000000000005
2020-03-31,8.11,7.85,15.96,0.26,11.15,ERW,Tourism,87.11000000000006
2020-04-01,3.45,3.64,7.09,-0.2,12.98,ERW,Tourism,86.91000000000005
2020-04-02,3.29,0.98,4.27,2.31,16.4,ERW,Tourism,89.22000000000006
2020-04-03,4.17,3.18,7.35,0.98,15.48,ERW,Tourism,90.20000000000006
2020-04-07,7.78,8.63,16.41,-0.85,13.0,ERW,Tourism,89.35000000000007
2020-04-08,3.21,13.0,16.21,-9.79,13.15,ERW,Tourism,79.56000000000006
2020-04-09,11.32,17.83,29.15,-6.52,10.48,ERW,Tourism,73.04000000000006
2020-04-10,8.56,6.13,14.68,2.43,12.62,ERW,Tourism,75.47000000000007
2020-04-13,6.66,6.06,12.72,0.6,8.38,ERW,Tourism,76.07000000000006
2020-04-14,12.49,20.66,33.14,-8.17,8.27,ERW,Tourism,67.90000000000006
2020-04-15,11.54,12.33,23.88,-0.79,15.17,ERW,Tourism,67.11000000000006
2020-04-16,12.16,17.54,29.7,-5.38,15.44,ERW,Tourism,61.730000000000054
2020-04-17,12.05,6.67,18.72,5.39,15.89,ERW,Tourism,67.12000000000005
2020-04-20,9.96,10.32,20.28,-0.35,11.34,ERW,Tourism,66.77000000000005
2020-04-21,12.64,10.31,22.95,2.33,24.55,ERW,Tourism,69.10000000000005
2020-04-22,6.51,5.37,11.88,1.15,17.49,ERW,Tourism,70.25000000000006
2020-04-23,22.9,6.28,29.18,16.62,19.52,ERW,Tourism,86.87000000000006
2020-04-24,23.42,29.5,52.92,-6.08,11.49,ERW,Tourism,80.79000000000006
2020-04-27,3.93,10.86,14.78,-6.93,7.16,ERW,Tourism,73.86000000000007
2020-04-28,5.59,4.38,9.98,1.21,12.07,ERW,Tourism,75.07000000000006
2020-04-29,14.74,11.12,25.86,3.61,14.44,ERW,Tourism,78.68000000000006
2020-04-30,18.07,11.75,29.82,6.31,10.83,ERW,Tourism,84.99000000000007
2020-05-05,8.09,21.15,29.25,-13.06,30.88,ERW,Tourism,71.93000000000006
2020-05-07,10.07,17.8,27.87,-7.73,17.78,ERW,Tourism,64.20000000000006
2020-05-08,7.52,5.5,13.02,2.02,18.92,ERW,Tourism,66.22000000000006
2020-05-11,6.67,6.59,13.25,0.08,10.75,ERW,Tourism,66.30000000000005
2020-05-12,11.73,3.72,15.44,8.01,14.36,ERW,Tourism,74.31000000000006
2020-05-13,9.94,7.49,17.43,2.45,14.8,ERW,Tourism,76.76000000000006
2020-05-14,4.91,9.11,14.02,-4.19,15.75,ERW,Tourism,72.57000000000006
2020-05-15,5.55,11.89,17.44,-6.34,22.53,ERW,Tourism,66.23000000000006
2020-05-18,1.05,5.82,6.86,-4.77,15.55,ERW,Tourism,61.460000000000065
2020-05-19,17.43,10.08,27.51,7.35,10.53,ERW,Tourism,68.81000000000006
2020-05-20,23.79,13.87,37.66,9.93,14.58,ERW,Tourism,78.74000000000007
2020-05-21,14.1,18.4,32.5,-4.3,18.89,ERW,Tourism,74.44000000000007
2020-05-22,9.44,10.52,19.96,-1.08,11.67,ERW,Tourism,73.36000000000007
2020-05-25,52.16,37.98,90.14,14.18,22.77,ERW,Tourism,87.54000000000008
2020-05-26,29.42,52.44,81.86,-23.02,12.06,ERW,Tourism,64.52000000000008
2020-05-27,36.75,18.28,55.03,18.48,15.96,ERW,Tourism,83.00000000000009
2020-05-28,52.62,40.51,93.12,12.11,21.89,ERW,Tourism,95.11000000000008
2020-05-29,44.91,67.13,112.04,-22.22,29.8,ERW,Tourism,72.89000000000009
2020-06-01,16.73,21.91,38.64,-5.18,21.22,ERW,Tourism,67.7100000000001
2020-06-02,12.1,11.4,23.5,0.7,10.74,ERW,Tourism,68.4100000000001
2020-06-04,82.5,52.93,135.43,29.57,21.81,ERW,Tourism,97.9800000000001
2020-06-05,27.74,52.16,79.9,-24.42,19.34,ERW,Tourism,73.5600000000001
2020-06-08,24.8,23.79,48.59,1.01,9.52,ERW,Tourism,74.5700000000001
2020-06-09,117.18,101.08,218.26,16.11,16.07,ERW,Tourism,90.6800000000001
2020-06-10,20.87,27.51,48.38,-6.64,10.08,ERW,Tourism,84.0400000000001
2020-06-11,21.32,15.31,36.64,6.01,9.97,ERW,Tourism,90.05000000000011
2020-06-12,47.05,35.86,82.91,11.18,15.09,ERW,Tourism,101.2300000000001
2020-06-15,30.47,43.22,73.69,-12.75,13.46,ERW,Tourism,88.4800000000001
2020-06-16,25.4,38.64,64.04,-13.25,13.33,ERW,Tourism,75.2300000000001
2020-06-17,59.86,44.0,103.86,15.86,14.09,ERW,Tourism,91.0900000000001
2020-06-18,15.26,25.44,40.7,-10.19,13.31,ERW,Tourism,80.9000000000001
2020-06-19,16.0,25.76,41.76,-9.76,12.96,ERW,Tourism,71.1400000000001
2020-06-22,20.55,24.45,44.99,-3.9,16.33,ERW,Tourism,67.2400000000001
2020-06-23,4.33,11.06,15.39,-6.73,11.5,ERW,Tourism,60.51000000000009
2020-06-24,3.03,6.05,9.08,-3.02,7.77,ERW,Tourism,57.49000000000009
2020-06-25,18.25,11.79,30.04,6.46,16.68,ERW,Tourism,63.95000000000009
2020-06-26,4.08,19.84,23.92,-15.76,13.24,ERW,Tourism,48.19000000000009
2020-06-29,6.77,6.58,13.34,0.19,8.07,ERW,Tourism,48.38000000000009
2020-06-30,22.29,18.39,40.67,3.9,16.83,ERW,Tourism,52.280000000000086
2020-07-01,8.46,5.19,13.65,3.27,12.08,ERW,Tourism,55.55000000000009
2020-07-02,32.06,21.53,53.59,10.53,15.77,ERW,Tourism,66.08000000000008
2020-07-03,8.1,13.94,22.04,-5.84,10.93,ERW,Tourism,60.24000000000008
2020-07-07,2.67,4.54,7.21,-1.86,9.78,ERW,Tourism,58.38000000000008
2020-07-08,5.87,14.99,20.85,-9.12,13.28,ERW,Tourism,49.26000000000008
2020-07-09,11.02,29.34,40.36,-18.33,19.28,ERW,Tourism,30.930000000000085
2020-07-10,15.05,18.28,33.34,-3.23,17.17,ERW,Tourism,27.700000000000085
2020-07-13,9.27,14.16,23.43,-4.88,12.21,ERW,Tourism,22.820000000000086
2020-07-14,18.94,3.85,22.8,15.09,15.48,ERW,Tourism,37.91000000000008
2020-07-15,9.09,8.19,17.29,0.9,15.93,ERW,Tourism,38.81000000000008
2020-07-16,6.12,9.78,15.9,-3.65,16.39,ERW,Tourism,35.16000000000008
2020-07-17,8.75,2.17,10.93,6.58,12.7,ERW,Tourism,41.74000000000008
2020-07-20,1.89,4.73,6.63,-2.84,13.0,ERW,Tourism,38.90000000000008
