date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,10.16,4.13,14.3,6.03,10.84,GFPT,Agri,6.03
2020-01-03,7.04,3.38,10.42,3.67,8.22,GFPT,Agri,9.7
2020-01-06,5.89,6.99,12.88,-1.1,15.74,GFPT,Agri,8.6
2020-01-07,4.64,4.11,8.75,0.53,11.21,GFPT,Agri,9.129999999999999
2020-01-08,2.74,2.89,5.63,-0.14,8.76,GFPT,Agri,8.989999999999998
2020-01-09,16.83,27.85,44.67,-11.02,18.81,GFPT,Agri,-2.030000000000001
2020-01-10,5.8,6.21,12.0,-0.41,8.81,GFPT,Agri,-2.4400000000000013
2020-01-13,15.79,16.06,31.86,-0.27,13.34,GFPT,Agri,-2.7100000000000013
2020-01-14,13.21,25.77,38.98,-12.56,12.19,GFPT,Agri,-15.270000000000001
2020-01-15,6.15,2.56,8.71,3.59,11.02,GFPT,Agri,-11.680000000000001
2020-01-16,8.76,2.62,11.38,6.14,14.88,GFPT,Agri,-5.540000000000002
2020-01-17,8.83,2.86,11.69,5.98,10.5,GFPT,Agri,0.4399999999999986
2020-01-20,11.75,9.93,21.68,1.81,19.19,GFPT,Agri,2.2499999999999987
2020-01-21,14.61,4.46,19.07,10.15,16.31,GFPT,Agri,12.399999999999999
2020-01-22,18.14,4.0,22.14,14.14,22.54,GFPT,Agri,26.54
2020-01-23,5.99,4.5,10.48,1.49,13.72,GFPT,Agri,28.029999999999998
2020-01-24,1.11,1.31,2.42,-0.21,13.15,GFPT,Agri,27.819999999999997
2020-01-27,3.91,6.01,9.91,-2.1,6.57,GFPT,Agri,25.719999999999995
2020-01-28,2.11,8.1,10.2,-5.99,21.89,GFPT,Agri,19.729999999999997
2020-01-29,2.63,2.76,5.39,-0.12,20.78,GFPT,Agri,19.609999999999996
2020-01-30,11.62,16.9,28.52,-5.29,13.89,GFPT,Agri,14.319999999999997
2020-01-31,7.01,7.11,14.12,-0.1,12.4,GFPT,Agri,14.219999999999997
2020-02-03,7.76,23.3,31.06,-15.54,15.93,GFPT,Agri,-1.320000000000002
2020-02-04,0.84,4.39,5.24,-3.55,6.39,GFPT,Agri,-4.870000000000002
2020-02-05,9.15,10.52,19.67,-1.36,11.7,GFPT,Agri,-6.230000000000002
2020-02-06,2.76,17.33,20.09,-14.57,23.16,GFPT,Agri,-20.800000000000004
2020-02-07,3.02,12.29,15.31,-9.28,22.98,GFPT,Agri,-30.080000000000005
2020-02-11,6.83,10.1,16.93,-3.27,14.99,GFPT,Agri,-33.35000000000001
2020-02-12,15.95,19.75,35.7,-3.8,18.07,GFPT,Agri,-37.150000000000006
2020-02-13,9.52,9.86,19.38,-0.33,18.9,GFPT,Agri,-37.480000000000004
2020-02-14,9.04,38.19,47.23,-29.16,23.63,GFPT,Agri,-66.64
2020-02-17,2.38,3.69,6.07,-1.3,22.6,GFPT,Agri,-67.94
2020-02-18,4.61,6.15,10.76,-1.54,18.26,GFPT,Agri,-69.48
2020-02-19,1.49,6.03,7.52,-4.54,16.78,GFPT,Agri,-74.02000000000001
2020-02-20,1.3,2.3,3.61,-1.0,15.47,GFPT,Agri,-75.02000000000001
2020-02-21,2.6,4.19,6.79,-1.6,29.85,GFPT,Agri,-76.62
2020-02-24,2.66,28.76,31.42,-26.1,27.05,GFPT,Agri,-102.72
2020-02-25,7.26,14.41,21.67,-7.16,25.07,GFPT,Agri,-109.88
2020-02-26,2.73,19.92,22.64,-17.19,24.2,GFPT,Agri,-127.07
2020-02-27,5.94,9.03,14.97,-3.09,20.31,GFPT,Agri,-130.16
