date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,8.83,31.39,40.22,-22.56,12.03,GLOBAL,Commerce,-22.56
2020-01-03,28.55,19.69,48.24,8.86,17.32,GLOBAL,Commerce,-13.7
2020-01-06,36.55,15.48,52.03,21.08,29.0,GLOBAL,Commerce,7.379999999999999
2020-01-07,76.15,23.7,99.85,52.46,16.48,GLOBAL,Commerce,59.84
2020-01-08,33.62,14.44,48.06,19.18,19.44,GLOBAL,Commerce,79.02000000000001
2020-01-09,24.58,34.9,59.49,-10.32,21.45,GLOBAL,Commerce,68.70000000000002
2020-01-10,44.32,48.03,92.34,-3.71,26.07,GLOBAL,Commerce,64.99000000000002
2020-01-13,11.26,8.28,19.54,2.98,24.54,GLOBAL,Commerce,67.97000000000003
2020-01-14,24.51,16.05,40.56,8.46,24.65,GLOBAL,Commerce,76.43000000000004
2020-01-15,14.15,9.76,23.91,4.38,21.96,GLOBAL,Commerce,80.81000000000003
2020-01-16,15.85,37.04,52.89,-21.19,28.32,GLOBAL,Commerce,59.62000000000003
2020-01-17,15.94,13.6,29.54,2.34,10.2,GLOBAL,Commerce,61.960000000000036
2020-01-20,21.75,7.97,29.72,13.79,32.03,GLOBAL,Commerce,75.75000000000003
2020-01-21,30.73,16.99,47.71,13.74,36.37,GLOBAL,Commerce,89.49000000000002
2020-01-22,62.23,38.82,101.05,23.4,28.13,GLOBAL,Commerce,112.89000000000001
2020-01-23,6.23,4.92,11.14,1.31,32.99,GLOBAL,Commerce,114.20000000000002
2020-01-24,32.69,26.17,58.86,6.52,18.2,GLOBAL,Commerce,120.72000000000001
2020-01-27,16.15,28.25,44.4,-12.1,22.59,GLOBAL,Commerce,108.62000000000002
2020-01-28,8.51,34.36,42.87,-25.85,21.56,GLOBAL,Commerce,82.77000000000001
2020-01-29,17.26,16.99,34.25,0.27,23.19,GLOBAL,Commerce,83.04
2020-01-30,16.49,22.01,38.5,-5.52,23.1,GLOBAL,Commerce,77.52000000000001
2020-01-31,11.87,16.65,28.52,-4.78,23.35,GLOBAL,Commerce,72.74000000000001
2020-02-03,8.07,21.37,29.44,-13.3,23.64,GLOBAL,Commerce,59.44000000000001
2020-02-04,13.25,14.46,27.71,-1.21,27.15,GLOBAL,Commerce,58.23000000000001
2020-02-05,50.98,24.91,75.89,26.07,26.19,GLOBAL,Commerce,84.30000000000001
2020-02-06,20.6,32.08,52.68,-11.48,32.82,GLOBAL,Commerce,72.82000000000001
