date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,122.84,59.9,182.74,62.94,10.83,GPSC,Energy,62.94
2020-01-03,159.65,116.75,276.4,42.9,21.94,GPSC,Energy,105.84
2020-01-06,1093.25,542.74,1635.99,550.51,23.36,GPSC,Energy,656.35
2020-01-07,377.15,460.17,837.33,-83.02,18.06,GPSC,Energy,573.33
2020-01-08,591.95,335.74,927.69,256.2,16.87,GPSC,Energy,829.53
2020-01-09,961.93,717.22,1679.15,244.71,22.03,GPSC,Energy,1074.24
2020-01-10,496.24,570.21,1066.45,-73.97,19.46,GPSC,Energy,1000.27
2020-01-13,783.44,719.25,1502.7,64.19,16.9,GPSC,Energy,1064.46
2020-01-14,456.3,397.51,853.81,58.79,16.41,GPSC,Energy,1123.25
2020-01-15,978.22,1033.13,2011.34,-54.91,15.18,GPSC,Energy,1068.34
2020-01-16,492.47,429.76,922.23,62.7,15.27,GPSC,Energy,1131.04
2020-01-17,533.21,758.16,1291.37,-224.96,19.49,GPSC,Energy,906.0799999999999
2020-01-20,436.32,224.39,660.71,211.93,18.08,GPSC,Energy,1118.01
2020-01-21,743.87,352.44,1096.31,391.43,17.45,GPSC,Energy,1509.44
2020-01-22,516.81,560.42,1077.23,-43.6,13.39,GPSC,Energy,1465.8400000000001
2020-01-23,272.64,550.31,822.95,-277.66,14.01,GPSC,Energy,1188.18
2020-01-24,321.36,745.47,1066.83,-424.11,13.75,GPSC,Energy,764.07
2020-01-27,342.9,275.17,618.06,67.73,20.67,GPSC,Energy,831.8000000000001
2020-01-28,1063.01,665.84,1728.85,397.18,24.43,GPSC,Energy,1228.98
2020-01-29,460.21,386.21,846.42,74.0,17.43,GPSC,Energy,1302.98
2020-01-30,222.03,204.64,426.67,17.39,19.34,GPSC,Energy,1320.3700000000001
2020-01-31,910.39,573.08,1483.47,337.31,23.8,GPSC,Energy,1657.68
2020-02-03,1115.14,482.96,1598.1,632.18,20.5,GPSC,Energy,2289.86
