date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,6.28,2.83,9.11,3.45,11.09,GUNKUL,Energy,3.45
2020-01-03,6.28,4.14,10.41,2.14,7.27,GUNKUL,Energy,5.59
2020-01-06,10.81,11.72,22.52,-0.91,13.89,GUNKUL,Energy,4.68
2020-01-07,15.28,11.19,26.46,4.09,13.35,GUNKUL,Energy,8.77
2020-01-08,6.68,11.21,17.89,-4.53,14.5,GUNKUL,Energy,4.239999999999999
2020-01-09,10.13,7.39,17.52,2.74,8.44,GUNKUL,Energy,6.9799999999999995
2020-01-10,10.55,4.12,14.67,6.43,10.66,GUNKUL,Energy,13.41
2020-01-13,20.11,6.52,26.63,13.59,13.34,GUNKUL,Energy,27.0
2020-01-14,23.5,6.35,29.85,17.15,21.88,GUNKUL,Energy,44.15
2020-01-15,13.33,6.63,19.96,6.7,16.78,GUNKUL,Energy,50.85
2020-01-16,7.69,6.86,14.55,0.83,9.11,GUNKUL,Energy,51.68
2020-01-17,3.22,6.84,10.06,-3.62,20.19,GUNKUL,Energy,48.06
2020-01-20,5.11,12.4,17.51,-7.29,22.74,GUNKUL,Energy,40.77
2020-01-21,8.89,9.0,17.89,-0.1,22.26,GUNKUL,Energy,40.67
2020-01-22,6.89,12.65,19.54,-5.76,12.75,GUNKUL,Energy,34.910000000000004
2020-01-23,14.69,13.2,27.9,1.49,12.51,GUNKUL,Energy,36.400000000000006
2020-01-24,23.04,2.88,25.92,20.16,13.69,GUNKUL,Energy,56.56
2020-01-27,4.75,10.24,14.98,-5.49,6.66,GUNKUL,Energy,51.07
2020-01-28,7.13,6.64,13.77,0.49,9.01,GUNKUL,Energy,51.56
2020-01-29,1.77,15.6,17.37,-13.82,23.26,GUNKUL,Energy,37.74
2020-01-30,21.81,5.33,27.14,16.47,18.86,GUNKUL,Energy,54.21
2020-01-31,1.88,6.55,8.43,-4.67,11.77,GUNKUL,Energy,49.54
2020-02-03,8.0,15.11,23.11,-7.1,19.21,GUNKUL,Energy,42.44
2020-02-04,10.34,3.83,14.17,6.5,13.76,GUNKUL,Energy,48.94
2020-02-05,7.89,7.32,15.2,0.57,19.36,GUNKUL,Energy,49.51
2020-02-06,4.13,6.58,10.71,-2.45,12.6,GUNKUL,Energy,47.059999999999995
2020-02-07,6.83,8.04,14.87,-1.2,12.39,GUNKUL,Energy,45.85999999999999
2020-02-11,12.03,14.87,26.9,-2.85,12.21,GUNKUL,Energy,43.00999999999999
2020-02-12,16.59,17.38,33.97,-0.8,13.63,GUNKUL,Energy,42.209999999999994
2020-02-13,3.36,6.21,9.58,-2.85,11.06,GUNKUL,Energy,39.35999999999999
2020-02-14,5.49,6.65,12.13,-1.16,11.2,GUNKUL,Energy,38.199999999999996
2020-02-17,1.27,4.53,5.8,-3.25,13.09,GUNKUL,Energy,34.949999999999996
2020-02-18,3.17,5.11,8.27,-1.94,16.39,GUNKUL,Energy,33.01
2020-02-19,4.39,8.9,13.29,-4.51,14.15,GUNKUL,Energy,28.5
2020-02-20,9.66,9.56,19.22,0.1,16.81,GUNKUL,Energy,28.6
2020-02-21,4.18,6.13,10.3,-1.95,22.41,GUNKUL,Energy,26.650000000000002
2020-02-24,11.39,10.07,21.46,1.32,22.53,GUNKUL,Energy,27.970000000000002
2020-02-25,10.25,14.34,24.59,-4.1,15.13,GUNKUL,Energy,23.870000000000005
2020-02-26,7.33,16.82,24.15,-9.5,14.32,GUNKUL,Energy,14.370000000000005
