date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,16.12,19.81,35.93,-3.7,8.11,HANA,Etron,-3.7
2020-01-03,17.08,7.98,25.06,9.1,16.88,HANA,Etron,5.3999999999999995
2020-01-06,22.37,15.53,37.9,6.84,11.0,HANA,Etron,12.239999999999998
2020-01-07,10.0,11.11,21.11,-1.11,10.77,HANA,Etron,11.129999999999999
2020-01-08,11.36,23.51,34.87,-12.15,11.67,HANA,Etron,-1.0200000000000014
2020-01-09,26.24,19.5,45.74,6.74,13.27,HANA,Etron,5.719999999999999
2020-01-10,12.75,23.28,36.03,-10.52,15.4,HANA,Etron,-4.800000000000001
2020-01-13,9.2,10.05,19.26,-0.85,11.12,HANA,Etron,-5.65
2020-01-14,13.12,16.85,29.98,-3.73,15.18,HANA,Etron,-9.38
2020-01-15,29.49,7.27,36.76,22.22,18.94,HANA,Etron,12.839999999999998
2020-01-16,21.37,26.06,47.43,-4.7,25.45,HANA,Etron,8.139999999999997
2020-01-17,37.31,28.22,65.53,9.09,23.89,HANA,Etron,17.229999999999997
2020-01-20,7.68,16.6,24.28,-8.92,10.76,HANA,Etron,8.309999999999997
2020-01-21,31.27,23.35,54.62,7.92,21.82,HANA,Etron,16.229999999999997
2020-01-22,5.3,10.08,15.38,-4.79,10.14,HANA,Etron,11.439999999999998
2020-01-23,3.98,14.81,18.79,-10.84,9.83,HANA,Etron,0.5999999999999979
2020-01-24,20.53,3.26,23.79,17.28,11.82,HANA,Etron,17.88
2020-01-27,14.71,13.61,28.33,1.1,8.96,HANA,Etron,18.98
2020-01-28,39.83,47.14,86.97,-7.3,11.53,HANA,Etron,11.68
2020-01-29,58.47,17.16,75.63,41.31,17.81,HANA,Etron,52.99
2020-01-30,12.75,10.91,23.65,1.84,18.82,HANA,Etron,54.830000000000005
2020-01-31,19.47,29.25,48.73,-9.78,17.18,HANA,Etron,45.050000000000004
2020-02-03,9.07,16.85,25.92,-7.78,20.22,HANA,Etron,37.27
2020-02-04,23.89,5.88,29.77,18.0,17.46,HANA,Etron,55.27
2020-02-05,17.91,8.33,26.24,9.59,14.24,HANA,Etron,64.86
2020-02-06,74.93,44.73,119.66,30.2,28.87,HANA,Etron,95.06
2020-02-07,24.21,49.43,73.65,-25.22,16.54,HANA,Etron,69.84
2020-02-11,4.58,17.24,21.81,-12.66,13.65,HANA,Etron,57.18000000000001
2020-02-12,34.66,7.99,42.65,26.68,17.17,HANA,Etron,83.86000000000001
2020-02-13,39.43,22.26,61.69,17.17,13.33,HANA,Etron,101.03000000000002
2020-02-14,25.89,24.73,50.62,1.16,12.94,HANA,Etron,102.19000000000001
2020-02-17,14.66,15.97,30.63,-1.31,16.64,HANA,Etron,100.88000000000001
2020-02-18,7.66,15.48,23.13,-7.82,21.08,HANA,Etron,93.06
2020-02-19,5.9,24.19,30.09,-18.3,15.67,HANA,Etron,74.76
2020-02-20,22.0,22.32,44.32,-0.32,26.4,HANA,Etron,74.44000000000001
2020-02-21,14.57,16.54,31.11,-1.97,17.79,HANA,Etron,72.47000000000001
2020-02-24,12.36,24.25,36.61,-11.88,24.25,HANA,Etron,60.59000000000001
2020-02-25,52.05,52.61,104.66,-0.57,24.17,HANA,Etron,60.02000000000001
2020-02-26,17.97,35.38,53.35,-17.41,18.3,HANA,Etron,42.610000000000014
2020-02-27,7.15,35.52,42.67,-28.37,16.71,HANA,Etron,14.240000000000013
2020-02-28,13.85,48.57,62.42,-34.72,16.92,HANA,Etron,-20.479999999999986
2020-03-02,26.1,55.78,81.89,-29.68,15.67,HANA,Etron,-50.15999999999998
2020-03-03,32.04,21.47,53.51,10.57,20.75,HANA,Etron,-39.58999999999998
