date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,85.98,63.12,149.09,22.86,21.07,HMPRO,Commerce,22.86
2020-01-03,71.86,57.56,129.42,14.3,27.21,HMPRO,Commerce,37.16
2020-01-06,69.76,77.62,147.38,-7.86,28.95,HMPRO,Commerce,29.299999999999997
2020-01-07,58.33,74.82,133.14,-16.49,23.07,HMPRO,Commerce,12.809999999999999
2020-01-08,126.03,111.15,237.17,14.88,27.17,HMPRO,Commerce,27.689999999999998
2020-01-09,97.84,78.15,175.98,19.69,30.26,HMPRO,Commerce,47.379999999999995
2020-01-10,54.59,56.35,110.94,-1.76,28.54,HMPRO,Commerce,45.62
2020-01-13,114.05,84.39,198.44,29.66,43.0,HMPRO,Commerce,75.28
2020-01-14,83.2,95.48,178.67,-12.28,26.85,HMPRO,Commerce,63.0
2020-01-15,110.37,175.84,286.21,-65.47,31.23,HMPRO,Commerce,-2.469999999999999
2020-01-16,116.99,118.43,235.42,-1.45,33.07,HMPRO,Commerce,-3.919999999999999
2020-01-17,51.79,58.45,110.25,-6.66,36.93,HMPRO,Commerce,-10.579999999999998
2020-01-20,41.31,45.35,86.66,-4.04,41.44,HMPRO,Commerce,-14.619999999999997
2020-01-21,76.46,54.03,130.5,22.43,52.9,HMPRO,Commerce,7.810000000000002
2020-01-22,141.35,189.3,330.64,-47.95,37.16,HMPRO,Commerce,-40.14
2020-01-23,82.87,114.91,197.78,-32.05,29.12,HMPRO,Commerce,-72.19
2020-01-24,149.27,115.9,265.17,33.38,31.23,HMPRO,Commerce,-38.809999999999995
2020-01-27,98.48,97.14,195.62,1.33,28.75,HMPRO,Commerce,-37.48
2020-01-28,54.82,181.65,236.47,-126.83,29.63,HMPRO,Commerce,-164.31
2020-01-29,40.33,90.98,131.31,-50.66,31.28,HMPRO,Commerce,-214.97
2020-01-30,25.42,30.67,56.09,-5.25,21.08,HMPRO,Commerce,-220.22
2020-01-31,102.51,137.91,240.42,-35.4,38.95,HMPRO,Commerce,-255.62
2020-02-03,140.56,50.15,190.7,90.41,30.1,HMPRO,Commerce,-165.21
2020-02-04,173.65,133.68,307.33,39.97,34.7,HMPRO,Commerce,-125.24000000000001
2020-02-05,114.82,131.16,245.99,-16.34,39.9,HMPRO,Commerce,-141.58
2020-02-06,151.16,135.12,286.28,16.04,38.4,HMPRO,Commerce,-125.54000000000002
2020-02-07,78.1,50.12,128.21,27.98,34.74,HMPRO,Commerce,-97.56000000000002
2020-02-11,144.99,51.46,196.45,93.52,35.44,HMPRO,Commerce,-4.0400000000000205
2020-02-12,142.32,104.89,247.21,37.43,47.95,HMPRO,Commerce,33.38999999999998
2020-02-13,167.52,67.22,234.74,100.31,33.74,HMPRO,Commerce,133.7
2020-02-14,91.81,48.6,140.41,43.21,28.15,HMPRO,Commerce,176.91
2020-02-17,12.57,29.8,42.37,-17.23,18.47,HMPRO,Commerce,159.68
2020-02-18,70.41,91.46,161.87,-21.05,23.66,HMPRO,Commerce,138.63
2020-02-19,111.84,70.65,182.49,41.19,29.04,HMPRO,Commerce,179.82
2020-02-20,81.35,68.8,150.15,12.55,31.43,HMPRO,Commerce,192.37
2020-02-21,174.73,159.69,334.43,15.04,37.42,HMPRO,Commerce,207.41
2020-02-24,137.2,104.43,241.63,32.78,31.74,HMPRO,Commerce,240.19
2020-02-25,152.33,134.34,286.67,17.99,30.55,HMPRO,Commerce,258.18
2020-02-26,126.82,140.32,267.13,-13.5,37.55,HMPRO,Commerce,244.68
2020-02-27,178.0,131.89,309.89,46.11,30.3,HMPRO,Commerce,290.79
2020-02-28,153.93,228.59,382.52,-74.67,42.55,HMPRO,Commerce,216.12
2020-03-02,214.97,242.97,457.93,-28.0,30.46,HMPRO,Commerce,188.12
2020-03-03,127.13,258.85,385.98,-131.72,30.07,HMPRO,Commerce,56.400000000000006
2020-03-04,166.96,207.55,374.51,-40.6,41.98,HMPRO,Commerce,15.800000000000004
2020-03-05,115.91,199.41,315.32,-83.5,31.22,HMPRO,Commerce,-67.69999999999999
2020-03-06,139.84,143.05,282.88,-3.21,29.18,HMPRO,Commerce,-70.90999999999998
2020-03-09,147.07,171.41,318.48,-24.33,40.41,HMPRO,Commerce,-95.23999999999998
2020-03-10,127.71,226.92,354.64,-99.21,40.38,HMPRO,Commerce,-194.45
2020-03-11,84.03,144.18,228.21,-60.14,37.23,HMPRO,Commerce,-254.58999999999997
2020-03-12,232.47,316.66,549.13,-84.2,35.57,HMPRO,Commerce,-338.78999999999996
2020-03-13,369.65,352.42,722.07,17.23,35.69,HMPRO,Commerce,-321.55999999999995
2020-03-16,175.83,231.97,407.8,-56.14,34.04,HMPRO,Commerce,-377.69999999999993
2020-03-17,99.96,160.52,260.48,-60.57,23.19,HMPRO,Commerce,-438.2699999999999
2020-03-18,97.3,126.57,223.87,-29.27,33.11,HMPRO,Commerce,-467.5399999999999
2020-03-19,134.1,166.13,300.23,-32.03,30.41,HMPRO,Commerce,-499.56999999999994
2020-03-20,236.98,313.76,550.74,-76.79,37.14,HMPRO,Commerce,-576.3599999999999
