date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.85,0.81,1.67,0.04,9.32,ICHI,Food,0.04
2020-01-03,1.09,0.26,1.36,0.83,8.22,ICHI,Food,0.87
2020-01-06,3.12,1.47,4.59,1.65,19.19,ICHI,Food,2.52
2020-01-07,1.03,0.37,1.4,0.67,7.94,ICHI,Food,3.19
2020-01-08,0.36,4.08,4.44,-3.71,21.28,ICHI,Food,-0.52
2020-01-09,1.47,0.13,1.6,1.33,14.27,ICHI,Food,0.81
2020-01-10,2.6,1.0,3.6,1.59,8.36,ICHI,Food,2.4000000000000004
2020-01-13,0.41,1.4,1.81,-0.99,5.25,ICHI,Food,1.4100000000000004
2020-01-14,1.07,0.69,1.76,0.38,14.85,ICHI,Food,1.7900000000000005
2020-01-15,0.71,0.81,1.52,-0.09,12.8,ICHI,Food,1.7000000000000004
2020-01-16,0.32,0.48,0.8,-0.16,7.92,ICHI,Food,1.5400000000000005
2020-01-17,0.9,2.28,3.18,-1.39,5.79,ICHI,Food,0.15000000000000058
2020-01-20,0.12,1.03,1.16,-0.91,5.87,ICHI,Food,-0.7599999999999995
2020-01-21,0.46,1.09,1.55,-0.63,12.01,ICHI,Food,-1.3899999999999995
2020-01-22,0.22,0.41,0.63,-0.19,10.46,ICHI,Food,-1.5799999999999994
2020-01-23,0.01,0.34,0.35,-0.33,7.73,ICHI,Food,-1.9099999999999995
2020-01-24,0.29,0.09,0.37,0.2,6.56,ICHI,Food,-1.7099999999999995
2020-01-27,0.33,0.77,1.1,-0.43,10.0,ICHI,Food,-2.1399999999999997
2020-01-28,0.01,0.85,0.86,-0.84,15.81,ICHI,Food,-2.9799999999999995
2020-01-29,0.09,0.34,0.43,-0.25,9.07,ICHI,Food,-3.2299999999999995
2020-01-30,0.09,0.1,0.18,-0.01,4.46,ICHI,Food,-3.2399999999999993
2020-01-31,0.2,0.47,0.67,-0.27,6.96,ICHI,Food,-3.5099999999999993
2020-02-03,0.22,0.23,0.45,-0.01,3.68,ICHI,Food,-3.519999999999999
2020-02-04,0.17,0.25,0.42,-0.09,6.7,ICHI,Food,-3.609999999999999
2020-02-05,0.49,0.05,0.55,0.44,5.76,ICHI,Food,-3.169999999999999
2020-02-06,1.93,0.08,2.01,1.85,23.21,ICHI,Food,-1.319999999999999
2020-02-07,0.46,0.17,0.63,0.29,7.91,ICHI,Food,-1.029999999999999
2020-02-11,0.22,0.45,0.66,-0.23,11.77,ICHI,Food,-1.259999999999999
2020-02-12,0.31,0.15,0.46,0.16,2.24,ICHI,Food,-1.099999999999999
2020-02-13,1.15,0.44,1.59,0.71,4.56,ICHI,Food,-0.389999999999999
2020-02-14,0.28,0.51,0.8,-0.23,6.2,ICHI,Food,-0.619999999999999
2020-02-17,0.82,0.26,1.08,0.57,9.05,ICHI,Food,-0.049999999999999045
2020-02-18,0.31,0.29,0.6,0.01,3.75,ICHI,Food,-0.03999999999999904
2020-02-19,0.13,0.59,0.72,-0.47,3.12,ICHI,Food,-0.509999999999999
2020-02-20,1.13,1.08,2.21,0.05,9.13,ICHI,Food,-0.459999999999999
2020-02-21,0.84,0.78,1.62,0.06,10.41,ICHI,Food,-0.399999999999999
2020-02-24,0.22,1.22,1.43,-1.0,7.98,ICHI,Food,-1.399999999999999
2020-02-25,0.24,0.99,1.23,-0.74,9.97,ICHI,Food,-2.139999999999999
2020-02-26,0.7,2.88,3.58,-2.17,7.72,ICHI,Food,-4.309999999999999
2020-02-27,0.38,0.94,1.32,-0.56,4.56,ICHI,Food,-4.869999999999999
2020-02-28,0.92,0.94,1.86,-0.02,6.99,ICHI,Food,-4.889999999999999
