date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,26.65,9.2,35.86,17.45,21.27,JAS,ICT,17.45
2020-01-03,26.61,7.98,34.59,18.63,18.95,JAS,ICT,36.08
2020-01-06,45.37,26.97,72.33,18.4,26.55,JAS,ICT,54.48
2020-01-07,27.41,21.62,49.03,5.79,29.14,JAS,ICT,60.269999999999996
2020-01-08,26.75,39.57,66.32,-12.82,15.43,JAS,ICT,47.449999999999996
2020-01-09,18.92,21.51,40.43,-2.59,21.15,JAS,ICT,44.86
2020-01-10,44.26,15.17,59.43,29.09,15.43,JAS,ICT,73.95
2020-01-13,27.89,6.08,33.97,21.81,19.32,JAS,ICT,95.76
2020-01-14,22.22,6.01,28.23,16.21,24.24,JAS,ICT,111.97
2020-01-15,39.57,10.45,50.02,29.12,11.18,JAS,ICT,141.09
2020-01-16,15.89,4.8,20.69,11.09,10.65,JAS,ICT,152.18
2020-01-17,86.96,29.55,116.51,57.41,14.12,JAS,ICT,209.59
2020-01-20,8.01,6.68,14.69,1.33,9.87,JAS,ICT,210.92000000000002
2020-01-21,40.89,29.24,70.13,11.66,17.73,JAS,ICT,222.58
2020-01-22,5.66,18.04,23.7,-12.37,16.96,JAS,ICT,210.21
2020-01-23,29.66,18.23,47.88,11.43,25.49,JAS,ICT,221.64000000000001
2020-01-24,3.83,1.12,4.95,2.71,8.19,JAS,ICT,224.35000000000002
2020-01-27,16.31,55.34,71.65,-39.02,17.87,JAS,ICT,185.33
2020-01-28,15.86,35.73,51.59,-19.88,26.2,JAS,ICT,165.45000000000002
2020-01-29,10.13,24.89,35.02,-14.77,22.12,JAS,ICT,150.68
2020-01-30,33.41,25.07,58.49,8.34,22.56,JAS,ICT,159.02
2020-01-31,9.84,9.09,18.93,0.74,13.25,JAS,ICT,159.76000000000002
2020-02-03,60.84,85.99,146.82,-25.15,11.93,JAS,ICT,134.61
2020-02-04,38.16,128.73,166.89,-90.57,11.56,JAS,ICT,44.04000000000002
2020-02-05,336.67,366.69,703.36,-30.02,18.31,JAS,ICT,14.020000000000021
2020-02-06,81.08,85.36,166.43,-4.28,9.56,JAS,ICT,9.74000000000002
2020-02-07,48.83,37.88,86.71,10.96,16.99,JAS,ICT,20.70000000000002
2020-02-11,38.4,33.43,71.83,4.97,15.99,JAS,ICT,25.67000000000002
2020-02-12,25.68,58.86,84.54,-33.18,14.74,JAS,ICT,-7.50999999999998
2020-02-13,34.08,25.36,59.44,8.73,14.43,JAS,ICT,1.2200000000000202
2020-02-14,38.12,25.18,63.29,12.94,15.28,JAS,ICT,14.16000000000002
2020-02-17,23.6,2.85,26.45,20.75,16.35,JAS,ICT,34.91000000000002
2020-02-18,49.3,11.24,60.54,38.06,25.27,JAS,ICT,72.97000000000003
2020-02-19,42.18,18.61,60.79,23.57,15.45,JAS,ICT,96.54000000000002
2020-02-20,92.62,51.86,144.48,40.75,32.41,JAS,ICT,137.29000000000002
2020-02-21,51.05,30.34,81.4,20.71,34.17,JAS,ICT,158.00000000000003
2020-02-24,71.79,37.85,109.64,33.94,27.97,JAS,ICT,191.94000000000003
2020-02-25,44.97,35.71,80.68,9.26,17.5,JAS,ICT,201.20000000000002
2020-02-26,20.86,37.89,58.75,-17.03,10.34,JAS,ICT,184.17000000000002
2020-02-27,55.96,23.63,79.59,32.33,18.76,JAS,ICT,216.5
2020-02-28,73.35,61.82,135.17,11.52,19.55,JAS,ICT,228.02
2020-03-02,61.65,112.66,174.31,-51.01,33.5,JAS,ICT,177.01000000000002
2020-03-03,43.74,42.94,86.68,0.8,19.02,JAS,ICT,177.81000000000003
2020-03-04,64.42,43.22,107.64,21.2,31.45,JAS,ICT,199.01000000000002
2020-03-05,50.4,84.92,135.32,-34.52,18.63,JAS,ICT,164.49
2020-03-06,35.73,34.16,69.89,1.57,31.02,JAS,ICT,166.06
2020-03-09,24.58,101.82,126.4,-77.25,24.49,JAS,ICT,88.81
2020-03-10,44.79,61.11,105.9,-16.32,30.42,JAS,ICT,72.49000000000001
2020-03-11,59.3,91.61,150.91,-32.31,35.95,JAS,ICT,40.18000000000001
2020-03-12,150.76,114.66,265.42,36.11,30.39,JAS,ICT,76.29
2020-03-13,135.23,141.02,276.25,-5.79,32.54,JAS,ICT,70.5
2020-03-16,79.09,100.68,179.77,-21.59,35.41,JAS,ICT,48.91
2020-03-17,61.52,68.31,129.83,-6.79,38.43,JAS,ICT,42.12
2020-03-18,136.04,78.85,214.89,57.19,34.98,JAS,ICT,99.31
2020-03-19,61.48,127.84,189.33,-66.36,37.7,JAS,ICT,32.95
2020-03-20,49.98,69.61,119.58,-19.63,12.53,JAS,ICT,13.320000000000004
2020-03-23,58.92,56.82,115.74,2.09,20.93,JAS,ICT,15.410000000000004
2020-03-24,94.58,107.61,202.18,-13.03,21.02,JAS,ICT,2.3800000000000043
2020-03-25,61.39,109.54,170.94,-48.15,24.16,JAS,ICT,-45.769999999999996
2020-03-26,36.47,33.43,69.9,3.03,23.9,JAS,ICT,-42.739999999999995
2020-03-27,140.77,92.54,233.31,48.23,24.46,JAS,ICT,5.490000000000002
