date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.8,0.19,0.98,0.61,3.13,JMART,ICT,0.61
2020-01-03,3.42,3.36,6.78,0.07,8.04,JMART,ICT,0.6799999999999999
2020-01-06,2.27,3.35,5.62,-1.08,12.07,JMART,ICT,-0.40000000000000013
2020-01-07,0.15,1.66,1.81,-1.51,7.33,JMART,ICT,-1.9100000000000001
2020-01-08,0.61,2.09,2.7,-1.48,8.39,JMART,ICT,-3.39
2020-01-09,0.73,1.39,2.12,-0.65,11.73,JMART,ICT,-4.04
2020-01-10,0.23,0.63,0.87,-0.4,7.37,JMART,ICT,-4.44
2020-01-13,0.77,1.32,2.09,-0.55,7.45,JMART,ICT,-4.99
2020-01-14,5.08,2.67,7.76,2.41,10.16,JMART,ICT,-2.58
2020-01-15,2.64,3.32,5.96,-0.68,17.88,JMART,ICT,-3.2600000000000002
2020-01-16,16.21,8.8,25.01,7.42,15.38,JMART,ICT,4.16
2020-01-17,17.22,24.46,41.67,-7.24,18.99,JMART,ICT,-3.08
2020-01-20,9.7,6.18,15.88,3.52,8.44,JMART,ICT,0.43999999999999995
2020-01-21,8.52,3.74,12.26,4.79,15.52,JMART,ICT,5.23
2020-01-22,7.66,1.44,9.09,6.22,18.7,JMART,ICT,11.45
2020-01-23,3.67,2.5,6.17,1.18,13.12,JMART,ICT,12.629999999999999
2020-01-24,1.83,0.49,2.32,1.35,11.06,JMART,ICT,13.979999999999999
2020-01-27,5.04,3.97,9.01,1.08,21.22,JMART,ICT,15.059999999999999
2020-01-28,3.43,4.16,7.59,-0.73,17.26,JMART,ICT,14.329999999999998
2020-01-29,0.62,1.8,2.42,-1.18,10.55,JMART,ICT,13.149999999999999
2020-01-30,2.36,2.79,5.15,-0.43,13.48,JMART,ICT,12.719999999999999
2020-01-31,1.94,3.06,5.0,-1.12,11.85,JMART,ICT,11.599999999999998
2020-02-03,0.52,7.04,7.56,-6.53,23.33,JMART,ICT,5.069999999999998
2020-02-04,5.92,3.25,9.17,2.67,22.79,JMART,ICT,7.7399999999999975
2020-02-05,9.45,8.61,18.06,0.85,14.15,JMART,ICT,8.589999999999998
2020-02-06,6.95,15.66,22.62,-8.71,12.63,JMART,ICT,-0.12000000000000277
