date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,3.69,36.7,40.39,-33.01,11.47,JMT,Finance,-33.01
2020-01-03,6.04,15.97,22.0,-9.93,7.75,JMT,Finance,-42.94
2020-01-06,11.88,12.98,24.85,-1.1,14.48,JMT,Finance,-44.04
2020-01-07,4.28,17.69,21.97,-13.41,16.89,JMT,Finance,-57.45
2020-01-08,10.5,10.22,20.72,0.28,11.02,JMT,Finance,-57.17
2020-01-09,2.33,15.69,18.03,-13.36,12.91,JMT,Finance,-70.53
2020-01-10,5.02,10.74,15.76,-5.73,9.04,JMT,Finance,-76.26
2020-01-13,2.58,2.44,5.03,0.14,6.81,JMT,Finance,-76.12
2020-01-14,43.07,20.69,63.76,22.38,10.74,JMT,Finance,-53.74000000000001
2020-01-15,12.48,17.0,29.48,-4.51,10.37,JMT,Finance,-58.25000000000001
2020-01-16,13.72,28.17,41.88,-14.45,12.02,JMT,Finance,-72.7
2020-01-17,12.1,11.5,23.6,0.61,14.76,JMT,Finance,-72.09
2020-01-20,10.65,37.55,48.21,-26.9,10.99,JMT,Finance,-98.99000000000001
2020-01-21,19.04,6.5,25.55,12.54,12.69,JMT,Finance,-86.45000000000002
2020-01-22,8.82,8.53,17.35,0.29,7.58,JMT,Finance,-86.16000000000001
2020-01-23,4.32,6.82,11.13,-2.5,8.84,JMT,Finance,-88.66000000000001
2020-01-24,9.33,4.97,14.29,4.36,12.17,JMT,Finance,-84.30000000000001
2020-01-27,23.51,7.13,30.63,16.38,10.75,JMT,Finance,-67.92000000000002
2020-01-28,7.61,10.41,18.02,-2.8,9.51,JMT,Finance,-70.72000000000001
2020-01-29,5.68,9.26,14.94,-3.57,17.96,JMT,Finance,-74.29
2020-01-30,1.42,5.3,6.72,-3.87,9.27,JMT,Finance,-78.16000000000001
2020-01-31,8.05,13.21,21.26,-5.16,15.73,JMT,Finance,-83.32000000000001
2020-02-03,2.28,18.98,21.25,-16.7,9.17,JMT,Finance,-100.02000000000001
2020-02-04,5.44,8.54,13.98,-3.1,7.84,JMT,Finance,-103.12
2020-02-05,25.67,6.87,32.54,18.8,2.03,JMT,Finance,-84.32000000000001
2020-02-06,17.11,28.82,45.93,-11.71,9.71,JMT,Finance,-96.03
2020-02-07,73.39,16.37,89.75,57.02,10.14,JMT,Finance,-39.01
2020-02-11,42.21,36.78,78.99,5.43,10.8,JMT,Finance,-33.58
2020-02-12,30.01,29.1,59.11,0.91,14.65,JMT,Finance,-32.67
2020-02-13,36.71,19.2,55.91,17.5,15.52,JMT,Finance,-15.170000000000002
2020-02-14,57.46,10.92,68.38,46.54,12.32,JMT,Finance,31.369999999999997
2020-02-17,60.29,16.1,76.38,44.19,12.7,JMT,Finance,75.56
2020-02-18,42.85,16.66,59.51,26.19,16.12,JMT,Finance,101.75
2020-02-19,18.01,21.28,39.28,-3.27,9.39,JMT,Finance,98.48
2020-02-20,35.8,34.08,69.88,1.72,19.33,JMT,Finance,100.2
2020-02-21,33.37,40.0,73.37,-6.63,11.77,JMT,Finance,93.57000000000001
2020-02-24,15.28,55.2,70.48,-39.92,15.48,JMT,Finance,53.650000000000006
2020-02-25,91.85,33.62,125.46,58.23,11.6,JMT,Finance,111.88
2020-02-26,67.47,30.59,98.06,36.88,16.94,JMT,Finance,148.76
2020-02-27,32.9,47.89,80.79,-14.99,12.19,JMT,Finance,133.76999999999998
2020-02-28,29.14,42.41,71.56,-13.27,10.46,JMT,Finance,120.49999999999999
2020-03-02,50.33,37.1,87.43,13.22,16.1,JMT,Finance,133.72
2020-03-03,32.66,36.63,69.29,-3.98,16.37,JMT,Finance,129.74
2020-03-04,14.12,63.69,77.8,-49.57,19.4,JMT,Finance,80.17000000000002
2020-03-05,28.91,88.18,117.09,-59.27,18.59,JMT,Finance,20.900000000000013
2020-03-06,10.8,18.07,28.87,-7.27,11.45,JMT,Finance,13.630000000000013
2020-03-09,26.74,21.42,48.16,5.32,14.51,JMT,Finance,18.950000000000014
2020-03-10,20.12,40.6,60.71,-20.48,16.97,JMT,Finance,-1.529999999999987
2020-03-11,23.63,30.95,54.57,-7.32,21.85,JMT,Finance,-8.849999999999987
2020-03-12,47.09,52.63,99.71,-5.54,21.6,JMT,Finance,-14.389999999999986
2020-03-13,44.54,45.12,89.67,-0.58,18.14,JMT,Finance,-14.969999999999986
2020-03-16,43.91,46.2,90.11,-2.29,28.97,JMT,Finance,-17.259999999999987
2020-03-17,31.85,29.46,61.31,2.39,16.08,JMT,Finance,-14.869999999999987
2020-03-18,8.86,24.63,33.49,-15.77,11.08,JMT,Finance,-30.639999999999986
