date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,323.86,203.23,527.09,120.62,33.8,KBANK,Banking,120.62
2020-01-03,234.66,315.68,550.35,-81.02,32.76,KBANK,Banking,39.60000000000001
2020-01-06,915.12,1506.5,2421.62,-591.38,41.34,KBANK,Banking,-551.78
2020-01-07,583.0,755.89,1338.89,-172.89,26.25,KBANK,Banking,-724.67
2020-01-08,849.29,1067.87,1917.16,-218.58,41.33,KBANK,Banking,-943.25
2020-01-09,801.48,1454.03,2255.51,-652.54,45.4,KBANK,Banking,-1595.79
2020-01-10,1036.4,1393.15,2429.55,-356.75,59.31,KBANK,Banking,-1952.54
2020-01-13,987.92,1314.42,2302.34,-326.5,55.06,KBANK,Banking,-2279.04
2020-01-14,758.2,1396.21,2154.41,-638.0,45.07,KBANK,Banking,-2917.04
2020-01-15,768.84,1399.64,2168.48,-630.8,43.37,KBANK,Banking,-3547.84
2020-01-16,819.68,1423.13,2242.81,-603.44,31.13,KBANK,Banking,-4151.280000000001
2020-01-17,823.59,840.34,1663.94,-16.75,28.94,KBANK,Banking,-4168.030000000001
2020-01-20,1198.43,407.28,1605.71,791.15,32.6,KBANK,Banking,-3376.8800000000006
2020-01-21,1286.45,902.55,2189.01,383.9,40.14,KBANK,Banking,-2992.9800000000005
2020-01-22,353.34,306.07,659.41,47.27,31.35,KBANK,Banking,-2945.7100000000005
2020-01-23,4001.62,3126.03,7127.66,875.59,73.37,KBANK,Banking,-2070.1200000000003
2020-01-24,559.25,691.84,1251.09,-132.59,42.72,KBANK,Banking,-2202.7100000000005
2020-01-27,684.08,338.75,1022.83,345.33,32.99,KBANK,Banking,-1857.3800000000006
2020-01-28,412.12,306.49,718.61,105.62,30.13,KBANK,Banking,-1751.7600000000007
2020-01-29,896.31,995.24,1891.55,-98.94,40.4,KBANK,Banking,-1850.7000000000007
2020-01-30,1102.63,1201.95,2304.58,-99.31,33.98,KBANK,Banking,-1950.0100000000007
2020-01-31,748.95,821.3,1570.24,-72.35,40.31,KBANK,Banking,-2022.3600000000006
2020-02-03,439.02,519.12,958.14,-80.1,38.6,KBANK,Banking,-2102.4600000000005
2020-02-04,544.96,302.36,847.32,242.6,40.98,KBANK,Banking,-1859.8600000000006
2020-02-05,665.13,524.39,1189.52,140.74,35.48,KBANK,Banking,-1719.1200000000006
2020-02-06,417.56,455.26,872.82,-37.7,25.78,KBANK,Banking,-1756.8200000000006
2020-02-07,256.24,255.23,511.47,1.0,28.79,KBANK,Banking,-1755.8200000000006
2020-02-11,510.61,206.08,716.69,304.53,27.87,KBANK,Banking,-1451.2900000000006
2020-02-12,634.53,438.1,1072.63,196.43,35.33,KBANK,Banking,-1254.8600000000006
2020-02-13,243.43,363.15,606.58,-119.72,33.53,KBANK,Banking,-1374.5800000000006
2020-02-14,305.72,442.75,748.48,-137.03,26.42,KBANK,Banking,-1511.6100000000006
2020-02-17,164.32,197.61,361.93,-33.28,26.54,KBANK,Banking,-1544.8900000000006
2020-02-18,301.53,620.44,921.97,-318.91,27.12,KBANK,Banking,-1863.8000000000006
2020-02-19,423.92,498.22,922.14,-74.3,29.75,KBANK,Banking,-1938.1000000000006
2020-02-20,715.7,1291.76,2007.46,-576.05,36.93,KBANK,Banking,-2514.1500000000005
2020-02-21,381.18,345.86,727.04,35.33,36.58,KBANK,Banking,-2478.8200000000006
2020-02-24,476.75,562.3,1039.05,-85.55,26.57,KBANK,Banking,-2564.370000000001
2020-02-25,675.18,805.98,1481.16,-130.8,34.19,KBANK,Banking,-2695.170000000001
2020-02-26,1131.93,1314.82,2446.76,-182.89,26.98,KBANK,Banking,-2878.060000000001
2020-02-27,868.79,1109.38,1978.16,-240.59,33.15,KBANK,Banking,-3118.650000000001
2020-02-28,768.51,883.54,1652.05,-115.02,31.77,KBANK,Banking,-3233.670000000001
2020-03-02,595.58,770.18,1365.76,-174.59,28.21,KBANK,Banking,-3408.260000000001
2020-03-03,362.95,522.99,885.94,-160.05,22.55,KBANK,Banking,-3568.3100000000013
2020-03-04,721.75,608.18,1329.94,113.57,49.45,KBANK,Banking,-3454.740000000001
2020-03-05,553.94,532.25,1086.18,21.69,44.51,KBANK,Banking,-3433.050000000001
2020-03-06,640.61,599.18,1239.78,41.43,36.75,KBANK,Banking,-3391.6200000000013
2020-03-09,621.61,950.06,1571.67,-328.45,35.08,KBANK,Banking,-3720.070000000001
2020-03-10,545.25,651.31,1196.56,-106.06,45.56,KBANK,Banking,-3826.130000000001
2020-03-11,786.61,886.41,1673.02,-99.8,56.56,KBANK,Banking,-3925.930000000001
2020-03-12,1214.37,1028.62,2242.98,185.75,50.56,KBANK,Banking,-3740.180000000001
2020-03-13,1309.27,1460.38,2769.65,-151.12,51.86,KBANK,Banking,-3891.300000000001
2020-03-16,624.72,677.69,1302.4,-52.97,48.9,KBANK,Banking,-3944.270000000001
2020-03-17,800.74,873.49,1674.23,-72.76,59.23,KBANK,Banking,-4017.030000000001
2020-03-18,847.4,890.34,1737.73,-42.94,61.12,KBANK,Banking,-4059.970000000001
2020-03-19,906.03,916.91,1822.94,-10.88,67.29,KBANK,Banking,-4070.8500000000013
2020-03-20,573.31,576.22,1149.54,-2.91,39.97,KBANK,Banking,-4073.760000000001
2020-03-23,405.28,560.52,965.81,-155.24,33.21,KBANK,Banking,-4229.000000000001
2020-03-24,618.3,614.89,1233.19,3.41,44.77,KBANK,Banking,-4225.590000000001
2020-03-25,715.34,557.65,1273.0,157.69,48.46,KBANK,Banking,-4067.900000000001
2020-03-26,526.65,609.42,1136.07,-82.77,35.6,KBANK,Banking,-4150.670000000001
2020-03-27,1254.46,804.25,2058.7,450.21,39.66,KBANK,Banking,-3700.460000000001
2020-03-30,784.84,940.01,1724.85,-155.17,48.73,KBANK,Banking,-3855.630000000001
2020-03-31,633.06,614.36,1247.42,18.69,36.74,KBANK,Banking,-3836.940000000001
