date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,83.68,108.57,192.25,-24.88,9.5,KCE,Etron,-24.88
2020-01-03,153.37,69.95,223.32,83.42,14.73,KCE,Etron,58.540000000000006
2020-01-06,182.2,53.2,235.4,129.0,15.01,KCE,Etron,187.54000000000002
2020-01-07,102.08,42.08,144.16,60.0,13.81,KCE,Etron,247.54000000000002
2020-01-08,113.95,50.35,164.3,63.59,10.4,KCE,Etron,311.13
2020-01-09,115.23,161.7,276.92,-46.47,15.83,KCE,Etron,264.65999999999997
2020-01-10,60.2,135.65,195.85,-75.45,14.32,KCE,Etron,189.20999999999998
2020-01-13,126.21,26.34,152.55,99.87,13.48,KCE,Etron,289.08
2020-01-14,106.84,100.73,207.57,6.11,15.54,KCE,Etron,295.19
2020-01-15,27.37,70.34,97.71,-42.97,18.3,KCE,Etron,252.22
2020-01-16,66.26,104.63,170.89,-38.36,17.8,KCE,Etron,213.86
2020-01-17,304.56,223.64,528.2,80.91,17.33,KCE,Etron,294.77
2020-01-20,81.72,248.55,330.27,-166.83,19.36,KCE,Etron,127.93999999999997
2020-01-21,135.81,238.72,374.53,-102.92,18.43,KCE,Etron,25.019999999999968
2020-01-22,58.06,167.04,225.09,-108.98,16.99,KCE,Etron,-83.96000000000004
2020-01-23,198.51,163.78,362.29,34.73,15.13,KCE,Etron,-49.23000000000004
2020-01-24,26.58,125.49,152.07,-98.9,16.31,KCE,Etron,-148.13000000000005
2020-01-27,56.34,94.78,151.12,-38.43,10.4,KCE,Etron,-186.56000000000006
2020-01-28,106.77,196.85,303.62,-90.08,8.05,KCE,Etron,-276.64000000000004
2020-01-29,160.08,139.43,299.51,20.65,10.87,KCE,Etron,-255.99000000000004
2020-01-30,132.69,119.88,252.58,12.81,12.04,KCE,Etron,-243.18000000000004
2020-01-31,54.67,67.25,121.92,-12.58,10.68,KCE,Etron,-255.76000000000005
2020-02-03,50.19,56.04,106.23,-5.85,16.2,KCE,Etron,-261.61000000000007
2020-02-04,134.43,55.19,189.62,79.24,15.96,KCE,Etron,-182.37000000000006
2020-02-05,422.2,168.33,590.53,253.87,24.11,KCE,Etron,71.49999999999994
2020-02-06,231.55,90.16,321.7,141.39,15.7,KCE,Etron,212.88999999999993
2020-02-07,104.71,117.71,222.42,-12.99,18.05,KCE,Etron,199.89999999999992
2020-02-11,58.3,40.44,98.74,17.86,15.75,KCE,Etron,217.75999999999993
2020-02-12,386.57,208.33,594.89,178.24,19.11,KCE,Etron,395.99999999999994
2020-02-13,272.3,526.86,799.16,-254.56,14.58,KCE,Etron,141.43999999999994
2020-02-14,140.79,163.77,304.56,-22.98,7.79,KCE,Etron,118.45999999999994
2020-02-17,361.24,100.64,461.88,260.6,16.44,KCE,Etron,379.05999999999995
2020-02-18,164.58,74.56,239.14,90.02,15.09,KCE,Etron,469.0799999999999
2020-02-19,182.12,119.83,301.94,62.29,15.38,KCE,Etron,531.3699999999999
2020-02-20,194.23,182.19,376.42,12.03,19.2,KCE,Etron,543.3999999999999
2020-02-21,94.95,125.89,220.84,-30.93,15.14,KCE,Etron,512.4699999999999
2020-02-24,201.28,189.42,390.7,11.86,17.83,KCE,Etron,524.3299999999999
