date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,54.27,21.3,75.57,32.96,20.21,KKP,Banking,32.96
2020-01-03,13.89,59.2,73.09,-45.31,15.19,KKP,Banking,-12.350000000000001
2020-01-06,41.27,8.31,49.58,32.96,18.35,KKP,Banking,20.61
2020-01-07,25.67,30.68,56.36,-5.01,24.18,KKP,Banking,15.6
2020-01-08,4.87,40.84,45.71,-35.97,17.21,KKP,Banking,-20.369999999999997
2020-01-09,14.0,16.34,30.35,-2.34,10.3,KKP,Banking,-22.709999999999997
2020-01-10,36.3,62.91,99.21,-26.6,12.69,KKP,Banking,-49.31
2020-01-13,2.39,50.42,52.81,-48.02,12.68,KKP,Banking,-97.33000000000001
2020-01-14,5.45,26.35,31.8,-20.9,12.52,KKP,Banking,-118.23000000000002
2020-01-15,16.36,42.29,58.65,-25.92,25.46,KKP,Banking,-144.15000000000003
2020-01-16,30.72,47.43,78.16,-16.71,33.73,KKP,Banking,-160.86000000000004
2020-01-17,55.29,8.01,63.3,47.28,13.89,KKP,Banking,-113.58000000000004
2020-01-20,27.11,40.57,67.68,-13.46,21.07,KKP,Banking,-127.04000000000005
2020-01-21,32.03,32.21,64.23,-0.18,12.09,KKP,Banking,-127.22000000000006
2020-01-22,77.18,87.58,164.76,-10.39,22.63,KKP,Banking,-137.61000000000007
2020-01-23,6.84,46.6,53.43,-39.76,27.14,KKP,Banking,-177.37000000000006
2020-01-24,7.78,12.63,20.41,-4.84,22.11,KKP,Banking,-182.21000000000006
2020-01-27,30.66,19.26,49.92,11.4,14.77,KKP,Banking,-170.81000000000006
2020-01-28,46.85,28.91,75.77,17.94,25.04,KKP,Banking,-152.87000000000006
2020-01-29,36.41,82.07,118.48,-45.66,22.35,KKP,Banking,-198.53000000000006
2020-01-30,64.69,39.19,103.89,25.5,32.77,KKP,Banking,-173.03000000000006
2020-01-31,23.45,19.11,42.55,4.34,26.08,KKP,Banking,-168.69000000000005
2020-02-03,29.35,60.21,89.56,-30.87,24.77,KKP,Banking,-199.56000000000006
2020-02-04,12.96,20.16,33.12,-7.2,19.74,KKP,Banking,-206.76000000000005
2020-02-05,45.46,6.22,51.68,39.24,19.03,KKP,Banking,-167.52000000000004
2020-02-06,59.66,34.92,94.57,24.74,11.65,KKP,Banking,-142.78000000000003
2020-02-07,29.98,25.28,55.26,4.7,18.03,KKP,Banking,-138.08000000000004
