date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,129.75,155.42,285.17,-25.67,28.01,KTB,Banking,-25.67
2020-01-03,81.69,127.61,209.3,-45.92,22.61,KTB,Banking,-71.59
2020-01-06,93.02,94.69,187.71,-1.66,20.89,KTB,Banking,-73.25
2020-01-07,112.48,105.47,217.96,7.01,14.92,KTB,Banking,-66.24
2020-01-08,126.65,86.37,213.01,40.28,19.68,KTB,Banking,-25.959999999999994
2020-01-09,147.92,126.48,274.41,21.44,27.38,KTB,Banking,-4.5199999999999925
2020-01-10,105.61,99.71,205.32,5.89,29.76,KTB,Banking,1.3700000000000072
2020-01-13,122.79,186.65,309.44,-63.86,38.6,KTB,Banking,-62.489999999999995
2020-01-14,133.43,186.43,319.87,-53.0,22.26,KTB,Banking,-115.49
2020-01-15,119.27,78.78,198.06,40.49,40.64,KTB,Banking,-75.0
2020-01-16,90.64,75.96,166.6,14.68,25.1,KTB,Banking,-60.32
2020-01-17,48.09,107.64,155.73,-59.55,22.67,KTB,Banking,-119.87
2020-01-20,123.38,256.12,379.51,-132.74,28.88,KTB,Banking,-252.61
2020-01-21,67.77,50.45,118.22,17.32,17.27,KTB,Banking,-235.29000000000002
2020-01-22,284.75,158.47,443.22,126.29,24.6,KTB,Banking,-109.00000000000001
2020-01-23,196.3,137.08,333.38,59.21,28.67,KTB,Banking,-49.79000000000001
2020-01-24,119.92,125.97,245.89,-6.06,34.66,KTB,Banking,-55.850000000000016
2020-01-27,162.95,192.23,355.18,-29.28,34.99,KTB,Banking,-85.13000000000002
2020-01-28,32.34,131.75,164.09,-99.4,24.42,KTB,Banking,-184.53000000000003
2020-01-29,170.58,207.85,378.44,-37.27,33.08,KTB,Banking,-221.80000000000004
2020-01-30,123.16,150.88,274.05,-27.72,30.23,KTB,Banking,-249.52000000000004
2020-01-31,117.86,230.1,347.96,-112.24,40.36,KTB,Banking,-361.76000000000005
2020-02-03,106.17,304.54,410.71,-198.38,35.9,KTB,Banking,-560.1400000000001
2020-02-04,176.49,189.71,366.19,-13.22,45.63,KTB,Banking,-573.3600000000001
2020-02-05,207.64,169.6,377.25,38.04,35.26,KTB,Banking,-535.3200000000002
2020-02-06,183.92,98.92,282.84,85.0,19.07,KTB,Banking,-450.32000000000016
2020-02-07,133.95,115.28,249.22,18.67,35.38,KTB,Banking,-431.65000000000015
2020-02-11,82.27,161.17,243.44,-78.9,36.44,KTB,Banking,-510.5500000000002
2020-02-12,92.71,114.15,206.86,-21.45,32.34,KTB,Banking,-532.0000000000002
2020-02-13,59.68,40.87,100.56,18.81,24.14,KTB,Banking,-513.1900000000003
2020-02-14,58.14,50.78,108.92,7.36,17.44,KTB,Banking,-505.83000000000027
2020-02-17,52.27,103.17,155.43,-50.9,25.07,KTB,Banking,-556.7300000000002
2020-02-18,81.09,193.5,274.59,-112.42,28.02,KTB,Banking,-669.1500000000002
2020-02-19,83.33,96.67,180.0,-13.34,17.87,KTB,Banking,-682.4900000000002
2020-02-20,113.83,116.42,230.25,-2.59,31.0,KTB,Banking,-685.0800000000003
2020-02-21,89.04,279.79,368.83,-190.76,29.97,KTB,Banking,-875.8400000000003
2020-02-24,117.3,305.66,422.95,-188.36,28.35,KTB,Banking,-1064.2000000000003
2020-02-25,136.33,250.29,386.62,-113.97,40.15,KTB,Banking,-1178.1700000000003
2020-02-26,439.2,420.9,860.1,18.3,23.63,KTB,Banking,-1159.8700000000003
2020-02-27,255.77,215.04,470.82,40.73,32.97,KTB,Banking,-1119.1400000000003
2020-02-28,211.92,204.9,416.83,7.02,31.81,KTB,Banking,-1112.1200000000003
2020-03-02,152.5,190.2,342.7,-37.7,28.71,KTB,Banking,-1149.8200000000004
2020-03-03,214.07,183.03,397.1,31.03,20.54,KTB,Banking,-1118.7900000000004
2020-03-04,332.86,154.29,487.15,178.57,34.27,KTB,Banking,-940.2200000000005
2020-03-05,89.65,164.77,254.42,-75.11,30.78,KTB,Banking,-1015.3300000000005
2020-03-06,110.62,128.73,239.35,-18.11,19.26,KTB,Banking,-1033.4400000000005
2020-03-09,453.64,366.2,819.85,87.44,29.81,KTB,Banking,-946.0000000000005
2020-03-10,220.01,291.49,511.5,-71.48,41.46,KTB,Banking,-1017.4800000000005
2020-03-11,114.46,200.72,315.18,-86.26,41.26,KTB,Banking,-1103.7400000000005
2020-03-12,239.57,213.47,453.04,26.09,26.03,KTB,Banking,-1077.6500000000005
2020-03-13,313.08,503.26,816.34,-190.17,33.78,KTB,Banking,-1267.8200000000006
2020-03-16,158.62,216.5,375.11,-57.88,25.19,KTB,Banking,-1325.7000000000007
2020-03-17,161.86,259.33,421.19,-97.47,33.62,KTB,Banking,-1423.1700000000008
2020-03-18,149.96,205.54,355.5,-55.58,33.29,KTB,Banking,-1478.7500000000007
2020-03-19,175.76,199.84,375.6,-24.08,38.18,KTB,Banking,-1502.8300000000006
2020-03-20,187.03,284.42,471.45,-97.38,30.72,KTB,Banking,-1600.2100000000005
2020-03-23,88.85,180.93,269.78,-92.07,28.56,KTB,Banking,-1692.2800000000004
2020-03-24,77.57,150.42,228.0,-72.85,25.34,KTB,Banking,-1765.1300000000003
2020-03-25,66.86,114.45,181.32,-47.59,15.89,KTB,Banking,-1812.7200000000003
2020-03-26,132.81,198.57,331.39,-65.76,31.03,KTB,Banking,-1878.4800000000002
2020-03-27,144.82,261.12,405.94,-116.3,23.28,KTB,Banking,-1994.7800000000002
2020-03-30,126.74,169.3,296.04,-42.56,37.51,KTB,Banking,-2037.3400000000001
2020-03-31,80.02,132.44,212.47,-52.42,16.8,KTB,Banking,-2089.76
2020-04-01,59.82,333.19,393.01,-273.37,36.39,KTB,Banking,-2363.13
2020-04-02,130.36,323.93,454.29,-193.58,29.12,KTB,Banking,-2556.71
2020-04-03,106.32,182.53,288.85,-76.21,18.03,KTB,Banking,-2632.92
2020-04-07,204.81,282.32,487.13,-77.51,20.2,KTB,Banking,-2710.4300000000003
2020-04-08,169.55,132.74,302.29,36.81,19.94,KTB,Banking,-2673.6200000000003
2020-04-09,167.99,279.65,447.64,-111.66,36.29,KTB,Banking,-2785.28
2020-04-10,139.58,247.98,387.56,-108.39,38.49,KTB,Banking,-2893.67
2020-04-13,75.78,48.32,124.1,27.45,31.46,KTB,Banking,-2866.2200000000003
2020-04-14,139.22,112.6,251.82,26.63,34.48,KTB,Banking,-2839.59
2020-04-15,188.71,158.03,346.74,30.68,45.39,KTB,Banking,-2808.9100000000003
2020-04-16,102.74,108.4,211.14,-5.67,31.68,KTB,Banking,-2814.5800000000004
2020-04-17,207.62,117.14,324.76,90.49,48.52,KTB,Banking,-2724.0900000000006
2020-04-20,115.94,129.1,245.04,-13.16,20.13,KTB,Banking,-2737.2500000000005
2020-04-21,140.85,99.02,239.86,41.83,36.29,KTB,Banking,-2695.4200000000005
2020-04-22,114.12,252.77,366.89,-138.65,35.72,KTB,Banking,-2834.0700000000006
2020-04-23,129.18,231.39,360.56,-102.21,44.8,KTB,Banking,-2936.2800000000007
2020-04-24,125.66,194.09,319.75,-68.44,48.27,KTB,Banking,-3004.7200000000007
2020-04-27,58.33,176.52,234.85,-118.19,39.16,KTB,Banking,-3122.9100000000008
2020-04-28,126.46,176.54,303.0,-50.09,42.81,KTB,Banking,-3173.000000000001
2020-04-29,70.82,64.25,135.07,6.58,27.21,KTB,Banking,-3166.420000000001
2020-04-30,267.22,304.8,572.01,-37.58,38.82,KTB,Banking,-3204.000000000001
2020-05-05,62.85,256.51,319.36,-193.66,36.1,KTB,Banking,-3397.6600000000008
2020-05-07,116.47,178.61,295.08,-62.13,36.27,KTB,Banking,-3459.790000000001
2020-05-08,76.78,100.28,177.06,-23.5,36.48,KTB,Banking,-3483.290000000001
2020-05-11,120.41,145.73,266.14,-25.32,39.18,KTB,Banking,-3508.610000000001
2020-05-12,119.98,116.12,236.09,3.86,43.39,KTB,Banking,-3504.750000000001
2020-05-13,76.53,83.28,159.81,-6.75,29.94,KTB,Banking,-3511.500000000001
2020-05-14,178.24,214.39,392.63,-36.14,18.9,KTB,Banking,-3547.640000000001
2020-05-15,100.1,53.08,153.18,47.02,26.62,KTB,Banking,-3500.620000000001
2020-05-18,70.52,112.32,182.83,-41.8,26.1,KTB,Banking,-3542.420000000001
2020-05-19,374.65,127.34,501.99,247.31,24.35,KTB,Banking,-3295.110000000001
