date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,121.96,116.1,238.06,5.87,21.52,LH,Property,5.87
2020-01-03,153.04,198.36,351.4,-45.33,25.66,LH,Property,-39.46
2020-01-06,314.17,230.75,544.92,83.42,37.49,LH,Property,43.96
2020-01-07,107.48,221.81,329.3,-114.33,35.17,LH,Property,-70.37
2020-01-08,142.86,370.54,513.4,-227.68,38.32,LH,Property,-298.05
2020-01-09,143.03,184.79,327.82,-41.76,41.59,LH,Property,-339.81
2020-01-10,40.26,89.44,129.7,-49.19,36.27,LH,Property,-389.0
2020-01-13,158.24,146.98,305.22,11.26,54.97,LH,Property,-377.74
2020-01-14,70.78,130.2,200.98,-59.43,39.89,LH,Property,-437.17
2020-01-15,36.18,58.44,94.62,-22.27,33.33,LH,Property,-459.44
2020-01-16,63.53,205.07,268.59,-141.54,41.91,LH,Property,-600.98
2020-01-17,59.23,111.98,171.2,-52.75,44.06,LH,Property,-653.73
2020-01-20,84.29,145.37,229.66,-61.08,53.66,LH,Property,-714.8100000000001
2020-01-21,180.75,270.89,451.64,-90.15,38.36,LH,Property,-804.96
2020-01-22,94.96,132.05,227.01,-37.09,36.96,LH,Property,-842.0500000000001
2020-01-23,170.68,225.48,396.16,-54.79,34.88,LH,Property,-896.84
2020-01-24,57.72,101.21,158.93,-43.49,23.37,LH,Property,-940.33
2020-01-27,110.73,235.65,346.38,-124.91,34.31,LH,Property,-1065.24
2020-01-28,87.47,211.38,298.85,-123.92,42.47,LH,Property,-1189.16
2020-01-29,51.27,167.56,218.83,-116.28,40.07,LH,Property,-1305.44
2020-01-30,66.44,84.76,151.21,-18.32,41.09,LH,Property,-1323.76
2020-01-31,202.0,185.39,387.4,16.61,22.19,LH,Property,-1307.15
2020-02-03,137.34,88.09,225.43,49.25,28.59,LH,Property,-1257.9
2020-02-04,276.26,114.2,390.47,162.06,28.42,LH,Property,-1095.8400000000001
2020-02-05,108.19,236.29,344.48,-128.11,31.15,LH,Property,-1223.9500000000003
2020-02-06,201.27,278.79,480.06,-77.52,37.12,LH,Property,-1301.4700000000003
2020-02-07,117.95,242.07,360.02,-124.11,44.59,LH,Property,-1425.5800000000002
2020-02-11,113.81,142.63,256.44,-28.82,32.01,LH,Property,-1454.4
2020-02-12,111.2,146.86,258.05,-35.66,60.24,LH,Property,-1490.0600000000002
2020-02-13,51.43,80.64,132.07,-29.21,49.61,LH,Property,-1519.2700000000002
2020-02-14,89.3,176.14,265.44,-86.84,37.12,LH,Property,-1606.1100000000001
2020-02-17,25.45,48.03,73.48,-22.58,32.39,LH,Property,-1628.69
2020-02-18,40.55,75.64,116.19,-35.09,36.71,LH,Property,-1663.78
2020-02-19,74.67,74.3,148.97,0.37,38.76,LH,Property,-1663.41
2020-02-20,128.12,73.87,201.99,54.25,44.05,LH,Property,-1609.16
2020-02-21,111.59,150.42,262.01,-38.83,34.61,LH,Property,-1647.99
2020-02-24,159.28,263.34,422.62,-104.07,38.05,LH,Property,-1752.06
2020-02-25,152.83,193.83,346.65,-41.0,34.38,LH,Property,-1793.06
2020-02-26,261.29,276.58,537.87,-15.28,45.26,LH,Property,-1808.34
2020-02-27,85.97,117.97,203.94,-32.0,25.49,LH,Property,-1840.34
2020-02-28,83.36,167.39,250.75,-84.03,43.03,LH,Property,-1924.37
2020-03-02,108.88,161.23,270.12,-52.35,50.51,LH,Property,-1976.7199999999998
2020-03-03,123.13,119.13,242.26,3.99,32.83,LH,Property,-1972.7299999999998
2020-03-04,316.51,253.18,569.69,63.33,61.85,LH,Property,-1909.3999999999999
2020-03-05,265.56,149.33,414.89,116.24,42.06,LH,Property,-1793.1599999999999
2020-03-06,96.12,145.62,241.74,-49.5,44.77,LH,Property,-1842.6599999999999
2020-03-09,236.77,208.58,445.35,28.19,43.18,LH,Property,-1814.4699999999998
2020-03-10,119.08,140.86,259.94,-21.78,35.51,LH,Property,-1836.2499999999998
2020-03-11,77.87,102.23,180.1,-24.36,28.49,LH,Property,-1860.6099999999997
2020-03-12,221.6,165.48,387.08,56.13,25.96,LH,Property,-1804.4799999999996
2020-03-13,169.72,285.02,454.74,-115.31,29.41,LH,Property,-1919.7899999999995
2020-03-16,150.39,203.79,354.18,-53.41,41.97,LH,Property,-1973.1999999999996
2020-03-17,72.89,157.79,230.68,-84.9,36.19,LH,Property,-2058.0999999999995
2020-03-18,133.98,125.52,259.49,8.46,40.96,LH,Property,-2049.6399999999994
2020-03-19,181.56,80.76,262.31,100.8,33.99,LH,Property,-1948.8399999999995
2020-03-20,182.32,240.63,422.95,-58.31,38.93,LH,Property,-2007.1499999999994
2020-03-23,94.41,78.55,172.97,15.86,30.51,LH,Property,-1991.2899999999995
