date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,14.41,2.65,17.06,11.77,27.6,MEGA,Commerce,11.77
2020-01-03,16.62,7.73,24.35,8.9,19.84,MEGA,Commerce,20.67
2020-01-06,1.18,4.33,5.51,-3.15,6.52,MEGA,Commerce,17.520000000000003
2020-01-07,2.49,0.56,3.04,1.93,8.44,MEGA,Commerce,19.450000000000003
2020-01-08,2.38,1.82,4.2,0.55,11.77,MEGA,Commerce,20.000000000000004
2020-01-09,1.27,16.69,17.96,-15.42,23.08,MEGA,Commerce,4.580000000000004
2020-01-10,8.41,2.28,10.69,6.14,13.07,MEGA,Commerce,10.720000000000002
2020-01-13,3.85,2.47,6.32,1.38,12.05,MEGA,Commerce,12.100000000000001
2020-01-14,10.38,1.6,11.98,8.78,34.19,MEGA,Commerce,20.880000000000003
2020-01-15,9.59,3.86,13.45,5.73,35.72,MEGA,Commerce,26.610000000000003
2020-01-16,11.61,2.38,13.99,9.23,26.39,MEGA,Commerce,35.84
2020-01-17,3.97,3.66,7.63,0.32,6.79,MEGA,Commerce,36.160000000000004
2020-01-20,9.06,4.07,13.13,4.99,14.35,MEGA,Commerce,41.150000000000006
2020-01-21,3.82,1.36,5.18,2.46,16.69,MEGA,Commerce,43.61000000000001
2020-01-22,1.09,1.06,2.15,0.02,10.05,MEGA,Commerce,43.63000000000001
2020-01-23,13.23,0.33,13.56,12.9,27.51,MEGA,Commerce,56.53000000000001
2020-01-24,3.5,0.19,3.69,3.32,6.95,MEGA,Commerce,59.85000000000001
2020-01-27,6.91,3.66,10.57,3.24,19.06,MEGA,Commerce,63.09000000000001
2020-01-28,4.04,1.86,5.9,2.18,9.39,MEGA,Commerce,65.27000000000001
2020-01-29,14.83,2.07,16.91,12.76,25.49,MEGA,Commerce,78.03000000000002
2020-01-30,32.29,12.12,44.41,20.16,39.04,MEGA,Commerce,98.19000000000001
2020-01-31,2.83,7.08,9.91,-4.25,20.86,MEGA,Commerce,93.94000000000001
2020-02-03,15.5,7.74,23.25,7.76,31.74,MEGA,Commerce,101.70000000000002
2020-02-04,32.67,4.92,37.59,27.75,32.79,MEGA,Commerce,129.45000000000002
2020-02-05,5.97,3.31,9.29,2.66,8.66,MEGA,Commerce,132.11
2020-02-06,32.22,3.26,35.48,28.95,14.57,MEGA,Commerce,161.06
2020-02-07,8.45,2.87,11.31,5.58,6.79,MEGA,Commerce,166.64000000000001
2020-02-11,2.79,5.74,8.53,-2.95,6.58,MEGA,Commerce,163.69000000000003
2020-02-12,21.16,4.89,26.05,16.27,27.54,MEGA,Commerce,179.96000000000004
2020-02-13,19.95,5.82,25.77,14.13,9.79,MEGA,Commerce,194.09000000000003
2020-02-14,25.57,3.13,28.7,22.44,9.4,MEGA,Commerce,216.53000000000003
2020-02-17,2.64,7.19,9.83,-4.55,9.61,MEGA,Commerce,211.98000000000002
2020-02-18,2.54,7.39,9.93,-4.85,8.11,MEGA,Commerce,207.13000000000002
2020-02-19,15.5,9.63,25.13,5.87,8.36,MEGA,Commerce,213.00000000000003
2020-02-20,12.59,3.44,16.03,9.14,14.99,MEGA,Commerce,222.14000000000004
