date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,121.52,109.39,230.9,12.13,24.39,MINT,Tourism,12.13
2020-01-03,217.85,65.29,283.14,152.56,29.54,MINT,Tourism,164.69
2020-01-06,230.58,223.34,453.91,7.24,24.35,MINT,Tourism,171.93
2020-01-07,130.2,83.11,213.31,47.1,23.17,MINT,Tourism,219.03
2020-01-08,89.44,60.12,149.56,29.33,17.7,MINT,Tourism,248.36
2020-01-09,156.28,79.78,236.06,76.51,23.26,MINT,Tourism,324.87
2020-01-10,80.91,30.75,111.66,50.16,21.96,MINT,Tourism,375.03
2020-01-13,90.45,67.93,158.38,22.52,34.14,MINT,Tourism,397.54999999999995
2020-01-14,97.26,74.66,171.92,22.59,31.57,MINT,Tourism,420.13999999999993
2020-01-15,65.66,40.78,106.44,24.88,21.12,MINT,Tourism,445.0199999999999
2020-01-16,93.19,49.57,142.76,43.63,37.43,MINT,Tourism,488.6499999999999
2020-01-17,92.39,45.41,137.8,46.97,27.39,MINT,Tourism,535.6199999999999
2020-01-20,88.19,78.6,166.79,9.59,34.37,MINT,Tourism,545.2099999999999
2020-01-21,183.23,327.82,511.05,-144.59,25.32,MINT,Tourism,400.6199999999999
2020-01-22,220.63,102.03,322.67,118.6,13.54,MINT,Tourism,519.2199999999999
2020-01-23,116.27,84.62,200.88,31.65,37.52,MINT,Tourism,550.8699999999999
2020-01-24,105.46,108.04,213.5,-2.58,24.42,MINT,Tourism,548.2899999999998
2020-01-27,197.92,231.65,429.57,-33.72,26.17,MINT,Tourism,514.5699999999998
2020-01-28,366.2,121.78,487.98,244.43,31.21,MINT,Tourism,758.9999999999998
2020-01-29,72.97,77.47,150.45,-4.5,16.02,MINT,Tourism,754.4999999999998
2020-01-30,149.59,256.67,406.26,-107.08,33.29,MINT,Tourism,647.4199999999997
2020-01-31,122.51,204.65,327.16,-82.14,36.61,MINT,Tourism,565.2799999999997
2020-02-03,131.03,110.16,241.19,20.86,34.08,MINT,Tourism,586.1399999999998
2020-02-04,245.3,131.0,376.29,114.3,25.31,MINT,Tourism,700.4399999999997
2020-02-05,226.42,212.27,438.69,14.15,28.71,MINT,Tourism,714.5899999999997
2020-02-06,166.42,201.95,368.38,-35.53,24.7,MINT,Tourism,679.0599999999997
2020-02-07,120.85,107.69,228.54,13.16,35.86,MINT,Tourism,692.2199999999997
2020-02-11,122.54,116.0,238.54,6.54,23.82,MINT,Tourism,698.7599999999996
2020-02-12,93.8,73.62,167.42,20.18,31.74,MINT,Tourism,718.9399999999996
2020-02-13,132.61,152.74,285.36,-20.13,36.36,MINT,Tourism,698.8099999999996
2020-02-14,117.76,73.99,191.75,43.77,34.53,MINT,Tourism,742.5799999999996
2020-02-17,33.3,33.6,66.9,-0.3,37.99,MINT,Tourism,742.2799999999996
2020-02-18,84.09,65.88,149.98,18.21,32.7,MINT,Tourism,760.4899999999997
2020-02-19,109.93,64.92,174.86,45.01,38.42,MINT,Tourism,805.4999999999997
2020-02-20,106.52,132.32,238.85,-25.8,48.6,MINT,Tourism,779.6999999999997
2020-02-21,97.86,85.41,183.26,12.45,38.93,MINT,Tourism,792.1499999999997
2020-02-24,418.29,447.85,866.13,-29.56,41.94,MINT,Tourism,762.5899999999998
2020-02-25,185.93,172.42,358.35,13.51,30.03,MINT,Tourism,776.0999999999998
2020-02-26,314.89,199.73,514.62,115.16,34.1,MINT,Tourism,891.2599999999998
2020-02-27,198.07,133.15,331.22,64.93,34.78,MINT,Tourism,956.1899999999998
2020-02-28,253.17,230.84,484.01,22.33,47.27,MINT,Tourism,978.5199999999999
2020-03-02,292.79,209.13,501.92,83.66,33.27,MINT,Tourism,1062.1799999999998
2020-03-03,225.81,202.86,428.66,22.95,29.64,MINT,Tourism,1085.1299999999999
2020-03-04,333.64,141.06,474.7,192.59,38.12,MINT,Tourism,1277.7199999999998
2020-03-05,168.29,111.05,279.34,57.24,19.77,MINT,Tourism,1334.9599999999998
2020-03-06,133.76,182.46,316.22,-48.7,28.02,MINT,Tourism,1286.2599999999998
2020-03-09,266.42,275.0,541.42,-8.59,32.32,MINT,Tourism,1277.6699999999998
2020-03-10,210.13,581.62,791.75,-371.49,41.09,MINT,Tourism,906.1799999999998
2020-03-11,145.74,189.71,335.45,-43.96,42.26,MINT,Tourism,862.2199999999998
