date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2022-12-22,92.67,58.16,150.83,34.51,2.25,MOSHI,Commerce,34.51
2022-12-23,33.81,24.79,58.59,9.02,4.05,MOSHI,Commerce,43.53
2022-12-26,15.56,10.25,25.8,5.31,5.04,MOSHI,Commerce,48.84
2022-12-27,6.77,14.44,21.21,-7.66,5.14,MOSHI,Commerce,41.18000000000001
2022-12-28,6.18,3.92,10.1,2.26,3.43,MOSHI,Commerce,43.440000000000005
2022-12-29,6.35,3.46,9.82,2.89,2.25,MOSHI,Commerce,46.330000000000005
2022-12-30,0.65,0.69,1.33,-0.04,1.77,MOSHI,Commerce,46.290000000000006
2023-01-03,5.0,29.27,34.26,-24.27,5.73,MOSHI,Commerce,22.020000000000007
2023-01-04,27.67,7.8,35.47,19.87,6.64,MOSHI,Commerce,41.89000000000001
2023-01-05,1.73,2.2,3.93,-0.47,1.95,MOSHI,Commerce,41.42000000000001
2023-01-06,4.26,1.21,5.47,3.05,3.32,MOSHI,Commerce,44.470000000000006
2023-01-09,8.77,1.48,10.25,7.3,2.8,MOSHI,Commerce,51.77
2023-01-10,5.35,4.63,9.98,0.72,5.67,MOSHI,Commerce,52.49
2023-01-11,10.0,1.36,11.36,8.65,6.9,MOSHI,Commerce,61.14
2023-01-12,5.09,3.48,8.56,1.61,3.26,MOSHI,Commerce,62.75
2023-01-13,17.54,7.09,24.63,10.45,4.23,MOSHI,Commerce,73.2
2023-01-16,38.79,2.48,41.27,36.32,8.6,MOSHI,Commerce,109.52000000000001
2023-01-17,19.89,0.96,20.85,18.93,12.08,MOSHI,Commerce,128.45000000000002
2023-01-18,0.97,2.72,3.69,-1.75,3.37,MOSHI,Commerce,126.70000000000002
2023-01-19,11.58,4.3,15.88,7.29,6.6,MOSHI,Commerce,133.99
2023-01-20,5.93,1.06,6.99,4.87,6.95,MOSHI,Commerce,138.86
2023-01-23,10.84,2.75,13.59,8.09,10.04,MOSHI,Commerce,146.95000000000002
2023-01-24,8.71,12.66,21.37,-3.96,13.89,MOSHI,Commerce,142.99
2023-01-25,12.34,15.22,27.57,-2.88,12.01,MOSHI,Commerce,140.11
2023-01-26,3.41,6.12,9.54,-2.71,7.84,MOSHI,Commerce,137.4
2023-01-27,5.63,5.99,11.63,-0.36,18.69,MOSHI,Commerce,137.04
2023-01-30,8.4,1.75,10.15,6.64,7.45,MOSHI,Commerce,143.67999999999998
2023-01-31,3.18,1.82,5.0,1.36,5.29,MOSHI,Commerce,145.04
2023-02-01,2.69,0.76,3.44,1.93,6.79,MOSHI,Commerce,146.97
2023-02-02,11.59,6.76,18.36,4.83,6.83,MOSHI,Commerce,151.8
2023-02-03,1.87,1.7,3.57,0.16,6.14,MOSHI,Commerce,151.96
2023-02-06,0.51,0.89,1.4,-0.38,3.42,MOSHI,Commerce,151.58
2023-02-07,52.17,15.07,67.24,37.09,22.33,MOSHI,Commerce,188.67000000000002
2023-02-08,7.81,15.47,23.28,-7.66,12.81,MOSHI,Commerce,181.01000000000002
2023-02-09,50.99,4.51,55.5,46.48,16.9,MOSHI,Commerce,227.49
2023-02-10,2.56,14.5,17.06,-11.94,11.71,MOSHI,Commerce,215.55
2023-02-13,10.78,13.11,23.89,-2.33,10.43,MOSHI,Commerce,213.22
2023-02-14,9.95,25.13,35.08,-15.18,7.59,MOSHI,Commerce,198.04
2023-02-15,8.12,9.03,17.15,-0.91,9.92,MOSHI,Commerce,197.13
2023-02-16,14.37,11.57,25.94,2.79,11.11,MOSHI,Commerce,199.92
2023-02-17,1.57,8.72,10.29,-7.15,14.01,MOSHI,Commerce,192.76999999999998
2023-02-20,1.04,1.96,3.0,-0.92,9.28,MOSHI,Commerce,191.85
2023-02-21,20.86,25.22,46.08,-4.36,18.73,MOSHI,Commerce,187.48999999999998
