date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,45.25,50.17,95.43,-4.92,21.68,MTC,Finance,-4.92
2020-01-03,108.29,51.66,159.95,56.63,22.14,MTC,Finance,51.71
2020-01-06,51.01,68.8,119.81,-17.79,33.66,MTC,Finance,33.92
2020-01-07,191.57,416.96,608.53,-225.38,31.76,MTC,Finance,-191.45999999999998
2020-01-08,135.91,83.4,219.31,52.52,17.53,MTC,Finance,-138.93999999999997
2020-01-09,122.02,146.32,268.34,-24.3,37.13,MTC,Finance,-163.23999999999998
2020-01-10,82.26,65.89,148.15,16.37,26.38,MTC,Finance,-146.86999999999998
2020-01-13,65.44,73.07,138.51,-7.64,27.33,MTC,Finance,-154.50999999999996
2020-01-14,77.66,78.47,156.13,-0.82,30.85,MTC,Finance,-155.32999999999996
2020-01-15,38.71,67.9,106.61,-29.19,39.09,MTC,Finance,-184.51999999999995
2020-01-16,20.01,73.56,93.56,-53.55,25.66,MTC,Finance,-238.06999999999994
2020-01-17,149.03,93.77,242.8,55.27,23.2,MTC,Finance,-182.79999999999993
2020-01-20,38.96,45.56,84.52,-6.6,28.95,MTC,Finance,-189.39999999999992
2020-01-21,75.65,40.83,116.48,34.82,30.54,MTC,Finance,-154.57999999999993
2020-01-22,210.9,74.49,285.39,136.41,24.47,MTC,Finance,-18.16999999999993
2020-01-23,132.53,90.71,223.24,41.82,21.66,MTC,Finance,23.65000000000007
2020-01-24,136.78,175.06,311.85,-38.28,28.25,MTC,Finance,-14.629999999999932
2020-01-27,49.91,97.13,147.04,-47.22,33.8,MTC,Finance,-61.84999999999993
2020-01-28,98.41,161.26,259.67,-62.85,27.56,MTC,Finance,-124.69999999999993
2020-01-29,67.08,72.47,139.55,-5.39,41.89,MTC,Finance,-130.08999999999992
2020-01-30,97.11,49.4,146.51,47.71,24.01,MTC,Finance,-82.37999999999991
2020-01-31,63.55,107.62,171.17,-44.07,20.17,MTC,Finance,-126.4499999999999
2020-02-03,75.56,81.31,156.87,-5.74,24.82,MTC,Finance,-132.1899999999999
2020-02-04,88.78,94.51,183.29,-5.73,28.23,MTC,Finance,-137.9199999999999
2020-02-05,221.66,189.51,411.18,32.15,24.52,MTC,Finance,-105.7699999999999
2020-02-06,106.32,169.77,276.09,-63.44,26.07,MTC,Finance,-169.2099999999999
2020-02-07,120.64,166.77,287.41,-46.14,32.85,MTC,Finance,-215.3499999999999
2020-02-11,107.04,155.97,263.01,-48.92,41.03,MTC,Finance,-264.2699999999999
2020-02-12,126.46,179.27,305.73,-52.81,58.95,MTC,Finance,-317.0799999999999
2020-02-13,55.93,122.62,178.55,-66.69,37.72,MTC,Finance,-383.7699999999999
2020-02-14,59.06,100.73,159.79,-41.67,31.5,MTC,Finance,-425.43999999999994
2020-02-17,186.81,197.18,383.99,-10.36,25.22,MTC,Finance,-435.79999999999995
2020-02-18,153.5,170.12,323.62,-16.62,29.44,MTC,Finance,-452.41999999999996
