date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.47,3.42,3.89,-2.95,6.27,M,Food,-2.95
2020-01-03,1.01,1.06,2.07,-0.05,4.21,M,Food,-3.0
2020-01-06,0.16,3.18,3.34,-3.02,12.95,M,Food,-6.02
2020-01-07,0.16,2.21,2.37,-2.05,9.33,M,Food,-8.07
2020-01-08,0.18,3.43,3.62,-3.25,9.24,M,Food,-11.32
2020-01-09,0.98,0.83,1.82,0.15,5.12,M,Food,-11.17
2020-01-10,1.0,1.39,2.39,-0.39,22.7,M,Food,-11.56
2020-01-13,0.24,0.91,1.16,-0.67,4.13,M,Food,-12.23
2020-01-14,0.98,0.38,1.36,0.6,4.16,M,Food,-11.63
2020-01-15,0.41,2.05,2.47,-1.64,4.26,M,Food,-13.270000000000001
2020-01-16,1.07,0.75,1.83,0.32,3.54,M,Food,-12.950000000000001
2020-01-17,2.66,0.49,3.15,2.18,3.84,M,Food,-10.770000000000001
2020-01-20,0.4,3.37,3.77,-2.98,13.17,M,Food,-13.750000000000002
2020-01-21,0.37,1.63,2.01,-1.26,9.69,M,Food,-15.010000000000002
2020-01-22,0.36,1.48,1.85,-1.12,2.2,M,Food,-16.130000000000003
2020-01-23,0.4,1.37,1.77,-0.98,19.26,M,Food,-17.110000000000003
2020-01-24,0.66,0.76,1.42,-0.1,12.55,M,Food,-17.210000000000004
2020-01-27,1.25,1.42,2.66,-0.17,4.98,M,Food,-17.380000000000006
2020-01-28,0.44,1.59,2.03,-1.15,9.09,M,Food,-18.530000000000005
2020-01-29,0.23,0.9,1.13,-0.67,4.8,M,Food,-19.200000000000006
2020-01-30,0.38,0.49,0.87,-0.11,6.38,M,Food,-19.310000000000006
2020-01-31,1.64,1.88,3.52,-0.24,3.71,M,Food,-19.550000000000004
2020-02-03,0.12,1.44,1.56,-1.33,5.09,M,Food,-20.880000000000003
2020-02-04,0.76,0.62,1.38,0.14,6.49,M,Food,-20.740000000000002
2020-02-05,0.6,0.32,0.92,0.28,9.54,M,Food,-20.46
2020-02-06,0.94,0.1,1.04,0.85,2.67,M,Food,-19.61
2020-02-07,0.45,0.3,0.75,0.15,2.76,M,Food,-19.46
2020-02-11,2.32,1.16,3.48,1.16,4.87,M,Food,-18.3
2020-02-12,0.53,1.33,1.86,-0.8,10.15,M,Food,-19.1
2020-02-13,0.7,0.41,1.11,0.29,4.13,M,Food,-18.810000000000002
2020-02-14,0.59,1.71,2.3,-1.12,8.21,M,Food,-19.930000000000003
2020-02-17,0.16,0.49,0.65,-0.32,8.44,M,Food,-20.250000000000004
2020-02-18,0.37,1.25,1.62,-0.89,7.67,M,Food,-21.140000000000004
2020-02-19,0.08,1.64,1.72,-1.56,15.25,M,Food,-22.700000000000003
2020-02-20,0.65,1.17,1.82,-0.52,5.58,M,Food,-23.220000000000002
2020-02-21,0.4,5.06,5.45,-4.66,14.25,M,Food,-27.880000000000003
2020-02-24,0.52,4.4,4.92,-3.88,9.39,M,Food,-31.76
2020-02-25,0.6,1.56,2.17,-0.96,3.7,M,Food,-32.72
2020-02-26,1.57,2.44,4.0,-0.87,8.26,M,Food,-33.589999999999996
2020-02-27,4.33,4.63,8.96,-0.29,9.56,M,Food,-33.879999999999995
2020-02-28,2.17,1.38,3.55,0.78,4.49,M,Food,-33.099999999999994
2020-03-02,1.41,4.06,5.47,-2.65,17.84,M,Food,-35.74999999999999
2020-03-03,2.35,4.7,7.05,-2.36,11.63,M,Food,-38.10999999999999
2020-03-04,0.51,1.04,1.55,-0.53,5.91,M,Food,-38.63999999999999
2020-03-05,0.94,3.12,4.06,-2.18,11.01,M,Food,-40.81999999999999
