date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2021-02-11,1307.5,620.36,1927.86,687.13,2.04,OR,Energy,687.13
2021-02-15,3049.27,1967.06,5016.33,1082.22,6.45,OR,Energy,1769.35
2021-02-16,1648.38,1129.75,2778.13,518.63,8.74,OR,Energy,2287.98
2021-02-17,1380.35,764.07,2144.42,616.29,10.2,OR,Energy,2904.27
2021-02-18,1216.36,653.83,1870.2,562.53,10.9,OR,Energy,3466.8
2021-02-19,914.53,515.29,1429.81,399.24,10.45,OR,Energy,3866.04
2021-02-22,1129.42,312.59,1442.0,816.83,12.89,OR,Energy,4682.87
2021-02-23,1045.19,503.2,1548.4,541.99,13.29,OR,Energy,5224.86
2021-02-24,1207.78,661.2,1868.98,546.58,19.52,OR,Energy,5771.44
2021-02-25,5396.52,5092.35,10488.86,304.17,40.11,OR,Energy,6075.61
2021-03-01,297.56,383.47,681.03,-85.91,8.4,OR,Energy,5989.7
2021-03-02,341.77,148.27,490.04,193.51,8.6,OR,Energy,6183.21
2021-03-03,486.88,308.22,795.1,178.65,12.57,OR,Energy,6361.86
2021-03-04,462.85,536.52,999.37,-73.67,21.31,OR,Energy,6288.19
2021-03-05,568.74,659.58,1228.32,-90.84,11.02,OR,Energy,6197.349999999999
2021-03-08,369.57,529.29,898.87,-159.72,13.19,OR,Energy,6037.629999999999
2021-03-09,173.17,194.17,367.34,-21.0,9.54,OR,Energy,6016.629999999999
2021-03-10,676.96,343.33,1020.3,333.63,13.03,OR,Energy,6350.259999999999
2021-03-11,296.01,611.59,907.6,-315.58,20.02,OR,Energy,6034.679999999999
2021-03-12,511.67,388.77,900.44,122.91,16.72,OR,Energy,6157.589999999999
2021-03-15,147.77,241.36,389.13,-93.59,14.47,OR,Energy,6063.999999999999
2021-03-16,162.53,211.29,373.82,-48.76,22.4,OR,Energy,6015.239999999999
2021-03-17,1081.3,891.18,1972.47,190.12,8.18,OR,Energy,6205.359999999999
2021-03-18,464.92,401.41,866.32,63.51,9.18,OR,Energy,6268.869999999999
2021-03-19,663.01,620.09,1283.1,42.92,14.45,OR,Energy,6311.789999999999
2021-03-22,748.21,604.25,1352.47,143.96,19.28,OR,Energy,6455.749999999999
2021-03-23,820.03,557.3,1377.33,262.73,14.86,OR,Energy,6718.48
2021-03-24,505.05,512.23,1017.28,-7.19,10.3,OR,Energy,6711.29
2021-03-25,782.18,494.7,1276.88,287.48,12.83,OR,Energy,6998.77
2021-03-26,574.26,588.4,1162.66,-14.13,23.82,OR,Energy,6984.64
2021-03-29,213.41,334.36,547.77,-120.95,19.75,OR,Energy,6863.6900000000005
2021-03-30,329.87,201.79,531.65,128.08,14.06,OR,Energy,6991.77
2021-03-31,458.93,213.23,672.16,245.7,19.84,OR,Energy,7237.47
2021-04-01,287.16,174.25,461.41,112.91,15.89,OR,Energy,7350.38
2021-04-02,380.22,448.38,828.6,-68.16,27.66,OR,Energy,7282.22
2021-04-05,125.47,233.8,359.27,-108.33,12.84,OR,Energy,7173.89
2021-04-07,363.41,267.08,630.49,96.33,19.3,OR,Energy,7270.22
2021-04-08,414.13,395.97,810.1,18.17,29.42,OR,Energy,7288.39
2021-04-09,282.21,433.48,715.69,-151.27,21.57,OR,Energy,7137.12
2021-04-12,189.38,123.06,312.45,66.32,14.94,OR,Energy,7203.44
2021-04-16,419.95,278.48,698.43,141.46,18.56,OR,Energy,7344.9
2021-04-19,123.48,297.37,420.85,-173.89,18.8,OR,Energy,7171.009999999999
2021-04-20,335.67,305.91,641.58,29.76,22.06,OR,Energy,7200.7699999999995
2021-04-21,66.71,121.81,188.52,-55.09,17.24,OR,Energy,7145.679999999999
2021-04-22,138.17,186.33,324.49,-48.16,16.16,OR,Energy,7097.5199999999995
2021-04-23,94.73,105.26,199.99,-10.52,11.83,OR,Energy,7086.999999999999
2021-04-26,178.97,277.02,455.99,-98.05,19.97,OR,Energy,6988.949999999999
2021-04-27,246.61,230.69,477.31,15.92,17.92,OR,Energy,7004.869999999999
2021-04-28,176.99,209.49,386.48,-32.5,18.36,OR,Energy,6972.369999999999
2021-04-29,122.39,296.38,418.77,-173.98,13.96,OR,Energy,6798.389999999999
2021-04-30,228.16,187.24,415.41,40.92,24.52,OR,Energy,6839.3099999999995
2021-05-05,228.22,282.87,511.09,-54.65,14.72,OR,Energy,6784.66
2021-05-06,150.17,136.79,286.96,13.38,16.9,OR,Energy,6798.04
2021-05-07,123.48,145.35,268.83,-21.87,18.5,OR,Energy,6776.17
2021-05-10,291.78,241.5,533.28,50.29,16.38,OR,Energy,6826.46
2021-05-11,157.58,236.96,394.55,-79.38,14.67,OR,Energy,6747.08
2021-05-12,214.99,280.36,495.35,-65.38,12.28,OR,Energy,6681.7
2021-05-13,349.63,307.35,656.98,42.28,16.85,OR,Energy,6723.98
2021-05-14,181.66,197.18,378.84,-15.53,18.08,OR,Energy,6708.45
2021-05-17,171.72,146.04,317.76,25.67,15.69,OR,Energy,6734.12
2021-05-18,286.37,145.43,431.8,140.94,20.0,OR,Energy,6875.0599999999995
2021-05-19,167.61,156.31,323.92,11.3,21.31,OR,Energy,6886.36
2021-05-20,305.09,217.91,523.01,87.18,23.12,OR,Energy,6973.54
2021-05-21,357.78,140.81,498.59,216.97,33.26,OR,Energy,7190.51
2021-05-24,245.47,231.84,477.31,13.62,19.25,OR,Energy,7204.13
2021-05-25,195.07,97.88,292.95,97.19,20.55,OR,Energy,7301.32
2021-05-27,1179.27,877.67,2056.94,301.61,40.0,OR,Energy,7602.929999999999
2021-05-28,347.16,143.7,490.86,203.46,18.68,OR,Energy,7806.389999999999
2021-05-31,243.47,89.64,333.11,153.83,30.76,OR,Energy,7960.219999999999
2021-06-01,823.63,301.18,1124.81,522.45,12.83,OR,Energy,8482.67
2021-06-02,462.08,396.08,858.16,66.0,17.05,OR,Energy,8548.67
2021-06-04,173.75,236.65,410.4,-62.9,25.79,OR,Energy,8485.77
2021-06-07,526.29,333.89,860.18,192.4,18.1,OR,Energy,8678.17
2021-06-08,315.23,146.94,462.17,168.29,13.28,OR,Energy,8846.460000000001
2021-06-09,313.63,173.18,486.82,140.45,16.13,OR,Energy,8986.910000000002
2021-06-10,305.59,277.42,583.01,28.17,21.5,OR,Energy,9015.080000000002
2021-06-11,364.96,291.4,656.35,73.56,23.04,OR,Energy,9088.640000000001
2021-06-14,223.33,264.85,488.17,-41.52,17.54,OR,Energy,9047.12
2021-06-15,204.46,182.03,386.49,22.43,15.92,OR,Energy,9069.550000000001
2021-06-16,412.42,351.41,763.83,61.01,22.26,OR,Energy,9130.560000000001
2021-06-17,198.81,163.07,361.89,35.74,28.0,OR,Energy,9166.300000000001
2021-06-18,875.25,2811.12,3686.38,-1935.87,44.25,OR,Energy,7230.430000000001
2021-06-21,234.63,196.88,431.51,37.75,24.66,OR,Energy,7268.180000000001
2021-06-22,183.06,130.99,314.05,52.07,21.9,OR,Energy,7320.250000000001
2021-06-23,218.55,172.9,391.45,45.65,30.07,OR,Energy,7365.900000000001
2021-06-24,226.08,92.92,319.0,133.16,17.62,OR,Energy,7499.06
2021-06-25,115.23,92.67,207.9,22.57,24.56,OR,Energy,7521.63
2021-06-28,140.45,184.28,324.74,-43.83,21.6,OR,Energy,7477.8
2021-06-29,134.49,48.54,183.03,85.95,24.63,OR,Energy,7563.75
2021-06-30,198.89,254.11,452.99,-55.22,30.75,OR,Energy,7508.53
2021-07-01,220.36,171.41,391.77,48.95,29.07,OR,Energy,7557.48
2021-07-02,133.54,172.89,306.43,-39.35,18.26,OR,Energy,7518.129999999999
2021-07-05,74.03,27.38,101.41,46.65,12.79,OR,Energy,7564.779999999999
2021-07-06,158.99,71.54,230.53,87.44,28.95,OR,Energy,7652.219999999998
2021-07-07,172.13,126.72,298.85,45.4,31.8,OR,Energy,7697.619999999998
2021-07-08,156.33,118.07,274.4,38.26,15.46,OR,Energy,7735.879999999998
2021-07-09,60.38,71.24,131.62,-10.86,14.88,OR,Energy,7725.019999999999
2021-07-12,109.7,34.36,144.06,75.34,12.08,OR,Energy,7800.359999999999
2021-07-13,116.1,65.61,181.71,50.49,14.65,OR,Energy,7850.8499999999985
2021-07-14,121.55,104.39,225.94,17.16,20.0,OR,Energy,7868.009999999998
