date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,0.35,0.96,1.31,-0.6,16.37,PR9,Helth,-0.6
2020-01-03,0.21,0.0,0.21,0.21,1.57,PR9,Helth,-0.39
2020-01-06,0.03,0.33,0.36,-0.3,2.84,PR9,Helth,-0.69
2020-01-07,0.0,0.13,0.13,-0.13,2.82,PR9,Helth,-0.82
2020-01-08,0.01,0.0,0.01,0.01,0.38,PR9,Helth,-0.8099999999999999
2020-01-09,0.0,0.15,0.15,-0.15,8.49,PR9,Helth,-0.96
2020-01-10,0.0,0.0,0.0,-0.0,0.08,PR9,Helth,-0.96
2020-01-13,0.05,0.0,0.05,0.05,1.05,PR9,Helth,-0.9099999999999999
2020-01-14,0.13,0.0,0.13,0.13,2.06,PR9,Helth,-0.7799999999999999
2020-01-15,0.01,0.02,0.03,-0.02,0.44,PR9,Helth,-0.7999999999999999
2020-01-16,0.0,0.04,0.04,-0.04,1.69,PR9,Helth,-0.84
2020-01-17,0.17,0.0,0.17,0.17,3.03,PR9,Helth,-0.6699999999999999
2020-01-20,0.0,0.0,0.0,0.0,0.09,PR9,Helth,-0.6699999999999999
2020-01-21,0.0,0.12,0.12,-0.12,5.3,PR9,Helth,-0.7899999999999999
2020-01-22,0.0,0.02,0.02,-0.02,5.36,PR9,Helth,-0.8099999999999999
2020-01-23,0.0,0.08,0.08,-0.08,2.85,PR9,Helth,-0.8899999999999999
2020-01-24,0.0,0.02,0.02,-0.02,1.44,PR9,Helth,-0.9099999999999999
2020-01-27,0.16,0.03,0.19,0.13,2.61,PR9,Helth,-0.7799999999999999
2020-01-28,0.0,0.01,0.01,-0.01,0.36,PR9,Helth,-0.7899999999999999
2020-02-05,0.02,0.0,0.02,0.02,0.71,PR9,Helth,-0.7699999999999999
2020-02-06,0.04,0.0,0.04,0.04,2.11,PR9,Helth,-0.7299999999999999
2020-02-07,0.06,0.0,0.06,0.06,3.68,PR9,Helth,-0.6699999999999999
2020-02-11,0.02,0.0,0.02,0.02,1.04,PR9,Helth,-0.6499999999999999
2020-02-12,0.16,0.04,0.2,0.12,14.13,PR9,Helth,-0.5299999999999999
2020-02-13,0.0,0.0,0.0,0.0,0.03,PR9,Helth,-0.5299999999999999
