date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,symbol,sector,cumulative_net_mb
2020-01-02,6.9,10.15,17.05,-3.25,10.94,PRM,Trans,-3.25
2020-01-03,4.75,2.1,6.85,2.65,9.46,PRM,Trans,-0.6000000000000001
2020-01-06,23.94,13.14,37.08,10.8,20.87,PRM,Trans,10.200000000000001
2020-01-07,2.21,11.01,13.23,-8.8,10.84,PRM,Trans,1.4000000000000004
2020-01-08,5.89,8.1,13.99,-2.22,6.67,PRM,Trans,-0.8199999999999998
2020-01-09,11.87,11.1,22.97,0.77,10.6,PRM,Trans,-0.04999999999999982
2020-01-10,3.69,4.07,7.76,-0.38,10.87,PRM,Trans,-0.4299999999999998
2020-01-13,6.19,4.7,10.88,1.49,11.14,PRM,Trans,1.06
2020-01-14,2.22,2.85,5.07,-0.62,12.16,PRM,Trans,0.44000000000000006
2020-01-15,1.44,1.35,2.79,0.09,14.36,PRM,Trans,0.53
2020-01-16,5.02,5.45,10.48,-0.43,12.25,PRM,Trans,0.10000000000000003
2020-01-17,3.74,3.07,6.82,0.67,9.33,PRM,Trans,0.77
2020-01-20,2.6,3.84,6.45,-1.24,16.98,PRM,Trans,-0.47
2020-01-21,1.53,3.6,5.13,-2.07,10.96,PRM,Trans,-2.54
2020-01-22,1.21,4.12,5.33,-2.91,12.89,PRM,Trans,-5.45
2020-01-23,4.59,12.86,17.45,-8.28,11.95,PRM,Trans,-13.73
2020-01-24,6.95,1.34,8.29,5.61,17.81,PRM,Trans,-8.120000000000001
2020-01-27,1.98,6.1,8.08,-4.12,12.8,PRM,Trans,-12.240000000000002
2020-01-28,5.95,3.36,9.32,2.59,26.99,PRM,Trans,-9.650000000000002
2020-01-29,2.11,1.45,3.56,0.66,11.95,PRM,Trans,-8.990000000000002
2020-01-30,5.64,3.02,8.66,2.62,16.45,PRM,Trans,-6.370000000000002
2020-01-31,5.24,3.24,8.49,2.0,17.22,PRM,Trans,-4.370000000000002
2020-02-03,7.08,5.12,12.2,1.96,20.47,PRM,Trans,-2.410000000000002
2020-02-04,8.23,2.47,10.7,5.77,11.01,PRM,Trans,3.3599999999999977
2020-02-05,7.32,4.34,11.66,2.98,12.72,PRM,Trans,6.339999999999998
2020-02-06,0.95,2.44,3.39,-1.48,8.27,PRM,Trans,4.859999999999998
2020-02-07,3.32,1.23,4.54,2.09,11.73,PRM,Trans,6.9499999999999975
2020-02-11,1.03,2.85,3.88,-1.83,7.91,PRM,Trans,5.119999999999997
2020-02-12,6.61,2.15,8.76,4.46,7.42,PRM,Trans,9.579999999999998
2020-02-13,1.43,3.21,4.64,-1.78,6.43,PRM,Trans,7.799999999999998
2020-02-14,2.09,2.87,4.96,-0.78,6.84,PRM,Trans,7.019999999999998
2020-02-17,0.67,2.33,2.99,-1.66,6.53,PRM,Trans,5.359999999999998
2020-02-18,2.12,1.93,4.05,0.18,15.82,PRM,Trans,5.539999999999997
2020-02-19,0.95,3.7,4.65,-2.75,11.67,PRM,Trans,2.7899999999999974
2020-02-20,9.82,4.5,14.31,5.32,17.19,PRM,Trans,8.109999999999998
2020-02-21,3.55,3.04,6.59,0.51,11.15,PRM,Trans,8.619999999999997
2020-02-24,1.74,11.32,13.06,-9.58,18.63,PRM,Trans,-0.9600000000000026
2020-02-25,4.62,12.57,17.19,-7.94,18.06,PRM,Trans,-8.900000000000002
2020-02-26,4.82,8.21,13.02,-3.39,12.68,PRM,Trans,-12.290000000000003
2020-02-27,6.64,2.9,9.53,3.74,19.36,PRM,Trans,-8.550000000000002
2020-02-28,3.74,4.84,8.58,-1.1,20.06,PRM,Trans,-9.650000000000002
2020-03-02,8.48,6.16,14.65,2.32,13.24,PRM,Trans,-7.330000000000002
2020-03-03,7.81,4.02,11.82,3.79,13.86,PRM,Trans,-3.540000000000002
2020-03-04,10.44,3.9,14.34,6.55,13.49,PRM,Trans,3.009999999999998
2020-03-05,17.15,3.66,20.81,13.49,13.34,PRM,Trans,16.5
2020-03-06,5.97,9.33,15.3,-3.36,10.96,PRM,Trans,13.14
2020-03-09,18.4,5.57,23.97,12.84,13.14,PRM,Trans,25.98
2020-03-10,21.08,6.14,27.22,14.93,16.87,PRM,Trans,40.91
2020-03-11,69.39,47.66,117.05,21.72,15.32,PRM,Trans,62.629999999999995
2020-03-12,18.86,23.89,42.75,-5.04,13.59,PRM,Trans,57.589999999999996
2020-03-13,8.35,19.39,27.74,-11.04,11.08,PRM,Trans,46.55
2020-03-16,16.44,10.99,27.43,5.45,22.41,PRM,Trans,52.0
2020-03-17,8.13,20.13,28.26,-12.01,23.77,PRM,Trans,39.99
2020-03-18,8.34,29.48,37.82,-21.13,34.17,PRM,Trans,18.860000000000003
2020-03-19,10.02,11.86,21.88,-1.84,19.79,PRM,Trans,17.020000000000003
2020-03-20,11.39,4.88,16.28,6.51,11.16,PRM,Trans,23.53
2020-03-23,3.39,7.85,11.24,-4.46,14.0,PRM,Trans,19.07
2020-03-24,9.05,8.15,17.2,0.9,17.24,PRM,Trans,19.97
2020-03-25,13.05,16.52,29.56,-3.47,17.0,PRM,Trans,16.5
2020-03-26,5.82,10.33,16.15,-4.51,16.02,PRM,Trans,11.99
2020-03-27,20.64,7.39,28.03,13.25,25.65,PRM,Trans,25.240000000000002
2020-03-30,3.16,5.42,8.58,-2.26,20.95,PRM,Trans,22.980000000000004
2020-03-31,7.12,7.71,14.82,-0.59,14.43,PRM,Trans,22.390000000000004
2020-04-01,3.67,11.6,15.27,-7.94,18.74,PRM,Trans,14.450000000000003
2020-04-02,19.91,12.47,32.38,7.45,18.63,PRM,Trans,21.900000000000002
2020-04-03,11.39,17.27,28.67,-5.88,19.32,PRM,Trans,16.020000000000003
2020-04-07,15.28,18.61,33.89,-3.33,17.93,PRM,Trans,12.690000000000003
2020-04-08,8.07,8.32,16.39,-0.25,13.6,PRM,Trans,12.440000000000003
2020-04-09,9.94,9.93,19.87,0.0,11.64,PRM,Trans,12.440000000000003
2020-04-10,6.75,2.96,9.71,3.78,15.16,PRM,Trans,16.220000000000002
2020-04-13,2.29,2.57,4.86,-0.28,7.78,PRM,Trans,15.940000000000003
2020-04-14,5.61,8.07,13.68,-2.46,10.35,PRM,Trans,13.480000000000004
2020-04-15,11.12,11.05,22.17,0.08,10.3,PRM,Trans,13.560000000000004
2020-04-16,16.84,15.18,32.02,1.66,13.15,PRM,Trans,15.220000000000004
2020-04-17,10.32,11.83,22.16,-1.51,15.25,PRM,Trans,13.710000000000004
2020-04-20,42.73,17.51,60.23,25.22,22.72,PRM,Trans,38.93000000000001
2020-04-21,59.43,26.45,85.88,32.98,19.73,PRM,Trans,71.91
2020-04-22,12.15,33.08,45.24,-20.93,15.85,PRM,Trans,50.98
2020-04-23,22.71,9.57,32.28,13.13,16.0,PRM,Trans,64.11
2020-04-24,42.19,19.48,61.67,22.71,23.88,PRM,Trans,86.82
2020-04-27,20.1,3.35,23.45,16.74,26.03,PRM,Trans,103.55999999999999
2020-04-28,12.29,7.67,19.96,4.61,18.87,PRM,Trans,108.16999999999999
2020-04-29,13.72,8.45,22.17,5.26,19.85,PRM,Trans,113.42999999999999
2020-04-30,20.57,4.28,24.85,16.29,22.48,PRM,Trans,129.72
2020-05-05,12.32,4.9,17.21,7.42,15.92,PRM,Trans,137.14
2020-05-07,26.86,11.06,37.92,15.8,19.25,PRM,Trans,152.94
2020-05-08,18.76,7.77,26.53,10.99,16.72,PRM,Trans,163.93
2020-05-11,32.97,11.76,44.72,21.21,20.43,PRM,Trans,185.14000000000001
2020-05-12,31.09,24.77,55.86,6.32,19.25,PRM,Trans,191.46
2020-05-13,73.73,86.07,159.8,-12.35,24.81,PRM,Trans,179.11
2020-05-14,8.38,64.76,73.14,-56.38,18.91,PRM,Trans,122.73000000000002
2020-05-15,13.3,17.38,30.68,-4.08,1.85,PRM,Trans,118.65000000000002
2020-05-18,99.21,69.8,169.01,29.42,21.9,PRM,Trans,148.07000000000002
2020-05-19,24.31,16.76,41.07,7.55,14.23,PRM,Trans,155.62000000000003
2020-05-20,29.88,22.7,52.58,7.19,13.73,PRM,Trans,162.81000000000003
2020-05-21,40.98,33.01,73.99,7.97,19.03,PRM,Trans,170.78000000000003
2020-05-22,73.31,22.87,96.18,50.45,23.3,PRM,Trans,221.23000000000002
2020-05-25,46.21,14.66,60.87,31.55,31.87,PRM,Trans,252.78000000000003
2020-05-26,52.72,23.49,76.2,29.23,20.42,PRM,Trans,282.01000000000005
2020-05-27,43.97,43.53,87.5,0.44,15.15,PRM,Trans,282.45000000000005
2020-05-28,8.89,41.79,50.69,-32.9,16.18,PRM,Trans,249.55000000000004
2020-05-29,35.77,40.11,75.88,-4.33,29.53,PRM,Trans,245.22000000000003
2020-06-01,51.65,62.81,114.46,-11.16,27.55,PRM,Trans,234.06000000000003
2020-06-02,70.43,59.21,129.64,11.23,27.46,PRM,Trans,245.29000000000002
2020-06-04,80.81,25.0,105.81,55.81,25.7,PRM,Trans,301.1
2020-06-05,86.2,39.74,125.94,46.46,41.36,PRM,Trans,347.56
2020-06-08,257.5,65.07,322.57,192.43,39.61,PRM,Trans,539.99
